id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN
37092622,Baechie (1990),1990,['Feedback'],NA,VERB Metaphors test ,,"Based on Rittenhouse from An Anthology of Figurative Language Stories for Deaf and Hard-of-Hearing Children by Robert Rittenhouse, 1987, Salem, WI  Sheffield Publishing Co. Copyright 1987 by Sheffield Publishing Co. Reprinted by permission.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.6548,,0.2855,,Literacy: reading comprehension,,27.0,,42.59,,34.54,,25.0,,23.0,,22.73,,0.0952,,1.2143,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
37092573,Benson (1979) 1_1,1979,['Feedback'],NA,WRIT PEER Writing Evaluation Scale,,"The scale identifies five areas of concern for the student evaluator  content, development, sentence structure, word choice, and conventions. Students were given written directions on the use of this instrument during peer group meetings. They were to read at least three drafts written by other students in their small group, and complete the form by circling a number from one to five for each category on the scale. In turn, each student’s paper was read and evaluated by at least three others. Following the peer group meeting, students were instructed to revise and rewrite.",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.22,,0.12,,Literacy: writing,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0152,,0.4552,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Researcher developed test'],
40294885,Benson (1979) 1_2,1979,['Feedback'],NA,Overall writing quality (F-test),,Table II presentTable II presents the analysis of covariance summary.s the analysis of covariance summary.,,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.2311,,0.2473,,Literacy: writing,,0.2311,,0,,0,,0.24727439,,0,,0,,-0.2536,,0.7158,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],
37092626,Bethge (1982),1982,['Feedback'],NA,VERB Ravens IQ Score,,"The effects of dynamic testing procedures on Raven Coloured Matrices performance, visual scanning procedures, test anxiety, and orientation to the test situation were assessed. The subjects were 72 third-grade children. ",,['Toolkit primary outcome'],,0.8552,,0.3027,,Cognitive: other,,24.0,,105.0,,10.45,,24.0,,95.3,,11.82,,0.2619,,1.4485,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
37092628,Bilsky (1978),1978,['Feedback'],NA,VERB Correct Responses - Experiment 2,,"The training set consisted of 12 items (2 per category) from 6 categories. The number of pictures on each card ranged from 6 to 9, and all possible unequal ratios were utilized. All subjects received one half of the items (1 per category) in the pictorial format accompanied by a question of the following form  “These are all tools. Here are hammers  here are saws. Are there more hammers or more tools?” The other half of the items were presented in the pictorial-numerical format for which the following statement was inserted immediately prior to the question  “If there are 2 hammers and 5 saws . . .”",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,2.4289,,0.4056,,Mathematics,,22.0,,7.915,,2.462,,22.0,,2.165,,2.179,,1.6338,,3.2239,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
37092755,Block (1970),1970,['Feedback'],NA,SCORE + CORR Algebra_Formative feedback,,Test at the end of the algebra unit to show extent of mastery.,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.5191,,0.2479,,Mathematics,,51.0,,0.0,,0.0,,25.0,,0.035,,0.0,,0.0331,,1.005,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: School-developed test'],
37091022,Bohannon (1975),1975,['Feedback'],NA,VERB decoding-phonics (phonic words) - feedback SEND,,"A post-test measure of beginning reading behaviors  correct oral responses from a visual display. The child would say the word when presented with the visual stimulus of a word of regular phonic configuration (e.g. , cvc, cvvc, and cvce). The median correct response rate of the last five days of treatment for both specifically and traditionally treated groups were used for this purpose. Calculated by counting the number of children from each group who achieved a level of proficiency which would place them in the range of scores between the 25%ile and 75%ile of nonreferred children.",,"['Toolkit primary outcome', 'Reading primary outcome']",,2.75,,0.66,,Literacy: decoding/phonics,,NA,,NA,,NA,,NA,,NA,,NA,,1.4564,,4.0436,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
37092604,Boulet (1990) 1_1,1990,['Feedback'],NA,WRIT Major Scales of Music,,"Major musical scales were used as the domain to be evaluated. For example, the dimensions ""ascending"" and ""descending"" were grouped in a facet called ""direction,"" the dimensions ""sharp"" and ""flat"" were grouped within a facet called ""breaking,"" and ""0 to 2 sharps or flats,"" ""3 to 5 sharps or flats"" and ""6 to 7 sharps or flats"" dimensions were grouped to a facet called ""number of breaking"".",,"['Toolkit primary outcome', 'Other outcome']",,-0.0329,,0.2838,,Curriculum: other,,23.0,,41.5,,37.9,,27.0,,42.8,,39.7,,-0.5891,,0.5233,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
40294889,Boulet (1990) 1_2,1990,['Feedback'],NA,VERB Major Scales of Music - Test Scores,,"Major musical scales were used as the domain to be evaluated. For example, the dimensions ""ascending"" and ""descending"" were grouped in a facet called ""direction,"" the dimensions ""sharp"" and ""flat"" were grouped within a facet called ""breaking,"" and ""0 to 2 sharps or flats,"" ""3 to 5 sharps or flats"" and ""6 to 7 sharps or flats"" dimensions were grouped to a facet called ""number of breaking"".",,"['Toolkit primary outcome', 'Other outcome']",,0.2514,,0.2664,,Curriculum: other,,30.0,,53.0,,40.3,,27.0,,42.8,,39.7,,-0.2707,,0.7735,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
47515963,Brakel (1990),1990,['Feedback'],NA,Final Draft (RI/PP vs Control),," Data consisted of the rough drafts of lesson 6, collected and copied before and after the formal revising session and the final drafts of the same lesson. Those drafts were used in the analysis of revision behav- ior and writing quality.",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.8458,,0.335,,Literacy: writing,,23.0,,117.26,,21.74,,17.0,,97.94,,23.25,,0.1892,,1.5024,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],
37091024,Brandstetter (1978) 1_1,1978,['Feedback'],NA,CHART - Grade4 - Reading - feedback,,"Average raw score gain in reading per trial. Each child received 1 minute timings on a rate sheet until the child could read a predetermined number of words in 1 minute. Vocabulary from the SRA series Crocking the Code (Rasmussen & Coldberg, 1968).",,"['Toolkit primary outcome', 'Reading primary outcome']",,1.0215,,0.4019,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.2339,,1.8091,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
40294890,Brandstetter (1978) 1_2,1978,['Feedback'],NA,SCORE Reading Comprehension- Feedback,,Counterbalanced experimenal setup to compare average raw score gains per trial. Each child received 1 minute timings twice each day on rate sheets of vocabulary from the SRA series Cracking the Code until the child could read a pre­determined number of words in 1 minute. All children in this study set aim at 80 words per minute.,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.37,,1.07,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-1.7272,,2.4672,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
37092631,Bridgeman (1974) 1_1,1974,['Feedback'],NA,SCORE+ Criterion Test Success FB ,,"Items formed from Lorge-Thorndike Intelligence Test. On the test, the answers were recorded on machine-scorable answer sheets. The time limit was 17 minutes, which is slightly more than recommended in the test manual, in order to minimize the effects of speed and further assure that it was basically a power test. ",,"['Toolkit primary outcome', 'Other outcome']",,0.206,,0.1606,,Cognitive: reasoning,,77.0,,19.988,,4.918,,79.0,,18.911,,5.468,,-0.1088,,0.5207,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
40294891,Bridgeman (1974) 1_2,1974,['Feedback'],NA,SCORE- Criterion Test Failure FB,,"Items formed from Lorge- Thorndike Intelligence Test. On the test, the answers were recorded on machine- scorable answer sheets. The time limit was 17 minutes, which is slightly more than recommended in the test manual, in order to minimize the effects of speed and further assure that it was basically a power test. ",,"['Toolkit primary outcome', 'Other outcome']",,-0.0984,,0.1602,,Cognitive: reasoning,,77.0,,18.361,,5.66,,79.0,,18.911,,5.468,,-0.4124,,0.2157,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
37092605,Brookhart (2008),2010,['Feedback'],NA,DIBELS Combined (K&G1),,Post test DIBELS scores combined,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5102,,0.1592,,Literacy: reading other,,0.5102,,0,,0,,0.1592,,0,,0,,0.1982,,0.8222,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
37061108,Bumgarner (1984),1984,['Feedback'],NA,SCORE Grade3 - Multiplication automaticity - KOR feedback,,"A delayed (fourth) posttest mean score for retention of multiplication facts using a a four minute, ninety item speed test given after each set of two iterations of the three hundred item drill and practice program.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,-0.2205,,0.2809,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.7711,,0.3301,,Primary outcome,,['Sample: Average'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],
37092634,Butler (1986) 1_1,1986,['Feedback'],NA,SCORE Grade 6 - written FB,,"Post-test adjusted mean score for writing. Children were requested to construct as many words as they could from the letters of a longer word. Scoring was according to the criteria for successful performance given in the instructions. Two-letter words were given 2 points  three-letter words, 3 points  four-letter words, 5 points  and words of five or more letters, 6 points. ",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,1.539,,0.1742,,Literacy: writing,,NA,,NA,,NA,,NA,,NA,,NA,,1.1976,,1.8804,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],
40294895,Butler (1986) 1_2,1986,['Feedback'],NA,Grade6 - Num Grades as FB (arm 2),,"Post-test adjusted mean score for writing. Children were requested to construct as many words as they could from the letters of a longer word. Scoring was according to the criteria for successful performance given in the instructions. Two-letter words were given 2 points  three-letter words, 3 points  four-letter words, 5 points  and words of five or more letters, 6 points.",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,1.1185,,0.1636,,Literacy: writing,,NA,,NA,,NA,,NA,,NA,,NA,,0.7978,,1.4392,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],
37092633,Butler (1987) 1_1,1987,['Feedback'],NA,COMMENTS FB High+Low Achiever Combined - Fixed effect,,combined high + Low achiever using the excel formula for fixed effects,,"['Toolkit primary outcome', 'Other outcome']",,1.2681,,0.2303,,Cognitive: reasoning,,1.268071475,,0,,0,,0.230253811,,0,,0,,0.8168,,1.7194,,Primary outcome,,NA,,With business as usual,,NA,,NA,
40294893,Butler (1987) 1_2,1987,['Feedback'],NA,SCORE (High+Low Achievers combined) - fixed effect,,SCORE Grades as FB (High & Low Achievers combined for fixed effect calculation),,"['Toolkit primary outcome', 'Other outcome']",,0.0807,,0.2026,,Cognitive: reasoning,,0.080730497,,0,,0,,0.202577763,,0,,0,,-0.3163,,0.4778,,Primary outcome,,NA,,With business as usual,,NA,,NA,
40294894,Butler (1987) 1_3,1987,['Feedback'],NA,POS Praise FB (Low Achievers),,"((tasks taken from the divergent thinking uses test (Torrance & Templeton, 1963))-low achievers)",,"['Toolkit primary outcome', 'Other outcome']",,0.4817,,0.2873,,Cognitive: reasoning,,25,,9.96,,3.76,,25,,8.36,,2.69,,-0.0813,,1.0448,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
37092575,Caccamise (2007) 1_1,2007,['Feedback'],NA,Summary Writing DT FB,,"All the students in the experimental and control classes wrote a summary at the beginning and end of the school term. For these pre and post exercises, students read one of two texts similar in length and reading level. Reading and summary writing, using pencil and paper, took place during a single, 45-minute class period  Half of the students of each class received one text for the pretest, and the other Half the other text in.,a randomized assignment. For the posttest, each student received the text he or she had not summarized during the pre-assessment ",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.38,,0.2132,,Literacy: writing,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0379,,0.7979,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
40294896,Caccamise (2007) 1_2,2007,['Feedback'],NA,CSAP Reading comprehension DT FB ,,"Post-test adjusted mean score for students' performance on comprehension test summary items that focus on gist level understanding. Test battery was used from retired CSAP (Colorado State Assessment Program) materials, a standards-based test.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.4243,,0.2132,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0064,,0.8422,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
47515970,Carlson (1979),1979,['Feedback'],NA,Raven Coloured Progressive Matrices Test,,Raven Coloured Progressive Matrices Test is a nonverbal group test typically used in educational settings. It is usually a 60-item test used in measuring abstract reasoning and regarded as a non-verbal estimate of fluid intelligence.,,"['Toolkit primary outcome', 'Other outcome']",,0.4058,,0.0972,,Cognitive: reasoning,,216.0,,27.443,,5.231,,216.0,,25.041,,6.516,,0.2153,,0.5964,,Primary outcome,,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
46888076,Chen (2011),2011,['Feedback'],NA,Reading ability,,"The posttest was developed to evaluate students’ reading comprehension after the treatment. Two articles along with the corresponding comprehension questions were selected from the textbook. There were 18 questions, with 7 questions related to the ﬁrst article and 11 questions related to the second article.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.711,,0.3357,,Literacy: reading comprehension,,19.0,,10.68,,1.92,,19.0,,8.79,,3.14,,0.053,,1.3689,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
46887826,Clariana (1990),1990,['Feedback'],NA,Science post-test,,The posttest was composed of four sections taken from the ACT Natural Sciences Reading Test sample test booklet 8223c. The posttest questions are classified into five categories based on their relationship to the text and to the lesson questions. The relationship between the text passages and the lesson questions are either factual or inferential. Factual questions restate a verbatim statement in one sentence of the text. Inference questions require that the reader put several sentences together to obtain an idea not explicitly presented in the text. ,,"['Toolkit primary outcome', 'Science primary outcome']",,0.924,,0.158,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,0.6143,,1.2337,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
46888078,Clariana (2006),2006,['Feedback'],NA,Identical KCR MTF DF combined,,KCR MTF DF combined posttest v QUestions and Text combined Identical,,"['Toolkit primary outcome', 'Science primary outcome']",,0.3265,,0.2267,,Science,,49.0,,4.03,,1.92,,33.0,,3.43,,1.66,,-0.1178,,0.7708,,Secondary outcome(s),,['Sample: All'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
37092576,Coe (2011),2011,['Feedback'],NA,SCORE 6+1 Trait Writing Test,,"The outcome measure for the confirmatory research question was a score for overall writing quality, on a six-point scale ranging from 1 (indicating a severely flawed essay demonstrating very little or no mastery) to 6 (indicating an essay demonstrating clear and consistent mastery of writing). ",,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",,0.11,,0.044,,Literacy: writing,,NA,,NA,,NA,,NA,,NA,,NA,,0.0238,,0.1962,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],
37091026,Crutcher (1975),1975,['Feedback'],NA,TEACH FB - Mathematics WRAT - 1st & 2nd grades,,Analysis of covariance results for first and second grade students from their Wide Range Achievement Test scores.,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.8215,,0.2519,,Mathematics,,32,,0,,0,,37,,0.001,,0,,0.3278,,1.3153,,Primary outcome,,['Sample: Low achievers'],,With active control,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
46887881,Denton (2010),2010,['Feedback'],NA,WJ III Passage Comprehension,,"The WJ-III (Woodcock et al., 2001) is a nationally standardized, individually administered battery of achievement tests. Passage Comprehension is a measure of reading comprehension at the sentence level.",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.5141,,0.0999,,Literacy: reading comprehension,,182.0,,455.61,,14.06,,240.0,,447.4,,17.23,,0.3183,,0.7099,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],
47515991,Dollinger (1978),1978,['Feedback'],NA,Competence,,"The inquiry items were selected to assess cognitive processes or effects that are theoretically relevant to intrinsic motivation. Rating items (5-point scale) consisted of the child's self-perceived competence (""How good are you at the roads game?""), liking for the task, and estimate of the experimenter's liking for the task (cf. Staw, Calder, & Hess, Note 4). ",,"['Toolkit primary outcome', 'Other outcome']",,0.8165,,0.3312,,Cognitive: other,,NA,,NA,,NA,,NA,,NA,,NA,,0.1673,,1.4657,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
37091027,Dubrule (1984),1984,['Feedback'],NA,CAT Maths Postest 1,,"CAT Maths achievement  Posttest 1 (from Table 11, post-test 1 means/SD, t-test produces the same results)",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.4474,,0.1497,,Mathematics,,90.0,,59.42,,13.1,,93.0,,53.67,,12.5,,0.1539,,0.7409,,Primary outcome,,['Sample: Average'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
37092761,Eggen (1978),1978,['Feedback'],NA,Maths Concepts G4 G5 G6 FB Model (arm1 PH),,"Post test unadjusted mean score covering each of the dimensions (Recognition, Production, Comprehension) of the content in the textual material. 42 items in total consisting of three sub tests  Recognition (16 items) - measuring subjects' ability to identify examples of each set of numbers in the number system they had encountered in the text  Production (8 items) - measuring subjects' ability to produce a hierarchy of the number system when the concepts were provided in random order  Comprehension (18 items) - measuring subjects' ability to identify relationships among concepts in the number system.",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.6851,,0.3102,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0771,,1.2931,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
40294902,Ehlinger (1988) FB,1988,['Feedback'],NA,VERB G8 Reading comprehension (SVT) - feedback,,"Post-test adjusted mean score for reading comprehension measured by the ""sentence verification technique"" (SVT) (Royer, Greene, and Sinatra, 1987). The assessment consists of four types of sentences developed from each sentence in the passage - originals, paraphrases, meaning changes, and distractors. Students were asked to judge each test sentence as either ""old"" or ""new"". Predicated on the assumption that reading entails an interaction between the context, the message, and the reader's background knowledge, and that through this interaction the reader constructs the meaning  but not necessarily the exact words of the passage (Kuder-Richardson formula 20 = 0.501).",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2369,,0.2868,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.3252,,0.799,,Primary outcome,,['Sample: Average'],,With active control,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
46887923,Elawar (1985),1985,['Feedback'],NA,Maths achievement posttest Whole Class v no treatment,,"Each of 3 school result reported separately, have reported the mean ",,"['Toolkit primary outcome', 'Mathematics primary outcome']",,1.3541,,0.1211,,Mathematics,,168.0,,14.03,,2.9,,168.0,,9.85,,3.25,,1.1167,,1.5915,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
