id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,prepost_t_mean_ht_t_sd_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
37092622,Baechie (1990),1990,['Feedback'],NA,['Yes'],NA,NA,,"['Page 4:\n[¬s]""27[¬e]""']",27,,"['Page 3:\n[¬s]""X= 25.00[¬e]""']",25.00,,"['Page 3:\n[¬s]""SD = 24.02[¬e]""']",24.02,,"['Page 3:\n[¬s]""A""= 42.59[¬e]""']",42.59,,"['Page 3:\n[¬s]""SD = 34.5[¬e]""']",34.54,,NA,NA,,NA,NA,,NA,NA,,NA,25,,"['Page 3:\n[¬s]""(X= 25.00[¬e]""']",25.00,,"['Page 3:\n[¬s]""SD = 22.82[¬e]""']",22.82,,"['Page 3:\n[¬s]""X= 23.00[¬e]""']",23.00,,"['Page 3:\n[¬s]""SD = 22.73[¬e]""']",22.73,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37092573,Benson (1979) 1_1,1979,['Feedback'],NA,['Yes'],"['Page 106:\n[¬s]""Descriptive Data[¬e]""', 'Page 107:\n[¬s]""Descriptive Data[¬e]""']",NA,,NA,156,,"['Page 59:\n[¬s]""TABLE I TREATMENT GROUP MEANS ON THE PRETEST ""OVERALL QUALITY,"" POSTTEST ESSAY, AND ADJUSTED POSTTEST ""OVERALL QUALITY""[¬e]""']",6.31,,NA,NA,,"['Page 59:\n[¬s]""TREATMENT GROUP MEANS ON THE PRETEST ""OVERALL QUALITY,"" POSTTEST ESSAY, AND ADJUSTED POSTTEST ""OVERALL QUALITY""[¬e]""']",6.88,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,119,,"['Page 59:\n[¬s]""TABLE I[¬e]""']",6.78,,NA,NA,,"['Page 59:\n[¬s]""TABLE I[¬e]""']",6.45,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40294885,Benson (1979) 1_2,1979,['Feedback'],NA,['Yes'],NA,NA,,"['Page 44:\n[¬s]""Treatment""\n""II""\n""22""\n""25""\n""19""\n""25""\n""21""\n""25""\n""17[¬e]""']",137,,"['Page 59:\n[¬s]""6.49[¬e]""']",6.49,,NA,NA,,"['Page 59:\n[¬s]""6.92[¬e]""']",6.92,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 44:\n[¬s]""Treatment""\n""III""\n""23""\n""19""\n""16""\n""18""\n""23""\n""20[¬e]""']",119,,"['Page 59:\n[¬s]""6.78[¬e]""']",6.78,,NA,NA,,"['Page 59:\n[¬s]""6.45[¬e]""']",6.45,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37092626,Bethge (1982),1982,['Feedback'],NA,['Yes'],"['Page 5:\n[¬s]""TABLE 1 Means and Standard Deviations of Raven Matrices IQ Scores Evaluations of Test Situation and Test Anx[¬e]""']",Raven Matrices IQ Scores from Table 1.,,NA,24,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""105.0[¬e]""']",105.0,,"['Page 5:\n[¬s]""10.45[¬e]""']",10.45,,NA,NA,,NA,NA,,NA,NA,,NA,24,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""95.3[¬e]""']",95.3,,"['Page 5:\n[¬s]""11.82[¬e]""']",11.82,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37092628,Bilsky (1978),1978,['Feedback'],NA,['Yes'],"['Page 4:\n[¬s]""TABLE 2 Means and Standard Deviations (SDs) for Number of Correct Responses during Training for Experiment 2[¬e]""']",Combined Groups spreadsheet used for all scores to combine Pictorial and Pictorial-numerical group scores,,NA,24,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""7.75""\n""8.08[¬e]""']",7.915,,"['Page 4:\n[¬s]""2.99""\n""1.93[¬e]""']",2.462,,NA,NA,,NA,NA,,NA,NA,,NA,24,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""3.25""\n""1.08[¬e]""']",2.165,,"['Page 4:\n[¬s]""2.38""\n""1.31[¬e]""']",2.179,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
37092755,Block (1970),1970,['Feedback'],NA,['No'],NA,NA,,"['Page 62:\n[¬s]""Experimental""\n""(n = 16)[¬e]""']",16,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 62:\n[¬s]""Control (n = 27)[¬e]""']",27,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37091022,Bohannon (1975),1975,['Feedback'],NA,['Yes'],NA,"Pre-test and post-test mean given for the median number of correct responses to the visual stimulus of a phonic word. However, according to page 46, the median correct response rate of the last five days was used as the posttreatment comparison.",,"['Page 53:\n[¬s]""23[¬e]""']",23,,"['Page 54:\n[¬s]""3""\n""3""\n""6""\n""9""\n""6""\n""5""\n""6""\n""7""\n""8""\n""5""\n""7""\n""10""\n""9""\n""6""\n""10""\n""11""\n""23""\n""21""\n""13""\n""17""\n""11""\n""20""\n""28[¬e]""']",10.609,,NA,NA,,"['Page 54:\n[¬s]""21""\n""20""\n""16""\n""36""\n""31""\n""37""\n""39""\n""30""\n""41""\n""35""\n""38""\n""59""\n""41""\n""40""\n""24""\n""53""\n""43""\n""53""\n""44""\n""50""\n""52""\n""56""\n""56[¬e]""']",39.783,,NA,NA,,NA,NA,,NA,NA,,"['Page 58:\n[¬s]"" In interquartile""\n"" ranqe (posttreat)""\n""[yes]""\n""[yes]""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n""yes""\n"" no""\n""yes""\n""yes""\n""yes""\n""yes""\n""yas""\n""yes[¬e]""']",Number of children in the range of scores between the 25%ile and 75%ile of non-SEND children,,"['Page 53:\n[¬s]"" 23[¬e]""']",23,,"['Page 54:\n[¬s]""4""\n""4""\n""3""\n""6""\n""3""\n""5""\n""6""\n""7""\n""8""\n""5""\n""5""\n""6""\n""23""\n""4""\n""4""\n""6""\n""22""\n""20""\n""5""\n""19""\n""7""\n""5""\n""25[¬e]""']",8.78,,NA,NA,,"['Page 54:\n[¬s]""9""\n""14""\n""22""\n""12""\n""5""\n""8""\n""19""\n""9""\n""11""\n""6""\n""9""\n""11""\n""43""\n""6""\n""7""\n""15""\n""35""\n""36""\n""9""\n""31""\n""10""\n""10""\n""34[¬e]""']",16.13,,NA,NA,,NA,NA,,NA,NA,,"['Page 58:\n[¬s]""In interquartile""\n""ranqe (p<""\n""yes""\n""yes""\n"" [yes]""\n""no""\n""no""\n"" no""\n""no""\n""no""\n""no""\n""no""\n"" no""\n""no""\n""yer[¬e]""']",Number of children in the range of scores between the 25%ile and 75%ile of non-SEND children,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37092604,Boulet (1990) 1_1,1990,['Feedback'],NA,['Yes'],NA,NA,,"['Page 5:\n[¬s]""Written feedback. Students of GE1 fn = 23),[¬e]""']",23,,"['Page 6:\n[¬s]""39.4[¬e]""']",39.4,,"['Page 6:\n[¬s]""36.7[¬e]""']",36.7,,"['Page 6:\n[¬s]""41.5[¬e]""']",41.5,,"['Page 6:\n[¬s]""37.9[¬e]""']",37.9,,NA,NA,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""No feedback. Students of GC (n = 27), [¬e]""']",27,,"['Page 6:\n[¬s]""39.8[¬e]""']",39.8,,"['Page 6:\n[¬s]""36.9[¬e]""']",36.9,,"['Page 6:\n[¬s]""42.8[¬e]""']",42.8,,"['Page 6:\n[¬s]""39.7[¬e]""']",39.7,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40294889,Boulet (1990) 1_2,1990,['Feedback'],NA,['Yes'],NA,NA,,"['Page 5:\n[¬s]""Students of GE2 (n = 30)[¬e]""']",30,,"['Page 6:\n[¬s]""42.8[¬e]""']",42.8,,"['Page 6:\n[¬s]""37.1[¬e]""']",37.1,,"['Page 6:\n[¬s]""53.0[¬e]""']",53.0,,"['Page 6:\n[¬s]""40.3[¬e]""']",40.3,,NA,NA,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""Students of GC (n = 27)[¬e]""']",27,,"['Page 6:\n[¬s]""39.8[¬e]""']",39.8,,"['Page 6:\n[¬s]""36.9[¬e]""']",36.9,,"['Page 6:\n[¬s]""42.8[¬e]""']",42.8,,"['Page 6:\n[¬s]""39.7[¬e]""']",39.7,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
47515963,Brakel (1990),1990,['Feedback'],NA,['Yes'],NA,NA,,"['Page 6:\n[¬s]""23[¬e]""']",23,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""117.26[¬e]""']",117.26,,"['Page 7:\n[¬s]""21.74[¬e]""']",21.74,,NA,NA,,NA,NA,,NA,NA,,NA,17,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""97.94[¬e]""']",97.94,,"['Page 7:\n[¬s]""23.25[¬e]""']",23.25,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37091024,Brandstetter (1978) 1_1,1978,['Feedback'],NA,['Yes'],NA,the experiment followed a counterbalanced method (all 14 children were both treated and untreated at some point),,"['Page 5:\n[¬s]""14[¬e]""']",7,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""14""\n""12.3 7.0 56 49 10.5 2A 4.0 5A 5.4 69 6.8 6.1 5.1 5.9[¬e]""']",6.3071,,NA,2.4046,,NA,NA,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""14[¬e]""']",14,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""14""\n""5.7 3.9 7.8 35 5.7 62 26 3.5 3.7 1.5 5.0 4.6 1.8 3.0[¬e]""']",4.1786,,NA,1.7034,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40294890,Brandstetter (1978) 1_2,1978,['Feedback'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
