id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ii_approach,ii_elements_included,ii_programmes_mentioned
41661297,Boblick (1972),1972,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.5313,0.2725,['Post-test unadjusted (select one from this group)'],Chemical Formulas,With business as usual,['Sample: Low achievers'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.5313,0.2725,NA,NA,NA,56,1,2,['Secondary/High school'],['No information provided'],NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],"['Digital technology', 'Class teachers']",1,3,55 ,['Toolkit: Individualised instruction'],['Individual pace'],"['Digital technology', 'Pre-testing of content']",['Computer-assisted instruction']
49769731,Bottge (2014),2014,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.17,0.6,['Post-test adjusted for baseline attainment AND clustering'],ITBS Fractions (Addition) -  Individualised instruction,With business as usual,['Sample: Low achievers'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.17,0.6,NA,NA,NA,NA,NA,NA,335,31,64,['Middle school'],"['11', '12', '13', '14']",TRUE,74.0,['USA'],['Cluster RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],36,5,60,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace']",['Digital technology'],['Computer-assisted instruction']
41661053,Bowen (1974),1974,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.4589,0.296,['Post-test unadjusted (select one from this group)'],Comprehensive Test of Basic Skills,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.4589,0.296,NA,NA,NA,NA,NA,NA,140,1,5,['Secondary/High school'],"['13', '14']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'Other (Explain in notes)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],244,5,250,['Toolkit: Individualised instruction'],"['Individual work', 'Individual pace', 'Individual feedback']",['Collaboration'],['Mastery learning']
41661129,Bradford (1973),1973,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1784,0.1205,['Post-test adjusted for baseline attainment'],MAT - Reading,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1784,0.1205,NA,NA,NA,['Mathematics primary outcome'],0.351,0.1195,NA,NA,NA,NA,NA,NA,392,2,12,['Primary/elementary school'],"['6', '7', '8', '9']",NA,NA,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],36,5,45,['Toolkit: Individualised instruction'],['Individual pace'],"['Digital technology', 'Pre-testing of content']",['Computer-assisted instruction']
41661054,Braly (1972),1972,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.3043,0.209,NA,ANS Chemistry posttest adjusted (table 3),With business as usual,NA,Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.3043,0.209,NA,NA,NA,97,1,4,['Secondary/High school'],"['15', '16', '17', '18']",NA,NA,['USA'],['Cluster RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Unclear/not specified']",9,4,45,NA,"['Individual work', 'Individual pace']",['Testing for mastery'],NA
41661130,Broussard (1971),1971,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.043,0.1501,['Post-test adjusted for baseline attainment'],Maths Application,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.043,0.1501,NA,NA,NA,NA,NA,NA,395,7,16,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'One to one']",['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",32,5 ,45 ,['Toolkit: Individualised instruction'],['Individual work'],['Digital technology'],['Individually Prescribed Instruction (IPI)']
41661131,Brust (1972),1972,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0799,0.199,['Post-test unadjusted (select one from this group)'],SAT Paragraph Meaning f ratio,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0799,0.199,NA,NA,NA,['Mathematics primary outcome'],-0.6629,0.205,NA,NA,NA,NA,NA,NA,101,1,4,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],36, , ,['Toolkit: Individualised instruction'],"['Individual pace', 'Individual feedback', 'Individual work']",['Testing for mastery'],['Program for Learning in Accordance with Needs (PLAN)']
41661055,Bull (1971),1971,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5192,0.1744,['Post-test unadjusted (select one from this group)'],Geometry test scores,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5192,0.1744,NA,NA,NA,NA,NA,NA,136,1,4,['Secondary/High school'],['No information provided'],NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],2,1,60,['Toolkit: Individualised instruction'],"['Individual pace', 'Individual work']",['Collaboration'],['Individually Prescribed Instruction (IPI)']
41661133,Burchyett (1972) 1_1,1972,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1285,0.1906,NA,STEP Test- Reading Level (Grade 3),With business as usual,NA,Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1285,0.1906,NA,NA,NA,['Mathematics primary outcome'],0.1379,0.1906,NA,NA,NA,NA,NA,NA,535,2,NA,['Primary/elementary school'],"['8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],20 ,5 ,250 ,NA,"['Individual pace', 'Individual work']",NA,NA
49106812,Burchyett (1972) 1_2,1972,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0222,0.17,NA,STEP Reading test- Grade four,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.0222,0.17,NA,NA,NA,['Mathematics primary outcome'],-0.3064,0.171,['Science primary outcome'],0.0109,0.17,NA,NA,NA,535,2,NA,['Primary/elementary school'],"['8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],20 ,5 ,250 ,['Toolkit: Individualised instruction'],"['Individual pace', 'Individual work']",NA,NA
49106813,Burchyett (1972) 1_3,1972,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0289,0.1697,NA,STEP Reading test-Grade five,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.0289,0.1697,NA,NA,NA,['Mathematics primary outcome'],-0.1686,0.1699,['Science primary outcome'],-0.1918,0.17,NA,NA,NA,535,2,NA,['Primary/elementary school'],"['8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],20 ,5 ,250 ,['Toolkit: Individualised instruction'],"['Individual pace', 'Individual work']",NA,NA
41661191,Cabalo (2007),2007,['Technical report'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.029,0.1078,NA,Northwest Evaluation Association (NWEA) test ,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.029,0.1078,NA,NA,NA,NA,NA,NA,541,12,22,['Middle school'],"['13', '14', '15', '16', '17', '18']",FALSE,27.0,['USA'],['Cluster RCT'],['Student alone (self-administered)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],24,5,110,NA,"['Individual pace', 'Individual work', 'Individual feedback']",['Digital technology'],['Computer-assisted instruction']
41661302,Call (1974),1974,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",-0.0764,0.3274,['Post-test adjusted for baseline attainment'],Semester Exam Posttest adjusted,With business as usual,['Sample: All'],Science,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",-0.0764,0.3274,NA,NA,NA,42 ,1,2,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['No'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",36 ,1,250,['Toolkit: Individualised instruction'],['Individual pace'],['Testing for mastery'],['Mastery learning']
41661057,Carlson (1975),1975,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Science primary outcome']",0.3245,0.215,['Post-test unadjusted (select one from this group)'],Semester One Examination scores,With active control,['Sample: All'],Science,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.3245,0.215,NA,NA,NA,90,1,4,['Secondary/High school'],['No information provided'],NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)']",['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Class teachers'],36 ,5,55,['Toolkit: Individualised instruction'],['Individual pace'],['Digital technology'],['Mastery learning']
41661303,Carnes (1966),1966,['Dissertation or thesis'],['Individualised instruction'],"['Toolkit primary outcome', 'Other outcome']",0.2705,0.1353,['Post-test unadjusted (select one from this group)'],Achievement Test,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,1,4,['Middle school'],"['12', '13']",NA,NA,['USA'],['Retrospective QED  '],['Student alone (self-administered)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],4,1.5 ,60,['Toolkit: Individualised instruction'],"['Individual work', 'Individual feedback']",['Self-checking/ self-marking'],"['Programmed instruction', 'Mastery learning']"
41661102,Cassel (1962) 1_1,1962,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",2.9238,0.6828,NA,Computer Arithmetic Test Score (Grade 9),With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",2.9238,0.6828,NA,NA,NA,NA,NA,NA,40,1,4,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['Yes (Please specify)'],['Yes'],['No'],"['Before/after school', 'During regular school hours ']",['Class teachers'],6, , ,NA,['Individual pace'],"['Digital technology', 'Pre-testing of content']",['Computer-assisted instruction']
41661103,Cassel (1962) 1_1,1962,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",4.784,0.7299,NA,Computer Mathematics Test (Grade 9),With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",4.784,0.7299,NA,NA,NA,NA,NA,NA,64,1,4,['Secondary/High school'],"['14', '15', '17', '18']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Digital technology'], ,3,60,NA,['Individual pace'],['Digital technology'],"['Programmed instruction', 'Computer-assisted instruction']"
46325671,Cassel (1962) 1_2,1962,['Journal article'],['Individualised instruction'],"['Toolkit primary outcome', 'Mathematics primary outcome']",4.5894,0.9251,NA,Computer Arithmetic Test Score (12th Grd-combined means boys & girls),With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",4.5894,0.9251,NA,NA,NA,NA,NA,NA,40,1,4,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['Yes (Please specify)'],['Yes'],['No'],"['During regular school hours ', 'Before/after school']",['Class teachers'],6, , ,NA,['Individual pace'],"['Digital technology', 'Pre-testing of content']",['Computer-assisted instruction']
