Gender_Split_comments,Gender_Split_HT
NA,NA
NA,NA
56.6% female (Table 2),NA
NA,NA
Assumed based on lack of information.,NA
50% female,"['Page 3:\n[¬s]""The mean age of the students was 11.78 years\n(SD \t 0.66) and 50% were girls.[¬e]""']"
See information on overall sample - numbers differ in table 2 and flowchart  In table 2 Male 52% Female 48%  Intervention group Male - 100 Female - 83  Control group Male - 83 Female - 83,NA
NA,NA
NA,NA
50.3% female,"['Page 299:\n[¬s]"" The experimental group consisted of""\n"" 50 female""\n""The control group con\xad tained""\n"" 34 female[¬e]""']"
"Sample F = 379, M = 399 Total Feedback F = 187, M = 202 No Feedback F = 192, M = 197","['Page 5:\n[¬s]""Total Feedback""\n""187""\n""No Feedback""\n""192[¬e]""']"
Information only provided for the control class.,"['Page 2:\n[¬s]""The control classes con\xad tained 21 boys and 9 girls[¬e]""']"
NA,NA
F - 83 out of 160,"['Page 67:\n[¬s]"" 78 54.5[¬e]""', 'Page 70:\n[¬s]"" 5 29.4[¬e]""']"
Not given,NA
NA,NA
Not given,NA
Not given,NA
"F - 52% (Based on Groups 1, 2 and 3), no information available for Group 1 and 3 alone.","['Page 54:\n[¬s]""52%[¬e]""']"
NA,"['Page 3:\n[¬s]""male and female students[¬e]""']"
NA,"['Page 4:\n[¬s]""52 percent are male (N=55) and 48 percent are female (N =50).[¬e]""']"
NA,"['Page 4:\n[¬s]""52 percent are male (N=55) and 48 percent are female (N =50).[¬e]""']"
F - 25% ,"['Page 9:\n[¬s]""ten[¬e]""']"
"51% of sample are boys (n=33) 49% of sample are girls (n=32) pg66, Table 3.","['Page 81:\n[¬s]""Frequency Percent Fifth Graders 65 100 Boys 33 51 Girls 32 49[¬e]""']"
Not given,NA
NA,NA
NA,NA
NA,"['Page 7:\n[¬s]""47 boys, 53 girls[¬e]""']"
NA,"['Page 3:\n[¬s]""There were 55 boys and 29 girls[¬e]""']"
62,"['Page 9:\n[¬s]""25""\n""37""\n""Table 2. Sample statistics.[¬e]""']"
33% female,"['Page 7:\n[¬s]""67% male[¬e]""']"
33% female,NA
61% female,"['Page 6:\n[¬s]""61% female[¬e]""']"
61% female,NA
46% female,"['Page 12:\n[¬s]""54% male,[¬e]""']"
46% female,"['Page 12:\n[¬s]""54% male,[¬e]""']"
Not given,NA
Not given,NA
64% female,"['Page 4:\n[¬s]""64% female,\nranging[¬e]""']"
64% female,"['Page 4:\n[¬s]""64% female,[¬e]""']"
NA,NA
See table 1 - p.197,NA
NA,NA
Not given,NA
51.6% female,"['Page 2:\n[¬s]""there were 15 girls and 18 boys in the ex\xad perimental group, and 17 girls and 12 bpys in the control group.[¬e]""']"
50% female,"['Page 4:\n[¬s]"" equal numbers of boys and girls in each group[¬e]""']"
50.1%,"['Page 9:\n[¬s]""There was, however, a higher percentage of males in the Reading Tutor group\n(58.0%) than in the SSR group (42.2%)[¬e]""']"
Female = 56.6% ,"['Page 4:\n[¬s]""The total sample consisted of 33 girls and 27 boy""\n""ex (the control group had aratio of 9:6""\n""7, the positive reinforcement group aratio of 8:7[¬e]""']"
NA,"['Page 4:\n[¬s]""s. Block randomiza- tion was used to assure that the groups did not differ by sex (the control group had aratio of 9:""\n""d the negative verbal feedback group a ratio of 8:[¬e]""']"
NA,NA
Not given,NA
118 males and 129 females,"['Page 4:\n[¬s]""males and 129 females) [¬e]""']"
Little information.,"['Page 4:\n[¬s]""The groups consisted of both males and females[¬e]""']"
No exact numbers given,"['Page 4:\n[¬s]"" The groups consisted of both males and females[¬e]""']"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,"['Page 4:\n[¬s]""Groups\nwere heterogeneous in ability and gender.[¬e]""']"
"Overall - F = 53, M = 43 Reviewers - F=27, M=21 Readers - F=26, M=22","['Page 119:\n[¬s]""There were 26 female students in each condition, with 21 males in the reviewers\x92 condition, 22 in the readers\x92 condition[¬e]""', 'Page 120:\n[¬s]""Total 27 56.25% 21 43.75% 26 54.16% 22 45.83[¬e]""']"
NA,"['Page 4:\n[¬s]""were ran-\ndomly assigned by grade and gender[¬e]""']"
"Gender of total sample - 57% female, 43% male  ","['Page 5:\n[¬s]""experimental group had 27""\n""16 were female and 11 were male.""\n""comparison group had 19 students,""\n""10 were female, 9 male.[¬e]""']"
NA,NA
NA,NA
50% female,"['Page 3:\n[¬s]""Seventy-two kindergarteners and first-graders (36 boys and 36 girls;[¬e]""']"
NA,"['Page 2:\n[¬s]""Fifty-four students (45 boys and 9 girls) [¬e]""']"
"Not stated, therefore would assume mixed gender.",NA
Intervention Male - 53% Female - 47%  Control Male - 60% Female - 40%,"['Page 21:\n[¬s]""Gender: Male 53 60 Female 47 40[¬e]""']"
"Female: Group 1 (Control): 40% Group 3 (multiple feedback): 53% Overall (in group 1 & 3): 48%   Table 2, pg96.",NA
NA,NA
50% were female 66 children were female (33 in Group 2 and 33 in Group 4).,"['Page 2:\n[¬s]""An equal number of each sex were given IKR and no-IKR.""\n""After pupil attritions the subject population was randomly reduced to 264 to pro\xad vide equal (N - 33) cell frequencies.[¬e]""']"
NA,"['Page 6:\n[¬s]""Figure 2. Gender[¬e]""']"
NA,NA
"Highlighted is the total numbers (out of the 33 total) by gender (58% female), but it does not state a breakdown by group, only that children were randomply assigned by gender and classroom. We can assume both groups 2 and 3 were mixed but not the numbers of male and female in each.","['Page 3:\n[¬s]"" 19 girls and 14 boys[¬e]""']"
"50% female overall. This is in relation to the total number involved in the study. The study comprises of 3 groups (Group 1 = Process Goal, Group 2 = Product Goal, Group 3 = General Goal) with a fourth group created as Group 1 was split into 2 conditions (Group 4 = Process + Feeback). I am looking at Group 1 & Group 4 therefore it is not possible to state exactly how many students were involved in these groups.","['Page 5:\n[¬s]""_N * 40, 20 boys, 20 girls[¬e]""']"
50% -50%,"['Page 1:\n[¬s]"" for 20 male and 20 female[¬e]""']"
NA,NA
NA,"['Page 2:\n[¬s]""Chil\xad dren were randomly assigned to groups with the restriction that there be an equal number of boys and girls in each group.[¬e]""']"
NA,NA
NA,NA
Assumed as no information given.,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Assumed as not stated.,NA
"Gender of students is not reported, therefore assumed sample is mixed. ",NA
"Overall 52 male students and 50 female students.   From Table 3.1, pg31",NA
"The number of male and female students is not stated in the study, therefore it is assumed the sample is mixed gender. ",NA
NA,NA
NA,"['Page 78:\n[¬s]"" 23 boys and 39 girls.[¬e]""']"
Total Males = 37 (48%) Total females = 40 (52%),NA
"not specified, however this study is conducted in a western public school ",NA
Not given,NA
NA,NA
Conhort a Intervention 49.3% male Control 49.1%  male   Cohort b Intervention 48.4% male Control 49.9%  male,NA
NA,NA
NA,NA
NA,"['Page 8:\n[¬s]""About 48% of the student\nsample (48.2%; n ⫽ 1,200) was female[¬e]""']"
NA,NA
NA,"['Page 77:\n[¬s]""66 were female and 68 were male[¬e]""']"
NA,"['Page 45:\n[¬s]""The balance of males to females[¬e]""']"
NA,NA
Not given,NA
Not given,NA
Not given,NA
Not given,NA
