fsm_perc_info,fsm_perc_ht,fsm_info_info,fsm_info_ht,fsm_na
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,NA
NA,NA,NA,"['Page 38:\n[¬s]""Nearly all of these students are from low-\nsocioeconomic status families[¬e]""']",NA
NA,NA,NA,"['Page 4:\n[¬s]""Students\nrepresent the full-range of socio-economic strata, but the majority would be considered\nlower-middle-class.[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,NA
53.3%,"['Page 4:\n[¬s]""On average, 53.3% of students in the\nschools had economic disadvantage (SD, 20.1%);\nthe percentage ranged from 5.6% to 91.9% across\nschools.[¬e]""']",NA,NA,NA
NA,NA,NA,"['Page 4:\n[¬s]""middle-class families[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,"['Page 51:\n[¬s]""A middle-income community of 18,4-84 people as of\na 1974 town census[¬e]""']",NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,"low SES 54% for treatment, 58% for control","['Page 10:\n[¬s]""based on the majority of[¬e]""', 'Page 11:\n[¬s]""students coming from low income families""\n""in which the overall mean state reading achievement test score in October 2003 was the lowest in the district (384.63). S""\n""The school in which CLAD was implemented had secured a grant through the state Department of Education to promote access to standards-based curriculum for students with disabilities.""\n""the majority of whom were from low socio-economic backgrounds (54\nand 58%, respectively).[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
See information on overall sample - numbers differ in table 2 and flowchart  In table 2 FSM 35% of sample  Intervention group FSM- 62 Non FSM - 121  Control group FSM- 61 Non FSM - 105,"['Page 18:\n[¬s]""35[¬e]""']",NA,NA,NA
NA,NA,NA,"['Page 3:\n[¬s]""Ss were 78 white, lower-middle class, 11th[¬e]""']",NA
NA,NA,NA,"['Page 3:\n[¬s]""Ss were 78 white, lower-middle class, 11th and 12th[¬e]""']",NA
NA,NA,NA,"['Page 295:\n[¬s]""Students in the experimental groups represented three socioeconomic classes.[¬e]""', 'Page 299:\n[¬s]"" Students were enrolled in one of three schools: (1) an affluent suburban school on the south shore of Nassau County. NY; (2) a low socioeconomic multi-ethnic school located in Brooklyn, NY; and (3) a middle-class school in Queens, NY.[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,"['Page 1:\n[¬s]"" lived in an extremely poor area of a large city""\n"" (b) Family income: the median family income for the experimental-class pupils was $4,230, while the median family income for the control pupils was calculated to be $4,482.[¬e]""']",NA
NA,NA,NA,"['Page 7:\n[¬s]""Three teachers in two schools were enlisted to participate in this study,\ntwo from an upper middle class middle school in Chicago\'s North Shore\narea, one from a school in a blue collar community in northwest Indian[¬e]""']",NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
"FSM=38% (n=25) pg66, Table 3.","['Page 81:\n[¬s]""Students Receiving Free or Reduced Lunch 25 38[¬e]""']",NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
"10% is for entire sample (all four grades), not given for just Grade 4 alone. ",NA,NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,"['Page 5:\n[¬s]""The district was suburban and affluent[¬e]""']",NA
NA,NA,The highlighted material is a potential indication of SES.,"['Page 4:\n[¬s]""ies. The average educa- tional background of the subjects\' mothers and fathers were college graduate and beyond college, respectively. OnHollingshead\'s (1957) Occupational Scale, the mothers for whom information was provided had amean level of 2.69 (SD 1.16) and the fathers had amean level of 2.23 (SD 1.59). A rating[¬e]""', 'Page 5:\n[¬s]""of 2on this scale corresponds to business managers and lesser professionals and arating of 3to administrative personnel and minor professiona[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,NA
NA,NA,NA,"['Page 3:\n[¬s]"" middle social class[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,Little information.,"['Page 4:\n[¬s]""ranged from lower to middle socioeconomic backgrounds. [¬e]""']",NA
NA,NA,NA,"['Page 4:\n[¬s]"" ranged from lower to middle socioeconomic backgrounds[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,"['Page 4:\n[¬s]""The participants (N⫽ 50) were middle-class, ethnically mixed 14- to 16-year-olds in Grades\n9, 10, and 11[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,suburban middle class neighbourhood page 445,NA,NA
NA,NA,suburban middle class neighbourhood page 445,NA,NA
NA,NA,NA,"['Page 3:\n[¬s]""from three middle-class elementary schools[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,"['Page 5:\n[¬s]""middleclass [¬e]""']",NA
NA,"['Page 20:\n[¬s]"" eligible for free school meals (FSM), 14.2% and 13.9% in the intervention and control schools respectively.[¬e]""']",NA,NA,NA
"FSM information for whole school is provided, but not specific sample. ","['Page 38:\n[¬s]""Approximately 37% of the student population in the school was eligible for free or reduced lunch.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
8%,"['Page 7:\n[¬s]""Figure 3. Free or Reduced Lunch[¬e]""']",NA,NA,NA
NA,NA,NA,"['Page 2:\n[¬s]""upper-middle\nclass high school[¬e]""']",NA
NA,NA,NA,"['Page 3:\n[¬s]""Although different socioeconomic back- grounds were represented, children pre- dominantly were middle class. Ethnic composition was 23 White, 6 B[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,"['Page 24:\n[¬s]""Treatment schools ranged in size from 207 to over 670, with between 3 and 21% FSM-eligible pupils. Comparison schools ranged in size from 320 to over 620, with between 7 and 18% FSM-eligible pupils[¬e]""']",NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
Intervention 29% eligible for FSM Control 30% eligible for FSM,"['Page 21:\n[¬s]""Eligible for FSM""\n""29%""\n""30%[¬e]""']",NA,NA,NA
NA,NA,NA,"['Page 3:\n[¬s]""middle socioeco-\nnomic areas.[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,The school situates at the working class area of a large city,NA,NA
NA,NA,NA,"['Page 2:\n[¬s]"" junior school in a working class area [¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,"['Page 51:\n[¬s]"" While there is some variation in socio\xad economic status levels,""\n""percentage of students in these special categories are small. (See Appendix C for a complete table of school characteristics.)[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,"['Page 79:\n[¬s]""percentage o f students on free and reduced lunch was 14.2%[¬e]""']",NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
Intervention 54.6% Ever FSM  Control 53.7% Ever FSM,"['Page 29:\n[¬s]""% Ever FSM""\n"" 54.6%""\n"" 53.7%[¬e]""']",NA,"['Page 5:\n[¬s]"" primary schools with higher than average proportions of children ever eligible for free school meals. [¬e]""']",NA
NA,"['Page 7:\n[¬s]""The schools had 49.8% economically disadvantaged and\n29% minority students. None of the schools had any English language learners.[¬e]""']",NA,NA,NA
See Table 2  socioeconomically disadvantaged in Suburban schools= 39% In Rural Schools= 44%,NA,NA,NA,NA
NA,"['Page 8:\n[¬s]""The\naverage educational expenditure rate was $13,874 per student. The\nschools’ student population was 8% racial/ethnic minorities and\n42% socioeconomically disadvantaged (eligible for free and/or\nreduced priced lunch).[¬e]""']",NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
12%,"['Page 77:\n[¬s]"" 4% of the students were eligible to receive a free lunch while 8% of the students qualified for a reduced price lunch[¬e]""']",NA,NA,NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,"['Page 36:\n[¬s]"" The town has few[¬e]""', 'Page 37:\n[¬s]""inhabitants in lower classes.[¬e]""']",NA
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
NA,NA,NA,NA,['No SES/FSM Information Provided']
