class_treat_info,class_treat_ht,class_cont_info,class_cont_ht,class_total_info,class_total_ht,class_na_raw,class_na_info,class_na_ht
1,"['Page 4:\n[¬s]""The same study was carried out simultane\xad ously in another fourth grade class[¬e]""']",1,"['Page 4:\n[¬s]""The same study was carried out simultane\xad ously in another fourth grade class[¬e]""']",1,"['Page 4:\n[¬s]""The same study was carried out simultane\xad ously in another fourth grade class[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
2,"['Page 5:\n[¬s]""Two of the teachers provided an additional half-day of\nkindergarten for at-risk students (extended-day Kindergarten, EDK[¬e]""']",4,"['Page 5:\n[¬s]""four taught\nremedial reading students in the primary grades[¬e]""']",NA,NA,NA,NA,NA
NA,"['Page 128:\n[¬s]""six classrooms[¬e]""']",NA,"['Page 128:\n[¬s]""six classrooms[¬e]""']",6,"['Page 128:\n[¬s]""The students were drawn from six classrooms[¬e]""']",NA,NA,NA
6,"['Page 2:\n[¬s]""Three classes were randomly assigned to each experimental group[¬e]""']",3,"['Page 2:\n[¬s]""Three classes were randomly assigned to each experimental group[¬e]""']",9,"['Page 2:\n[¬s]""nine[¬e]""']",NA,NA,NA
6,NA,3,NA,9,NA,NA,NA,NA
4,"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",4,"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",8,"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",NA,NA,NA
4,"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",4,"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",8,"['Page 3:\n[¬s]"" populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",NA,NA,NA
4,"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",4,"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",8,NA,NA,NA,NA
6,"['Page 9:\n[¬s]""At the time of this writing, we have analyzed summarization data from six seventh- to ninth- grade experimental classrooms and five control classes that used Summary Street during spring 2004.[¬e]""']",5,"['Page 9:\n[¬s]""we have analyzed summarization data from six seventh- to ninth- grade experimental classrooms and five control classes that used Summary Street during spring 2004.[¬e]""']",11,"['Page 9:\n[¬s]""we have analyzed summarization data from six seventh- to ninth- grade experimental classrooms and five control classes that used Summary Street during spring 2004.[¬e]""']",NA,NA,NA
4,"['Page 12:\n[¬s]"" four[¬e]""']",4,"['Page 12:\n[¬s]""four[¬e]""']",4,"['Page 12:\n[¬s]"" four[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
3,NA,3,NA,3,NA,NA,NA,NA
39,NA,35,NA,NA,NA,NA,NA,NA
9,"['Page 2:\n[¬s]"" nine first and second grades[¬e]""']",10,"['Page 2:\n[¬s]"" 10 first and second grades[¬e]""']",19,"['Page 2:\n[¬s]"" 19 classes.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,"['Page 3:\n[¬s]""The subjects were 65 fourth, fifth, and sixth grade stu dents enrolled in a local elementary school. The sample included 22 fourth graders, 21 fifth graders, and 22 sixth graders. Thirty-six subjects were boys and 29 were girls. Subjects were not ability grouped in any classes. The subjects were randomly assig[¬e]""']"
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
6,"['Page 52:\n[¬s]""six Writing II classes[¬e]""']",1,"['Page 52:\n[¬s]""one American\nLiterature class which did not receive composition instruction[¬e]""']",7,NA,NA,NA,NA
2,"['Page 8:\n[¬s]""Students in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups.[¬e]""']",1,"['Page 8:\n[¬s]""rodents in class III were all\nassigned to the control group:[¬e]""']",3,"['Page 8:\n[¬s]""three classes[¬e]""']",NA,NA,NA
2,"['Page 8:\n[¬s]""Students in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups.[¬e]""']",1,"['Page 8:\n[¬s]""rodents in class III were all\nassigned to the control group:[¬e]""']",3,"['Page 8:\n[¬s]""The students were three classes of first graders in a\nprivate elesentary school.[¬e]""']",NA,NA,NA
2,"['Page 8:\n[¬s]""A total of 47 first graders took part in this experiment.\nStudents in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups.[¬e]""']",1,"['Page 8:\n[¬s]""rodents in class III were all\nassigned to the control group:[¬e]""']",3,"['Page 8:\n[¬s]""The students were three classes of first graders in a\nprivate elesentary school.[¬e]""']",NA,NA,NA
4 - students from 4 classes were randomly assigned  to 3 conditions to have a equal distribution of ITBS in each condition,NA,4,NA,4,NA,NA,NA,NA
3,"['Page 11:\n[¬s]""CLAD was implemented in three third-\ngrade general education classrooms at an elementary school (School 1)[¬e]""']",infer 3,"['Page 11:\n[¬s]""the\ncomparison group consisted of 95 third graders in a similar, yet larger, school\nwithin the same district.[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
4,"['Page 7:\n[¬s]""Eighth-grade students from four language arts classes were recruited to par- ticipate in the study.[¬e]""']",4,"['Page 7:\n[¬s]""Eighth-grade students from four language arts classes were recruited to par- ticipate in the study.[¬e]""']",4,"['Page 7:\n[¬s]""Eighth-grade students from four language arts classes were recruited to par- ticipate in the study.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Worked wih individual SEN students,NA
4 - each class contained 1 of each of the 4 conditions,"['Page 3:\n[¬s]""insured that each teacher would have equal\nnumbers of groups in each experimental treatment an[¬e]""']",4 - each class contained 1 of each of the 4 conditions,NA,4,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Although it is mentioned that the pupils were from grades 3-9 we don't know the number of classes made to participate in the study. ,"['Page 2:\n[¬s]""All pupils had mild or moderate disabilities, were in Grades 3-9,[¬e]""']"
NA,NA,NA,NA,NA,NA,['not_provided'],All the pupils belonged to grades 2-8 but no clear information is provided how many classes were included in total. ,NA
20,"['Page 2:\n[¬s]""we ran\xad domly assigned teachers to CBM (n = 20)[¬e]""']",20,"['Page 2:\n[¬s]""contrast (no CBM, n = 20,[¬e]""']",40,"['Page 2:\n[¬s]""Participants were 40 general educators[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
2,"['Page 4:\n[¬s]""The students were drawn from two intact classes[¬e]""']",2,"['Page 4:\n[¬s]""The students were drawn from two intact classes[¬e]""']",2,"['Page 4:\n[¬s]""The students were drawn from two intact classes[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
1,"['Page 5:\n[¬s]""The evaluation of Accelerated Reader involved 349 pupils in Year 7 who had not achieved secure National Curriculum Level 4[¬e]""']",1,"['Page 5:\n[¬s]""The evaluation of Accelerated Reader involved 349 pupils in Year 7 who had not achieved secure National Curriculum Level 4[¬e]""']",1,"['Page 5:\n[¬s]""The evaluation of Accelerated Reader involved 349 pupils in Year 7 who had not achieved secure National Curriculum Level 4[¬e]""']",NA,NA,NA
1,NA,1,NA,2,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
4,"['Page 299:\n[¬s]""Eight classes were randomly as\xad signed to either the experimental or control group.[¬e]""']",4,"['Page 299:\n[¬s]"" Eight classes were randomly as\xad signed to either the experimental or control group.[¬e]""']",8,"['Page 299:\n[¬s]""Eight classes[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
2,"['Page 1:\n[¬s]""two special-educa\xad tion classes[¬e]""']",2,"['Page 1:\n[¬s]""two classes[¬e]""']",4,"['Page 1:\n[¬s]""The experimental group was composed of 24 students divided into two classes of 12 students.""\n""The control group consisted of 30 students who were in two special-educa\xad tion classes [¬e]""']",NA,NA,NA
NA,NA,NA,NA,12,"['Page 7:\n[¬s]""Three teachers in two schools were enlisted to participate in this study,\ntwo from an upper middle class middle school in Chicago\'s North Shore\narea, one from a school in a blue collar community in northwest Indiana.\nEach of the teachers had four classes which participated in th[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,13,"['Page 2:\n[¬s]""13 classrooms[¬e]""']",NA,NA,NA
3,"['Page 5:\n[¬s]""Three classes were assigned to be the experimental group[¬e]""']",3,"['Page 5:\n[¬s]""the other three were the\ncontrol group[¬e]""']",6,"['Page 5:\n[¬s]""Three classes were assigned to be the experimental group and the other three were the\ncontrol group[¬e]""']",NA,NA,NA
1,NA,1,NA,2,"['Page 2:\n[¬s]""21, and 21 students respectively,[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
2,"['Page 73:\n[¬s]"" two treatment classes received the intervention[¬e]""']",1,"['Page 73:\n[¬s]""one class, the control group, had no intervention[¬e]""']",3,"['Page 73:\n[¬s]""three fifth-grade classes[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,"['Page 12:\n[¬s]""a D a t a o n a s s i g n m e n t o f s t u d e n t s t o c l a s s w a s a v a i l a b l e o n l y f o r r e g u l a r t e a c h e r s w i t h a n A S S I S T m e n t a c c o u n t[¬e]""']"
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],"Not provided - Data is given for entire sample - 38 classes in intervention and control (76 classes in total), but not specifically for Grade 4 - which is where outcome and sample data have been extracted from. The total number of classes reduces to 72, but again reflects entire sample not just 4th grade.","['Page 22:\n[¬s]""The study was conducted in one school district and involved 76 teachers and their classes in grades 3 to 6. Within each grade level, half the teachers were randomly assigned to the treatment group and half were randomly assigned to the control group. [¬e]""', 'Page 23:\n[¬s]""72 classrooms[¬e]""']"
1,"['Page 7:\n[¬s]""We assigned each class to one of the three instructional methods: ""\n""GFG[¬e]""']",1,"['Page 7:\n[¬s]""We assigned each class to one of the three instructional methods:""\n""CONT[¬e]""']",2,"['Page 7:\n[¬s]""We assigned each class to one of the""\n""instructional methods:""\n""GFG, or CONT.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
4,"['Page 8:\n[¬s]""Four classes used the\nweb-based training with conText[¬e]""']",5,"['Page 8:\n[¬s]""he other fi ve used the direct strategy instruction pro-\ngramme Reading Detectives.[¬e]""']",9,"['Page 8:\n[¬s]""The sample consisted of 148 students from nine classes of the second school year of\nHauptschule (sixth-grade level).[¬e]""']",NA,NA,NA
1 (Right answer feedback),"['Page 7:\n[¬s]""They were randomly distributed into three groups\naccording to the formative feedback type. The ﬁnal\nsample distribution was as follows: there were 30 stu-\ndents in the strategic-search-decisions feedback group,\n34 students participated in the right-answer feedback\ngroup, and 28 students participated in the placebo feed-\nback group.[¬e]""']",1,NA,3,"['Page 7:\n[¬s]""They were randomly distributed into three groups\naccording to the formative feedback type[¬e]""']",NA,NA,NA
1 (Strategic search decision),"['Page 7:\n[¬s]""They were randomly distributed into three groups\naccording to the formative feedback type. The ﬁnal\nsample distribution was as follows: there were 30 stu-\ndents in the strategic-search-decisions feedback group,\n34 students participated in the right-answer feedback\ngroup, and 28 students participated in the placebo feed-\nback group[¬e]""']",1,"['Page 7:\n[¬s]""hey were randomly distributed into three groups\naccording to the formative feedback type. The ﬁnal\nsample distribution was as follows: there were 30 stu-\ndents in the strategic-search-decisions feedback group,\n34 students participated in the right-answer feedback\ngroup, and 28 students participated in the placebo feed-\nback group[¬e]""']",3,NA,NA,NA,NA
1 (Search and revisit),"['Page 6:\n[¬s]""They were\nrandomly distributed into three groups according to\nconditions: 50, 51 and 41 students in placebo,\nsearch&revisit and select&revisit feedback group[¬e]""']",1,NA,3,"['Page 6:\n[¬s]""They were\nrandomly distributed into three groups according to\nconditions: 50, 51 and 41 students in placebo,\nsearch&revisit and select&revisit feedback groups[¬e]""']",NA,NA,NA
1 (Select and revisit),"['Page 6:\n[¬s]""They were\nrandomly distributed into three groups according to\nconditions: 50, 51 and 41 students in placebo,\nsearch&revisit and select&revisit feedback group[¬e]""']",1,NA,3,"['Page 6:\n[¬s]""They were\nrandomly distributed into three groups according to\nconditions: 50, 51 and 41 students in placebo,\nsearch&revisit and select&revisit feedback groups,\nrespectively.[¬e]""']",NA,NA,NA
1 (Select and revisit),"['Page 12:\n[¬s]""They were randomly distributed\ninto three groups: 37, 37 and 38 students in placebo, only-\nselect and select&revisit feedback groups, respectively. It\nshould be noted that participants were different from the\nparticipants in Experiment 1[¬e]""']",1,NA,3,"['Page 12:\n[¬s]""They were randomly distributed\ninto three groups: 37, 37 and 38 students in placebo, only-\nselect and select&revisit feedback groups, respectively[¬e]""']",NA,NA,NA
1 (Only select),"['Page 12:\n[¬s]""They were randomly distributed\ninto three groups: 37, 37 and 38 students in placebo, only-\nselect and select&revisit feedback groups, respectively[¬e]""']",1,NA,3,"['Page 12:\n[¬s]""They were randomly distributed\ninto three groups: 37, 37 and 38 students in placebo, only-\nselect and select&revisit feedback groups, respectively[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
3,"['Page 10:\n[¬s]""Children in the same condition were as\xad signed to a classroom[¬e]""']",3,NA,NA,NA,NA,NA,NA
1,"['Page 5:\n[¬s]""Year 7 pupils who were to take part""\n""Year 7 pupils each tutored by a pupil from Year 9.[¬e]""']",1,"['Page 5:\n[¬s]""Year 7 pupils each tutored by a pupil from Year 9.[¬e]""']",1,"['Page 5:\n[¬s]""Year 7 pupils each tutored by a pupil from Year 9.[¬e]""']",NA,NA,NA
7,"['Page 1:\n[¬s]""medium\x96high implementation condition, n = 7 classrooms[¬e]""']",7,"['Page 1:\n[¬s]""control students (n = 7 classrooms[¬e]""']",14,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
2,"['Page 1:\n[¬s]""Two[¬e]""']",2,"['Page 1:\n[¬s]""Two[¬e]""']",2,"['Page 1:\n[¬s]""Two[¬e]""']",NA,NA,NA
1,"['Page 4:\n[¬s]""A class[¬e]""']",1,"['Page 4:\n[¬s]""A class[¬e]""']",1,"['Page 4:\n[¬s]""A class[¬e]""']",NA,NA,NA
4,"['Page 5:\n[¬s]""The district was suburban and affluent, with 90% of\nthe student body white, 8% black, fewer than 1% Hispanic, and only 10% eligible\nfor free or reduced lunch; 178 students (92%) completed the study: 75 in grade 1,\n39 in grade 2, 35 in grade 3, and 29 in grade 4[¬e]""']",4,NA,4,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
1,"['Page 3:\n[¬s]""one group per school—each group being an intact classroom[¬e]""']",1,NA,2,NA,NA,NA,NA
NA,NA,NA,NA,16,"['Page 3:\n[¬s]""16 classes[¬e]""']",NA,NA,NA
NA,NA,NA,NA,8,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],not provided,NA
1,"['Page 2:\n[¬s]""The subjects were 32 children (boys and girls) approximately 11 yr. old in the fifth grade of an elementary school.[¬e]""']",1,"['Page 2:\n[¬s]""The subjects were 32 children (boys and girls) approximately 11 yr. old in the fifth grade of an elementary school.[¬e]""']",1,"['Page 2:\n[¬s]""The subjects were 32 children (boys and girls) approximately 11 yr. old in the fifth grade of an elementary school.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],not provided ,NA
NA,NA,NA,NA,3,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,"['Page 4:\n[¬s]""The participants\n(except special education students, n = 12) were ran-\ndomly assigned by grade and gender to three groups:\nreviewers (n = 44), reader control (n = 44), and time\ncontrol (n = 45)[¬e]""']"
NA,NA,NA,NA,2,"['Page 5:\n[¬s]"" Forty-six LEP students in grade four representing two elementary schools in the greater Houston area, Texas, participated in the study.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,9,"['Page 3:\n[¬s]""This Mody was conducted «wng 210 wuJculs enrolled in uuic, seventh-grade science\nclasses Prior u> the experiraera[¬e]""']",NA,NA,NA
NA,NA,NA,NA,9,"['Page 3:\n[¬s]""This Mody was conducted «wng 210 wuJculs enrolled in uuic, seventh-grade science\nclasses[¬e]""']",NA,NA,NA
NA,NA,NA,NA,6,NA,NA,NA,NA
3,"['Page 2:\n[¬s]""Fifty-four students (45 boys and 9 girls) participated in this study. Five students were in sixth grade, 29 in seventh grade, and 20 in eighth grade.[¬e]""']",3,"['Page 2:\n[¬s]""Fifty-four students (45 boys and 9 girls) participated in this study. Five students were in sixth grade, 29 in seventh grade, and 20 in eighth grade.[¬e]""']",3,"['Page 2:\n[¬s]""Fifty-four students (45 boys and 9 girls) participated in this study. Five students were in sixth grade, 29 in seventh grade, and 20 in eighth grade.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],The children belonged to 5th grade but it is not clear how many classes were included in the study,"['Page 5:\n[¬s]""The subjects in this experiment (N = 93) were drawn from 228 middleclass fifth-grade children residing in northern Indiana.[¬e]""']"
10,NA,10,NA,10,NA,NA,NA,NA
2,"['Page 36:\n[¬s]""Potential participants were recruited from three third-grade general education elementary classrooms [¬e]""', 'Page 37:\n[¬s]""Each classroom was randomly assigned to one of three conditions: (a) control group; (b) single feedback; and (c) multiple feedback.[¬e]""']",1,"['Page 36:\n[¬s]""Potential participants were recruited from three third-grade general education elementary classrooms [¬e]""']",3,"['Page 36:\n[¬s]""Potential participants were recruited from three third-grade general education elementary classrooms[¬e]""']",NA,NA,NA
NA,NA,NA,NA,3,"['Page 4:\n[¬s]""Seventy-two subjects (Forty-eight for dyads and twenty-four for solos) 8 to 9 year olds from three different fourth grade classes were divided by their respective teachers into tw[¬e]""']",NA,NA,NA
4,NA,4,NA,8,"['Page 2:\n[¬s]"" 264 to pro\xad vide equal (N - 33) cell frequencies.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
2,NA,2,NA,2,"['Page 3:\n[¬s]""Participants were 33 fourth graders from two classes in one elementary school.[¬e]""']",NA,NA,NA
2,NA,2,NA,2,NA,NA,NA,NA
2,NA,2,NA,2,NA,NA,NA,NA
5,"['Page 5:\n[¬s]"" All pupils in Years 2-6 took part in the study[¬e]""']",5,"['Page 5:\n[¬s]""All pupils in Years 2-6 took part in the study.[¬e]""']",NA,"['Page 5:\n[¬s]""All pupils in Years 2-6 took part in the study.[¬e]""']",NA,NA,NA
1,"['Page 2:\n[¬s]""first graders (mean age = 6 years, 2 months) from a private school in suburban Baltimore, Maryland, participated in this study.[¬e]""']",1,"['Page 2:\n[¬s]""irst graders (mean age = 6 years, 2 months) from a private school in suburban Baltimore, Maryland, participated in this study.[¬e]""']",1,"['Page 2:\n[¬s]""irst graders (mean age = 6 years, 2 months) from a private school in suburban Baltimore, Maryland, participated in this study. [¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,9,NA,9,NA,NA,NA,NA
NA,NA,NA,NA,2,"['Page 5:\n[¬s]""The students differed mainly in their past achievement and interests and wete en- I rolled in^two ( classes that met four class periods and two laboratory periods ppr week.[¬e]""']",NA,NA,NA
2,"['Page 2:\n[¬s]"" The subjects were 58 children enrolled in a second- year class and a third-year class[¬e]""']",2,"['Page 2:\n[¬s]""The subjects were 58 children enrolled in a second- year class and a third-year class[¬e]""']",2,"['Page 2:\n[¬s]"" The subjects were 58 children enrolled in a second- year class and a third-year class[¬e]""']",NA,NA,NA
2,NA,2,NA,2,NA,NA,NA,NA
1,NA,1,NA,2,NA,NA,NA,NA
1,NA,1,NA,2,NA,NA,NA,NA
NA,NA,NA,NA,6,"['Page 5:\n[¬s]"" three ninth-grade classe""\n"" three classe[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,5,NA,10,NA,NA,NA,NA
2,"['Page 30:\n[¬s]""This study took place in two phases, involving 102 sixth and seventh graders in a charter school in Hawai[¬e]""']",2,"['Page 30:\n[¬s]""This study took place in two phases, involving 102 sixth and seventh graders in a charter school in Hawai‘i,[¬e]""']",2,"['Page 30:\n[¬s]""This study took place in two phases, involving 102 sixth and seventh graders in a charter school in Hawai‘i[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"['Page 1:\n[¬s]""The cooperation- with-individual-feedback and cooperation-with-shared-feedback con- ditions, each at 4 schools, consisted of 64 and 67 students, respec- tively.[¬e]""']",5,"['Page 1:\n[¬s]""The control condition consisted of 87 students from 5 school[¬e]""']",13,"['Page 1:\n[¬s]""Fourteen third-grade classes from 14 primary schools in the north- ern Netherlands participated. One school was not included in the analysis[¬e]""']",NA,NA,NA
2,"['Page 76:\n[¬s]"" the other two to the feedback condition for the first two-week unit o f instruction.[¬e]""']",2,"['Page 76:\n[¬s]""Two classes were random ly assigned to the control condition[¬e]""']",NA,NA,NA,NA,NA
4,"['Page 1:\n[¬s]""This study compared two procedures utilizing participants enrolled in four second grade classrooms in a midwestem elementary school. [¬e]""']",4,"['Page 1:\n[¬s]""This study compared two procedures utilizing participants enrolled in four second grade classrooms in a midwestem elementary school. [¬e]""']",1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,2,"['Page 18:\n[¬s]""two classes[¬e]""']",NA,NA,NA
NA,NA,NA,NA,6,"['Page 3:\n[¬s]""six classes[¬e]""']",NA,NA,NA
98,"['Page 25:\n[¬s]""Allocated to intervention 49 Schools ~ Cohort A (1 yr intervention) 1492 pupils ~Cohort B (2 yrs intervention) 1570 pupils[¬e]""']",96,"['Page 25:\n[¬s]""Allocated to control 48 schools ~ Cohort A (1 yr intervention) 1721 pupils ~Cohort B (2 yrs intervention) 1789 pupils[¬e]""']",194,NA,NA,NA,NA
NA,NA,NA,NA,24,"['Page 6:\n[¬s]""A total of 5\nschools and 24 classrooms were used in this analysis.[¬e]""']",NA,NA,NA
