int_leng_ht,int_leng_info
"['Page 7:\n[¬s]""The procedure of the experiment is presented in Fig. 5. The total length of the experiment was 90 min. Participants ﬁrst took a 15-min\npretest, and then received a 10-min instruction on the upcoming procedure and the operation ofthe smartphone. All participants were then\nrandomly assigned into one ofthe four experimental groups, and were given a smartphone, and a copy ofthe print reading material relevant\nto their group assignment. During the next 50 min, participants read the two articles in the print material. When they ﬁnished reading an\narticle, a comprehension test (i.e., the posttest) was given. After ﬁnished reading both articles and completing the associated comprehension\ntests, the participants took a 15-min survey on their learning experience with the new system.[¬e]""']","90 minutes total, 50 minutes for intervention 15 minutes each for pre-test and post-test, and 10 minute informative discussion about the procedure."
"['Page 50:\n[¬s]""three hours[¬e]""']",3 hours
"['Page 6:\n[¬s]""45 minutes[¬e]""']",45 minutes
"['Page 39:\n[¬s]""practicing writing in class (3.4 hours versus 4.2 hours). [¬e]""']",4.2 hours daily (treatment) 3.4 hours daily (control) 
NA,Not specified. 
NA,40 minutes
NA,Not given (assumed as no more than one school day)
NA,1 min
NA,Unclear -seems to be one-off
"['Page 106:\n[¬s]""forty-five minutes[¬e]""']",NA
NA,Not specified
NA,Not described but is a one-off session
NA,"Could assume that this was a typical class period, however, this was not specified"
"['Page 10:\n[¬s]""ODE first\ngrader from a public school pilot- tested the \'materials and\nfailed to couplets the task. Therefore we decided to change\nour strategy by sacrificing one student from the sample pop -\nulatica for an additional pilot test. This student promised\nto keep this a secret tetween us. Be told it that he did\nnot talk about any of this to any of his classmates. Be\nvent through the self-study instruction and the test in less\nthan half an hour.[¬e]""']",not specified but possibly around half an hour 
NA,not stated
NA,"not specified, one off"
"['Page 3:\n[¬s]""This instruction-diagnostic test-remedial activity sequence\nwas repeated three times (a total of six class periods) during\nthe investigation.[¬e]""']",It appears that the intervention sessions lasted two class periods
NA,NA
"['Page 5:\n[¬s]"" 45-min lessons[¬e]""']",NA
NA,Not specified
NA,Not specified
NA,Not specified
NA,not specified
NA,Not reported
"['Page 5:\n[¬s]""Treatments. DBPM is described in Procedures To Develop and Monitor Progress on IEP Goals (Mirkin et al., 1981[¬e]""']",NA
NA,not specified
NA,NA
"['Page 5:\n[¬s]""CBM over 8 weeks, with two 2-hour after-school workshop[¬e]""']"," CBM over 8 weeks, with two 2-hour after-school workshops,"
NA,not described
NA,"1. WEEKLY MEASUREMENT OF STUDENTS = 1 - 5 minutes  'At grades 2-5, respectively, students had 1,5,2,3 and 5 min to complete the test.' (p.521). 2. STUDENT FEEDBACK = 2 x 20 minute sessions across the intervention  'Teachers taught students to read and interpret graphs and skills profiles in two 20-min sessions...teachers also taught students to ask themselves questions about their graphs and skills profiles...' (p.521) 3. CWPT = 4 x 30 minute sessions to teach CWPT (p.524) & 8 - 13 mins of peer learning  'Each CWPT session was divided into 5 - 8 min of coaching and 3 - 5 min of practice.' (p.525) "
"['Page 47:\n[¬s]""sixty minutes[¬e]""']",NA
NA,Information not provided
NA,not stated
"['Page 23:\n[¬s]""In two of the schools, 40 minutes were given every weekday""\n""The other two schools arranged three days in a week in which pupils did independent reading for an hour each day in the school.[¬e]""']",NA
NA,not specified
NA,not specified
NA,not specified
NA,"Various  Total Feedback - 22 minutes, No Feedback - 15 minutes."
NA,Not specified
NA,Not given
NA,Not given
NA,40 minutes
"['Page 6:\n[¬s]""10–15 min""\n""35–40 min""\n""50 min per week[¬e]""']",45-55 minutes
NA,Not given
NA,Not given
NA,Three minutes mostly (10 minutes on the first and last days of the study)
"['Page 6:\n[¬s]""50-minute[¬e]""']",50 minute
NA,one hour
NA,one hour
NA,One minute
"['Page 141:\n[¬s]"" 50-minute time period[¬e]""']",NA
NA,Not given
"['Page 5:\n[¬s]"" 15 minutes of training[¬e]""']",NA
NA,Not given
"['Page 7:\n[¬s]""45 min[¬e]""']",NA
NA,Unclear
"['Page 10:\n[¬s]""45 minutes[¬e]""']",45 minutes
"['Page 10:\n[¬s]""The experiment lasted two sessions of approxi-\nmately 1 h. In the ﬁrst session, we tested participants\non reading literacy skills[¬e]""']",not stated but in the pilot study they has sessions of 1 hr
NA,not specified
"['Page 16:\n[¬s]""A second limitation of the study is the brevity of our\ntraining. We have implemented 1-h training intervention\n(plus another hour for assessing transfer effects)[¬e]""']",1 hr
"['Page 8:\n[¬s]""The experiment lasted for two 1-h sessions, one for train-\ning and the other for transfer, with elapsed time of2h ap-\nproximately between the two sessions[¬e]""']",1-2 hrs
NA,"unclear, but as in exper. 1 must be 1 session of 1-2 hours"
NA,"unclear, but as in exper. 1 must be 1 session of 1-2 hours"
NA,One hour
NA,30 - 45 minutes
"['Page 5:\n[¬s]""All children were tested in-\ndividually and the experiment lasted approxi-\nmately 30 minutes.[¬e]""']","30 mins total for the experiemnt, the feedback last much less"
"['Page 5:\n[¬s]""and the experiment lasted approxi-\nmately 30 minutes.[¬e]""']","unknown, the whole experiment 30 mins"
NA,"Over 36 minutes  Simple Task 1 - 12 minutes Simple Task 2 - 18 minutes Paired Task - Over 6 minutes (time is given for the showing of pairs 4 seconds x 47 pairs, however the time is not given for other activities in this task) "
"['Page 6:\n[¬s]"" 10 to 15 minutes[¬e]""']",NA
"['Page 3:\n[¬s]""Low implementation""\n""less than 4 h""\n""each month""\n"" Medium\x96high""\n""5 or more hours each month and each student portfolio had at least four artifacts that included goals, content and a reflection.[¬e]""']",NA
"['Page 6:\n[¬s]""20 minutes[¬e]""']",NA
"['Page 2:\n[¬s]"" 15 min[¬e]""']","15 minutes in a Monday & Tuesday, times not stated for rest of the week."
"['Page 4:\n[¬s]""A maximum of 20 min.[¬e]""']",NA
"['Page 1:\n[¬s]""two daily 20-minute treatments[¬e]""']",20 minutes
"['Page 5:\n[¬s]""cts in single 45-minute sessions i[¬e]""']",NA
"['Page 5:\n[¬s]""gle 45-mi[¬e]""']",NA
NA,Not given
"['Page 5:\n[¬s]"" 2 hours[¬e]""']",NA
NA,Not specified
"['Page 5:\n[¬s]""1 hour[¬e]""']",NA
"['Page 5:\n[¬s]""1 hour[¬e]""']",NA
"['Page 2:\n[¬s]""Subjects in each condition were allowed the same amount of time for reading the text, feedback and testing.[¬e]""']",Length not specified
"['Page 4:\n[¬s]""After they had studied the text for 15 min and the booklets had been collected, the subjects were given the initial-test sheets.""\n"" After the children had completed the test, they were asked to go through it again and to indicate, by underlining, which alternatives they had chosen on initial testing. Finally, they were instructed to mark, with a large cross, four questions to which they had most wanted to learn the correct answer when they were taking the initial test.[¬e]""']","Apart from being allocated 15 mins to read the text, it is not stated how long the tests lasted. I have highlighted all material that gives an indication of the activites/time."
NA,Not stated
NA,Not given
"['Page 5:\n[¬s]""(50 min in length)[¬e]""']",NA
NA,45 minutes
"['Page 124:\n[¬s]"" 40-minute[¬e]""']",NA
"['Page 6:\n[¬s]""each meeting lasted for 40 minutes[¬e]""', 'Page 9:\n[¬s]""a,[¬e]""']",NA
NA,Length of time spent on essay writing not specified 
NA,1 hour
NA,1 hour
"['Page 7:\n[¬s]""sessions lasting 30 min. each[¬e]""']",NA
NA,"Again not specified. Best guess would be 1-3 lessons, an hour each."
"['Page 10:\n[¬s]""instructions also indicated to the subjects that they would have 1 minute to read a page of paragraphs and 15 seconds to read and answer to themselves each question.[¬e]""']","Very short, no longer than 5 minutes."
"['Page 28:\n[¬s]"" teachers had considerable freedom over how to implement the project in their schools.[¬e]""']",no information provided
"['Page 46:\n[¬s]"" You will have 1 minute to think about the story you will write and then have three minutes to write it.[¬e]""']","1 minute to think about story.  3 minutes to write story.  When the session includes feedback, would take no long than 10 minutes (best guess). "
NA,They don't mention it in the text
NA,"Would presumably be across only one lesson, which is about 1 hour long. "
NA,"Intervention replaced normal curriculum for teaching algebra, consequently length of session equal to normal teaching in algebra"
NA,1 hour
"['Page 4:\n[¬s]"" 45- minute[¬e]""']",NA
"['Page 6:\n[¬s]""45-minute[¬e]""']",NA
"['Page 6:\n[¬s]"" 45-minute[¬e]""']",45 min
"['Page 11:\n[¬s]"" The project is, therefore, not to develop an ‘effective feedback intervention’. It does not specify what teachers do.[¬e]""']",NA
NA,It is not stated how long each session lasted.   Best guess would be that session 1 took no longer than an hour. 
"['Page 5:\n[¬s]""75–90 minutes[¬e]""']",NA
NA,1 hour
"['Page 7:\n[¬s]""Whenever the studotUs felt confident, they requested subsequent evaluations with the third evaluation being the final evaluation for mastery.[¬e]""']",Not stated - it seems that it was determined by student understanding of their own mastery.
NA,15 min practice + 15 min rest + 15 min practice + 15 min rest  + 15 min practice = 75 min
"['Page 4:\n[¬s]""three 15-minute practice sessions [¬e]""']",NA
NA,45 mins
NA,45 minutes
"['Page 3:\n[¬s]""40-minute[¬e]""']",40 minutes
NA,1 hour
NA,not stated 
NA,"Unclear, not enough information. "
NA,Each section of the intervention varied from 0.5days to 3 days.  Each session could be run for up to 6 hours per day.   Table 3.3 on page 47.
"['Page 46:\n[¬s]"" The meetings were approximately 1.5 to 2 hours in length[¬e]""']",Teacher meetings were 1.5-2 hours.   The length of the benchmark test is not reported.
"['Page 2:\n[¬s]"" \\ l k hr a week[¬e]""']",1 and a half hours a week not clear how this was divided up
"['Page 83:\n[¬s]"" 50 minutes[¬e]""']",NA
NA,Length not stated.
"['Page 13:\n[¬s]""approximately 45 minutes[¬e]""']",NA
NA,Two hours
"['Page 3:\n[¬s]""70-minute[¬e]""']",NA
"['Page 8:\n[¬s]""The handsets were to be used in lessons during the normal school day as a means of providing frequent, immediate feedback.[¬e]""']",NA
"['Page 6:\n[¬s]""at least 30 min[¬e]""']",NA
"['Page 24:\n[¬s]""30 min of class time spent\nusing ITSS[¬e]""']",NA
"['Page 9:\n[¬s]""for 30–45 min[¬e]""']",NA
NA,8 whole-day sessions and 1 half-day session
"['Page 75:\n[¬s]""100 minutes[¬e]""']",NA
"['Page 36:\n[¬s]""Students were available for 94 minutes, two periods. One class met the first two periods of the day, 8:45-10:19 A.M., the other the last two periods, 1:39-3:13 P.M.[¬e]""']",94 min
"['Page 36:\n[¬s]"" Students were available for 94 minutes[¬e]""']",NA
"['Page 3:\n[¬s]""8:30""\n""12:00[¬e]""']",3 hours 30 minutes
NA,Various - from 41 to 80 minutes
"['Page 38:\n[¬s]""one h o u r[¬e]""']",NA
NA,Not given
