int_name_ht,int_name_info
"['Page 1:\n[¬s]""right or wrong[¬e]""', 'Page 7:\n[¬s]""lightarang.[¬e]""']",feedback  right or wrong 
"['Page 2:\n[¬s]""Formative Evaluation[¬e]""']",NA
"['Page 2:\n[¬s]""Collaborative Learning Assessment through Dialogue\n(CLAD)[¬e]""']",CLAD (Collaborative Learning Assessment through Dialogue) 
"['Page 1:\n[¬s]""Teaching Children About Revision in Writing[¬e]""']",NA
"['Page 7:\n[¬s]""human tutors,[¬e]""']",NA
"['Page 7:\n[¬s]""iList-1[¬e]""']",NA
"['Page 7:\n[¬s]""iList-2[¬e]""']",NA
NA,iList-3
"['Page 1:\n[¬s]""SUMMARY STREET ® [¬e]""']",NA
"['Page 1:\n[¬s]""Curriculum-Based Measurement [¬e]""']",NA
"['Page 3:\n[¬s]""data-based instruction (DBI), im[¬e]""']",DBI (Data Based Instruction)
"['Page 1:\n[¬s]""COMPUTERS AND CURRICULUM-BASED MEASUREMENT: EFFECTS OF TEACHER FEEDBACK SYSTEMS[¬e]""']",NA
"['Page 1:\n[¬s]""skills analysis to Curriculum-Based Measurement (CBM)[¬e]""']",Skill analysis Curriculum-Based Measurement Treatment
"['Page 1:\n[¬s]""Curriculum-Based Measurement (CBM[¬e]""']",NA
NA,"'Curriculum-based measurement (CBM  Deno, 1985)(p. 518)"
"['Page 3:\n[¬s]""THE APPLICATION OF PRINCIPLES OF REINFORCEMENT TO THE TEACHING OF ENGLISH AS A SECOND LANGUAGE IN A DEVELOPING COUNTR[¬e]""']",NA
"['Page 2:\n[¬s]"" inserted questions in text with and without feed- back[¬e]""']",NA
"['Page 1:\n[¬s]""The aim of this experimental study was to investigate the effects of accuracy feedback[¬e]""']",accuracy feedback
"['Page 5:\n[¬s]""Accelerated Reader[¬e]""']",NA
"['Page 3:\n[¬s]"") Feedback (F) condition[¬e]""']",NA
"['Page 3:\n[¬s]""3) Extrinsic\nReinforcement (ER) condition, w[¬e]""']",NA
"['Page 295:\n[¬s]""Parents as Partners""\n""parental involvement on students’ writing ability and scores[¬e]""']",NA
"['Page 2:\n[¬s]""Effects of Total and Partial Feedback in Multiple-Choice Testing Upon Learning[¬e]""']",NA
"['Page 1:\n[¬s]""Systematic Instructional Procedures[¬e]""']",NA
"['Page 7:\n[¬s]""assignment plus revision[¬e]""']",NA
"['Page 1:\n[¬s]""AUTOMATED WRITING EVALUATION PROGRAM’S EFFECT ON STUDENT WRITING ACHIEVEMENT[¬e]""']",NA
"['Page 1:\n[¬s]""An Experimental Investigation of the Effects of Pupil Responding and Teacher Reacting on Pupil Achievement[¬e]""']",NA
"['Page 6:\n[¬s]""Peer-assessment approach for game development[¬e]""']",NA
NA,A Mastery Approach to Teaching U.S. History  The Impact on Cognitive Achievement and Unit Evaluation
"['Page 1:\n[¬s]""A TEST OF SOME ASSUMPTIONS UNDERLYING PROGRAMED INSTRUCTION[¬e]""']",NA
NA,Curriculum-Based Measurement writing indices
"['Page 3:\n[¬s]""the advisement-learner control condition[¬e]""']",NA
"['Page 4:\n[¬s]""Knowledge of results (KOR)[¬e]""']",NA
"['Page 3:\n[¬s]""Elaborative feedback (EF)[¬e]""']",NA
"['Page 2:\n[¬s]""THE EFFECTS OF TRAINING TEACHERS IN THE USE OF FORMATIVE EVALUATION IN READING I AN EXPERIMENTAL-CONTROL COMPARISON[¬e]""']",Some of the remaining codes have been typed out and highlighted as many key words in the main document cannot be highlighted accurately. 
"['Page 71:\n[¬s]"" formative assessment with reflection[¬e]""']",NA
"['Page 1:\n[¬s]""A QUASI-EXPERIMENTAL EVALUATION OF AN ON-LINE FORMATIVE ASSESSMENT AND TUTORING SYSTEM[¬e]""']",NA
"['Page 1:\n[¬s]""self-monitoring[¬e]""']",NA
"['Page 3:\n[¬s]""Experimental Study on the Impact of the 6+1 Trait ® Writing Model on Student Achievement in Writing[¬e]""']",NA
"['Page 1:\n[¬s]""group feedback guidance (GFG)[¬e]""']",NA
"['Page 1:\n[¬s]""trained verbal rehearsal[¬e]""', 'Page 2:\n[¬s]"" trained rehearsal strategy[¬e]""']",TRAINING AND PERSISTENCE OF VERBAL REHEARSAL
"['Page 5:\n[¬s]""conText (Improvement of Reading Comprehension\nby Working with Texts)[¬e]""']",NA
"['Page 1:\n[¬s]""adaptive formative feedback""\n""right-answer feedback,[¬e]""']",adaptive-formative feedback  Right Answer
"['Page 1:\n[¬s]""adaptive formative feedback""\n""strategic-search-decisions feedback[¬e]""']",adaptive formative feedback  strategic-search-decisions
"['Page 8:\n[¬s]""Search&revisit feedback[¬e]""']",search&revisit computerised formative feedback
"['Page 8:\n[¬s]""Select&revisit feedback[¬e]""']",select&revisit computerised formative feedback
NA,only-select feedback
NA,select&revisit computerised formative feedback
"['Page 1:\n[¬s]""instructional treatment[¬e]""']",NA
"['Page 1:\n[¬s]""Reciprocal Peer Revision[¬e]""']",NA
NA,feedback (in Non-tested conditions)
NA,immediate feedback (previously tested)
"['Page 2:\n[¬s]""THE EFFECTS OF MANIPULATING FEEDBACK UPON CHILDREN’S MOTIVES AND PERFORMANCE[¬e]""']",NA
"['Page 2:\n[¬s]"" pause, prompt[¬e]""']",NA
NA,ePearl electronic portfolio 
"['Page 2:\n[¬s]""Formative Evaluation[¬e]""']",NA
"['Page 1:\n[¬s]""providing S with knowledge of the accuracy of his response[¬e]""']",NA
NA,NA
"['Page 1:\n[¬s]""Project LISTEN’s Reading Tuto[¬e]""']",NA
"['Page 1:\n[¬s]""st, Reinforcement, and Children\'s Porteus Maze Qualitative Performanc""\n""nse cost, positive reinforc[¬e]""']",NA
"['Page 1:\n[¬s]""ement, or negative verbal feed[¬e]""']",NA
"['Page 2:\n[¬s]""The Revising Processes of Sixth-Grade Writers With and Without Peer Feedback[¬e]""']",NA
"['Page 4:\n[¬s]""feedback or nonfeedback on pro\xad grammed instructional material[¬e]""']",NA
NA,"Feedback treatment, knowledge-of-results (KOR)"
"['Page 1:\n[¬s]""Cross-Age Tutoring[¬e]""']",NA
"['Page 5:\n[¬s]"" referred to this particular cross-age tutoring program as \x93CAT.\x94 [¬e]""']",NA
NA,Immediate test feedback versus unused immediate test feedback. 
"['Page 3:\n[¬s]"" feedback after a relatively short delay, [¬e]""']",NA
"['Page 3:\n[¬s]"" long delay""\n""(LDF)[¬e]""']",NA
"['Page 1:\n[¬s]""Feedback Effects on Oral Reading Errors of Children with Learning Disabilities[¬e]""']",NA
NA,The Feedback Intervention group
"['Page 2:\n[¬s]""Peer feedback[¬e]""']",NA
"['Page 1:\n[¬s]""EFFECTS OF REVIEWING ON FOURTH AND FIFTH-GRADE STUDENT\x92S PERSUASIVE WRITING AND REVISING[¬e]""']",NA
"['Page 2:\n[¬s]""Peer Review[¬e]""']",NA
"['Page 1:\n[¬s]""heterogeneous (in terms of language proficiency and ability) peer response groups[¬e]""']",Peer response groups
NA,feedback
NA,elaborated feedback
"['Page 2:\n[¬s]"" cognitive-interrogative feedback[¬e]""']",NA
"['Page 2:\n[¬s]""Evaluative and Directive Phrases,""\n""COPS[¬e]""']",NA
"['Page 2:\n[¬s]""meaningful learning question[¬e]""']",NA
"['Page 5:\n[¬s]""Powerful Learning Conversations (PLC) [¬e]""']",NA
"['Page 2:\n[¬s]"" performance feedback intervention three times per week[¬e]""']",NA
NA,"computer tutorial to test children's sense of structure in a written text (SCRIPSCHEM software, Angelini, 1990)  (they say it helps children's writing, but they are not writing anything!)"
"['Page 2:\n[¬s]"" immediate knowl\xad edge of results (IKR)[¬e]""']",NA
"['Page 3:\n[¬s]""Carnegie Learning’s Cognitive Tutor Algebra I Program[¬e]""']",NA
"['Page 1:\n[¬s]""varied\ninteractMty on learning from interactive\nvideo[¬e]""']",NA
"['Page 2:\n[¬s]"" goal setting and progress feedback[¬e]""']",NA
"['Page 1:\n[¬s]"" goal setting and progress feedback [¬e]""']",NA
"['Page 6:\n[¬s]""process goal plus progress feedbac[¬e]""']",goal setting and progress feedback
"['Page 5:\n[¬s]"" improving teachers’ understanding and use of effective feedback[¬e]""']",no name for intervention but a description of the approach
"['Page 3:\n[¬s]"" difference rule feedback[¬e]""']",NA
"['Page 5:\n[¬s]""Embedding Formative Assessment (EFA) [¬e]""']",NA
"['Page 2:\n[¬s]""ts of teache[¬e]""']",NA
"['Page 3:\n[¬s]"" remediation strategies""\n""Keeler group, Bloom grbup, and traditional group[¬e]""', 'Page 4:\n[¬s]""Personalized System of Instruction or PSI, as an alternate form ol mastery learning, proposed by Fred Keller [¬e]""']",NA
NA,Computer-Assisted Instruction (CAI) in maths class
"['Page 1:\n[¬s]"" computer-assisted instruction (CAI)""\n"" active feedback [¬e]""']",NA
NA,"Enhanced CPR + Mastery Learning Approach (Enhanced Cues, Participation and Reinforcement)  "
"['Page 9:\n[¬s]""enhanced cues, participation, and rein\xad\nforcement (CPR) combined with mastery learning[¬e]""']","Enhanced Cues, Participation & Reinforcement with Mastery Learning"
"['Page 2:\n[¬s]"" enhanced cues, participation, rein- forcement, and feedback-corrective procedure (CPR + FB/C[¬e]""']",NA
"['Page 1:\n[¬s]""constructed responding[¬e]""']",NA
"['Page 3:\n[¬s]""instruction""\n"" tracking students macroprocessing of[¬e]""']",NA
"['Page 3:\n[¬s]""ulti-Ethnic Information Feedback.System (MIFS)[¬e]""']",NA
"['Page 6:\n[¬s]""Formative assessment[¬e]""']",NA
"['Page 14:\n[¬s]"" Formative Assessment with Collaborative Teaming and Support (FACTS).[¬e]""']",NA
"['Page 1:\n[¬s]"" Cooperation and Shared Feedback[¬e]""']",NA
"['Page 12:\n[¬s]"" formative assessment feedback[¬e]""']",NA
"['Page 1:\n[¬s]""mastery learning""\n""curriculum-based measurement[¬e]""']",NA
"['Page 2:\n[¬s]""TuinLEC[¬e]""']",NA
"['Page 2:\n[¬s]""Summary Street: Interactive Computer Support for Writing[¬e]""']",NA
"['Page 4:\n[¬s]""Specificity of test item feedback[¬e]""']",NA
"['Page 5:\n[¬s]""Learner Response System (LRS)[¬e]""']",NA
"['Page 2:\n[¬s]""intelligent tutoring system for the\nstructure strategy (ITSS)[¬e]""']",NA
"['Page 2:\n[¬s]""intelligent web-based tutoring system\nfor the structure strategy (ITSS)[¬e]""']",NA
"['Page 1:\n[¬s]""Intelligent Tutoring\nSystem for the Text Structure Strategy (ITSS)[¬e]""']",NA
"['Page 2:\n[¬s]""formative assessment (or assessment for learning)[¬e]""']",NA
"['Page 6:\n[¬s]""The Effects of Revision Instruction On Eighth Graders\' Persuasive Writing[¬e]""']",NA
NA,Self-feedback on creative writing task
"['Page 37:\n[¬s]""Quantitative positive feedback through teacher assessment[¬e]""']",NA
"['Page 1:\n[¬s]""TIME-ON-TASK AND READING PERFORMANCE IN UNDERACHIEVING CHILDREN[¬e]""']",NA
"['Page 22:\n[¬s]""Form ative assessment[¬e]""']",NA
"['Page 3:\n[¬s]""ENHANCIN G S T U D E N T W R I T I N G B Y TEA C H I N G S E L F - A S S E S S M E N T STRATEGIES THAT INCORPORATE THE C R I T E R I A OF G OOD W R I T I N G[¬e]""']",NA
"['Page 1:\n[¬s]""Teaching Through Demonstration: The Effects of Structuring, Imitation, and Age[¬e]""']",NA
