n_cont_ht,n_cont_info,Control_Group_Pre-test_Mean_HT,Control_Group_Pre-test_Mean_comments,Control_Group_Pre-test_SD_HT,Control_Group_Pre-test_SD_comments,Control_Group_Post-test_Mean_HT,Control_Group_Post-test_Mean_comments,Control_Group_Post-test_SD_HT,Control_Group_Post-test_SD_comments,Control_Group_Gain_Score_Mean_HT,Control_Group_Gain_Score_Mean_comments,Control_Group_Gain_Score_SD_HT,Control_Group_Gain_Score_SD_comments,Control_Group_Other_Info_HT,Control_Group_Other_Info_comments,Follow_Up_Data_Reported,Follow_Up_Data_Reported_YES,Follow_Up_Data_Reported_NO,Follow_Up_Data_Reported_HT,Follow_Up_Data_Reported_comments
NA,25,"['Page 3:\n[¬s]""(X= 25.00[¬e]""']",25.00,"['Page 3:\n[¬s]""SD = 22.82[¬e]""']",22.82,"['Page 3:\n[¬s]""X= 23.00[¬e]""']",23.00,"['Page 3:\n[¬s]""SD = 22.73[¬e]""']",22.73,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,119,"['Page 59:\n[¬s]""TABLE I[¬e]""']",6.78,NA,NA,"['Page 59:\n[¬s]""TABLE I[¬e]""']",6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"['Page 44:\n[¬s]""Treatment""\n""III""\n""23""\n""19""\n""16""\n""18""\n""23""\n""20[¬e]""']",119,"['Page 59:\n[¬s]""6.78[¬e]""']",6.78,NA,NA,"['Page 59:\n[¬s]""6.45[¬e]""']",6.45,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,24,NA,NA,NA,NA,"['Page 5:\n[¬s]""95.3[¬e]""']",95.3,"['Page 5:\n[¬s]""11.82[¬e]""']",11.82,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,24,NA,NA,NA,NA,"['Page 4:\n[¬s]""3.25""\n""1.08[¬e]""']",2.165,"['Page 4:\n[¬s]""2.38""\n""1.31[¬e]""']",2.179,NA,NA,NA,NA,NA,NA,['Yes'],1,0,NA,NA
"['Page 62:\n[¬s]""Control (n = 27)[¬e]""']",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 53:\n[¬s]"" 23[¬e]""']",23,"['Page 54:\n[¬s]""4""\n""4""\n""3""\n""6""\n""3""\n""5""\n""6""\n""7""\n""8""\n""5""\n""5""\n""6""\n""23""\n""4""\n""4""\n""6""\n""22""\n""20""\n""5""\n""19""\n""7""\n""5""\n""25[¬e]""']",8.78,NA,NA,"['Page 54:\n[¬s]""9""\n""14""\n""22""\n""12""\n""5""\n""8""\n""19""\n""9""\n""11""\n""6""\n""9""\n""11""\n""43""\n""6""\n""7""\n""15""\n""35""\n""36""\n""9""\n""31""\n""10""\n""10""\n""34[¬e]""']",16.13,NA,NA,NA,NA,NA,NA,"['Page 58:\n[¬s]""In interquartile""\n""ranqe (p<""\n""yes""\n""yes""\n"" [yes]""\n""no""\n""no""\n"" no""\n""no""\n""no""\n""no""\n""no""\n"" no""\n""no""\n""yer[¬e]""']",Number of children in the range of scores between the 25%ile and 75%ile of non-SEND children,['No'],0,1,NA,NA
"['Page 5:\n[¬s]""No feedback. Students of GC (n = 27), [¬e]""']",27,"['Page 6:\n[¬s]""39.8[¬e]""']",39.8,"['Page 6:\n[¬s]""36.9[¬e]""']",36.9,"['Page 6:\n[¬s]""42.8[¬e]""']",42.8,"['Page 6:\n[¬s]""39.7[¬e]""']",39.7,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 5:\n[¬s]""Students of GC (n = 27)[¬e]""']",27,"['Page 6:\n[¬s]""39.8[¬e]""']",39.8,"['Page 6:\n[¬s]""36.9[¬e]""']",36.9,"['Page 6:\n[¬s]""42.8[¬e]""']",42.8,"['Page 6:\n[¬s]""39.7[¬e]""']",39.7,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,17,NA,NA,NA,NA,"['Page 7:\n[¬s]""97.94[¬e]""']",97.94,"['Page 7:\n[¬s]""23.25[¬e]""']",23.25,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 5:\n[¬s]""14[¬e]""']",14,NA,NA,NA,NA,"['Page 5:\n[¬s]""14""\n""5.7 3.9 7.8 35 5.7 62 26 3.5 3.7 1.5 5.0 4.6 1.8 3.0[¬e]""']",4.1786,NA,1.7034,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 4:\n[¬s]""79[¬e]""']",79,NA,NA,NA,NA,"['Page 4:\n[¬s]""21.69""\n""21.85""\n""16.00""\n""14.36""\n""23.00""\n""20.14""\n""17.23[¬e]""']",18.911,"['Page 4:\n[¬s]""4.24""\n""5.10""\n""5.99""\n""3.06""\n""3.68""\n""5.56[¬e]""']",5.468,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 4:\n[¬s]""None""\n""79[¬e]""']",79,NA,NA,NA,NA,"['Page 4:\n[¬s]""21.85""\n""16.00""\n""14.36""\n""23.00""\n""20.14""\n""17.23[¬e]""']",18.911,"['Page 4:\n[¬s]""4.24""\n""5.10""\n""5.99""\n""3.06""\n""3.68""\n""5.56[¬e]""']",5.468,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 12:\n[¬s]""85[¬e]""']",85,"['Page 12:\n[¬s]""8.16[¬e]""']",8.16,"['Page 12:\n[¬s]""10.52[¬e]""']",10.52,"['Page 12:\n[¬s]""45.35[¬e]""']",45.35,"['Page 12:\n[¬s]""15.73)[¬e]""']",15.73,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"['Page 140:\n[¬s]""21[¬e]""']",21,"['Page 140:\n[¬s]""39.57[¬e]""']",39.57,"['Page 140:\n[¬s]""18.61[¬e]""']",18.61,"['Page 148:\n[¬s]""56.25[¬e]""']",56.25,"['Page 148:\n[¬s]""12.27[¬e]""']",12.27,NA,NA,NA,NA,NA,"number (n) = 21 for pre-test, number (n) = 20 for post-test",['Yes'],1,0,"['Page 154:\n[¬s]""First Posttest[¬e]""', 'Page 156:\n[¬s]""Second Posttest[¬e]""', 'Page 158:\n[¬s]""Third Posttest[¬e]""', 'Page 160:\n[¬s]""Fourth Posttest[¬e]""', 'Page 23:\n[¬s]""student achievement was measured at several points throughout the investigation[¬e]""']",NA
"['Page 2:\n[¬s]""83[¬e]""']",83,"['Page 3:\n[¬s]""39.95[¬e]""']",39.95,"['Page 3:\n[¬s]""17.79[¬e]""']",17.79,"['Page 3:\n[¬s]""29.46[¬e]""']",29.46,"['Page 3:\n[¬s]""14.00[¬e]""']",14,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 2:\n[¬s]""83[¬e]""']",83,"['Page 3:\n[¬s]""39.95[¬e]""']",39.95,"['Page 3:\n[¬s]""17.79[¬e]""']",17.79,"['Page 3:\n[¬s]""29.46[¬e]""']",29.46,"['Page 3:\n[¬s]""14.00[¬e]""']",14,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,216,NA,NA,NA,NA,"['Page 7:\n[¬s]""17.28""\n""24.21""\n""27.14""\n""29.75""\n""17.52""\n""28.21""\n""27.81""\n""28.41[¬e]""']","25.041
","['Page 7:\n[¬s]""4.80""\n""2.88""\n""5.89""\n""3.57""\n""5.44""\n""3.73""\n""5.34""\n""4.53[¬e]""']","6.516
",NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 8:\n[¬s]""19[¬e]""']",19,"['Page 8:\n[¬s]""5.11[¬e]""']",5.11,"['Page 8:\n[¬s]""2.21[¬e]""']",2.21,"['Page 8:\n[¬s]""8.79[¬e]""']",8.79,"['Page 8:\n[¬s]""3.14[¬e]""']",3.14,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,40,NA,NA,NA,NA,NA,"3.125
",NA,"1.576
",NA,NA,NA,NA,NA,NA,['Yes'],1,0,"['Page 51:\n[¬s]""Following Merrill (1985) and Andre (1979), the posttest and 14-day\nretention test were analyzed as a repeated-measure variable.[¬e]""']",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,1931,"['Page 61:\n[¬s]""3.664[¬e]""']",3.664,NA,NA,"['Page 61:\n[¬s]""3.905[¬e]""']",3.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 14:\n[¬s]""240[¬e]""']",240,"['Page 14:\n[¬s]""409.11[¬e]""']",409.11,"['Page 14:\n[¬s]""16.98[¬e]""']",16.98,"['Page 15:\n[¬s]""447.34[¬e]""']",447.34,"['Page 15:\n[¬s]""17.23[¬e]""']",17.23,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,12,NA,NA,NA,NA,"['Page 8:\n[¬s]""3.75[¬e]""']",3.75,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,90,NA,51.34,NA,8.06,NA,74.94,NA,10.62,NA,NA,NA,NA,NA,NA,['Yes'],1,0,NA,NA
"['Page 4:\n[¬s]""22[¬e]""']",22,NA,NA,NA,NA,"['Page 4:\n[¬s]""16.50[¬e]""']",16.5,"['Page 4:\n[¬s]""6.457[¬e]""']",6.457,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 145:\n[¬s]""25[¬e]""']",25,NA,NA,NA,NA,"['Page 145:\n[¬s]""20 .24[¬e]""']",20.24,"['Page 145:\n[¬s]""7.46[¬e]""']",7.46,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,assumed to be 168 as not specified in text,NA,7.4,NA,2.8,NA,"mean of 3 schools 9.69,9.76,10.11 = 9.85",NA,"mean of 3 schools 3.17,3.39,3.19 = 3.25",NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 89:\n[¬s]""24[¬e]""']",24,NA,NA,NA,NA,"['Page 89:\n[¬s]""28.73[¬e]""']",28.73,"['Page 89:\n[¬s]""6.59[¬e]""']",6.59,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 71:\n[¬s]""21[¬e]""']",NA,"['Page 71:\n[¬s]""293-6[¬e]""']",293.6,"['Page 71:\n[¬s]""12.7[¬e]""']",12.7,"['Page 71:\n[¬s]""293.7[¬e]""']",293.7,"['Page 71:\n[¬s]""12.0[¬e]""']",12.0,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 14:\n[¬s]""10[¬e]""']",10,NA,NA,NA,NA,"['Page 14:\n[¬s]""36.0[¬e]""']",36,"['Page 14:\n[¬s]""21,6[¬e]""']",21.6,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 14:\n[¬s]""10[¬e]""']",10,NA,NA,NA,NA,"['Page 14:\n[¬s]""36.0[¬e]""']",36.0,"['Page 14:\n[¬s]""21,6[¬e]""']",21.6,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 14:\n[¬s]""10[¬e]""']",10,NA,NA,NA,NA,"['Page 14:\n[¬s]""36.0[¬e]""']",36,"['Page 14:\n[¬s]""21,6[¬e]""']",21.6,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,30,NA,NA,NA,NA,"['Page 4:\n[¬s]""6.93[¬e]""']",6.93,"['Page 4:\n[¬s]""2.73[¬e]""']",2.73,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,95,"['Page 13:\n[¬s]""397.14[¬e]""']",397.14,"['Page 13:\n[¬s]""25.79[¬e]""']",25.79,"['Page 13:\n[¬s]""414.81[¬e]""']",414.81,"['Page 13:\n[¬s]""25.55[¬e]""']",25.55,"['Page 13:\n[¬s]""17.67[¬e]""']",17.67,"['Page 13:\n[¬s]""14.42[¬e]""']",14.42,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,53,"['Page 7:\n[¬s]"".34[¬e]""']",0.34,"['Page 7:\n[¬s]"".22[¬e]""']",0.22,"['Page 7:\n[¬s]"".35[¬e]""']",0.35,"['Page 7:\n[¬s]"".23[¬e]""']",0.23,"['Page 7:\n[¬s]"".01[¬e]""']",0.01,"['Page 7:\n[¬s]"".15[¬e]""']",0.15,NA,NA,['No'],0,1,NA,NA
"['Page 7:\n[¬s]""53[¬e]""']",53,"['Page 7:\n[¬s]"".34[¬e]""']",0.34,"['Page 7:\n[¬s]"".22[¬e]""']",0.22,"['Page 7:\n[¬s]"".35[¬e]""']",0.35,"['Page 7:\n[¬s]"".23[¬e]""']",0.23,"['Page 7:\n[¬s]"".01[¬e]""']",0.01,"['Page 7:\n[¬s]"".15[¬e]""']",0.15,NA,NA,['No'],0,1,NA,NA
"['Page 7:\n[¬s]""53[¬e]""']",53,"['Page 7:\n[¬s]"".34[¬e]""']",0.34,"['Page 7:\n[¬s]"".22[¬e]""']",0.22,"['Page 7:\n[¬s]"".35[¬e]""']",0.35,"['Page 7:\n[¬s]"".23[¬e]""']",0.23,"['Page 7:\n[¬s]"".01[¬e]""']",0.01,"['Page 7:\n[¬s]"".15[¬e]""']",0.15,NA,NA,['No'],0,1,NA,NA
"['Page 7:\n[¬s]""53[¬e]""']",53,"['Page 7:\n[¬s]"".34[¬e]""']",0.34,"['Page 7:\n[¬s]"".22[¬e]""']",0.22,"['Page 7:\n[¬s]"".35[¬e]""']",0.35,"['Page 7:\n[¬s]"".23[¬e]""']",0.23,"['Page 7:\n[¬s]"".01[¬e]""']",0.01,"['Page 7:\n[¬s]"".15[¬e]""']",0.15,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 3:\n[¬s]""57 boys, 20 girls[¬e]""']",77,"['Page 6:\n[¬s]""51.51[¬e]""']",51.51,"['Page 6:\n[¬s]""40.33[¬e]""']",40.33,"['Page 6:\n[¬s]""51.29[¬e]""']",51.29,"['Page 6:\n[¬s]""38.18[¬e]""']",38.18,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,39,NA,NA,NA,NA,"['Page 5:\n[¬s]""C 60[¬e]""']",60.53,"['Page 5:\n[¬s]""53 6[¬e]""']",6.97,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,6,NA,62.22,NA,22.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Yes'],1,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,20,"['Page 15:\n[¬s]""233.80[¬e]""']",233.80,"['Page 15:\n[¬s]""(69.69)[¬e]""']",69.69,"['Page 15:\n[¬s]""244.40[¬e]""']",244.40,"['Page 15:\n[¬s]""(86.84[¬e]""']",86.84,"['Page 15:\n[¬s]""10.60[¬e]""']",10.60,"['Page 15:\n[¬s]""(16.78)[¬e]""']",16.78,NA,NA,['No'],0,1,NA,NA
NA,20,"['Page 16:\n[¬s]""39.40[¬e]""']",39.40,"['Page 16:\n[¬s]""18.41[¬e]""']",18.41,"['Page 16:\n[¬s]""50.55[¬e]""']",50.55,"['Page 16:\n[¬s]""19.83[¬e]""']",19.83,"['Page 16:\n[¬s]""11.15[¬e]""']",11.15,"['Page 16:\n[¬s]""8.08[¬e]""']",8.08,NA,NA,['No'],0,1,NA,NA
"['Page 63:\n[¬s]""80[¬e]""']",80,NA,NA,NA,NA,"['Page 63:\n[¬s]""23.6000[¬e]""']",23.60,"['Page 63:\n[¬s]""4.5829[¬e]""']",4.5829,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,15,NA,NA,NA,NA,"['Page 6:\n[¬s]""13.18[¬e]""']",13.18,"['Page 6:\n[¬s]""2.32[¬e]""']",2.32,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 4:\n[¬s]""98[¬e]""']",98,NA,35.92,NA,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.596,NA,2.621,NA,NA,['No'],0,1,NA,NA
"['Page 4:\n[¬s]""Table 2.[¬e]""']",27,NA,NA,NA,NA,"['Page 5:\n[¬s]""Table 4.[¬e]""']","46.509
","['Page 5:\n[¬s]""Table 4.-[¬e]""']","8.589
","['Page 4:\n[¬s]""Table 2.-[¬e]""']","5.570
","['Page 4:\n[¬s]""Table 2.[¬e]""']","3.276
",NA,NA,['No'],0,1,NA,NA
"['Page 302:\n[¬s]""70[¬e]""']",70,"['Page 302:\n[¬s]""2.45[¬e]""']",2.45,"['Page 302:\n[¬s]"".28[¬e]""']",.37,"['Page 302:\n[¬s]""2.47[¬e]""']",2.47,"['Page 302:\n[¬s]"".30[¬e]""']",0.3,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,389,NA,8.82,NA,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,30,NA,1.57,NA,0.71,NA,2.02,NA,0.77,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 12:\n[¬s]""3[¬e]""']",33,"['Page 12:\n[¬s]""938[¬e]""']",4.938,"['Page 12:\n[¬s]""17[¬e]""']",1.717,NA,5.828,NA,2.157,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
NA,85,"['Page 8:\n[¬s]""77.53 and 16.39 for the control\ngroup,[¬e]""']",77.53,NA,16.39,"['Page 10:\n[¬s]""38.03[¬e]""']",38.03,"['Page 10:\n[¬s]""5.67[¬e]""']",5.67,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 6:\n[¬s]""35[¬e]""']",35,NA,NA,NA,NA,"['Page 6:\n[¬s]""9.85[¬e]""']",9.85,"['Page 6:\n[¬s]""3.1[¬e]""']",3.1,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,36,NA,NA,NA,NA,NA,14.22,NA,2.37,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 80:\n[¬s]""(n = 22) served as the control[¬e]""']",22,NA,NA,NA,NA,"['Page 110:\n[¬s]""85.50[¬e]""']",85.50,"['Page 110:\n[¬s]""11.09[¬e]""']",11.09,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,237,NA,61.19,NA,NA,NA,48.83,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 4:\n[¬s]"" groups of 15[¬e]""']",15,"['Page 4:\n[¬s]""16.80[¬e]""']",16.80,"['Page 4:\n[¬s]""2.68[¬e]""']",2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,816,NA,3.865,NA,0.824,NA,4.116,NA,0.802,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 15:\n[¬s]""Control (n = 36)[¬e]""']",36,"['Page 14:\n[¬s]""82.04[¬e]""']",82.04,"['Page 14:\n[¬s]""14.70[¬e]""']",14.70,"['Page 17:\n[¬s]""86.72[¬e]""']",86.72,"['Page 17:\n[¬s]""14.38[¬e]""']",14.38,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 11:\n[¬s]""Reading Detectives (N = 80)[¬e]""']",80,"['Page 11:\n[¬s]""22.2[¬e]""']",22.2,"['Page 11:\n[¬s]""5.9)[¬e]""']",5.9,"['Page 11:\n[¬s]""24.4[¬e]""']",24.4,"['Page 11:\n[¬s]""(5.3)[¬e]""']",5.3,"['Page 11:\n[¬s]""2.2[¬e]""']",2.2,"['Page 11:\n[¬s]""(5.3)[¬e]""']",5.3,NA,NA,['No'],0,1,NA,NA
NA,28,"['Page 7:\n[¬s]""M= 12.36[¬e]""']",12.36,"['Page 7:\n[¬s]""sd = 3.77[¬e]""']",3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,28,"['Page 7:\n[¬s]""(M= 12.36[¬e]""']",12.36,"['Page 7:\n[¬s]""sd = 3.77[¬e]""']",3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,14,NA,3.83,NA,1.35,NA,3.8,NA,1.76,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,16,NA,3.19,NA,1.14,NA,3.03,NA,1.04,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 11:\n[¬s]""6[¬e]""']",6,"['Page 11:\n[¬s]""96.2[¬e]""']",96.2,"['Page 11:\n[¬s]""3.4[¬e]""']",3.4,"['Page 11:\n[¬s]""96.3[¬e]""']",96.3,"['Page 11:\n[¬s]""5.1[¬e]""']",5.1,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,175,NA,1.95,NA,0.707,NA,2.05,NA,0.718,NA,0.1,NA,NA,NA,NA,['No'],0,1,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 3:\n[¬s]""29[¬e]""']",29,NA,NA,NA,NA,"['Page 3:\n[¬s]""3.79[¬e]""']",3.79,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
"['Page 5:\n[¬s]""14[¬e]""']",14,NA,NA,NA,NA,"['Page 5:\n[¬s]""43.786[¬e]""']",43.786,NA,NA,NA,NA,NA,NA,NA,NA,['No'],0,1,NA,NA
