Outcome_ID_1,Outcome_ID_2,Outcome_ID_3,Outcome_ID_4,Outcome_ID_5,Outcome_ID_6,Outcome_ID_7,Outcome_ID_8,Outcome_ID_9,Outcome_ID_10
"Based on Rittenhouse from An Anthology of Figurative Language Stories for Deaf and Hard-of-Hearing Children by Robert Rittenhouse, 1987, Salem, WI  Sheffield Publishing Co. Copyright 1987 by Sheffield Publishing Co. Reprinted by permission.",Accurate metaphor responses between experimental and control groups were conducted Overall difference from t-test at post test. No sig dif at pre-test.,NA,NA,NA,NA,NA,NA,NA,NA
"The scale identifies five areas of concern for the student evaluator  content, development, sentence structure, word choice, and conventions. Students were given written directions on the use of this instrument during peer group meetings. They were to read at least three drafts written by other students in their small group, and complete the form by circling a number from one to five for each category on the scale. In turn, each student’s paper was read and evaluated by at least three others. Following the peer group meeting, students were instructed to revise and rewrite.","The scale identifies five areas of concern for the student evaluator  content, development, sentence structure, word choice, and conventions. Students were given written directions on the use of this instrument during peer group meetings. They were to read at least three drafts written by other students in their small group, and complete the form by circling a number from one to five for each category on the scale. In turn, each student’s paper was read and evaluated by at least three others. Following the peer group meeting, students were instructed to revise and rewrite. Only the posttest essay was scored for revision behavior. Total revision was determined after the scoring of the four revision types  it is simply the sum of the scores assigned in each category.",NA,NA,NA,NA,NA,NA,NA,NA
Reinforcement feedback - gp 2 (SD from Appendix A),Table II presentTable II presents the analysis of covariance summary.s the analysis of covariance summary.,NA,NA,NA,NA,NA,NA,NA,NA
"The effects of dynamic testing procedures on Raven Coloured Matrices performance, visual scanning procedures, test anxiety, and orientation to the test situation were assessed. The subjects were 72 third-grade children. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The training set consisted of 12 items (2 per category) from 6 categories. The number of pictures on each card ranged from 6 to 9, and all possible unequal ratios were utilized. All subjects received one half of the items (1 per category) in the pictorial format accompanied by a question of the following form  “These are all tools. Here are hammers  here are saws. Are there more hammers or more tools?” The other half of the items were presented in the pictorial-numerical format for which the following statement was inserted immediately prior to the question  “If there are 2 hammers and 5 saws . . .”",NA,NA,NA,NA,NA,NA,NA,NA,NA
Test at the end of the algebra unit to show extent of mastery.,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A post-test measure of beginning reading behaviors  correct oral responses from a visual display. The child would say the word when presented with the visual stimulus of a word of regular phonic configuration (e.g. , cvc, cvvc, and cvce). The median correct response rate of the last five days of treatment for both specifically and traditionally treated groups were used for this purpose. Calculated by counting the number of children from each group who achieved a level of proficiency which would place them in the range of scores between the 25%ile and 75%ile of nonreferred children.",A post-test measure of beginning reading behaviors  correct oral responses from a visual display. The child would say the word when presented with the visual stimulus of a Dolch word. The median correct response rate of the last five days of treatment for both specifically and traditionally treated groups were used for this purpose. Calculated by counting the number of children from each group who achieved a level of proficiency which would place them in the range of scores between the 25%ile and 75%ile of nonreferred children.,NA,NA,NA,NA,NA,NA,NA,NA
"Major musical scales were used as the domain to be evaluated. For example, the dimensions ""ascending"" and ""descending"" were grouped in a facet called ""direction,"" the dimensions ""sharp"" and ""flat"" were grouped within a facet called ""breaking,"" and ""0 to 2 sharps or flats,"" ""3 to 5 sharps or flats"" and ""6 to 7 sharps or flats"" dimensions were grouped to a facet called ""number of breaking"".",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Major musical scales were used as the domain to be evaluated. For example, the dimensions ""ascending"" and ""descending"" were grouped in a facet called ""direction,"" the dimensions ""sharp"" and ""flat"" were grouped within a facet called ""breaking,"" and ""0 to 2 sharps or flats,"" ""3 to 5 sharps or flats"" and ""6 to 7 sharps or flats"" dimensions were grouped to a facet called ""number of breaking"".",NA,NA,NA,NA,NA,NA,NA,NA,NA
" Data consisted of the rough drafts of lesson 6, collected and copied before and after the formal revising session and the final drafts of the same lesson. Those drafts were used in the analysis of revision behav- ior and writing quality."," Data consisted of the rough drafts of lesson 6, collected and copied before and after the formal revising session and the final drafts of the same lesson. Those drafts were used in the analysis of revision behav- ior and writing quality."," Data consisted of the rough drafts of lesson 6, collected and copied before and after the formal revising session and the final drafts of the same lesson. Those drafts were used in the analysis of revision behav- ior and writing quality.",NA,NA,NA,NA,NA,NA,NA
"Average raw score gain in reading per trial. Each child received 1 minute timings on a rate sheet until the child could read a predetermined number of words in 1 minute. Vocabulary from the SRA series Crocking the Code (Rasmussen & Coldberg, 1968).",NA,NA,NA,NA,NA,NA,NA,NA,NA
Counterbalanced experimenal setup to compare average raw score gains per trial. Each child received 1 minute timings twice each day on rate sheets of vocabulary from the SRA series Cracking the Code until the child could read a pre­determined number of words in 1 minute. All children in this study set aim at 80 words per minute.,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Items formed from Lorge-Thorndike Intelligence Test. On the test, the answers were recorded on machine-scorable answer sheets. The time limit was 17 minutes, which is slightly more than recommended in the test manual, in order to minimize the effects of speed and further assure that it was basically a power test. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Items formed from Lorge- Thorndike Intelligence Test. On the test, the answers were recorded on machine- scorable answer sheets. The time limit was 17 minutes, which is slightly more than recommended in the test manual, in order to minimize the effects of speed and further assure that it was basically a power test. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
DIBELS Letter Naming Fluency LNF,DIBELS Phoneme Segmentation Fluency (PSF),NA,NA,NA,NA,NA,NA,NA,NA
"A delayed (fourth) posttest mean score for retention of multiplication facts using a a four minute, ninety item speed test given after each set of two iterations of the three hundred item drill and practice program.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Post-test adjusted mean score for writing. Children were requested to construct as many words as they could from the letters of a longer word. Scoring was according to the criteria for successful performance given in the instructions. Two-letter words were given 2 points  three-letter words, 3 points  four-letter words, 5 points  and words of five or more letters, 6 points. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Post-test adjusted mean score for writing. Children were requested to construct as many words as they could from the letters of a longer word. Scoring was according to the criteria for successful performance given in the instructions. Two-letter words were given 2 points  three-letter words, 3 points  four-letter words, 5 points  and words of five or more letters, 6 points.",NA,NA,NA,NA,NA,NA,NA,NA,NA
,,combined high + Low achiever using the excel formula for fixed effects,NA,NA,NA,NA,NA,NA,NA
,,SCORE Grades as FB (High & Low Achievers combined for fixed effect calculation),NA,NA,NA,NA,NA,NA,NA
,,,,NA,NA,NA,NA,NA,NA
"All the students in the experimental and control classes wrote a summary at the beginning and end of the school term. For these pre and post exercises, students read one of two texts similar in length and reading level. Reading and summary writing, using pencil and paper, took place during a single, 45-minute class period  Half of the students of each class received one text for the pretest, and the other Half the other text in.,a randomized assignment. For the posttest, each student received the text he or she had not summarized during the pre-assessment ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Post-test adjusted mean score for students' performance on comprehension test summary items that focus on gist level understanding. Test battery was used from retired CSAP (Colorado State Assessment Program) materials, a standards-based test.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Raven Coloured Progressive Matrices Test is a nonverbal group test typically used in educational settings. It is usually a 60-item test used in measuring abstract reasoning and regarded as a non-verbal estimate of fluid intelligence.,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The posttest was developed to evaluate students’ reading comprehension after the treatment. Two articles along with the corresponding comprehension questions were selected from the textbook. There were 18 questions, with 7 questions related to the ﬁrst article and 11 questions related to the second article.",NA,NA,NA,NA,NA,NA,NA,NA,NA
The posttest was composed of four sections taken from the ACT Natural Sciences Reading Test sample test booklet 8223c. The posttest questions are classified into five categories based on their relationship to the text and to the lesson questions. The relationship between the text passages and the lesson questions are either factual or inferential. Factual questions restate a verbatim statement in one sentence of the text. Inference questions require that the reader put several sentences together to obtain an idea not explicitly presented in the text. ,NA,NA,NA,NA,NA,NA,NA,NA,NA
KCR MTF DF combined posttest v QUestions and Text combined Identical,KCR MTF DF combined posttest v Questions and Text combined Transposed,KCR MTF DF combined posttest v Questions and Text combined Paraphrased,KCR MTF DF combined posttest v Questions and Text combined Transposed Paraphrased,NA,NA,NA,NA,NA,NA
"The outcome measure for the confirmatory research question was a score for overall writing quality, on a six-point scale ranging from 1 (indicating a severely flawed essay demonstrating very little or no mastery) to 6 (indicating an essay demonstrating clear and consistent mastery of writing). ",,,,,,,NA,NA,NA
Analysis of covariance results for second grade students from their Wide Range Achievement Test scores.,Analysis of covariance results from criterion tests results for second grade only. Test includes five items for each objective in a cluster and assesses mastery after instruction.,Analysis of covariance results for first and second grade students from their Wide Range Achievement Test scores.,Analysis of covariance results from criterion tests results for first and second grade students. Test includes five items for each objective in a cluster and assesses mastery after instruction.,NA,NA,NA,NA,NA,NA
"The WJ-III (Woodcock et al., 2001) is a nationally standardized, individually administered battery of achievement tests. Passage Comprehension is a measure of reading comprehension at the sentence level.","In WJ-III Spelling, students hear a word and write the correct spelling  reliability (split-half) is .87 to .91 in the age range of interest.","The measure consists of a set of graded text passages of approximately equivalent difficulty, written specifically to con- form to grade-level conventions in terms of word and sentence length and complexity. At each data collection point, students read a first-grade end- of-year passage for 1 min. The total number of words read, errors, and correct words read in one minute were recorded. ORF assessment is a type of curriculum-based measurement (CBM) com- monly used to assess progress in reading development.",NA,NA,NA,NA,NA,NA,NA
"The inquiry items were selected to assess cognitive processes or effects that are theoretically relevant to intrinsic motivation. Rating items (5-point scale) consisted of the child's self-perceived competence (""How good are you at the roads game?""), liking for the task, and estimate of the experimenter's liking for the task (cf. Staw, Calder, & Hess, Note 4). ",NA,NA,NA,NA,NA,NA,NA,NA,NA
California Achievement Test Maths Posttest 1,CAT Spelling Posttest 1,NA,NA,NA,NA,NA,NA,NA,NA
"Post test unadjusted mean score covering each of the dimensions (Recognition, Production, Comprehension) of the content in the textual material. 42 items in total consisting of three sub tests  Recognition (16 items) - measuring subjects' ability to identify examples of each set of numbers in the number system they had encountered in the text  Production (8 items) - measuring subjects' ability to produce a hierarchy of the number system when the concepts were provided in random order  Comprehension (18 items) - measuring subjects' ability to identify relationships among concepts in the number system.","Post test unadjusted mean score covering each of the dimensions (Recognition, Production, Comprehension) of the content in the textual material. 42 items in total consisting of three sub tests  Recognition (16 items) - measuring subjects' ability to identify examples of each set of numbers in the number system they had encountered in the text  Production (8 items) - measuring subjects' ability to produce a hierarchy of the number system when the concepts were provided in random order  Comprehension (18 items) - measuring subjects' ability to identify relationships among concepts in the number system.",NA,NA,NA,NA,NA,NA,NA,NA
"A post-test adjusted mean score for passage 3 oral retellings based on a procedure by Smith and Jackson (1985), which assessed major generalization, correct and relevant details, and the coherence of the expression. Inferences were added as an extra variable. A graduate student and a professor in reading education read and outline passage 3. Another part of scoring took place over a two-month period and was conducted by mail with no discussion between the rater and the researcher. Interrater reliabilities  Generalizations .97, Details .93, Text Structure .86, Inferences .74, Total Score .97, Distortions .64.","Post-test adjusted mean score for reading comprehension measured by the ""sentence verification technique"" (SVT) (Royer, Greene, and Sinatra, 1987). The assessment consists of four types of sentences developed from each sentence in the passage - originals, paraphrases, meaning changes, and distractors. Students were asked to judge each test sentence as either ""old"" or ""new"". Predicated on the assumption that reading entails an interaction between the context, the message, and the reader's background knowledge, and that through this interaction the reader constructs the meaning  but not necessarily the exact words of the passage (Kuder-Richardson formula 20 = 0.501).",NA,NA,NA,NA,NA,NA,NA,NA
"Each of 3 school result reported separately, have reported the mean ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Post-test mean score for passage comprehension - Repeated measures cloze tests of two different passages were constructed. Every fifth word was deleted (""the typical procedure"") resulting in fifty deletions per passage—the minimum needed for ""high reliability"" (Harris and Sipay, 1980). Only exact word responses were scored as correct. Synonyms were not accepted.","Post-test mean score for passage comprehension - repeated measures, multiple-choice question comprehension test consisting of both factual and inferential questions. Of the 10 questions half involved factual, or literal-level, comprehension, while the remaining questions required the reader to make inferences. Scores on the subsets of factual and inferential questions were used for assessing these two aspects of comprehension. ","Post-test mean score for passage comprehension - Repeated measures cloze tests of two different passages were constructed. Every fifth word was deleted (""the typical procedure"") resulting in fifty deletions per passage—the minimum needed for ""high reliability"" (Harris and Sipay, 1980). Only exact word responses were scored as correct. Synonyms were not accepted.","Post-test mean score for passage comprehension - repeated measures, multiple-choice question comprehension test consisting of both factual and inferential questions. Of the 10 questions half involved factual, or literal-level, comprehension, while the remaining questions required the reader to make inferences. Scores on the subsets of factual and inferential questions were used for assessing these two aspects of comprehension.",NA,NA,NA,NA,NA,NA
STEP T Writing posttest Peer eval v no comp,STEP T Writing peer eval v teacher lect postest,STEP T Writing peer eval v teacher lect postest,Writting sample peer eval v teacher lecture posttest,NA,NA,NA,NA,NA,NA
"A test of 20 multiple-choice questions was administered to all students immediately following the treatment. The test was at the application level, which required the students to apply what they had learned to new instances. None of the examples nor the practice items from the self-study instruction appeared in the test. The test was reviewed by one of the teachers beforehand, and was revised according to the teacher's recommendation.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A test of 20 multiple-choice questions was administered to all students immediately following the treatment. The test was at the application level, which required the students to apply what they had learned to new instances. None of the examples nor the practice items from the self-study instruction appeared in the test. The test was reviewed by one of the teachers beforehand, and was revised according to the teacher's recommendation.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A test of 20 multiple-choice questions was administered to all students immediately following the treatment. The test was at the application level, which required the students to apply what they had learned to new instances. None of the examples nor the practice items from the self-study instruction appeared in the test. The test was reviewed by one of the teachers beforehand, and was revised according to the teacher's recommendation.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Group 1 and 2 aggregated criterion reference test,NA,NA,NA,NA,NA,NA,NA,NA,NA
Difference in Gain CLAD v control,Effect Size CLAD v control table 2,Post test CLAD v control,NA,NA,NA,NA,NA,NA,NA
"A quality score was obtained for the written texts at Stage 1 and again at Stage 4. Following Bridwell’s (1980) procedures, protocols from Stages 1 and 4 were typed so that they remained as true to the handwritten versions as possible.","Using Faigley and Witte’s (1981, 1984) classification scheme for revision, one lead variable and five follow-up variables for revisions made (all per 100 words) at each stage were formed from the writing/revision task.",NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The CSAP is a state mandated standards test administered to public school students in grades 3 to 12. The CSAP pre-test was administered in the four classrooms the week before the winter break during two 45-minute sessions. The post-test was administered in the week following the last summary practice session, also during two 45-minute sessions. For both the pre-test and a post-test, students were provided with a booklet of items and instructed to work through it at their own pace.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Posttest adjusted mean score for correct words in Passage Reading Test (PRT). Students read aloud from each passage for 1 minute and correct words are counted. Students are all SEN.,Posttest adjusted mean score for incorrect words in Passage Reading Test (PRT). Students read aloud from each passage for 1 minute and errors are counted. Students are all SEN.,Posttest adjusted mean score for Structural Analysis aspect of Stanford Diagnostic Reading Test (SA). The SA subtest measures a child's decoding skills through the analysis of word parts. Students are all SEN.,Posttest adjusted mean score for Reading Comprehension aspect of Stanford Diagnostic Reading Test (SA). The RC subtest assesses literal and inferential comprehension with brief reading passages presented in a multiple-choice format and short passages followed by multiple-choice questions. All students are SEN.,NA,NA,NA,NA,NA,NA
PRT Passage Reading Posttest Adjusted,BMT Basic Mastery Test Postest Adjusted,NA,NA,NA,NA,NA,NA,NA,NA
"The Word Spelling Test (WST  Deno, Mirkin, Tindal, & Lowry, 1980) comprises three lists of 18 words, randomly selected from grades 1 through 6 of Basic Elementary Reading Vocabularies (Harris & Jacobson, 1972). Data from 'Post-treatment WST' in Table 2 (for Group 2 'Unenhanced Feedback' and Group 3 'Control').","The Word Spelling Test (WST  Deno, Mirkin, Tindal, & Lowry, 1980) comprises three lists of 18 words, randomly selected from grades 1 through 6 of Basic Elementary Reading Vocabularies (Harris & Jacobson, 1972). Data from 'Post-treatment WST' in Table 2 (for Group 1 'Enhanced Feedback' and Group 3 'Control').",NA,NA,NA,NA,NA,NA,NA,NA
The Word Spelling Test-Revised (WST) comprises 60 words randomly selected from Grades 1-6 of Basic ElementaryReading Vocabularies. Words are dictated at 10 second (s) intervals. Performance is scored as number of letter sequences (LSs) correct. LS award credit for partially correct responses. ,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WST comprises 60 words, randomly selected from grades 1-6 of Basic Elementary Reading Vocabularies. Words are dictated at 10-second intervals for 9 minutes. Performance is scored as the number of letter sequences correct (LS) across the lists. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Math Operations Test Re­vised (Fuchs, Fuchs, Hamlett, & Stecker, 1991) systematically samples math problems across Grades 1-6 from the operations portion of the state curriculum. Pupils are provided directions in standard format and have 10 min to complete 50 problems (or 142 digits). Performance is scored as numbers of correct digits written in an­swers. ",,,,,,LA outcomes for The Math Operations Test,,NA,NA
"Post-test unadjusted mean score for English language comprehension measured by a researcher-developed, criterion referenced test (Popham, 1978). It was based on the objectives of the six units that were taught and had sixty testing items similar in format to the daily work-sheets (multiple-choice).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A 2000-word essay describing the formation of the solar system was employed as the reading passage. A multiple choice item followed each 200 word segment of text on the next page. These questions pertained to the material just read. In the feedback condition, the question was restated with the correct answer circled in red on the page following each inserted question. Students were not allowed to look forward prior to marking an answer. There were 60 knowledge level multiple choice items in total.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Posttest Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The test items are 20 sentence completions, and four short passages for context comprehension and reading comprehension. The test has an online set-up and it has no time limits for completion of the test. However in practice, test completion was no more than 45 minutes (one school lesson). The test difficulty level adapts according to pupil’s initial responses.","The test items are 20 sentence completions, and four short passages for context comprehension and reading comprehension. The test has an online set-up and it has no time limits for completion of the test. However in practice, test completion was no more than 45 minutes (one school lesson). The test difficulty level adapts according to pupil’s initial responses.",NA,NA,NA,NA,NA,NA,NA,NA
Correct Responses Internal External Combined Intrinsic v Feedback,NA,NA,NA,NA,NA,NA,NA,NA,NA
The estimates are based on pre-treatment adjusted mean. A 16-item multiple-choice test.,The estimates are based on the mean gain score. A 16-item multiple-choice test.,NA,NA,NA,NA,NA,NA,NA,NA
"The students wrote their third composition, 'Making Something That I Enjoyed', and used their scoring rubric to self-evaluate their writing piece. The writing sample was taken home where parent and student discussed the sample based on the criteria of the rubric and the strategies for “sharing” discussed in the training. The child returned to school the next day and revised the composition.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three 18-item tests were developed to reflect the science, arithmetic, and social studies data interpretation content of upper elementary level standardized tests. Each test consisted of interpretive exercises based on picture and numeric tables, bar graphs, and line graphs. Designed to be similar in content balance, length, and difficulty, one test was written in multiple-choice format while the other two were cast in completion format.",NA,NA,NA,NA,NA,NA,NA,NA,NA
This test was administered to both groups in the fall semester before intervention procedures and in the spring semester after termination of the project.,NA,NA,NA,NA,NA,NA,NA,NA,NA
". Write about a person, place, or idea that you feel strongly as specific as you can so that a person reading what you have written  will feel as you do about it, will feel what you feel and see what you see",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tennessee Comprehensive Assessment Program (TCAP) writing achievement scores from the 2010 administration were utilized for this study. Students are given 35 minutes to complete the essay test. These writing samples were scored holistically on a scale of one to six. The purpose of expository writing was to explain, clarify, or provide the reader with information. During the scoring process, each paper was compared to the scoring criteria and the anchor papers (Tennessee Department of Education, 2011).","Tennessee Comprehensive Assessment Program (TCAP) writing achievement scores from the 2010 administration were utilized for this study. Students are given 35 minutes to complete the essay test. These writing samples were scored holistically on a scale of one to six. The purpose of expository writing was to explain, clarify, or provide the reader with information. During the scoring process, each paper was compared to the scoring criteria and the anchor papers (Tennessee Department of Education, 2011).",NA,NA,NA,NA,NA,NA,NA,NA
"Posttest of achievement  The posttest of achievement was designed to measure virtually everything presented in the lessons, even if it were only peripherally relevant, rather than to sample the lesson content. It was felt that small lapses in attention due to treatment differences would be more Ukely to be detected where all the pieces of information covered in the lessons had a corresponding posttest item. Also, with every lesson question having a corresponding posttest item, the performance of the pupils on the posttest items relevant to the questions they had been asked during the lessons could be compared with their performance on the posttest items not relevant to the questions they had been asked during the lessons. To obtain the desired content coverage, constructed response and true/false items were used in preference to multiple-choice items which are rather lengthy per unit of information obtained. The posttest of achievement contained 222 items and gave a content coverage which could not have been obtained in less than three or four hours of testing using multiple-choice items. As a check on the reliability of the posttest of achievement, a split-half reliability coefficient, corrected by the Spearman-Brown formula, was calculated. The resulting figure, based on a random sample of 114 papers, was .92 which is considered very satisfactory since the pupils in the study were of a restricted range of ability and the test was untimed.",NA,NA,NA,NA,NA,NA,NA,NA,NA
The post-test aimed to evaluate the learning achievements of the students in the learning activity. It consisted of thirty yes-or-no items and nineteen multiple-choice items for assessing the students’ learning achievement in comprehending environmental pollution problems addressed in the learning content of the selected course unit,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Solving Equations pretest consisted of 22 items, one for each of the ""learning sets"" or sub­ tasks in the program. A description of these sub-tasks is presented by Gagne and Paradise (l96l), from whose Appendix A the pretest items were taken. Given to Junior High School students only, data from Table 2, Group R and Group O only.","The Gas Laws pretest consisted of three completion items, while the posttest consisted of 36 multiple-choice items and four completion items. Data from Table 3, Post-test row and Group R and O columns, showing results from one of two high schools.","The Gas Laws pretest consisted of three completion items, while the posttest consisted of 36 multiple-choice items and four completion items. Data from Table 4, Post-test row and Group R and O columns, showing results from one of two high schools.",NA,NA,NA,NA,NA,NA,NA
