out_eval_raw,out_eval_ht,out_eval_info,eef_eval_raw
['Unclear/not stated'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['Unclear/not stated'],NA,Researchers carrying out this study are not the original developer (McNaughton)  however there is a lack of information about the independence of the evaluation. ,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
"['Is this an EEF evaluation?', 'An organization commissioned independently to evaluate']",NA,NA,Yes
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['An organization commissioned independently to evaluate'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
"['Is this an EEF evaluation?', 'An organization commissioned independently to evaluate']",NA,NA,Yes
['The developer'],NA,NA,No
"['Is this an EEF evaluation?', 'An organization commissioned independently to evaluate']",NA,NA,Yes
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['Unclear/not stated'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
"['Is this an EEF evaluation?', 'An organization commissioned independently to evaluate']",NA,NA,Yes
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],"['Page 44:\n[¬s]""The judges were trained to use the Lamberg Scales of Completeness and Detail. The judges had several years teaching experience and were doctoral students in the English Education program.[¬e]""']",NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
['The developer'],NA,NA,No
