int_freq_ht,int_freq_info
"['Page 2:\n[¬s]""twice each day[¬e]""']",NA
"['Page 2:\n[¬s]""twice each day[¬e]""']",NA
"['Page 3:\n[¬s]""The students were noti- fied ahead of time that they were to be tested on two days during the week,""\n""Two days after the first test, the second test was administered. [¬e]""']",NA
NA,I was not sure here - if the intervention is classed as the testing following exposure to feedback then the answer is once. If the first test is considered part of the intervention then the answer is twice.
NA,"Application of systematic inquiry into teachers' formative assessment was ongoing throughout the academic year.   Throughout the course of the intervention, teachers completed and posted a progress report of their findings on a shared online bulletin board, each approximately one month apart. It is not clarified when this stage of the intervention took place. The participating teachers also met on eight occasions during the year for discussion/feedback groups. The final step of the assessment involved teachers posting their final thoughts onto the online bulletin board. "
NA,"10 sessions over the two month period, approximately 1.25 intervention session per week. "
NA,"Three times per week, over two days"
"['Page 2:\n[¬s]""Session I was con\xad ducted in I day, and Sessions 2 and 3 were conducted 2 days later, with an interval of 2 hr between them.[¬e]""']",Unevenly spaced - see code
"['Page 4:\n[¬s]""ions. Session 1was conducted one day and Sessions 2and 3two days[¬e]""']",Unevenly spaced - see code
"['Page 4:\n[¬s]""sions. Session 1was conducted one day and Sessions 2and 3two days later, with an interval of 3hr between th[¬e]""']",See code - sessions unevenly spaced apart 
"['Page 4:\n[¬s]""sions. Session 1was conducted one day and Sessions 2and 3two days later, with an interval of 3hr between th[¬e]""']",Unevenly spaced - see code
"['Page 9:\n[¬s]""On average, the students in the experimental classes had used Summary Street to summarize 4.9 texts. [¬e]""']","Mean of 4.9 texts were summarised by pupils using Summary Street, indicating that approximately 5 sessions occured within an estimated period of 12 weeks.   Approximately 1 intervention per week. "
"['Page 12:\n[¬s]"" two 45-minute sessions per week[¬e]""']",NA
NA,Not specified.
NA,would assume that there is just one session total
"['Page 50:\n[¬s]""once a\nweek[¬e]""']",Once a week
"['Page 6:\n[¬s]""Students completed the self-instructional booklets in about 45 minutes during\nclass.[¬e]""']",Once
NA,Daily - teachers were expected to incorporate the 6+1 Trait Writing model in their daily writing instruction. 
NA,Daily objectives of mathematics lessons
"['Page 6:\n[¬s]""daily lessons[¬e]""']",Daily
"['Page 4:\n[¬s]""After attempting to solve four mazes,\nthe child was asked if he or she would like to try the\n""copying game"" (geometric designs).""\n""Training phase. Each child was individually taken\nUpon arrival, the child\nto the ""surprise room"" of a mobile research trailer\nparked on school grounds.2\nwas invited to sit at a round child-sized table and\ntry out the ""roads game"" (maze task).[¬e]""', 'Page 5:\n[¬s]""Following the free-play period, the experimenter returned to conduct an inquiry and to determine if the child had any negative reactions to the experi- ment""\n""After completing the design\ntask, the experimenter said that he had work to finish\nin another part of the trailer and that if the subject\nwould stay in the ""surprise room,"" he or she could\nplay with the various materials on a second table[¬e]""']",Once
"['Page 14:\n[¬s]""Frequency – a statement of performance usually expressed as number of correct\nresponses per minute or number of errors per minute.[¬e]""']","daily, no detail is provided saying how many times a day a students was taught using a 1 minute test sheet "
NA,Unclear -seems to be one-off
"['Page 106:\n[¬s]""Each subject met with the researcher for three sessions of approximately forty-five minutes in lieu of their language arts or social studies class.[¬e]""']","Does not state how often the intervention was carried out, only that 3 sessions occurred over a 3 month period."
"['Page 5:\n[¬s]""All 18 teachers assigned mathematics\nhomework three times a week[¬e]""']",NA
NA,Not described but is a one-off session
NA,Not specified
NA,not specified but seems to be one single short session 
NA,"not stated, seems 1-off"
NA,"not specified, one off"
"['Page 3:\n[¬s]""This instruction-diagnostic test-remedial activity sequence\nwas repeated three times (a total of six class periods) during\nthe investigation.""\n""During the first\'two classroom periods, all subjects com\xad\npleted a laboratory exercise and self-instructional material\non identifying variables.""\n""Actual experimental treatment began on the third day.[¬e]""']",Appears to be daily
"['Page 11:\n[¬s]""Three of these teachers elected to implement CLAD in their classrooms approxi-\nmately once a week from November through Ma[¬e]""']",1/weekly
"['Page 5:\n[¬s]""Thirteen 45-min lessons were conducted over 1 month.[¬e]""']",NA
NA,Not specified
NA,Not specified
NA,Not specified
NA,Not specified
"['Page 12:\n[¬s]""twice-a-week[¬e]""']",NA
"['Page 5:\n[¬s]""Treatments. DBPM is described in Procedures To Develop and Monitor Progress on IEP Goals (Mirkin et al., 1981)""\n""They measured students\' oral reading performance at least twice weekly, for 1 minute,[¬e]""']",NA
"['Page 4:\n[¬s]""Thus, essential characteristics of DBI included weekly\nmeasurement on oral reading passages, weekly graphic\nfeedback, and corrective feedback and testing as re\nquired before promotion to more difficult material.[¬e]""']",weekly?
NA,NA
"['Page 5:\n[¬s]""CBM over 8 weeks, with two 2-hour after-school workshops,[¬e]""']"," CBM over 8 weeks, with two 2-hour after-school workshops,"
"['Page 6:\n[¬s]""at least twice weekly,[¬e]""']",NA
NA,(1) 'Peer tutoring occurred twice weekly' (p.528)  (2) students were tested weekly  (3) feedback was provided every 2 weeks.
"['Page 47:\n[¬s]""each day[¬e]""']",NA
NA,Information not provided
NA,"no stated, one off?"
"['Page 23:\n[¬s]""In two of the schools, 40 minutes were given every weekday""\n""The other two schools arranged three days in a week in which pupils did independent reading for an hour each day in the school[¬e]""']",NA
NA,one time
NA,once
"['Page 300:\n[¬s]""Phase One: ""\n"" Each day[¬e]""']",Specified for phase one but not detailed for phases two and three.
NA,Once
"['Page 3:\n[¬s]"" daily basis[¬e]""']",NA
NA,Not given
NA,Not given
NA,Three sessions overall
"['Page 6:\n[¬s]""50 min per week[¬e]""']",Weekly
NA,Not given
NA,Not given
NA,"Various - Group 1  twice over a 12-week period, Group 2  daily"
NA,Not provided
NA,one session
NA,once
NA,Daily
"['Page 86:\n[¬s]"". For fifth grade students at this school, science instruction occurs five times per week, with each lesson comprising a one-hour block o f time during the morning (10:25-11:25 four days per week, 9:30-10:30 one day per week). The total time dedicated to the intervention, including time required for the pre- and post-survey and the administration o f the end-of-unit test, was approximately 20 hours.[¬e]""']",Daily.
NA,Not given
"['Page 5:\n[¬s]"" every other day.[¬e]""']",NA
NA,Not given
"['Page 9:\n[¬s]"" once weekly[¬e]""']","2 sessions in the first week, weekly after week 1"
NA,Unclear
NA,Not provided
NA,not stated
NA,not specified
NA,one off time experiment
"['Page 8:\n[¬s]""The experiment lasted for two 1-h sessions, one for train-\ning and the other for transfer, with elapsed time of2h ap-\nproximately between the two sessions.[¬e]""']",one off experimental session 
NA,one off experiment
NA,1-off experiment
NA,Weekly
NA,4-5 times a week
"['Page 5:\n[¬s]""All children were tested in-\ndividually and the experiment lasted approxi-\nmately 30 minutes.[¬e]""']",1 single session
NA,1 single experiment
NA,Once
"['Page 6:\n[¬s]"" take place on Monday, Wednesday and Friday lunchtimes[¬e]""']",NA
"['Page 3:\n[¬s]""Each experimental classroom was assigned a degree of implementation: low, medium, or high, based on the IAP[¬e]""']",NA
"['Page 2:\n[¬s]""daily[¬e]""']",NA
"['Page 2:\n[¬s]""The teachers3 were instructed to provide each 5 with a programmed unit on Monday morning during the regularly scheduled spelling period.""\n""The same procedure was followed on Tuesday.""\n"" On Wednesday of each week 5s were given an orally administered test on the 17 words included in the unir.""\n""All 5s were given the same word list used in the Wednesday test to study on Thursday. On Friday, they were tested again on this word7 list. This procedure was followed throughout the 15-wk. period.[¬e]""']",Daily
"['Page 4:\n[¬s]"" On Monday and Tuesday[¬e]""', 'Page 5:\n[¬s]""On Friday of each week all 5s were given\' a spelling test consisting of the words contained in the unit assigned for the week. For each test, the teacher prononunced each word, used it in a sentence, and pronounced it again.[¬e]""']",Twice weekly plus a test each Friday.
"['Page 1:\n[¬s]""two daily 20-minute treatment[¬e]""']",Twice a day
"['Page 5:\n[¬s]""cts in single 45-minute sessions i[¬e]""']",Once
"['Page 5:\n[¬s]""n single ""\n""nut[¬e]""']",NA
"['Page 4:\n[¬s]""Six autobiographical writing lessons[¬e]""']",NA
NA,Once - one morning
NA,Not specified.
"['Page 5:\n[¬s]""600 minutes (10 hours). The tutors and tutees met for 10 weeks, 1 hour each tutorial session.[¬e]""']",1 hour per week
"['Page 5:\n[¬s]"" tutoring sessions totaled approximately 600 minutes (10 hours). The tutors and tutees met for 10 weeks, 1 hour each tutorial session.[¬e]""']",1 hour a week
NA,"T1 occured on day 1 (once), T2 occured on day 2, T3 occured 6 days later. "
NA,2 tests were conducted at the beginning and end of a 1 week period. 
"['Page 3:\n[¬s]"" The subjects, fifth graders, were given the initial test immediately after studying a 900-word text; they obtained feedback ""\n"" after a day,""\n""took the delayed test 7 days after reading the text.[¬e]""']",NA
NA,Once
"['Page 5:\n[¬s]""during a regularly scheduled class[¬e]""']","Not specified, regularly scheduled class could be daily or weekly, etc. Control groups read one short story per week so it is possible that the intervention occurred once per week too."
NA,3 times a week
NA,Daily
NA,once a day
NA,Once/week - one essay writing session per week
NA,twice
NA,twice
"['Page 7:\n[¬s]"" Children were given two training sessions""\n""separated by a three-day interval.[¬e]""']",NA
NA,"Again not specified, however presumably only one session."
NA,Only one session was provided. 
"['Page 28:\n[¬s]"" teachers had considerable freedom over how to implement the project in their schools.[¬e]""']",no information provided
"['Page 47:\n[¬s]""This resulted in these participants receiving feedback three times per week.[¬e]""']",NA
NA,Occured only once
NA,The session was only conducted twice (about a school year apart).
"['Page 3:\n[¬s]""The program is designed\nfor 40% computer work, but many administrators and teachers referred to once-a-week computer\nsessions[¬e]""']",Varied between 40% of normal maths curriculum to once a week
NA,once
"['Page 4:\n[¬s]"" five days were devoted to each type of paragraph.[¬e]""']",daily
"['Page 6:\n[¬s]""five days each were devoted to descriptive, informative, narrative story, and narrative descriptive paragraphs.[¬e]""']",daily
NA,daily
"['Page 11:\n[¬s]"" The project is, therefore, not to develop an ‘effective feedback intervention’. It does not specify what teachers do.[¬e]""']",NA
"['Page 2:\n[¬s]"" Each child was tested individually, two times, I week apart,[¬e]""']","The intervention was delivered once, then assessed one week later. "
"['Page 5:\n[¬s]"" monthly workshops[¬e]""']",NA
NA,twice a week
NA,It doesn't state the amount of time spent for the intervention other than that it took place over a 5 day period.  
"['Page 3:\n[¬s]"" two consecutive days[¬e]""']",daily (two consecutive days)
"['Page 4:\n[¬s]""each of four consecutive days.[¬e]""']",Daily
NA,daily
NA,Daily
"['Page 3:\n[¬s]""Each week, five 40-minute ses- sions were conducted (5-13 sessions per unit).[¬e]""']",NA
NA,once
NA,not stated 
NA,"Unclear, not enough information."
NA,Daily. 
"['Page 15:\n[¬s]"" three times during the first trimester of a school year[¬e]""', 'Page 46:\n[¬s]"" six FACTS collaboration meetings[¬e]""']","Benchmark tests were delivered to children 3 times in a trimester, which would be around once every 4 weeks.    Collaborative meetings of teachers took place 6 times in the trimester, which is about once every 2 weeks. "
"['Page 2:\n[¬s]"" \\ l k hr a week[¬e]""']",1 and a half hours a week not clear how this was divided up
"['Page 83:\n[¬s]""Classes met four times a w eek[¬e]""']",NA
"['Page 37:\n[¬s]""Each week[¬e]""']",NA
"['Page 13:\n[¬s]""two weekly\nsessions[¬e]""']",I believe this means 2 per week
NA,Once a week
"['Page 3:\n[¬s]"" four 70-minute class periods per week[¬e]""']",NA
"['Page 5:\n[¬s]""at least three lessons a week [¬e]""']",NA
"['Page 6:\n[¬s]""The\nclassrooms needed to have used ITSS each week (except holiday breaks) for at least 30 min each week[¬e]""']",NA
"['Page 24:\n[¬s]""This weekly intervention[¬e]""']",NA
"['Page 9:\n[¬s]""one or two sessions a week[¬e]""']",NA
NA,Nine in-service sessions held
"['Page 75:\n[¬s]""per day[¬e]""']",NA
NA,weekly
"['Page 38:\n[¬s]""once a week[¬e]""']",NA
"['Page 3:\n[¬s]"" full-time basis[¬e]""']",Daily
NA,Not given
"['Page 38:\n[¬s]""Tues days and Thursdays[¬e]""']",NA
"['Page 3:\n[¬s]""Four sets were used for obtaining pretest scores and for giving training and four sets were used as a transfer task.[¬e]""']",Once
