part_assig_raw,part_assig_ht,part_assig_info
Random (please specify),"['Page 299:\n[¬s]""Participants for this study consisted of 167 fourth-grade students""\n"" Eight classes were randomly as\xad signed to either the experimental or control group. The experimental group consisted of 97 students, 50 female, and 47 male. The control group con\xad tained 70 students, 34 female, and 36 male.[¬e]""']",NA
"Non-random, but matched","['Page 4:\n[¬s]"" Insofar as feasible, classes in each school were assigned to varying feedback treatment groups; however, the schedules of a few schools necessitated large-group testing with most or all classes receiving the same treatment. While no biasing factors were known to have caused students in treatment groups to differ system\xad atically, assignment of individuals to treatments was dis\xad tinctly nonrandom. To increase the similarity among groups, the comple\xad tion-format pretest scores were used to match triads of students among treatment groups. This matching pro\xad cedure eliminated 16 percent of the examinees and pro\xad duced three matched groups of 389 cases, each having a pretest mean of 8.82 and standard deviation of 3.17.[¬e]""']","The completion-format pretest scores were used to match triads of students among treatment groups - this produced three matched groups of 389 cases, each having a pretest mean of 8.82 and standard deviation of 3.17."
"Non-random, but matched","['Page 1:\n[¬s]""random assignment of pu\xad pils to conditions or teachers to rooms was limited by the constraints of the realities ex\xad isting in the school system, such as admin-""\n""istration policy, physical distance from home to school, and parent-pupil and teacher resistance. However, some pupil transfer was accomplished, and a consider\xad able degree of matching was effected in the following areas: (a) Race:""\n""(b) Family income:""\n""IQ:""\n""Initial student selection and placement, then, was based on obtaining as closely matched groups as possible[¬e]""', 'Page 2:\n[¬s]""Placement in the experimental and control classes was accomplished by matching students already assigned by the school district to special- education classes on the basis of (a) intelli\xad gence scores (Stanford-Binet) obtained from previously administered tests and (b) WRAT reading scores. [¬e]""']",NA
Random (please specify),"['Page 7:\n[¬s]""Instructional sets were assigned randomly to the teachers\' classes so\nthat each teacher had one class with each of the following sets: observing\nand writing activities plus revision; observing and writing activities with-\nout revision; assignment plus revision; and assignment without revision[¬e]""']",NA
Random (please specify),"['Page 57:\n[¬s]""Similarities in size and student demographic data, commonalities in performance on statewide assessments, particularly in the area of writing and language arts, and the utilization of county-wide mandated pacing guides and curriculum tools were also taken into consideration during the selection process. [¬e]""', 'Page 58:\n[¬s]""The student names were drawn from a hat from each school to determine the participants of the study.[¬e]""']",Random selection was used to select 80 students from School A and 80 students from School B.
Unclear,NA,NA
"Non-random, not matched prior to treatment",NA,NA
Unclear,NA,NA
Random (please specify),"['Page 5:\n[¬s]""In the junior high school, students were ranked according to scores on the Otis Quick-Scoring Mental Abilities Test, which had been given the previous year. Of the four highest, two were randomly assigned to Group R, one to Group 0,""\n""This procedure was continued with the four next highest, etc., to obtain a matched-groups design. A similar[¬e]""', 'Page 6:\n[¬s]""procedure was followed in the high schools. In High School A, scores on SCAT were available, and the total of V and Q scores was used; in High School B, Ss were given parts I and II (V and Q) of SCAT, and the total score for the two parts was used.[¬e]""', 'Page 7:\n[¬s]""Matched-groups design analyses of the data had been planned, but the initial matching on aptitude was destroyed by a number of instances of incomplete data. This incompleteness usually resulted from a student’s absence on one or more days, leading to a failure to finish the program, posttest, or attitude inventory.[¬e]""']",Random but not fully matched due to incomplete data (student absences)
Random (please specify),"['Page 64:\n[¬s]"" Students were randomly divided[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]""As students appeared\nfor the experiment, they were assigned one\ntreatment condition from a randomized list\nof the three treatment conditions.[¬e]""']",NA
Random (please specify),NA,NA
Random (please specify),NA,NA
"Non-random, but matched","['Page 9:\n[¬s]"" 20 experimental-control matched pairs[¬e]""']",NA
"Non-random, not matched prior to treatment","['Page 74:\n[¬s]""The research study was a quasi-experimental design with pre-test/post-test and control group, combining quantitative and qualitative research methods and outcome measures.[¬e]""']",NA
"Non-random, not matched prior to treatment","['Page 10:\n[¬s]""Both the treatment and comparison groups had similar student characteristics (race, gender, limited English proficiency (LEP), free lunch eligibility, special education students) and teacher/school characteristics (licensed in teacher assign- ment, percent of core classes taught by \x93highly qualified teachers,\x94 student/teacher ratio). [¬e]""']",NA
Unclear,NA,NA
Random (please specify),"['Page 21:\n[¬s]""one treatment and one control group with teachers randomly assigned to groups within each of four grades[¬e]""', 'Page 22:\n[¬s]""half the teachers were randomly assigned to the treatment group and half were randomly assigned to the control group[¬e]""']",NA
Unclear,NA,NA
Random (please specify),"['Page 3:\n[¬s]""After pretesting, children were randomly assigned to one of three training conditions: Rehearsal Only, Rehearsal & Look, and Compare Rehearsal & Look; and one of two feed\xad back conditions: feedback absent and feedback present; the latter were informed of whether or not recall was correct after each trial.[¬e]""']","After pretesting, children wererandomly assigned to one of three training conditions: Rehearsal Only,Rehearsal & Look, and Compare Rehearsal & Look; and one of two feed­back conditions: feedback absent and feedback present; the latter wereinformed of whether or not recall was correct after each trial."
Random (please specify),"['Page 8:\n[¬s]""The classes were randomly assigned to the treatment groups and participated\nas a whole.[¬e]""']",NA
Random (please specify),"['Page 7:\n[¬s]""They were randomly distributed into three groups\naccording to the formative feedback type. The ﬁnal\nsample distribution was as follows: there were 30 stu-\ndents in the strategic-search-decisions feedback group,\n34 students participated in the right-answer feedback\ngroup, and 28 students participated in the placebo feed-\nback group. S[¬e]""']",NA
Random (please specify),"['Page 7:\n[¬s]""They were randomly distributed into three groups\naccording to the formative feedback type.[¬e]""']",NA
Random (please specify),"['Page 6:\n[¬s]""They were\nrandomly distributed into three groups[¬e]""']",NA
Random (please specify),"['Page 6:\n[¬s]""randomly distributed into three groups[¬e]""']",NA
Random (please specify),"['Page 12:\n[¬s]""They were randomly distributed[¬e]""']",NA
Random (please specify),"['Page 12:\n[¬s]""They were randomly distributed[¬e]""']",NA
Random (please specify),"['Page 6:\n[¬s]""The subjects were 28 students from junior-high school (6th grade: mean age 11;8), selected from a sample of 200 subjects, on the basis of their scores on a standardised reading comprehension test (MT Reading Comprehension Test, by Cornoldi, Colpo, & il gruppo MT, 1981) and on the Raven\'s Progressive Matrices (Raven, 1938, ®rst series) in order to obtain a group which could be considered homogeneous with respect to linguistic and intellectual abilities.[¬e]""', 'Page 7:\n[¬s]""All the 28 subjects selected were then given a writing test (a speci®c test of the ability to produce comprehensible written texts, which will be described in one of the following sections). They were then matched on the basis of their results, and the paired subjects were randomly assigned to one of two conditions[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]"" the four classes were randomly as\xad signed to strategy instruction or control conditions.[¬e]""']",Classes randomly assigned to treatment or control - no further details given of randomisation process.
Unclear,"['Page 4:\n[¬s]""Of these,\n14 children were assigned to a control no-feed-\nback condition and 22 were assigned to a feed-\nback condition[¬e]""']",NA
Unclear,"['Page 4:\n[¬s]""14 children were assigned to a control no-feed-\nback condition and 22 were assigned to a feed-\nback condition;[¬e]""']",NA
Random (please specify),"['Page 9:\n[¬s]""Within each age group, they were randomly assigned[¬e]""']",NA
Random (please specify),"['Page 5:\n[¬s]"" 18 came to the meeting where the practical details involved in the research were to be explained. These pupils were divided randomly into two groups of nine and were then assigned, again randomly, to one of two groups""\n""A total of 42 of the Year 9 pupils brought back permission letters from their parents and, from these, 20 were selected randomly,""\n""divided randomly into two groups of nine to match the Year 7 pupils who were to take part[¬e]""']",No further randomisation information other than what is in code
"Non-random, not matched prior to treatment","['Page 3:\n[¬s]""We were unable to randomly assign teachers and their students to conditions and relied on statistical means to deal with group inequivalence.[¬e]""']",NA
Random (please specify),"['Page 2:\n[¬s]""randomly assigned[¬e]""', 'Page 4:\n[¬s]""Four students were randomly selected from each resource teacher\'s existing caseload and randomly assigned to""\n""experimental treatment group""\n""or""\n""untreated control group[¬e]""']",NA
Random (please specify),"['Page 1:\n[¬s]""Two classes of sixth-grade students (N = 62) participated in the study. The classes, which met in separate buildings, contained 28 and 34 Ss, respectively. The range of IQs (Otis Form A) in the group was 67 to 123, with a mean of 100.42. To reduce the effects of pupil and teacher variability, 5s were randomly assigned to experimental and control groups within each classroom.[¬e]""', 'Page 1:\n[¬s]""Two classes of sixth-grade students (N = 62) participated in the study. The classes, which met in separate buildings, contained 28 and 34 Ss, respectively. The range of IQs (Otis Form A) in the group was 67 to 123, with a mean of 100.42. To reduce the effects of pupil and teacher variability, 5s were randomly assigned to experimental and control groups within each classroom.[¬e]""']",NA
Random (please specify),"['Page 4:\n[¬s]""The 28 sixth-grade students were randomly assigned to the experimental and control groups with equal numbers of boys and girls in each group.""\n""After random assignment of the groups the mean IQs of the two groups were compared by a t test. The difference between means did not approach significance.[¬e]""']",NA
Random (please specify),"['Page 6:\n[¬s]""A computerized matching program paired each student with another student\nin the same classroom, based on a pre-test Total Reading Composite score from\nthe Woodcock Reading Mastery Test, Form G. Two non-readers, defined by\nraw scores below 2 on Word Attack and below 4 on Word Identification, were\npaired with each other in the same classroom. Finally, one student in each pair\nwas randomly assigned to the Sustained Silent Reading (SSR) condition and\nthe other was assigned to the Reading Tutor (RT) condition. In classes with odd\nnumbers of students, the median-ranked student was left unpaired, so as to keep\nthe treatment groups well-matched. Pairing was done to improve the similarity\nof the two treatment groups, but paired students were not treated as paired\nsamples in statistical analyses.[¬e]""']",NA
Random (please specify),"['Page 4:\n[¬s]""Criteria for participation in the experiment included aTQof 85 or higher on the Original series of the Porteus Maze Test and the absence of gross sen- sory or motor difficulties. Subjects meeting the selection criteria were ran- domly assigned to one of the following four treatment groups: control, response cost, positive reinforcement, or negative verbal feedb""\n""ys. Block randomiza- tion was used to assure that the groups did not differ by sex ([¬e]""']",Coding only in relation to 2 groups: control & positive reinforcement 
Random (please specify),"['Page 4:\n[¬s]""ulties. Subjects meeting the selection criteria were ran- domly assigned to one of the following four treatment gro""\n""s. Block randomiza- tion was used to assure that the groups did not differ by se[¬e]""']",NA
"Non-random, not matched prior to treatment",NA,NA
Random (please specify),"['Page 4:\n[¬s]""The children were randomly assigned to four treatments in a 2 X 2 X 2 X 2 (Teacher Behavior X Instructional Style X Anxiety X Sex) factorial design.[¬e]""']",NA
Random (please specify),"['Page 4:\n[¬s]""were selected from four randomly chosen coeducational primary schools in Enugu (a state capital in Eastern Nigeria). Sub[¬e]""']",NA
Retrospective Quasi Experimental Design (QED),"['Page 4:\n[¬s]""The quantitative research design for this quasi-experimental study was a pre-test/post-test nonequivalent groups design. This study was quasi-experimental as the participants could not be randomly assigned to treatment and non-treatment groups because whole classrooms of students were utilized.[¬e]""']",NA
Retrospective Quasi Experimental Design (QED),NA,NA
Random (please specify),"['Page 2:\n[¬s]""Subjects participated in their regular classroom and were randomly assigned to one of two conditions, the test form and the feedback form conditions.[¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]"" Subjects participated in their regular class groups and were randomly assigned by classroom to ""\n""conditions, differing in that subjects were provided with feedback after a relatively short delay, that is, immediately after completing the initial test (SDF), ""\n"" or no feedback (C). [¬e]""']",NA
Random (please specify),"['Page 3:\n[¬s]""Subjects participated in their regular class groups and were randomly assigned by classroom[¬e]""']",NA
Random (please specify),"['Page 2:\n[¬s]""Criteria for place\xad ment in the learning disabilities pro\xad gram included evidence of average or better intellectual capacity and a sig\xad nificant discrepancy between ability and achievement as defined by 12 to 18 months below in one or more aca\xad demic areas for Grades K through 3, and 2 or more years below in one or more academic areas for Grades 4 through 8. In order to control for entry level on the experimental task and to identify subjects in the acquisition stage of learning, 145 possible subjects were individually pretested on a trans\xad fer word list equivalent to the experi\xad mental task. Subjects making 6 to 10 errors on the pretest were considered to be in the acquisition stage of learn\xad ing for this task. Forty-eight subjects in the acquisition stage were then ran\xad domly assigned[¬e]""']",NA
Random (please specify),NA,NA
Random (please specify),NA,NA
Random (please specify),"['Page 119:\n[¬s]""The participants (excluding Special Education students) were randomly assigned by grade and gender[¬e]""', 'Page 16:\n[¬s]""The students were randomly assigned within grade level into ""\n""groups: the reviewers, the readers,[¬e]""']",NA
Random (please specify),"['Page 4:\n[¬s]""e ran-\ndomly assigned by grade and gender to three groups:[¬e]""']",NA
Random (please specify),"['Page 5:\n[¬s]""At the beginning of the school year, all students in grade four were randomly assigned to teachers and sections.""\n""In each instance the teachers participating in the study taught two sections of language arts daily. One section from each teacher was randomly assigned to small group conditions. Heterogeneous small groups of 4-5 students were formed by the teacher, distributing LEP students evenly among the groups within a given class s ection.[¬e]""']",NA
Random (please specify),NA,random stratified by gender
Random (please specify),NA,random stratified for gender
"Non-random, but matched","['Page 3:\n[¬s]""The children were assigned to six groups (n = 12) that were equated on the basis of sex, grade, and the scores obtained on each pretest task.[¬e]""']",NA
"Non-random, not matched prior to treatment","['Page 4:\n[¬s]""Pretest scores were analyzed first via analysis of variance (ANOVA) to check for equality of groups before interven\xad tion. No significant differences among the groups, F(2,50) = 0.96,p> .05, or between the Content and Mechanics subscores,/ 7 (1,50) = 0.20,p>.05, were found.[¬e]""']",NA
Random (please specify),"['Page 6:\n[¬s]""Each good and poor comprehender was assigned in equal numbers (N = 16) to one of the experimental or control conditions by reference to a table of random numbers.[¬e]""']",NA
Random (please specify),"['Page 13:\n[¬s]""The 20 schools were matched and paired according to regional location and low/high attainment based on Key Stage 2 achievement of feeder schools. Block randomisation was then used to allocate schools within each pair to either intervention or control group.[¬e]""', 'Page 6:\n[¬s]""20 schools were randomly allocated to either the intervention or a \x91business as usual\x92 control group,[¬e]""']",NA
Random (please specify),"['Page 37:\n[¬s]"" Each classroom was randomly assigned to one of three conditions: (a) control group; (b) single feedback; and (c) multiple feedback.[¬e]""']",NA
