level_assig_raw,level_assig_ht,level_assig_info
Individual,"['Page 7:\n[¬s]""They were randomly distributed into three groups\naccording to the formative feedback type""\n""Students were assigned to each condition\nafter being tested with a standardized comprehension\ntest (CompLEC; Llorens et al., 2011) so that all groups\nwere similar in terms of comprehension skills, F[¬e]""']",NA
Individual,"['Page 7:\n[¬s]""They were randomly distributed into three groups\naccording to the formative feedback type. T""\n""Students were assigned to each condition\nafter being tested with a standardized comprehension\ntest (CompLEC; Llorens et al., 2011) so that all groups\nwere similar in terms of comprehension skills,[¬e]""']",NA
Individual,"['Page 6:\n[¬s]""One hundred forty-two seventh and eighth graders\ntook part in the study (mean age = 12.61, SD=0.72;\n61% female, Spanish native speakers). They were\nrandomly distributed into three groups according to\nconditions[¬e]""']",NA
Individual,"['Page 6:\n[¬s]""One hundred forty-two seventh and eighth graders\ntook part in the study (mean age = 12.61, SD=0.72;\n61% female, Spanish native speakers). They were\nrandomly distributed into three groups according to\nconditions:[¬e]""']",NA
Individual,"['Page 12:\n[¬s]""One hundred and twelve seventh and eighth graders took\npart in the study (mean age 12.39, SD=0.71; 54% male,\nSpanish native speakers). They were randomly distributed\ninto three groups: 37, 37 and 38 students[¬e]""']",NA
Individual,"['Page 12:\n[¬s]""One hundred and twelve seventh and eighth graders took\npart in the study (mean age 12.39, SD=0.71; 54% male,\nSpanish native speakers). They were randomly distributed\ninto three group[¬e]""']",NA
Individual,NA,NA
Individual,NA,NA
Individual,"['Page 4:\n[¬s]""14 children were assigned to a control no-feed-\nback condition and 22 were assigned to a feed-\nback condition;[¬e]""']",NA
Individual,"['Page 4:\n[¬s]""Thirty-six second graders were recruited from th""\n""Of these,\n14 children were assigned to a control no-feed-\nback condition and 22 were assigned to a feed-\nback condition;[¬e]""']",NA
Individual,NA,NA
Individual,NA,NA
Class,NA,NA
Individual,NA,NA
Class,"['Page 1:\n[¬s]""Two classes of sixth-grade students (N = 62) participated in the study. The classes, which met in separate buildings, contained 28 and 34 Ss, respectively.[¬e]""']",NA
Individual,"['Page 4:\n[¬s]""A class of 28 sixth-grade students were chosen as 5s. To approximate the population of Exp. I as nearly as possible, this study was initiated one year later in one of the same classrooms with one of the same teachers. The 28 sixth-grade students were randomly assigned to the experimental and control groups with equal numbers of boys and girls in each group.[¬e]""']",NA
Individual,NA,NA
Not provided/ not available,NA,NA
Individual,NA,NA
Class,NA,NA
Class,NA,NA
Class,NA,NA
Class,"['Page 4:\n[¬s]""This study was quasi-experimental as the participants could not be randomly assigned to treatment and non-treatment groups because whole classrooms of students were utilized.[¬e]""']",NA
Class,NA,NA
Individual,NA,NA
Class,"['Page 3:\n[¬s]""Subjects participated in their regular class groups and were randomly assigned by classroom to ""\n"" conditions, d[¬e]""']",NA
Class,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,"['Page 4:\n[¬s]""Prior to the experiment,\nthey were randomly assigned by the teacher to dyads (n = 16), tri-\nads (n = 84) and groups of four (n = 8), and randomly assigned by\nthe researcher to one of three conditions (see Section 2.2). Groups\nwere heterogeneous in ability and gender[¬e]""']",NA
Individual,NA,NA
Individual,NA,NA
Class,NA,NA
Individual,NA,NA
Individual,NA,NA
Individual,"['Page 3:\n[¬s]""The children were assigned to six groups (n = 12) [¬e]""']",NA
Class,"['Page 3:\n[¬s]""Classes were assigned to one of three groups.[¬e]""']",NA
Individual,"['Page 6:\n[¬s]""Each good and poor comprehender was assigned in equal numbers (N = 16) to one of the experimental or control conditions[¬e]""']",NA
School - cluster,"['Page 6:\n[¬s]"" 20 schools were randomly allocated[¬e]""']",NA
Class,"['Page 37:\n[¬s]""ach classroom was randomly assigned to one of three conditions: (a) control group; (b) single feedback; and (c) multiple feedback.[¬e]""']",NA
Individual,NA,NA
Individual,"['Page 2:\n[¬s]"" subjects were randomly assigned to experimental conditions.[¬e]""']",NA
Not provided/ not available,"['Page 6:\n[¬s]""4649 cases, 2819 students who completed conventional Algebra I\n(the Comparison Sample), and 1830 students completing Cognitive Tutor (the Program\nSample[¬e]""']",NA
Individual,NA,NA
Individual,"['Page 4:\n[¬s]""Children were assigned randomly by gender and classroom to one of three experimental conditions:[¬e]""']",NA
Individual,NA,NA
Individual,NA,NA
School - cluster,"['Page 6:\n[¬s]""The pilot was a large-scale and in-depth study of 2,000 children receiving the intervention in Years 2 to 6 in nine primary school[¬e]""']",Group of schools identified to be part of project. Other schools then identified as comparators
Individual,"['Page 2:\n[¬s]""Chil\xad dren were randomly assigned to groups[¬e]""']",NA
School - cluster,"['Page 10:\n[¬s]""Randomisation took place at the school level. EFA is a whole-school intervention so within-school randomisation was not appropriate. [¬e]""']",NA
Individual,NA,NA
Individual,NA,NA
Class,NA,NA
Not provided/ not available,NA,NA
Class,"['Page 70:\n[¬s]""At the beginning\nof the school year, students were assigned to classes by a random procedure.[¬e]""']",NA
Individual,NA,NA
Individual,"['Page 5:\n[¬s]"" The students who applied for algebra were assigned to different treatments by a random procedure using a computer program designed for this purpose.""\n"" At the beginning of the school year, students were assigned to classes by a random procedure.[¬e]""']",NA
Individual,NA,NA
Not provided/ not available,NA,NA
School - cluster,"['Page 4:\n[¬s]""MIFS\' wafs implemented in five ALar.ge city elementary schools. Fi\\fe additional schools were selected at random to form a control grdup.[¬e]""']",NA
Individual,"['Page 32:\n[¬s]"" students were assigned to two groups, and the groups randomly assigned to an experimental or control condition, [¬e]""']",NA
Class,"['Page 47:\n[¬s]"" The volunteering teachers further agreed to have some of their Pre-Algebra sections randomly selected by the researcher as experimental treatment sections (T) with their other sections serving as control sections (C).[¬e]""']",NA
Class,"['Page 1:\n[¬s]"" The classes were randomly assigned to the conditions.[¬e]""']",NA
Class,"['Page 76:\n[¬s]"" Two classes were random ly assigned to the control condition and the other two to the feedback condition for the first two-week unit o f instruction. During the second unit o f instruction each group received the opposite condition, [¬e]""', 'Page 79:\n[¬s]"" Both units were identical in quantity o f material covered as well as the num ber and type o f assignments students completed.[¬e]""']",NA
Class,"['Page 1:\n[¬s]"" Two of the classrooms utilized the Scott Foresman spelling curricula using a variation of mastery learning. The other two classrooms followed that curriculum and also used curriculum-based measurement procedures to monitor progress.[¬e]""', 'Page 37:\n[¬s]""the test was administered to each class, as a group,[¬e]""']",NA
Individual,"['Page 8:\n[¬s]""Once arranged by scores, they were randomly assigned to the experimental\nand control groups in comparable numbers.[¬e]""']",NA
Individual,NA,NA
Class,NA,NA
School - cluster,NA,NA
Class,"['Page 6:\n[¬s]""A multi-site cluster randomized trial""\n""A volunteer sample of 128 teachers and their 5th grade classrooms were randomly assigned to the ITSS and control groups within\nschools.[¬e]""']",NA
Class,"['Page 10:\n[¬s]""The within-school random assignment of classrooms to use ITSS or be in the control[¬e]""']",NA
School - multi-site,"['Page 8:\n[¬s]""This multisite cluster randomized efficacy study""\n""The within-school random assignment of classrooms required\nfewer participating schools (compared with random assignment of\nschools) and provided curricular consistency between the ITSS\nand control classrooms.""\n""A volunteer sample of 108\nclassrooms were stratified by school and randomly assigned to\nITSS or business as usual control.[¬e]""']",NA
Class,NA,NA
Class,NA,NA
Individual,NA,NA
Individual,"['Page 36:\n[¬s]"" Student volunteers in each class were randomly placed in one of four treatment groups[¬e]""']",NA
Individual,NA,NA
Class,NA,NA
Class,NA,NA
Individual,NA,NA
