int_approach_raw,int_approach_ht,int_approach_info
"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one']","['Page 12:\n[¬s]""Two of the schools purchased tablets to make the AR quiz time a more fun activity for pupils, with enough for each child in a small group to use one each[¬e]""', 'Page 23:\n[¬s]""The independent reading in the schools was usually done in groups and mostly the library was used as the space for reading.[¬e]""', 'Page 23:\n[¬s]""The independent reading in the schools was usually done in groups and mostly the library was used as the space for reading.[¬e]""', 'Page 7:\n[¬s]""AR is used as a whole-class reading intervention[¬e]""', 'Page 23:\n[¬s]""Teachers who were supporting pupils at a very low reading level were using the independent reading time for loud reading and one-to-one tutoring.[¬e]""']",NA
['Student alone (self-administered)'],NA,"Not specified, but it appears that the student completes the work individually"
['Student alone (self-administered)'],NA,NA
"['Student alone (self-administered)', 'Large group/class teaching (+6)', 'One to one']",NA,NA
['Student alone (self-administered)'],NA,NA
"['Large group/class teaching (+6)', 'One to one']",NA,NA
['Other (Explain in notes)'],NA,Written feedback from teacher on student's work
NA,NA,NA
['Large group/class teaching (+6)'],NA,NA
"['Large group/class teaching (+6)', 'Paired learning']",NA,NA
['Large group/class teaching (+6)'],NA,NA
['Student alone (self-administered)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['One to one'],NA,NA
['Student alone (self-administered)'],NA,NA
['Student alone (self-administered)'],NA,NA
NA,NA,NA
['Large group/class teaching (+6)'],NA,NA
['Student alone (self-administered)'],NA,NA
['Other (Explain in notes)'],NA,Doesn't specify
['Large group/class teaching (+6)'],NA,NA
['Small group/intensive support (3-5)'],NA,NA
['One to one'],"['Page 3:\n[¬s]""During the training session, children in all groups were instructed to repeat aloud the names of a different set of Peabody drawings as the E[¬e]""', 'Page 4:\n[¬s]""presented them on each of 10 trials, and to continue repeating them until the recall signal was given. Following Hagen, Hargrave, and Ross (9), prompts were given when children neglected to rehearse or rehearsed in incorrect sequence. Children in Rehearsal Only had five additional rehearsal trials. The remaining children were, instead, initially trained for five trials in a careful looking strategy. They were told to think about how each picture looked as the E pointed to the pictures on each trial, and to keep thinking about how they looked until the signal for recall was given. In order to block overt verbal rehearsal, they were also asked to stick out their tongues during presentation and delay periods. Children in the Compare Rehearsal & Look condition were initially told that we were trying the two strategies in order to see which way of remembering produced more correct recalls. This compari\xad son was made and explained with the use of the child’s own data at the end of training.[¬e]""']","During the training session, children in all groups were instructed to repeat aloud the names of a different set of Peabody drawings as the E presented them on each of 10 trials, and to continue repeating them until the recall signal was given."
"['Student alone (self-administered)', 'Large group/class teaching (+6)']",NA,NA
"['Student alone (self-administered)', 'Other (Explain in notes)']",NA,interaction with computer software
"['Student alone (self-administered)', 'Other (Explain in notes)']",NA,interaction with computer software
"['One to one', 'Other (Explain in notes)']",NA,1 hr experiment where the computer gave feedback 
['Other (Explain in notes)'],NA,1 hr experiment where the computer gave feedback 
['Other (Explain in notes)'],NA,experiment with computerised feedback on individual basis
['Other (Explain in notes)'],NA,experiment with computerised feedback on individual basis
"['Student alone (self-administered)', 'Large group/class teaching (+6)']",NA,Introduction by research member.
['Large group/class teaching (+6)'],NA,Program also involves some paired learning and independent learning.
['One to one'],"['Page 5:\n[¬s]""All children were tested in-\ndividually and the experiment lasted approxi-\nmately 30 minutes.[¬e]""']",NA
['One to one'],"['Page 5:\n[¬s]""All children were tested in-\ndividually and the experiment lasted approxi-\nmately 30 minutes.[¬e]""']",lab experiment individually delivered
['Student alone (self-administered)'],NA,NA
['Paired learning'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Student alone (self-administered)'],NA,NA
['One to one'],NA,NA
['One to one'],NA,NA
"['Large group/class teaching (+6)', 'Paired learning']",NA,NA
['Student alone (self-administered)'],NA,NA
['One to one'],"['Page 4:\n[¬s]""was carried out indi""\n""ary. Subjects were seated across the table from the ex- periment""\n"" table. After rapport had been established through greetings and a brief conversation, each sub- ject was prete[¬e]""']",NA
['Other (Explain in notes)'],"['Page 5:\n[¬s]""cross-age tutoring[¬e]""']",NA
['Paired learning'],NA,NA
['Student alone (self-administered)'],NA,NA
['Student alone (self-administered)'],NA,NA
['One to one'],NA,NA
['One to one'],NA,NA
"['Student alone (self-administered)', 'Large group/class teaching (+6)']","['Page 5:\n[¬s]""participants were given a feedback sheet and told to check all responses and to[¬e]""', 'Page 6:\n[¬s]""correct wrong answers. After the responses were corrected, the feedback sheets were collected\nand answers were checked by the experimenter to ensure that wrong answers had been cor-\nrected.[¬e]""']",NA
"['Small group/intensive support (3-5)', 'Paired learning']","['Page 5:\n[¬s]""Students collaborated in dyads and groups of three or four on a\ncollaborative writing task in sociology.[¬e]""']",NA
['Student alone (self-administered)'],NA,NA
"['Large group/class teaching (+6)', 'One to one']","['Page 6:\n[¬s]""On days 1 and 2 of the study, trained RAs met the stu-\ndents in their homerooms and asked them to respond to\ntwo persuasive topics (uniforms and field trips) on con-\nsecutive days. Students were told, “When people write\npersuasive papers, they try to convince the reader to do\nwhat they say or to believe what they believe. Writers do\nthat by writing convincing reasons.” Students had 40\nminutes to respond to the topic. At the end of the writ-\ning time, the RAs collected all students’ papers, which\nwere immediately copied and later typed by RAs.""\n""On day 3 of the study, all students received instruction\nfrom the same RAs on the importance and purpose of\npersuasive writing and on the organizational elements\nof persuasion.[¬e]""', 'Page 6:\n[¬s]""12 days of direct meetings with participants;[¬e]""']",NA
['Small group/intensive support (3-5)'],NA,NA
['Student alone (self-administered)'],NA,NA
['Student alone (self-administered)'],NA,NA
['One to one'],NA,"2 children are with the experimenter at one time, however direct instruction was given to only one child at a time. "
['Large group/class teaching (+6)'],NA,NA
['Student alone (self-administered)'],NA,NA
['Large group/class teaching (+6)'],"['Page 28:\n[¬s]"" teachers had considerable freedom over how to implement the project in their schools.[¬e]""']",very unclear about how the implemetation worked in practice i am assuming teachers worked with whole classes
['Large group/class teaching (+6)'],NA,NA
"['Student alone (self-administered)', 'Paired learning']",NA,Dyads on computer (could be called triads as well)
['Student alone (self-administered)'],NA,NA
['Student alone (self-administered)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Small group/intensive support (3-5)'],NA,NA
['Large group/class teaching (+6)'],"['Page 11:\n[¬s]""teachers are meant to try using the research findings in their classes[¬e]""']",could have been used with different sized groups
['One to one'],NA,NA
['Large group/class teaching (+6)'],"['Page 5:\n[¬s]"" groups comprising 8–14 people.[¬e]""']",training sessions for teachers no information about how the intervention worked in classes with students 
['Large group/class teaching (+6)'],NA,NA
"['Large group/class teaching (+6)', 'One to one']",NA,NA
['Student alone (self-administered)'],NA,individually on a computer
"['Small group/intensive support (3-5)', 'Student alone (self-administered)']",NA,NA
"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one']",NA,NA
"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one']",NA,NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Student alone (self-administered)'],NA,NA
['One to one'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Student alone (self-administered)'],NA,NA
['Large group/class teaching (+6)'],NA,"teaching whole group, feedback given to individuals or dyads depending on treatment group"
"['Student alone (self-administered)', 'Large group/class teaching (+6)']",NA,NA
['Large group/class teaching (+6)'],NA,NA
['Student alone (self-administered)'],NA,students worked through the sessions alone with the computer
['Large group/class teaching (+6)'],NA,Feedback from Summary Street - a web-based program
"['Student alone (self-administered)', 'Large group/class teaching (+6)']",NA,NA
"['Student alone (self-administered)', 'Large group/class teaching (+6)']","['Page 11:\n[¬s]""mode of delivery: self-paced and whole-class lesson[¬e]""']",NA
['Student alone (self-administered)'],NA,student worked alone on the computer
"['Student alone (self-administered)', 'Large group/class teaching (+6)']",NA,teacher facilitated computer work 
['Student alone (self-administered)'],NA,Student alone with the computer
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
['Small group/intensive support (3-5)'],"['Page 36:\n[¬s]""Size of each group within each class ranged from 5 to 6.[¬e]""']",5 to 6 students per group
"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']","['Page 36:\n[¬s]"" Size of each group within each class ranged from 5 to 6.[¬e]""', 'Page 36:\n[¬s]"" Size of each group within each class ranged from 5 to 6.[¬e]""']",NA
['Large group/class teaching (+6)'],NA,NA
['Large group/class teaching (+6)'],NA,NA
"['Large group/class teaching (+6)', 'Paired learning']",NA,NA
['One to one'],NA,NA
