rand_raw,rand_ht,rand_info
['Yes'],"['Page 2:\n[¬s]""le. Random assignment was made to ""\n"" testing conditions: standard, elaborated feedback, [¬e]""']","Note: Sample below assumes equal distribution of 72 participants across 3 groups, i.e. 24 participants each."
['Not applicable'],NA,"Note: Only total sample numbers have been given, this extraction assumes equal distribution of 72 subjects cross 6 groups, i.e. 12 subjects per group "
['Yes'],"['Page 57:\n[¬s]""Each student was randomly assigned to one of five groups.[¬e]""', 'Page 61:\n[¬s]"" The students were randomly assigned within classrooms (n = 25 students, approximately, per classroom) to one of five groups.[¬e]""']",NA
['No/Unclear'],"['Page 38:\n[¬s]""Because children reported in this study attended different schools, true randomization procedures could not be used in assigning treatment. Rather, natural randomization occurred as a phenomenon of location.[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""The subjects, randomly assigned""\n""experimental groups (GE1""\n""or to a control group (GC)[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""The subjects, randomly assigned""\n""assigned to""\n""GE2) or to a control group (GC).[¬e]""']",NA
['Not applicable'],NA,NA
['Not applicable'],NA,NA
['No/Unclear'],"['Page 2:\n[¬s]"" The school grouped the children homogeneously for read\xad ing.[¬e]""', 'Page 4:\n[¬s]"" The children were divided into two groups of nine.[¬e]""']","Counterbalanced experiment so all were treated in turn, no details of randomisation into phases provided"
['Not applicable'],NA,NA
['Not applicable'],NA,NA
['Not applicable'],NA,NA
['Yes'],"['Page 123:\n[¬s]"" Randomization was accomplished in assigning students to experimental and control groups by[¬e]""', 'Page 124:\n[¬s]""arbitrarily assigning each student a number and then using a table of random numbers (Asher, 1976:343) to place each student in a group, rotating from group to group, as his/her number appeared in the table.[¬e]""', 'Page 133:\n[¬s]""After removal of those who already had achieved eighty percent mastery as of the pretest (twenty-three students) the remaining students were assigned randomly to the six experimental treatments.[¬e]""']",NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['Yes'],"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementary schools serving predominantly middle-class populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementar""\n""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementary schools serving predominantly middle-class populations. Four classes were randomly assigned to each of the four experimental conditions. Although all pupils participated in the experiment, data were analyzed only for 50 pupils in each condition, randomly selected from those whose average grade in language and mathematics ontheir most recent report card was in the top or bottom 25% for their class. Thus there were 25 high achievers and 25 low achievers in each experimen- tal condi[¬e]""']",NA
NA,NA,NA
['Yes'],"['Page 12:\n[¬s]""Working with one teacher and a relatively small number of students, who were randomly assigned to condition within each class, allowed us maximal control over the activities in the experimental and the control conditions.[¬e]""']",NA
['No/Unclear'],"['Page 4:\n[¬s]""From each age group, the Ss were randomly assigned to six conditions of\ntest administration and two conditions of test form (picture-puzzle).[¬e]""']",The method of randomisation was not described.
['No/Unclear'],"['Page 7:\n[¬s]""All participants were then\nrandomly assigned into one ofthe four experimental groups, and were given a smartphone, and a copy ofthe print reading material relevant\nto their group assignment.[¬e]""']",The method of randomisation was not described.
['No/Unclear'],"['Page 40:\n[¬s]""Subjects were randomly assigned to one of 10 treatment conditions in a 2 x 5\nfactorial design.[¬e]""']",The method of randomisation was not described.
['Yes'],"['Page 6:\n[¬s]""During regular biology class time, participants were randomly assigned to one of ﬁve\ntreatment groups by their classroom teacher distributing the randomly stacked and\nunlabelled print-based workbooks[¬e]""']",NA
['Yes'],"['Page 31:\n[¬s]""Recruitment began with the larger districts in the state, for practical and logistical reasons.""\n"" For the first cohort of schools (schools in which data were collected during the 2007/08 school year), recruitment focused on schools located in the Willamette Valley area of northwestern Oregon and in several central Oregon districts. For the second cohort of schools (those in which data were collected during the 2008/09 school year), recruitment focused on schools located in the inland and coastal areas of southern Oregon. [¬e]""', 'Page 32:\n[¬s]""All schools with grade 5 classrooms were initially considered. Within the 38 districts contacted, 28 schools were disqualified because they were too small to provide a stable sample of 20 or more grade 5 students, and 40 were disqualified because of previous exposure to trait-based writing.[¬e]""', 'Page 47:\n[¬s]""A paired-randomization method was used to assign schools to the treatment or control condition. Within each participating district, pairs of schools were formed based on their similarity in the proportion of students within each school who were eligible for free or reduced-price lunch ([¬e]""']",NA
['Yes'],"['Page 2:\n[¬s]"" A stratified random assignment procedure was used to place students in the control and experimental groups[¬e]""']",NA
['No/Unclear'],"['Page 4:\n[¬s]""After identifying the pool of eligible at-risk\nstudents at each school, we randomly selected 6\nto 26 students within each school and randomly\nassigned them to one of two groups: RRI or typi-\ncal school practice (TSP).[¬e]""']",The method of randomisation was not described.
['No/Unclear'],"['Page 4:\n[¬s]""Six children\nof each sex were randomly assigned to each of five\nconditions with the single constraint that the experi-\nmental groups be roughly equal in age.[¬e]""']",The method of randomisation was not described.
['Yes'],"['Page 11:\n[¬s]""All teachers in the experimental and control groups were randomly assigned to both groups[¬e]""']",NA
['No/Unclear'],"['Page 3:\n[¬s]""bjects were not ability grouped in any classes. The subjects were randomly assigned within classes to one of three experimental groups. T[¬e]""']",NA
['Yes'],"['Page 84:\n[¬s]""Nine subjects (four boys and five girls) chose not to participate and the next subjects on the list were contacted.[¬e]""', 'Page 85:\n[¬s]""Subjects were randomly assigned to one of four treatment groups (control, passive cognitive modeling, active cognitive modeling, fullrange cognitive mode l i n g ) . Due to conflicts in students\' schedules, sixteen students could not be randomly assigned and were therefore assigned to a group according to their individual schedule.""\n""Of those sixteen there were eight boys and eight girls. Their cloze scores ranged from 30% to 58% with a mean of 43.6% and a mode of 36%, compared to a mean score of 44.9%, and a mode of 44% for the subjects overall. Their comprehension monitoring scores ranged from 0% to 60% with a mean score of 22.5% and a mode of 20%, compared to 21.7% for a mean and 20% as the mode score for the overall group. To balance the groups, four subjects were assigned to the control group, three to the passive cognitive modeling group, five to the active cognitive modeling group, and four to the fullrange cognitive modeling group.[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""To achieve a balanced design,\nonly 28 students (14 boys and 14 girls) were selected at\nrandom from each class.[¬e]""']",NA
['No/Unclear'],"['Page 72:\n[¬s]""Subjects were stratified by grade and reading level so that equal numbers from each subgroup could be assigned to treatments. From the stratified subgroups, subjects were randomly assigned to treatment groups and passage order. Twenty-four subjects were then randomly assigned to be used In the pilot study, in which 21 students actually participated.[¬e]""', 'Page 82:\n[¬s]"" students were randomly assigned to one of two ""passage order"" conditions. Thus, half the students within each of the treatments read Passage 1 first, the other half read Passage 2 first, and test procedure learning effects were counterbalanced as a result.[¬e]""']",Sample size at randomisation stage is not clearly reported for the control and treatment group. It seems that the author reported it after attrition took place. 
['Yes'],"['Page 53:\n[¬s]""random placement of students was not possible\nin this study. Variations in scheduling students at the\nschool made this impossible. It might happen, then, that a\nsection of advanced placement chemistry students would be\nlocked into the same writing class because of problems in\nscheduling lab time.[¬e]""']",NA
['No/Unclear'],"['Page 8:\n[¬s]""A total of 47 first graders took part in this experiment.\nStudents in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups.[¬e]""']",Only treatment groups were randomised; a method of randomisation was not described.
['No/Unclear'],NA,Only treatment groups were randomised; a method of randomisation was not described.
['No/Unclear'],"['Page 8:\n[¬s]""Students in classes I and I/ were assigned randosly tc three\ndifferent treatsent groups. rodents in class III were all\nassigned to the control group:[¬e]""']",Only treatment groups were randomised; a method of randomisation was not described
['Yes'],"['Page 2:\n[¬s]""The\nsubjects were ranked on their total score on the Arithmetic\nSkills Test of the Iowa Tests of Basic Skills. Random\nassignment within triads of the subjects produced three\ntreatment groups of 30 subjects each.[¬e]""']",NA
['Yes'],"['Page 11:\n[¬s]""CLAD was implemented in three third-\ngrade general education classrooms at an elementary school (School 1) in which the\noverall mean state reading achievement test score in October 2003 was the lowest in\nthe district (384.63). Scaled scores for these students ranged from 364 to 451. These\nstudents’ scores were compared to those of third-grade students at an elementary\nschool (School 2) which was the largest and ranked in the upper one-third of the\ndistrict.[¬e]""']",not random
['Yes'],"['Page 5:\n[¬s]""We tested 30 sixth graders who were randomly assigned (counterbalancing for language-arts teacher, sex, and race) to one of two treatments: (a) an experimental group who re\xad ceived special instruction in the process of revision or (b) a control group who read good literature.[¬e]""', 'Page 6:\n[¬s]""Participants were 30 sixth graders identified by their teachers as “average writers” for their age and as writers who typically did not revise much. They were selected from two homogeneously grouped language-arts classrooms that were designated as average by the school administrators. All children in both classes returned parental permission slips. Each teacher rank-ordered the students in her own class from those most likely to profit from instruction to those least likely to profit. The 15 highest ranking students in each class were then selected for the study.[¬e]""']",NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['Yes'],NA,NA
['Yes'],"['Page 3:\n[¬s]""Within each school, teachers were assigned randomly to experimental and contrast groups, and each teacher then selected three or four pupils for this project.[¬e]""', 'Page 6:\n[¬s]""a. Because teachers, rather than students, were assigned randomly to treatments, ""teacher"" was designated the experimen\xad tal unit of analysis.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""tified\nsampling insured that each teacher would have equal\nnumbers of groups in each experimental treatment and\nthat each treatment group would comprise equal num\nbers of groups from the upper and lower halves of the\nskill rankings.[¬e]""']",NA
['No/Unclear'],NA,NA
['Yes'],"['Page 2:\n[¬s]""Teachers were assigned randomly to three groups: CBM with skills analysis (Group I), CBM without skills analysis (Group 2), and con\xad trol (Group 3). CBM teachers selected four pupils to participate, then the four students were as\xad signed randomly to two subgroups.""\n""Each CB M teacher selected four stu\xad dents to participate; each control teacher, two stu\xad dents.[¬e]""']",NA
['Yes'],"['Page 2:\n[¬s]""Participants were 30 special education teachers in 16 schools in a southeastern metropolitan area Teachers were assigned randomly to three treat\xad ments: (a) CBM with expert system advice about the nature of instructional changes (CBM-ES), (b) CBM with no expert system advice (CBM-NES), and (c) control (Le., no CBM).[¬e]""', 'Page 3:\n[¬s]""Each teacher selected two students to participate in the study. All pupils were identified as mildly to mod\xad erately handicapped, were in grades 2-8, had a current IEP spelling goal, were functioning at least one grade below expected spelling level, and had been classified as learning disabled or emotion\xad ally disturbed according to state regula\xad tions that complied with PL 94-142.[¬e]""']",NA
['Yes'],"['Page 2:\n[¬s]""We randomly assigned general educators to three groups: CBM with redesigned classwidc reports that summa\xad rize information and provide instructional recom\xad mendations across students in the class; CBM with redesigned classwide reports that summa\xad rize assessment information across students in the class, but provide no instructional recommen\xad dations; and contrast (no CBM).[¬e]""']","Note: as only one group of students (AA) were collected as opposed to all three groups, intervention, control and total sample are now 20, 20 and 40 respectively (instead of 60, 60 and 120, as the highlighted sections indicate). "
['Yes'],"['Page 46:\n[¬s]"" Using a random number table, two hundred and forty male students Cage 12-13) were randomly selected out of these four schools; sixty students for each school.""\n"" Within each school the subjects were randomly assigned to one of three treatment subgroups: twenty subjects to treatment group A (Immediate knowledge of results group), twenty subjects to treatment group B (Token economy pi vis immediate knowledge of results), and twenty subjects to treatment group C (No tangible incentives nor inmediate knowledge of results).[¬e]""']","240 is full sample highlighted in the study - with 60 participants per school, but the extracted sample is 160 - with 40 participants per school (20 participants in intervention and 20 in control for each school). "
['Yes'],"['Page 5:\n[¬s]"". Students were randomly assigned to""\n"" (a) inserted questions, (b) inserted questions & feedback[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""Students were randomly\nassigned to groups.[¬e]""']",NA
['Yes'],"['Page 10:\n[¬s]""This evaluation is a two-arm, school-led, post-test-only design, randomised controlled trial in which four schools participated.""\n""After selection of the target group, the schools themselves randomised the target group into two arms and began the intervention in September 2013.[¬e]""', 'Page 13:\n[¬s]""This was an aggregated trial, really consisting of four separate one-school evaluations.""\n""The schools used simple methods such as taking the enclosed name from a pot which contained the enclosed name chits for the pupils. One school used a computer pseudo-random number generator and another used a shuffled pack of cards as demonstrated in the workshop.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""rnals and boys\nwho scored 26 and above as Internals. Forty-nine Exter\nnals and 53 Internals were then randomly assigned to the\nthree treatment groups, using a random table of numbers.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""The median score of the current sample was 24. It\nwas decided to select the top and bottom thirds of the\ntotal I score for this research, which resulted in designat\ning boys who scored 22 and below as Externals and boys\nwho scored 26 and above as Internals. Forty-nine Exter\nnals and 53 Internals were then randomly assigned to the\nthree treatment groups, using a random table of numbers.[¬e]""']",The randomisation was conducted within strata depending on locus of control. A random table of numbers.
['Yes'],"['Page 299:\n[¬s]""Eight classes were randomly as\xad signed to either the experimental or control group.[¬e]""']",NA
['Not applicable'],NA,NA
['Not applicable'],NA,NA
['Yes'],"['Page 7:\n[¬s]""ot considered to be significant.\nInstructional sets were assigned randomly to the teachers\' classes so\nthat each teacher had one class with each of the following sets: observing\nand writing activities plus revision; observing and writing activities with-\nout revision; assignment plus revision; and assignment without revision.\nIn addition, each class was divided randomly in half with one-half receiv-\ning brief comments and the other half receiving extended comments.\nThis results in a 2 x 2 x 2 design to test the following hypo[¬e]""']",NA
['Yes'],"['Page 57:\n[¬s]""Similarities in size and student demographic data, commonalities in performance on statewide assessments, particularly in the area of writing and language arts, and the utilization of county-wide mandated pacing guides and curriculum tools were also taken into consideration during the selection process.[¬e]""', 'Page 58:\n[¬s]""Random selection was used to select these 80 students.""\n""Random selection was used to select these 80 students. The student names were drawn from a hat from each school to determine the participants of the study.[¬e]""']",NA
NA,NA,NA
['Not applicable'],NA,NA
['Not applicable'],NA,NA
['Yes'],"['Page 5:\n[¬s]""In the junior high school, students were ranked according to scores on the Otis Quick-Scoring Mental Abilities Test, which had been given the previous year. Of the four highest, two were randomly assigned to Group R, one to Group 0,""\n"" This procedure was continued with the four next highest, etc., to obtain a matched-groups design. A similar[¬e]""', 'Page 6:\n[¬s]""procedure was followed in the high schools. In High School A, scores on SCAT were available, and the total of V and Q scores was used; in High School B, Ss were given parts I and II (V and Q) of SCAT, and the total score for the two parts was used.[¬e]""']",NA
['Yes'],"['Page 64:\n[¬s]""Students were randomly divide[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""As students appeared\nfor the experiment, they were assigned one\ntreatment condition from a randomized list\nof the three treatment conditions. Although\nparticipation was required--their achieve-\nment scores would count toward their\nsemester English grade--partidpants were\ngiven the option of completing the instruc-\ntion using printed materials rather than the\ncomputer-based instruction.[¬e]""']",NA
['No/Unclear'],"['Page 5:\n[¬s]""Subjects were assigned in random to one of the lhree treatment and\ncontinued with r.he practice tesL[¬e]""']",NA
['Yes'],"['Page 5:\n[¬s]""Subjects were assigned in random to one of the lhree treatment[¬e]""']",NA
['Not applicable'],NA,NA
['Not applicable'],NA,NA
['Not applicable'],NA,NA
['Not applicable'],NA,NA
['Yes'],"['Page 22:\n[¬s]""half the teachers were randomly assigned to the treatment group and half were randomly assigned to the control group[¬e]""']",NA
['Not applicable'],NA,NA
['Yes'],"['Page 3:\n[¬s]""After pretesting, children were randomly assigned to""\n""one of two feed\xad back conditions: feedback absent and feedback present; the latter were informed of whether or not recall was correct after each trial.[¬e]""']",NA
['Yes'],"['Page 8:\n[¬s]""The sample consisted of 148 students from nine classes of the second school year of\nHauptschule (sixth-grade level). Thus, we recruited low-performing students, but we did\nnot select them individually. Instead, we drew a convenience sample of classes from the\nHauptschule. The classes were randomly assigned to the treatment groups and participated\nas a whole[¬e]""']",NA
['Yes'],"['Page 7:\n[¬s]""They were randomly distributed into three groups\naccording to the formative feedback type. The ﬁnal\nsample distribution was as follows: there were 30 stu-\ndents in the strategic-search-decisions feedback group,\n34 students participated in the right-answer feedback\ngroup, and 28 students participated in the placebo feed-\nback group.[¬e]""']",NA
['Yes'],"['Page 7:\n[¬s]""They were randomly distributed into three groups\naccording to the formative feedback type. The ﬁnal\nsample distribution was as follows: there were 30 stu-\ndents in the strategic-search-decisions feedback group,\n34 students participated in the right-answer feedback\ngroup, and 28 students participated in the placebo feed-\nback group. Students were assigned to each condition\nafter being tested with a standardized comprehension\ntest (CompLEC; Llorens et al., 2011) so that all groups\nwere similar in terms of comprehension skills[¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""One hundred forty-two seventh and eighth graders\ntook part in the study (mean age = 12.61, SD=0.72;\n61% female, Spanish native speakers). They were\nrandomly distributed into three groups according to\nconditions: 50, 51 and 41 students in placebo,\nsearch&revisit and select&revisit feedback groups,\nrespectively.[¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""They were\nrandomly distributed into three groups according to\nconditions: 50, 51 and 41 students in placebo,\nsearch&revisit and select&revisit feedback groups,\nrespectively.[¬e]""']",NA
['Yes'],"['Page 12:\n[¬s]""One hundred and twelve seventh and eighth graders took\npart in the study (mean age 12.39, SD=0.71; 54% male,\nSpanish native speakers). They were randomly distributed\ninto three groups: 37, 37 and 38 students in placebo, only-\nselect and select&revisit feedback groups, respectively[¬e]""']",NA
['Yes'],"['Page 12:\n[¬s]""One hundred and twelve seventh and eighth graders took\npart in the study (mean age 12.39, SD=0.71; 54% male,\nSpanish native speakers). They were randomly distributed\ninto three groups: 37, 37 and 38 students in placebo, only-\nselect and select&revisit feedback groups, respectivel[¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""The subjects were 28 students from junior-high school (6th grade: mean age 11;8), selected from a sample of 200 subjects, on the basis of their scores on a standardised reading comprehension test (MT Reading Comprehension Test, by Cornoldi, Colpo, & il gruppo MT, 1981) and on the Raven\'s Progressive Matrices (Raven, 1938, ®rst series) in order to obtain a group which could be considered homogeneous with respect to linguistic and intellectual abilities.[¬e]""', 'Page 7:\n[¬s]""They were then matched on the basis of their results, and the paired subjects were randomly assigned to one of two conditions[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]"" the four classes were randomly as\xad signed to strategy instruction or control conditions[¬e]""']",NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['Yes'],"['Page 9:\n[¬s]"" across three grade levels: second, fourth and sixth grade. Within each age group, they were randomly assigned[¬e]""']",NA
['Yes'],"['Page 5:\n[¬s]""The subjects were drawn from the population of Year 7 (11- to 12-year-old) and Year 9 (13- to 14-year-old) pupils in a community school with a seven form entry in Birmingham, UK.""\n""These pupils were divided randomly into two groups of nine and were then assigned, again randomly, to one of two groups.""\n""The two experimental groups were allocated randomly to one of two conditions.[¬e]""']",NA
['Not applicable'],NA,NA
['Yes'],"['Page 4:\n[¬s]""Four students were randomly selected from each resource teacher\'s existing caseload and randomly assigned to""\n""experimental treatment group""\n""or""\n"" untreated control group[¬e]""']",NA
['No/Unclear'],"['Page 1:\n[¬s]""To reduce the effects of pupil and teacher variability, 5s were randomly assigned to experimental and control groups within each classroom.[¬e]""', 'Page 2:\n[¬s]""As a result of random assignment, there were 15 girls and 18 boys in the ex\xad perimental group, and 17 girls and 12 bpys in the control group.[¬e]""']",NA
['No/Unclear'],"['Page 4:\n[¬s]""The 28 sixth-grade students were randomly assigned to the experimental and control groups with equal numbers of boys and girls in each group.[¬e]""']",NA
['Not applicable'],"['Page 6:\n[¬s]""A computerized matching program paired each student with another student\nin the same classroom, based on a pre-test Total Reading Composite score from\nthe Woodcock Reading Mastery Test, Form G. Two non-readers, defined by\nraw scores below 2 on Word Attack and below 4 on Word Identification,""\n""paired with each other in the same classroom[¬e]""']",NA
['No/Unclear'],"['Page 4:\n[¬s]""s. Block randomiza- tion was us[¬e]""']",NA
['No/Unclear'],"['Page 4:\n[¬s]""s. Block randomiza- tion was used to assure that the groups did not dif[¬e]""']",NA
['Not applicable'],NA,NA
['Yes'],"['Page 4:\n[¬s]""The children were randomly assigned to four treatments in a 2 X 2 X 2 X 2 (Teacher Behavior X Instructional Style X Anxiety X Sex) factorial design.[¬e]""']",NA
NA,NA,NA
['Not applicable'],"['Page 4:\n[¬s]"" quasi-experimental[¬e]""']",NA
['Not applicable'],"['Page 4:\n[¬s]""quasi-experimental[¬e]""']",NA
['Yes'],"['Page 2:\n[¬s]"" Subjects participated in their regular classroom and were randomly assigned to one of two conditions, the test form and the feedback form conditions. These conditions differed in the way the correct answer was made known to the subject. In the former, the correct alternative was for each child encircled on its own immediate test form, in the latter the correct responses were encircled on a special, i.e., unused im\xad mediate-test form.[¬e]""']",NA
['No/Unclear'],"['Page 3:\n[¬s]"" randomly assigned by classroom to one of three conditions,[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""Subjects were 97 children, approximately 11 years old, in the fifth grades of three ele- mentary schools. Subjects participated in their regular class groups and were randomly assigned by classroom to one of three conditions, differing in that subjects were provided with feedback after a relatively short delay, that is, immediately after completing the initial test (SDF), after a relatively long delay of 24 h (LDF), or no feedback (C).[¬e]""']",NA
['Yes'],"['Page 2:\n[¬s]""Criteria for place\xad ment in the learning disabilities pro\xad gram included evidence of average or better intellectual capacity and a sig\xad nificant discrepancy between ability and achievement as defined by 12 to 18 months below in one or more aca\xad demic areas for Grades K through 3, and 2 or more years below in one or more academic areas for Grades 4 through 8. In order to control for entry level on the experimental task and to identify subjects in the acquisition stage of learning, 145 possible subjects were individually pretested on a trans\xad fer word list equivalent to the experi\xad mental task. Subjects making 6 to 10 errors on the pretest were considered to be in the acquisition stage of learn\xad ing for this task. Forty-eight subjects in the acquisition stage were then ran\xad domly assigned to four treatment con\xad ditions so that 12 subjects were in each treatment. [¬e]""']",NA
['No/Unclear'],NA,NA
NA,NA,NA
['Yes'],"['Page 119:\n[¬s]""The participants (excluding Special Education students) were randomly assigned by grade and gender[¬e]""', 'Page 16:\n[¬s]""The students were randomly assigned within grade level into ""\n""groups: the reviewers, the readers, and the control group.[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""ran-\ndomly assigned by grade and gender to three groups:\nreviewers (n = 44), reader control (n = 44), and time\ncontrol (n = 45)[¬e]""']",NA
['Yes'],"['Page 5:\n[¬s]""At the beginning of the school year, all students in grade four were randomly assigned to teachers and sections. In each instance the teachers participating in the study taught two sections of language arts daily.[¬e]""']",NA
['No/Unclear'],"['Page 3:\n[¬s]""all subjects were blocked bv sex to ensure equal distribu\xad\ntion of males and females and then randomly assigned to uoe of six experimental conditions[¬e]""']",The method of randomisation was not described.
['No/Unclear'],"['Page 3:\n[¬s]""all subjects were blocked bv sex to ensure equal distribu\xad\ntion of males and females and then randomly assigned to uoe of six experimental conditions.[¬e]""']",The method of randomisation was not described.
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['Yes'],"['Page 5:\n[¬s]""The subjects in this experiment (N = 93) were drawn from 228 middleclass fifth-grade children residing in northern Indiana.[¬e]""', 'Page 6:\n[¬s]""Initially, all 228 children were administered the New Developmental Reading Test—Intermediate Level, Form B (Bond, Balow, and Hoyt, 1968). Only those students who scored at or above grade level on the vocabulary subtest of the above test were considered as possible subjects for the experiment. From this overall group, a subgroup of “good comprehenders” was then selected. This group included those students who scored at or up to 2 years above grade level on the Composite Comprehension Score of the above test. Additionally, a subgroup of “poor comprehenders” was chosen.""\n""Each good and poor comprehender was assigned in equal numbers (N = 16) to one of the experimental or control conditions by reference to a table of random numbers. [¬e]""']",NA
['Yes'],"['Page 13:\n[¬s]""Each school was assigned a randomly generated number. • Schools were sorted by blocking variable (schools were grouped into four blocks with the four highest performing 2 schools in Devon and Cornwall being in one block; the remaining schools in Devon and Cornwall in a second block; the four highest performing schools in all other areas in a third block; and the remaining schools in the fourth block) and, within each block, by the random number. • The first school was randomised into either the treatment or control group. • Each subsequent school was assigned to have the opposite outcome of the previous school.[¬e]""']",NA
['Yes'],"['Page 49:\n[¬s]""Classrooms were randomly assigned to one of three conditions: (a) no feedback condition; (b) single feedback condition; and (c) multiple feedback condition. Each classroom was assigned a number and a random number generator was utilized to randomly assign each classroom to a condition. Two experimental designs were used to examine whether the performance feedback intervention was effective in improving children\x92s writing fluency skills and whether varying the frequency of feedback affected the amount of improvement observed in students\x92 writing fluency skills. A time series design was used to compare the amount of growth in children\x92s writing fluency skills, as measured by CBM-WE, across the three conditions.[¬e]""']",NA
NA,NA,NA
['Yes'],"['Page 2:\n[¬s]""An equal number of each sex were given IKR and no-IKR. Otherwise, subjects were randomly assigned to experimental conditions.[¬e]""']",NA
['Not applicable'],"['Page 6:\n[¬s]""Of the thirteen high schools participating in the program during the 2002-\n2003 school year, ten were determined to have both sufficient experience with the program and\nfunctioning computer labs from the beginning of the school year.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""Students were then randomly\nassigned to an instructional presentation,\nreceived the instruction[¬e]""']",NA
['No/Unclear'],NA,NA
NA,NA,NA
['Yes'],"['Page 6:\n[¬s]""Children were assigned randomly within gender and classroom to one of\nfour experimental conditions (ji » 15 per condition): product goal, process\ngoal, process goal plus progress feedback, instructional control (general\ngoal)[¬e]""']",NA
['Not applicable'],NA,NA
['Yes'],"['Page 2:\n[¬s]""Twenty first graders (mean age = 6 years, 2 months) from a private school in suburban Baltimore, Maryland, participated in this study. Chil\xad dren were randomly assigned to groups with the restriction that there be an equal number of boys and girls in each group.[¬e]""']",NA
['Yes'],"['Page 12:\n[¬s]""Each school was assigned a randomly generated number between 0 and 1 using the Stata command ‘runiform’ with seed 2387427. The randomisation was automated by Stata and in this sense was blind. Schools were sorted by blocking variable and, within each block, by the random number. [¬e]""', 'Page 13:\n[¬s]""Randomisation was implemented ahead of the two-year development programme[¬e]""', 'Page 69:\n[¬s]""Secondary schools, which were recruited by SSAT (N=140) were randomly assigned to intervention and control groups using econometric software (Stata) within blocks[¬e]""']",NA
