loc_spec_ht,loc_spec_info,loc_type_ht,loc_type_info,loc_na_ht,loc_na_info
"['Page 3:\n[¬s]""a northern suburb of\nDetroit, Michigan. O[¬e]""']",NA,"['Page 3:\n[¬s]""northern suburb of[¬e]""']",NA,NA,NA
"['Page 299:\n[¬s]""Students were enrolled in one of three schools: ""\n"" the south shore of Nassau County. NY;""\n"" in Brooklyn, NY; and""\n"" Queens, NY.[¬e]""']",NA,"['Page 299:\n[¬s]"" Students were enrolled in one of three schools: (1) an affluent suburban school on the south shore of Nassau County. NY; (2) a low socioeconomic multi-ethnic school located in Brooklyn, NY; and (3) a middle-class school in Queens, NY.[¬e]""']",NA,NA,NA
"['Page 3:\n[¬s]""15 elementary and middle schools[¬e]""', 'Page 4:\n[¬s]""Kansas[¬e]""']",NA,NA,NA,NA,NA
NA,NA,"['Page 1:\n[¬s]"" extremely poor area of a large city.[¬e]""', 'Page 3:\n[¬s]""innercity[¬e]""']",NA,NA,NA
"['Page 7:\n[¬s]""an upper middle class middle school in Chicago\'s North Shore\narea, one from a school in a blue collar community in northwest Indiana.[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,"['Page 54:\n[¬s]"" three participating schools in one northern Illinois school district[¬e]""']",NA,NA,NA
"['Page 3:\n[¬s]""Hopkins, Minnesota[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,"['Page 9:\n[¬s]""classrooms in a rura\'l . educational cooperative[¬e]""']",NA,NA,NA
"['Page 77:\n[¬s]"" Northern Virginia[¬e]""']",NA,"['Page 77:\n[¬s]""public school district in an urban setting[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]"" Rijeka[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 3:\n[¬s]""Pretests were administered to 150 children in kindergarten and first-grade classes of two Northfield, Minnesota public schools. [¬e]""']","Northfield, Minnesota public schools",NA,NA,NA,NA
"['Page 8:\n[¬s]""Bavaria[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,large suburban school district,NA,large suburban school district
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 5:\n[¬s]""Birmingham[¬e]""']",NA,NA,NA,NA,NA
NA,Stated that it took place in three Canadian provinces,"['Page 3:\n[¬s]""rban and rural English school boards in Quebec, Manitoba, and Alberta [¬e]""']",NA,NA,NA
"['Page 4:\n[¬s]""four metropolitan school districts in Minnesota[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""m the Iowa City, Iowa, are[¬e]""']",NA,NA,NA,NA,NA
"['Page 4:\n[¬s]"" the Iowa Ci[¬e]""']",NA,NA,NA,NA,NA
"['Page 3:\n[¬s]""four different schools within the same middle-class sub\xad urban school district[¬e]""']",NA,"['Page 3:\n[¬s]""urban[¬e]""']",NA,NA,NA
"['Page 3:\n[¬s]""Robbinsdale, Minnesota[¬e]""']",NA,"['Page 3:\n[¬s]""16 classes in 3 elementary schools[¬e]""']",NA,NA,NA
"['Page 4:\n[¬s]""Enugu (a state capital in Eastern Nigeria). Su[¬e]""']",NA,NA,NA,NA,NA
"['Page 2:\n[¬s]"" Delaware.[¬e]""']",NA,"['Page 2:\n[¬s]"" rural [¬e]""']",NA,NA,NA
"['Page 4:\n[¬s]"" Delaware[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 2:\n[¬s]"" a large subur\xad ban public school district[¬e]""']",NA,"['Page 2:\n[¬s]"" subur\xad ban[¬e]""']",NA,NA,NA
"['Page 4:\n[¬s]""located in a metropolitan area of the northeastern\nUnited States[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 116:\n[¬s]""a public charter school in the Mid-Atlantic region[¬e]""']",NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""attended a public charter school in the Mid-\nAtlantic region of the United States[¬e]""']",NA,NA,NA,NA,NA
"['Page 5:\n[¬s]""greater Houston area, Texas,[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,suburban middle class neighbourhood page 445,NA,suburban middle class neighbourhood page 445
"['Page 3:\n[¬s]""Montreal[¬e]""']",NA,NA,NA,NA,NA
"['Page 3:\n[¬s]"" Ohio[¬e]""']",NA,"['Page 3:\n[¬s]"" three suburban school districts.[¬e]""']",NA,NA,NA
"['Page 5:\n[¬s]"" northern Indiana.[¬e]""']",NA,NA,NA,NA,NA
"['Page 7:\n[¬s]""South West[¬e]""']",NA,"['Page 12:\n[¬s]""a large rural and coastal population.[¬e]""']",NA,NA,NA
"['Page 38:\n[¬s]""New York[¬e]""']",NA,"['Page 38:\n[¬s]"" mixed locale (i.e., rural and suburban) school district[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 2:\n[¬s]"" Orange County, Virginia[¬e]""']",NA,NA,NA,NA,NA
"['Page 5:\n[¬s]""Miami-Dade County Public Schools[¬e]""']",NA,"['Page 5:\n[¬s]""nine senior high schools[¬e]""']",NA,NA,NA
"['Page 1:\n[¬s]""Colorado, Boulder[¬e]""']",NA,NA,NA,NA,NA
"['Page 2:\n[¬s]"" Durham County School District, Durham, North Carolina. [¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 5:\n[¬s]"" London Borough of Bexley[¬e]""']",NA,NA,NA,NA,NA
"['Page 2:\n[¬s]""Baltimore, Maryland, [¬e]""']",NA,"['Page 2:\n[¬s]"" suburban B[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,"['Page 3:\n[¬s]""three suburban schools in middle socioeco-\nnomic areas.[¬e]""']",NA,NA,NA
"['Page 5:\n[¬s]"" Victor, New York[¬e]""']",NA,NA,NA,NA,NA
NA,"Hunslet Moor Junior School, Leeds",NA,working class area of a large industrial city,NA,working class area of a large industrial city
NA,NA,"['Page 3:\n[¬s]""large industrial city.[¬e]""']",NA,NA,NA
"['Page 69:\n[¬s]""the north side\nof Chicago[¬e]""']",NA,"['Page 69:\n[¬s]""middle-income neighborhood[¬e]""']",NA,NA,NA
"['Page 69:\n[¬s]""the northwest side\nof Chicago.[¬e]""']",NA,"['Page 69:\n[¬s]""middle-income neighborhood[¬e]""']",NA,NA,NA
"['Page 5:\n[¬s]"" middle-income neighbor- hood in Chicago[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 3:\n[¬s]""Norfolk[¬e]""']",NA,"['Page 4:\n[¬s]"" city elementary schools.[¬e]""']",NA,NA,NA
"['Page 30:\n[¬s]"" Hawai‘i,[¬e]""']",NA,NA,NA,NA,NA
"['Page 51:\n[¬s]"" Southern California.""\n""The Lakewood Unified School District[¬e]""']",NA,"['Page 51:\n[¬s]"" suburban unified school district[¬e]""']",NA,NA,NA
"['Page 1:\n[¬s]"" north- ern Netherlands[¬e]""']",NA,NA,NA,NA,NA
"['Page 78:\n[¬s]""W ashington, D.C.[¬e]""']",NA,"['Page 78:\n[¬s]""in an affluent suburb[¬e]""']",NA,NA,NA
"['Page 1:\n[¬s]"" a midwestem elementary school[¬e]""']",NA,NA,NA,NA,NA
"['Page 8:\n[¬s]""rom a school in the\nAutonomous Community of Valencia[¬e]""']",NA,NA,NA,NA,NA
NA,"Platt Middle School in Boulder, Colorado.","['Page 18:\n[¬s]""suburban[¬e]""']",suburban,NA,suburban
"['Page 3:\n[¬s]""Champaign, Illinois.[¬e]""']",NA,NA,NA,NA,NA
"['Page 11:\n[¬s]""Northwest and West Yorkshire regions of England[¬e]""']",NA,NA,NA,NA,NA
NA,NA,"['Page 6:\n[¬s]""conducted with rural and suburban 4th and 5th grade classrooms.[¬e]""']",NA,NA,NA
"['Page 10:\n[¬s]""Recruitment was done initially through letters to all elementary schools in the Common\nCore of Data–Pennsylvania (U.S. Department of Education, 2008).[¬e]""']",NA,"['Page 10:\n[¬s]""Our recruitment effort\nresulted in 58 rural and 70 suburban classrooms.[¬e]""']",NA,NA,NA
"['Page 8:\n[¬s]""the Northeast led by the project director recruited\nschools to participate in the study by sending letters of invitation\nto all schools within two states and following up with phone calls\nand regional presentations to school leaders.[¬e]""']",NA,"['Page 8:\n[¬s]""n both rural and suburban\nsettings based on school districts data reported on state websites.[¬e]""']",NA,NA,NA
"['Page 2:\n[¬s]""A total of 24 teachers (2 science and 2 mathematics teachers, in each of six schools in two LEAs)[¬e]""']",Four teachers (2 Maths and 2 Science teachers) from each of the six schools selected from two LEAs (Medway and Oxfordshire).,NA,NA,NA,NA
"['Page 74:\n[¬s]""Maryland[¬e]""']",NA,"['Page 74:\n[¬s]""semi-suburban[¬e]""']",NA,NA,NA
NA,NA,NA,"suburban town of 12,000few inhabitants in lower classesfew minority students in the school",NA,"suburban town of 12,000few inhabitants in lower classesfew minority students in the school"
NA,NA,"['Page 36:\n[¬s]"" suburban town of 12,000 with few minority students. The town has few[¬e]""', 'Page 37:\n[¬s]""inhabitants in lower classes. Large industry, farming, and professional occupations predominate.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA
"['Page 62:\n[¬s]""12 different schools in six states participated[¬e]""']",12 different schools in 6 states participated in the study,NA,NA,NA,NA
"['Page 37:\n[¬s]""central N e w Jersey[¬e]""']",NA,"['Page 37:\n[¬s]""u r b a n school d i s t r i c t[¬e]""']",NA,NA,NA
"['Page 3:\n[¬s]""New York City[¬e]""']",NA,"['Page 3:\n[¬s]"" a private school in a middle-class neighborhood[¬e]""']",urban,NA,urban
