part_gen_raw,part_gen_ht,part_gen_info
['Mixed gender'],"['Page 3:\n[¬s]""(106 boys and 94 gi[¬e]""']","No numbers given by condition, so this number is for full sample"
['No information provided'],NA,NA
['No information provided'],NA,NA
['Male only'],"['Page 4:\n[¬s]""He was encouraged to try various solutions until he was satisfied that\nhe had the correct one or gave up.[¬e]""', 'Page 5:\n[¬s]""S was first asked to\ndescribe the main pattern without indicating which of the distractors is\ncorrect. After this, he was asked for the correct solution and instructed to\nexplain why he chose the particular distractor he did.""\n""-After S chose his answer, E informed him\nof the correctness of his choice. If the solution was correct, E said ""~/\'es, that\'s\ncorrect, you did it correctly.""[¬e]""']",Indicative of male-only.
['No information provided'],NA,NA
['No information provided'],NA,NA
['No information provided'],"['Page 4:\n[¬s]""Anecdotal instructor reports indicate that a larger proportion of\nfemales than males participated.[¬e]""']",Numerical information not given
['Mixed gender'],"['Page 68:\n[¬s]""Girls (n = 2,112)""\n""Boys (n = 2,044)[¬e]""']","51% girls: 49% boys 2,112 girls: 2,044 boys (inclusive of treatment and control condition) "
['Mixed gender'],NA,"Not specified, assumed mixed gender. "
['Mixed gender'],"['Page 5:\n[¬s]""the percentage of males (54%) assigned\nto the RRI group was lower than that assigned to\nthe TSP group (67%)[¬e]""']",39.5%
['Mixed gender'],"['Page 4:\n[¬s]""The mean ages were 72.6 months for the 30\nboys and 72.4 months for the 30 girls.[¬e]""']",30
['Mixed gender'],NA,NA
['Mixed gender'],NA,NA
['Mixed gender'],NA,48.9% female (table 1)
['Mixed gender'],"['Page 4:\n[¬s]""To achieve a balanced design,\nonly 28 students (14 boys and 14 girls) were selected at\nrandom from each class.[¬e]""']",NA
['Mixed gender'],NA,NA
['Mixed gender'],NA,NA
['No information provided'],NA,NA
['No information provided'],NA,NA
['No information provided'],NA,NA
['No information provided'],NA,NA
['No information provided'],NA,NA
['Mixed gender'],"['Page 6:\n[¬s]""17 males and 13 females[¬e]""']",NA
['No information provided'],NA,NA
['No information provided'],NA,NA
['No information provided'],NA,NA
NA,NA,NA
['Mixed gender'],"['Page 8:\n[¬s]"" Of the participants with usable data, 52 were in the Summary Street® condition (24 females and 28 males) and 59 participants were in the control condition (38 females and 21 males).[¬e]""']",NA
['Mixed gender'],"['Page 3:\n[¬s]""In the experimental group""\n""(51 boys, 13 girls)""\n""The contrast students\' (57 boys, 20 girls)[¬e]""']",NA
['Mixed gender'],"['Page 3:\n[¬s]""Subjects were 88 students (45 boys, 43 girls), wh[¬e]""']",49% female
['Mixed gender'],"['Page 4:\n[¬s]""2, 1, and 1 girls[¬e]""']",4 girls out of 54.
NA,NA,NA
['Mixed gender'],NA,NA
['Mixed gender'],NA,56.6% female (Table 2)
['Male only'],"['Page 7:\n[¬s]"" MALE[¬e]""']",NA
['Mixed gender'],NA,Assumed based on lack of information.
['Mixed gender'],"['Page 3:\n[¬s]""The mean age of the students was 11.78 years\n(SD \t 0.66) and 50% were girls.[¬e]""']",50% female
['Mixed gender'],NA,See information on overall sample - numbers differ in table 2 and flowchartIn table 2Male 52%Female 48%Intervention groupMale - 100Female - 83Control groupMale - 83Female - 83
['Male only'],NA,NA
['Male only'],NA,NA
['Mixed gender'],"['Page 299:\n[¬s]"" The experimental group consisted of""\n"" 50 female""\n""The control group con\xad tained""\n"" 34 female[¬e]""']",50.3% female
['Mixed gender'],"['Page 5:\n[¬s]""Total Feedback""\n""187""\n""No Feedback""\n""192[¬e]""']","Sample F = 379, M = 399Total Feedback F = 187, M = 202No Feedback F = 192, M = 197"
['Mixed gender'],"['Page 2:\n[¬s]""The control classes con\xad tained 21 boys and 9 girls[¬e]""']",Information only provided for the control class.
['No information provided'],NA,NA
['Mixed gender'],"['Page 67:\n[¬s]"" 78 54.5[¬e]""', 'Page 70:\n[¬s]"" 5 29.4[¬e]""']",F - 83 out of 160
['Mixed gender'],NA,Not given
['No information provided'],NA,NA
['Mixed gender'],NA,Not given
['Mixed gender'],NA,Not given
['Mixed gender'],"['Page 54:\n[¬s]""52%[¬e]""']","F - 52% (Based on Groups 1, 2 and 3), no information available for Group 1 and 3 alone."
['Mixed gender'],"['Page 3:\n[¬s]""male and female students[¬e]""']",NA
['Mixed gender'],"['Page 4:\n[¬s]""52 percent are male (N=55) and 48 percent are female (N =50).[¬e]""']",NA
['Mixed gender'],"['Page 4:\n[¬s]""52 percent are male (N=55) and 48 percent are female (N =50).[¬e]""']",NA
['Mixed gender'],"['Page 9:\n[¬s]""ten[¬e]""']",F - 25% 
['Mixed gender'],"['Page 81:\n[¬s]""Frequency Percent Fifth Graders 65 100 Boys 33 51 Girls 32 49[¬e]""']","51% of sample are boys (n=33)49% of sample are girls (n=32)pg66, Table 3."
['Mixed gender'],NA,Not given
['No information provided'],NA,NA
['No information provided'],NA,NA
['Mixed gender'],"['Page 7:\n[¬s]""47 boys, 53 girls[¬e]""']",NA
['Mixed gender'],"['Page 3:\n[¬s]""There were 55 boys and 29 girls[¬e]""']",NA
['Mixed gender'],"['Page 9:\n[¬s]""25""\n""37""\n""Table 2. Sample statistics.[¬e]""']",62
['Mixed gender'],"['Page 7:\n[¬s]""67% male[¬e]""']",33% female
['Mixed gender'],NA,33% female
['Mixed gender'],"['Page 6:\n[¬s]""61% female[¬e]""']",61% female
['Mixed gender'],NA,61% female
['Mixed gender'],"['Page 12:\n[¬s]""54% male,[¬e]""']",46% female
['Mixed gender'],"['Page 12:\n[¬s]""54% male,[¬e]""']",46% female
['Mixed gender'],NA,Not given
['Mixed gender'],NA,Not given
['Mixed gender'],"['Page 4:\n[¬s]""64% female,\nranging[¬e]""']",64% female
['Mixed gender'],"['Page 4:\n[¬s]""64% female,[¬e]""']",64% female
['Male only'],NA,NA
['Mixed gender'],NA,See table 1 - p.197
['Mixed gender'],NA,NA
['Mixed gender'],NA,Not given
['Mixed gender'],"['Page 2:\n[¬s]""there were 15 girls and 18 boys in the ex\xad perimental group, and 17 girls and 12 bpys in the control group.[¬e]""']",51.6% female
['Mixed gender'],"['Page 4:\n[¬s]"" equal numbers of boys and girls in each group[¬e]""']",50% female
['Mixed gender'],"['Page 9:\n[¬s]""There was, however, a higher percentage of males in the Reading Tutor group\n(58.0%) than in the SSR group (42.2%)[¬e]""']",50.1%
['Mixed gender'],"['Page 4:\n[¬s]""The total sample consisted of 33 girls and 27 boy""\n""ex (the control group had aratio of 9:6""\n""7, the positive reinforcement group aratio of 8:7[¬e]""']",Female = 56.6% 
['Mixed gender'],"['Page 4:\n[¬s]""s. Block randomiza- tion was used to assure that the groups did not differ by sex (the control group had aratio of 9:""\n""d the negative verbal feedback group a ratio of 8:[¬e]""']",NA
NA,NA,NA
['Mixed gender'],NA,Not given
['Mixed gender'],"['Page 4:\n[¬s]""males and 129 females) [¬e]""']",118 males and 129 females
['Mixed gender'],"['Page 4:\n[¬s]""The groups consisted of both males and females[¬e]""']",Little information.
['Mixed gender'],"['Page 4:\n[¬s]"" The groups consisted of both males and females[¬e]""']",No exact numbers given
['Mixed gender'],NA,NA
['No information provided'],NA,NA
['No information provided'],NA,NA
['Male only'],NA,NA
['No information provided'],NA,NA
['Mixed gender'],"['Page 4:\n[¬s]""Groups\nwere heterogeneous in ability and gender.[¬e]""']",NA
['Mixed gender'],"['Page 119:\n[¬s]""There were 26 female students in each condition, with 21 males in the reviewers\x92 condition, 22 in the readers\x92 condition[¬e]""', 'Page 120:\n[¬s]""Total 27 56.25% 21 43.75% 26 54.16% 22 45.83[¬e]""']","Overall - F = 53, M = 43Reviewers - F=27, M=21Readers - F=26, M=22"
['Mixed gender'],"['Page 4:\n[¬s]""were ran-\ndomly assigned by grade and gender[¬e]""']",NA
['Mixed gender'],"['Page 5:\n[¬s]""experimental group had 27""\n""16 were female and 11 were male.""\n""comparison group had 19 students,""\n""10 were female, 9 male.[¬e]""']","Gender of total sample - 57% female, 43% male "
['Mixed gender'],NA,NA
['Mixed gender'],NA,NA
['Mixed gender'],"['Page 3:\n[¬s]""Seventy-two kindergarteners and first-graders (36 boys and 36 girls;[¬e]""']",50% female
['Mixed gender'],"['Page 2:\n[¬s]""Fifty-four students (45 boys and 9 girls) [¬e]""']",NA
['Mixed gender'],NA,"Not stated, therefore would assume mixed gender."
['Mixed gender'],"['Page 21:\n[¬s]""Gender: Male 53 60 Female 47 40[¬e]""']",InterventionMale - 53%Female - 47%ControlMale - 60%Female - 40%
['Mixed gender'],NA,"Female:Group 1 (Control): 40%Group 3 (multiple feedback): 53%Overall (in group 1 & 3): 48% Table 2, pg96."
['No information provided'],NA,NA
['Mixed gender'],"['Page 2:\n[¬s]""An equal number of each sex were given IKR and no-IKR.""\n""After pupil attritions the subject population was randomly reduced to 264 to pro\xad vide equal (N - 33) cell frequencies.[¬e]""']",50% were female66 children were female (33 in Group 2 and 33 in Group 4).
['Mixed gender'],"['Page 6:\n[¬s]""Figure 2. Gender[¬e]""']",NA
['Mixed gender'],NA,NA
['Mixed gender'],"['Page 3:\n[¬s]"" 19 girls and 14 boys[¬e]""']","Highlighted is the total numbers (out of the 33 total) by gender (58% female), but it does not state a breakdown by group, only that children were randomply assigned by gender and classroom. We can assume both groups 2 and 3 were mixed but not the numbers of male and female in each."
['Mixed gender'],"['Page 5:\n[¬s]""_N * 40, 20 boys, 20 girls[¬e]""']","50% female overall.This is in relation to the total number involved in the study. The study comprises of 3 groups (Group 1 = Process Goal, Group 2 = Product Goal, Group 3 = General Goal) with a fourth group created as Group 1 was split into 2 conditions (Group 4 = Process + Feeback). I am looking at Group 1 & Group 4 therefore it is not possible to state exactly how many students were involved in these groups."
['Mixed gender'],"['Page 1:\n[¬s]"" for 20 male and 20 female[¬e]""']",50% -50%
['No information provided'],NA,NA
['Mixed gender'],"['Page 2:\n[¬s]""Chil\xad dren were randomly assigned to groups with the restriction that there be an equal number of boys and girls in each group.[¬e]""']",NA
['No information provided'],NA,NA
['Mixed gender'],NA,NA
['Mixed gender'],NA,Assumed as no information given.
['No information provided'],NA,NA
NA,NA,NA
['No information provided'],NA,NA
['No information provided'],NA,NA
NA,NA,NA
['Mixed gender'],NA,NA
['Mixed gender'],NA,Assumed as not stated.
['Mixed gender'],NA,"Gender of students is not reported, therefore assumed sample is mixed. "
['Mixed gender'],NA,"Overall 52 male students and 50 female students. From Table 3.1, pg31"
['Mixed gender'],NA,"The number of male and female students is not stated in the study, therefore it is assumed the sample is mixed gender. "
['No information provided'],NA,NA
['Mixed gender'],"['Page 78:\n[¬s]"" 23 boys and 39 girls.[¬e]""']",NA
['Mixed gender'],NA,Total Males = 37 (48%)Total females = 40 (52%)
['Mixed gender'],NA,"not specified, however this study is conducted in a western public school "
['Mixed gender'],NA,Not given
['Male only'],NA,NA
['Mixed gender'],NA,Conhort aIntervention 49.3% maleControl 49.1%  maleCohort bIntervention 48.4% maleControl 49.9%  male
['Mixed gender'],NA,NA
['Mixed gender'],NA,NA
['Mixed gender'],"['Page 8:\n[¬s]""About 48% of the student\nsample (48.2%; n ⫽ 1,200) was female[¬e]""']",NA
['No information provided'],NA,NA
['Mixed gender'],"['Page 77:\n[¬s]""66 were female and 68 were male[¬e]""']",NA
['Mixed gender'],"['Page 45:\n[¬s]""The balance of males to females[¬e]""']",NA
['Mixed gender'],NA,NA
['Mixed gender'],NA,Not given
['Mixed gender'],NA,Not given
['Mixed gender'],NA,Not given
['Mixed gender'],NA,Not given
