int_objec_ht,int_objec_info
"['Page 2:\n[¬s]""investigate the relationship between procedural characteristics, orientation factors, and the performance optimizing conditions, verbalization, and elaborate[¬e]""']",NA
"['Page 3:\n[¬s]"" Experiment 2 was designed to assess whether teaching EMR students a double-counting strategy had any beneficial effects over and above those of providing feedback alone.[¬e]""']",NA
"['Page 17:\n[¬s]""Given the important role that good Beta standard setting procedures can play In fostering student cognitive and affective development in mastery learning, individualized instruction, and much of ordinary school learning, the validation of the proposed rationale becomes crucial. The remainder of this study focuses on its validation. An attempt will be made to aPPly the rationale to the setting of a standard for a short\xad term, sequential learning task.""\n""The absolute performance levels maintained by students throughout the task\'s learning will be[¬e]""', 'Page 18:\n[¬s]"" measured by diagnostic (formative) tests. Their learning at the task\'s completion will be assessed by summative mea\xad sures for various learning criteria. The standard set will be that absolute performance level which, when maintained throughout the task\'s learning, maximizes learning as measured by the selected criteria.[¬e]""']",NA
"['Page 39:\n[¬s]""The objective of specific treatment was to change the deficit behaviors of selected children so that they were indistinguishable from their regular classmates. To accomplish this it was necessary to state in terms of correct and error responses the performance of all children in the specific treat- i ment group, then to treat those children until their performance matched that of their nonreferred peers.[¬e]""', 'Page 40:\n[¬s]"" It was hoped that at the point when treatment was terminated, the beginning reading performance of the specifically treated child would be indistinguishable from the average child in the regular classroom-. It was also hoped that the regular class\xad room teacher would corroborate the fact that the performance of the specifi\xad cally treated child and the average child in her class was very similar.[¬e]""']",NA
NA,"Abstract  '...determine the effects of individualized written feedback, oral group feedback, and no feedback on learning music.' Note  Coding only written feedback and no feedbck here."
NA,"Abstract  '...determine the effects of individualized written feedback, oral group feedback, and no feedback on learning music.' Note  Coding only oral feedback and no feedbck here."
"['Page 2:\n[¬s]""he primary purpose of this study was to\nexamine the effect of peer feedback on the quality of student\nwriting and the amount and kind of revis[¬e]""']",NA
"['Page 2:\n[¬s]"" compared gains made while charting scores on linear graphs with gains made while simply recording raw scores. [¬e]""']",NA
"['Page 2:\n[¬s]""compared gains made while charting scores on semilog graphs with gains made while simply recording raw scores. [¬e]""']",NA
"['Page 2:\n[¬s]""assess the immediate effects of success feed- back (a high score on a previous test), fail- ure feedback, or no feedback on a power test of academic aptitude administered to seventh-grade students under realistic con- ditions. Possible sex differences and differ- ential effects of feedback on subjects of dif- ferent ability levels were also investigated.[¬e]""']",NA
"['Page 1:\n[¬s]"" investigated the effects of""\n""failure feedback, and no feedback on a scholastic aptitude test[¬e]""', 'Page 2:\n[¬s]""assess the immediate effects of""\n"" fail- ure feedback, or no feedback on a power test of academic aptitude[¬e]""']",NA
"['Page 2:\n[¬s]"" professional development""\n""professional growth in formative assessment,[¬e]""', 'Page 4:\n[¬s]""This study involved remedial reading teachers in investigating their own formative assessment practices.[¬e]""', 'Page 5:\n[¬s]""The reason for selecting reading for emphasis that year was that achievement on the state reading assessment was low. With professional development reading achievement did, in fact, rise in 2005 in the district. ""\n""he authors were in essence doing their own inquiry into practice,[¬e]""']",NA
"['Page 22:\n[¬s]""The first objective of the study was to investigate the effects of modes of feedback, commonly used in microcomputer-based drill and practice, on student achievement (retention) of multiplication facts, learning in the area of encoding cognitive knowledge. This objective was pursued by having the microcomputer display on the video output screen three levels of informational feedback: either no feedback, knowledge of results (""CORRECT"" or ""WRONG"" after a student response),[¬e]""']",Note  KOR + CP is ignored as an informational feedback mechanism in this coding. 
"['Page 1:\n[¬s]""The present research was thus designed to study the ef\xad fects of different feedback conditions on intrinsic motiva\xad tion.""\n""We expected that receipt of individualized, specific, non-normative information about task performance, includ\xad ing both positive and negative comments, would maintain or even enhance subsequent motivation.[¬e]""']",NA
"['Page 1:\n[¬s]""the ef\xad fects of different feedback conditions on intrinsic motiva\xad tion.[¬e]""']",Not explictly stated. To improve instrinsic motivation. 
"['Page 3:\n[¬s]""at comments would promote task involv[¬e]""']","Not explictly stated. Interpreted as  to promote task involvement, increase motivational perceptions, interest, performance "
"['Page 3:\n[¬s]""t, that both grades and praise would promote ego involv[¬e]""']",Aim not explicitly stated. Seemed to be  to improve  ego improvement
"['Page 3:\n[¬s]""s and praise would promote ego involv[¬e]""']","Not explictly stated, but interpreted as  to promote ego involvement "
"['Page 3:\n[¬s]""help stu\xad dents lay the conceptual foundation needed to learn about new subject areas.""\n"" repeated practice in summary writing with supportive feedback should, over time, affect students’ reading strategies in a positive manner, essentially leading them to become[¬e]""', 'Page 4:\n[¬s]""more active, engaged readers. This is the overarching goal of the software we are describing here.[¬e]""']",The primary objective of the intervention is to assist students in becoming more actively engaged readers. 
"['Page 3:\n[¬s]"" sum\xad mary writing—articulating understanding in one’s own words—can help stu\xad dents lay the conceptual foundation needed to learn about new subject areas""\n"" repeated practice in summary writing with supportive feedback should, over time, affect students’ reading strategies in a positive manner, essentially leading them to become[¬e]""', 'Page 4:\n[¬s]""more active, engaged readers.[¬e]""']",NA
"['Page 1:\n[¬s]""maximizing performance on the Raven[¬e]""']",NA
"['Page 4:\n[¬s]""in improving students’ reading comprehension[¬e]""']",NA
"['Page 11:\n[¬s]""Delayed feedback allows the\nlearner time to forget his/her initial response, so proactive interference does not\noccur between that response and the feedback provided.[¬e]""', 'Page 16:\n[¬s]""AUC feedback requires the learner to\nreconsider missed items, with the added knowledge that their previous response was\nincorrect.[¬e]""', 'Page 7:\n[¬s]""KCR feedback goes one step further by telling the learner that the answer is\nright or wrong, then provides the correct answer.[¬e]""']",NA
"['Page 5:\n[¬s]""Further, DF\nand KCR were selected because these forms vary systematically in terms of two factors\nthat impact learning, immediacy of the feedback response and repetition of the item,\nwith MTF falling midway between DF and KCR. Speciﬁcally, DF and MTF provide\nrepeated exposure to lesson items, while KCR and MTF provide immediate feedback.[¬e]""']",NA
NA,"The primary objective was to test the effectiveness of the 6 + 1 Writing Model using a large-scale experimental design.   Secondary to testing the effectiveness of this approach to writing instruction on student writing ""achievement"" was testing the impact of the intervention on different traits of writing and testing for variants in the effectiveness of the 6+1 Trait model by gender and/or ethnicity. "
"['Page 1:\n[¬s]"" to allow for effective decision making regarding the child\'s program.[¬e]""']","1. To identify any students in the class setting who are consistently failing to meet set objectives of mathematics lessons  2. To implement the monitoring system on an ongoing basis to facilitate the ""speciale educator"" in his/her decision-making regarding the student's programme and progress. "
"['Page 1:\n[¬s]""the implementation of a comprehen-\nsive RTI model “may reduce the number of stu-\ndents referred for special education, promote[¬e]""', 'Page 2:\n[¬s]""effective early intervention, provide diagnostic\ninformation to consider in the identification of a\ndisability, and/or may reduce the impact of a dis-\nability on a child’s academic progress”[¬e]""']",NA
"['Page 3:\n[¬s]""the present study was designed\nto explore the relative effects of four different\nclasses of rewards—tangible, symbolic, and\nverbal rewards (all administered by the ex-\nperimenter) and a self-reward in which sub-[¬e]""', 'Page 4:\n[¬s]""jects administered their own symbolic re-\nwards.[¬e]""']",NA
"['Page 1:\n[¬s]""effects of precision teaching with a regular education population in the math and spelling\nareas[¬e]""']",NA
"['Page 2:\n[¬s]""t. It was predicated in the present study that subjects who produced their own hierarchical cues would score significantly higher than either the con trol or provided-hierarchy groups on posttest scores.[¬e]""']",NA
"['Page 22:\n[¬s]""compare and contrast modeling characteristics as applied to cognitive modeling of reading comprehension monitoring in terms of the influence of these characteristics on the reading comprehension and reading comprehension monitoring of eighth grade readers.[¬e]""']",NA
"['Page 2:\n[¬s]""One major purpose of the present inves- tigation was to train a sample of Venezuelan elementary school teachers to provide writ- ten feedback on students\' homework as- signments""\n""The psychology behind this notion is that\nspecific feedback on errors draws attention\nto material not adequately learned, allowing\nthe student to focus there and not be dis-\ntracted by too much reexamination of work\ndone well[¬e]""']",To improve student achievement and attitudes towards mathematics.
"['Page 18:\n[¬s]""A comparison of the performance of students in the three groups was Intended to provide insight Into the effectiveness of Interspersed questions and computer feedback for enhancing comprehension.[¬e]""']",NA
"['Page 49:\n[¬s]""Students in the peer evaluation classes will improve more\nin writing skills than students in the teacher lecture classes.[¬e]""']",To improve student writing skills
"['Page 7:\n[¬s]""indi-\ncates ghat happens when a learner is provided with alint.""\n""Given a hint to work as a corrective agent which provides\nclues leading to discovery, the student is likely to spend\nwore tire on the problem.[¬e]""']",not stated clearly to help a students spend more time on a problem and eventually get to the answer/discovery of an answer
NA,not stated  
NA,not stated
"['Page 2:\n[¬s]""believes that an effective instructional strategy for teaching verbal knowledge, for example, may not work well for teaching motor skills. If the hypotheses of Gagne\' are correct, matching the remedial instruction strategy with the type of learning involved should produce significant improvement in learner achieve\xad ment.""\n""The purpose of this investigation was to determine if remedial instruction that focused on prerequisite skills would produce a more signifi\xad cant improvement in achievement of intellectual skills than additional practice items used as remediation.""\n""The purpose of this study was to test Gagne’s hypothesis that attention to prerequisites should be more effective than repeated\npractice of a final task when learning intellectual skills.[¬e]""']",NA
"['Page 10:\n[¬s]""By design and frequency of implementation with CLAD, students may begin to rely on one another and to question themselves—to be able to open up and listen to other points of view.""\n""This study was conducted in the context of assisting an elementary school to improve student achievement and implement inclusive education""\n""CLAD was implemented as a means of reducing the reading achievement gap among this school’s third-grade students.""\n""it was to\nprovide low achieving students with skills to improve their reading[¬e]""']",not stated
"['Page 5:\n[¬s]""The present study used direct instruction in the problem-solving process of revision, in an attempt to affect sixth graders’ facility with revision—that is, their knowledge about how to revise (the ability to identify discrepancies be\xad tween intended and instantiated text and to know how to make desired changes) and their ability to carry out revision operations.[¬e]""']",NA
NA,Improve student problem solving skills?
"['Page 1:\n[¬s]""to track students’ problem-solving behavior in order to provide targeted feed- back.""\n""to provide\nfeedback and help students learn.[¬e]""']",NA
"['Page 1:\n[¬s]""to track students’ problem-solving behavior in order to provide targeted feed- back.""\n""to provide\nfeedback and help students learn[¬e]""']",NA
"['Page 1:\n[¬s]""to provide\nfeedback and help students learn.[¬e]""']",NA
"['Page 6:\n[¬s]""we seek to replicate these results using different texts and a somewhat older student population and to see whether the beneficial effects of Summary Street® use may accrue over a longer period of practicing with the tool""\n""In addition, the study provides a more detailed look at what aspects of summary writing are benefitted by the feedback from Summary Street®. The question of individual differences is also explored, as it is possible that students of differing ability levels will respond in different ways to the feedback.""\n""Finally, we seek to provide evidence for the hypothesis that sustained, guided practice in summary writing improves the way students read and comprehend 58 / FRANZKE ET AL.[¬e]""', 'Page 7:\n[¬s]""difficult textual materials, as measured by an independent test of comprehension: does practice in summarizing, guided by feedback on the content of one\x92s writing, enhance comprehension processes beyond what is gained from simply practicing summary writing without feedback[¬e]""']",NA
"['Page 2:\n[¬s]""With respect to the reading skills of handicapped children, the purpose of the present investigation was to examine the educational effects of data- based program modification (DBPM; Mirkin et al, 1981), a repeated, systematic assessment system. [¬e]""']",NA
NA,not stated
"['Page 2:\n[¬s]""The current study, therefore, was designed to investigate strategies for enhancing practitioner involvement within computer-managed CBM.[¬e]""', 'Page 3:\n[¬s]""Results should contribute to greater understanding of critical dimensions of teachers’ involve\xad ment within the CBM process. Addition\xad ally, findings should help determine whether and, if so,, how automatized feedback systems might be designed[¬e]""']",NA
"['Page 2:\n[¬s]""The purpose of the current study was to explore different levels of additional anal\xad ysis of student errors within CBM.[¬e]""']",   The purpose of the current study was to explore different levels of additional anal­ ysis of student errors within Curriculum-Based Measurement (CBM).  
"['Page 1:\n[¬s]""Specif\xad ically, we investigated how expert system computer programs might be applied within CBM systems to enhance practi\xad tioners’ instructional planning in spelling.[¬e]""', 'Page 2:\n[¬s]"" by examining the nature of instructional adjustments teachers employ using CBM, with and without expert system advice, this study should add important information about aca\xad demic planning in response to systematic assessment activities. It also should help teachers and potential consultants, such as school psychologists, identify the types of programmatic adjustments more likelv to result in better student growth.[¬e]""']",NA
NA,'The purpose of this study was to examine the effectiveness of these modified CBM decision-making strategies within general education programs that include students with disabilities for instruction.' (p.519)
"['Page 41:\n[¬s]""The contribution of this proposed study to the field of Educational Technology is to try to answer some of the practical questions and to fill some of the gaps that exist in the literature. Using subjects from the third world in general and frcm Libya in particular to investigate the effects of token economy systems and/or immediate knowledge of results on English Language achievement is the main contribution of this study which may provide the literature with facts regarding the generalizability of the theories under investi\xad gation. The second contribution is providing the Libyan Ministry of Education with research based recommendations for practical application to help improve the educational system there. The third contribution and yet with the same value is to provide facts on the differential effects of the variables on the two different sector of the Libyan society e.g. rural versus urban.[¬e]""']",NA
"['Page 2:\n[¬s]""examined the effect of inserted questions in text with and without feed- back on students\' estimates of posttest performance. The literature examining students\' estimates of posttest performance consistently has reported very low relationships be- tween students\' estimates of performance and their actual posttest performance.[¬e]""', 'Page 3:\n[¬s]"" the focus of the current study is on a test of a procedure designed to improve students\' calibration of comprehension.[¬e]""']",NA
NA,not stated
"['Page 5:\n[¬s]""Accelerated Reader (AR) is a whole-group reading management and monitoring programme that aims to foster the habit of independent reading among primary and early secondary age pupils.[¬e]""', 'Page 8:\n[¬s]""The purpose of the impact evaluation, designed as an RCT, was to assess the strength of any benefit from using AR for 20 weeks on the literacy performance of Year 7 pupils who had not achieved secure Level 4 in KS2 English at their prior primary schools.[¬e]""']",NA
"['Page 3:\n[¬s]""The present study was designed to assess the effects of a money reinforcer in conjunction with feedback. Also, in view of the idea that the explication of cues is helpful in improving the functioning of Externals, the presence of confirmations (immediate feedback of correct respond ing) was anticipated to have beneficial effects on Exter nals, but be ineffective on Internals.""\n""report either superior learning or no significant\ndifferences when confirmations were omitted from pro\ngramming, despite the earlier belief in the necessity for\nsuch feedback.][¬e]""']",NA
"['Page 3:\n[¬s]""The present study was designed to assess the effects of a\nmoney reinforcer in conjunction with feedback. Also, in\nview of the idea that the explication of cues is helpful in\nimproving the functioning of Externals, the presence of\nconfirmations (immediate feedback of correct respond\ning) was anticipated to have beneficial effects on Exter\nnals, but be ineffective on Internals. [Several studies (7,\n12, 16) report either superior learning or no significant\ndifferences when confirmations were omitted from pro\ngramming, despite the earlier belief in the necessity for\nsuch feedback.][¬e]""']",NA
"['Page 298:\n[¬s]""The purpose of the research was to analyze the effects of training par\xad ents as an aid to improving the writing skills of fourth grade students.[¬e]""']",NA
"['Page 3:\n[¬s]""Hypotheses Hypothesis 1:""\n""total feedback""\n""will cause better subsequent criterion test performance than will no immediate feedback.""\n""Hypothesis 2: Criterion test performance of top third students in achievement will be highest under conditions of no feedback; criterion test performance of bottom third students in achievement will be highest with total feedback and lowest with no feedback.[¬e]""']",To address the following hypotheses
"['Page 1:\n[¬s]"" to extend principles of instruction which could promote advancements in the management of educational problems pre\xad sented by children classified as mentally re\xad tarded. A second major objective was to de\xad velop replicable procedures which could be used by other teachers.[¬e]""']",NA
"['Page 7:\n[¬s]""Studies of revision have shown that students do make revisions from a\nfirst draft to a final draft and that the revisions improve the compositions\nin quality. However, an important pedagogical question remains unan-\nswered: Does practice in revising increase writing skill? That is, does prac-\ntice in revising increase the quality of subsequent first drafts?[¬e]""']",NA
"['Page 19:\n[¬s]""1. Is there a difference in student writing achievement between students who received the AWE program as part of their classroom instruction and those students who received traditional writing instruction? 2. Is there a difference in student writing achievement between economically disadvantaged students who received the AWE program as part of their classroom[¬e]""', 'Page 20:\n[¬s]""instruction and economically disadvantaged students who received traditional writing instruction? 3. Is there a difference in student writing achievement between male and female students who received the AWE program as part of their classroom instruction and male and female students who received traditional writing instruction? 4. Is there a difference in student writing achievement between special education students who received the AWE program as part of their classroom instruction and special education students who received traditional writing instruction?[¬e]""']",The purpose of this study was to determine if Automated Writing Evalution (AWE) was an effective instructional methodology for increasing student writing achievement in the Upper Cumberland region of Tennessee.
"['Page 10:\n[¬s]""It was assumed that pupil achievement would be higher for pupils who were required to respond overtly to the lesson content in a random sequence than it would be for pupils who were not asked to make any overt responses at all.[¬e]""', 'Page 11:\n[¬s]""It was predicted that pupils who received positive teacher reactions to their overt responses, where appropriate, and occasional mild negative teacher reactions to their overt responses, where appropriate, would learn more than pupils who received minimal teacher reactions to their overt responses.[¬e]""', 'Page 7:\n[¬s]""It was assumed that pupils who were required to respond overtly to the lesson content in an unpredictable sequence would feel constrained to attend to the lessons and prepare answers to the lesson questions in anticipation of being asked to respond overtly and would, therefore, achieve highly. It seemed equally reasonable to assume that pupils who could predict when they were to be asked to respond overtly, or who were not required to respond overtly, would not feel constrained to attend to the lessons and prepare answers to the lesson questions to the same extent and would, therefore, have lower achievement.[¬e]""']",NA
"['Page 1:\n[¬s]""a peer assessment-based game development approach is proposed\nfor improving students’ learning achievements, motivations and problem-solving skills[¬e]""']",NA
NA,This study examined the impact of varying degrees of specificity of formative tests and learning correctives on (a) the cognitive achievement of students completing the unit on World War II and (b) the students' evaluation. In general it was hypothesized that the presence of a combined feedback-corrective (diagnostic-perspective) strategy as well as an increased level of specificity of feedback-corrective procedured would result in (a) significantly higher posttest achievement scores and (b) signficantly more favourable unit evaluations. 
"['Page 3:\n[¬s]""This research attempts to see how (a) carefully sequencing the frames of a program and (b) providing knowledge of results with each frame contribute to the program\'s effectiveness.[¬e]""']",NA
"['Page 2:\n[¬s]"" First, o f the various CBM written expression scoring indices, which measures were most appropriate for students o f different ages? Second, did more frequent administration o f CBM writing probes affect students’ writing skills? Third, did the use o f CBM written language probes have a differential effect on the writing achievement o f students o f different educational classification or gender? Fourth, what was the relationship between[¬e]""', 'Page 3:\n[¬s]""students’ scores on the CBM indices and the ISAT?[¬e]""']",NA
"['Page 1:\n[¬s]""It was hypothesized that this\ncondition would prove more effective on\nposttest performance than conditions\nwithout advisement[¬e]""']",NA
"['Page 2:\n[¬s]""enhancement of learning,[¬e]""']",NA
"['Page 2:\n[¬s]""enhancement of learning,[¬e]""', 'Page 3:\n[¬s]""The purpose of the study was to investigate lhe possible interaction effects\nbetween three levels of feedback and level of field-dependency in multimedia\npresentation. The achievement of posnest scores of field dependent and field-\nindependent students was compared among different levels of feedback treat-\nments.[¬e]""']",NA
"['Page 6:\n[¬s]"" The goal of this .research has been to determine empirically the effects of using formative evaluation techniques on student achievement in reading, spelling, and written expression.[¬e]""', 'Page 9:\n[¬s]""Two* questions were investigated\'concerning\'the efficacy of the ‘‘measures. Given that r -t^achers can learn to use a -formative r * 1 evaluation system for both measurement and evaluation,1 will the use of such ’-procedures have, a direct effect on student: achievement?""\n""Second, will the use; of such measures^h\'ave an • r, • \' v • . . - . ‘ effect on\' the structure of the learning ehvironment provided to the student?[¬e]""']","As well as further questions regarding the efficacy of the measures  Given that teachers can learn to used to learn a formative evaluation system for both measurement and evaluation, will the use of such procedures have a direct effect on student achievement? Will the use of such measures have an effect on the structure of the learning environment provided to the student?"
"['Page 23:\n[¬s]""This study investigated whether and how specific applications o f formative assessment strategies in elementary science learning influenced student attitudes and motivational beliefs about science learning, the development and application o f self- regulatory learning behaviors, and science achievement at the elementary level.[¬e]""']",NA
"['Page 17:\n[¬s]""1. What is the effect of ASSISTments on learning after one year\x92s usage as measured by a year-end state exam? 2. Is there a usage effect for students and/or teachers? 3. Is there any evidence teachers are using ASSISTment as a formative assessment aid?[¬e]""']",NA
"['Page 2:\n[¬s]"" aimed at improving the two aspects of lexical access - accuracy and fluency of reading[¬e]""']",NA
"['Page 8:\n[¬s]""1. To what extent will teachers in grades 3 to 6 implement the strategies presented in the 6+1 Trait ® Writing model following a two-day training session? 2. Following the implementation of the intervention, will the quality of writing produced by students in the treatment group be higher than that produced by students in the control group?[¬e]""']",NA
"['Page 5:\n[¬s]""Metacognitive support aims to increase learning competence by means of systematic explicit guidance to learners as they think and reflect on their tasks.[¬e]""', 'Page 6:\n[¬s]""enhancing online inquiry ability, transfer ability""\n""more easily augment their mathematical inquiry processes, transfer ability,[¬e]""']","The general aim is stated as 'to increase learning'  however inferred aims are also  to enhance online inquiry ability, more easily augment mathematical inquiry processes and transfer ability "
"['Page 2:\n[¬s]""The present study compared effects of training a rehearsal strategy alone (Rehearsal Only) to training “careful looking” and rehearsal in succession (Rehearsal & Look). Further, half of the latter group were given a rationale for this manipulation and shown the comparison in their own data (Compare Rehearsal & Look).[¬e]""']","The present study compared effects of training a rehearsal strategy alone (Rehearsal Only) to training “careful looking” and rehearsal in succession (Rehearsal & Look). Further, half of the latter group were given a rationale for this manipulation and shown the comparison in their own data (Compare Rehearsal & Look)."
"['Page 15:\n[¬s]""strategy knowledge may\ntransfer to reading comprehension[¬e]""']",NA
"['Page 5:\n[¬s]""receive a message informing him about the failure plus information about the right answer (i.e., right-answer feedback),""\n""which might lead him to modify his stra-\ntegic search decisions[¬e]""', 'Page 6:\n[¬s]""in order to boost strategic search decisions\nand performance in a task-oriented reading situation.[¬e]""']","not specified in the text as such but to improve a) task performance, b) strategic search decisions "
"['Page 11:\n[¬s]""we tried to emphasize the asso-\nciation between performance and students’ strategic\ndecisions[¬e]""']",not specified but in general to help students imrpove their performance and learn making the right strategic decision in searching a text
"['Page 2:\n[¬s]""k to promote the\ntransfer of students’ search decisions[¬e]""', 'Page 4:\n[¬s]""e added the possibility of revisiting the\ntext to reﬂect upon their response. That is, this procedure\ninvolved opportunities for self-assessment that were\ndirected to foster students’ self-regulation[¬e]""', 'Page 4:\n[¬s]""revisiting the\ntext to reﬂect upon their response.""\n""nvolved opportunities for self-assessment[¬e]""', 'Page 5:\n[¬s]""fostering the transfer of strategic\nwhen-to-search and what-to-search decisions to another\ntask-oriented reading episode where feedback is not pres-\nent.[¬e]""']",to foster transfer of what- and when- to search decisions to another tasks without feedback
"['Page 2:\n[¬s]""We designed different feedback conditions to explain the\nfeatures of effective formative feedback to promote the\ntransfer of students’ search decisions, an issue not inves-\ntigated so far[¬e]""', 'Page 4:\n[¬s]""o reﬂect upon\ntheir response and think about the relationship between\nthe information relevant to answer the question and the\nright choice,[¬e]""']",to foster transfer of what- and when- to search decisions to another tasks without feedback
NA,not specified but to improve students' decisions in relation to comprehending text and as in previous experiment to foster transfer of what- and when- to search decisions to another tasks without feedback
NA,not specified but to improve students' decisions in relation to comprehending text and as in previous experiment to foster transfer of what- and when- to search decisions to another tasks without feedback
"['Page 6:\n[¬s]""Our main research question can be reformulated thus: can the ability to consciously monitor inferential integrations while revising a written text be transferred, not only to the detection of comprehension problems in others\' written texts but also to writing itself, thereby increasing its comprehensibility?[¬e]""']",NA
"['Page 8:\n[¬s]""The purpose of the current study was to investigate the impact of a reciprocal peer revision strategy on LD students\' knowledge about writing and revising, their actual revising activity, and the quality of their writing. The study was designed to determine whether the strat\xad egy could be taught effectively in a classroom situation by special education teachers and whether such instruc\xad tion would meaningfully augment students\' writing per\xad formance in classes that followed a writing workshop approach to teaching writing and used word processors.[¬e]""']",NA
"['Page 2:\n[¬s]""enhancing learning and memory[¬e]""']",not stated. possibly to improve memory throughout previously tested items
NA,not stated. possibly to improve memory throughout previously tested items 
"['Page 2:\n[¬s]"" a series of hypotheses are formulated and tested con\xad cerning predicted effects of various forms of feedback upon second, fourth and sixth grade Flemish boys performing simple and complex tasks in a classroom setting.[¬e]""', 'Page 7:\n[¬s]"" to determine the effects of no, own,""\n""feedback upon the subsequent performance and learning of seven to twelve year-old children in a class\xad room setting[¬e]""']",NA
"['Page 2:\n[¬s]""mproving readin[¬e]""']","Not explictly stated - but inferred as, 'to improve reading'"
"['Page 1:\n[¬s]""Can an electronic portfolio that is both a multimedia container for student work and a tool to support key learning processes have a positive impact on the literacy practices and self-regulated learning skills of students?[¬e]""']",NA
"['Page 4:\n[¬s]""The research was designed to answer the following questions: 1. Does daily measurement increase student performance on objectives beyond that attained with pre and posttesting? 2. Does adding a data utilization component increase student performance on objectives beyond that attained with daily measurement alone?[¬e]""']",NA
"['Page 1:\n[¬s]""obtain additional evidence on the use of self-teaching materials.""\n""most programmers accept the assumption that knowledge of the correct response with a minimum of delay is necessary for effective learning to take place (Skinner, 1958). A test of this assumption is made in this experiment.[¬e]""']",NA
"['Page 1:\n[¬s]"" obtain additional evidence on the use of self-teaching materials.""\n""most programmers accept the assumption that knowledge of the correct response with a minimum of delay is necessary for effective learning to take place (Skinner, 1958). A test of this assumption is made in this experiment.[¬e]""']",NA
"['Page 2:\n[¬s]""whether computer-\nguided oral reading is also an effective means of improving reading and\nfluency. Computer-guided oral reading has the potential advantage of being both\na scalable and well-controlled form of reading instruction that allows students\nmore time to practice reading aloud than they would in a traditional classroom\nenvironment.[¬e]""']",NA
"['Page 1:\n[¬s]""udy examined the effects of response cost and related pro- cedures on the qualitative score of the Porteus Maze Test (Porteus, 1959)[¬e]""']",NA
"['Page 1:\n[¬s]""he effects of response cost and related pro- cedures on the qualitative score of the Porteus Maze Te[¬e]""']",Not explicitly stated. Inferred as  to improve children's scores on the Porteus Maze Test
