sample_analysed_ht,sample_analysed_info
NA,69 students in total - 32 experimental and 37 control. 
"['Page 1:\n[¬s]""Responsive\nReading Instruction (RRI; Denton, 2001; Denton & Hocker, 2006; n = 182) or typical school\npractice (TSP; n =240)[¬e]""']",422
"['Page 1:\n[¬s]""Sixty[¬e]""']",60
"['Page 10:\n[¬s]""The sample included a total of 186 first and sixth grade students in regular education[¬e]""']",186
"['Page 3:\n[¬s]""Subjects The subjects were 65 fourth, fifth, and sixth grade stu dents enrolled in a local elementary school. T[¬e]""']",NA
NA,"Total = 49 Control = 25, Treatment = 24 (Table 1)"
"['Page 3:\n[¬s]""504 sixth-grade students[¬e]""', 'Page 4:\n[¬s]""To achieve a balanced design,\nonly 28 students (14 boys and 14 girls) were selected at\nrandom from each class.[¬e]""']",NA
"['Page 72:\n[¬s]"" 66[¬e]""']","Of the 74 students remaining after the pilot study, 66 were able to be used In the main study, with 24 students in Group 1,22 In Group 2, and 20 in Group 3."
"['Page 52:\n[¬s]""154\nparticipated in this study.[¬e]""']","Tutored = 42 Peer Evaluation = 49 Teacher L = 42 No Comp = 21  (See Table 4, Page 71)"
"['Page 14:\n[¬s]""Hint group\nI CA group\nR/11 group\nI\nI\nControl Group\nMD MD\nI\nI\nI\nI\nI\na\n12\n14\n11\n10[¬e]""']",N=22 total sample 47 but we are interested here for the control (n=10) vs hint (n=12)
"['Page 14:\n[¬s]""Hint group\nI CA group\nR/11 group\nI\nI\nControl Group\nMD MD\nI\nI\nI\nI\nI\na\n12\n14\n11\n10[¬e]""']",N=24 total sample 47 but we are interested here for the control (n=10) vs CA (n=14)
NA,"N=21 for the comparison we are interested in (treatment n=11, control n=10) (total of all treatment groups)"
"['Page 2:\n[¬s]""90 eighth-grade general science students""\n""three\ntreatment groups of 30 subjects each.[¬e]""']",NA
"['Page 11:\n[¬s]""While the intervention group consisted of 30 students, the\ncomparison group consisted of 95 third graders in a similar, yet larger, school\nwithin the same district. B[¬e]""']","125 30 treatment (CLAD), 95 controls"
"['Page 2:\n[¬s]""Fifteen sixth graders received instruction in the process of revision; 15 controls read good literature.[¬e]""', 'Page 5:\n[¬s]""30[¬e]""']",NA
"['Page 7:\n[¬s]""Table 1. Test scores (range: 0 to 1)[¬e]""']",Control = 53 iList-1 = 61 iList-2 = 56 iList-3 = 19 Human Tutor = 54
NA,Control = 53 iList-1 = 61 iList-2 = 56 iList-3 = 19 Human Tutor = 54
NA,Control = 53 iList-1 = 61 iList-2 = 56 iList-3 = 19 Human Tutor = 54
NA,NA
"['Page 8:\n[¬s]""the analyses are based on responses of 111 students who missed no more than three of the eight summary practice sessions.""\n""Of the participants with usable data, 52 were in the Summary Street® condition (24 females and 28 males) and 59 participants were in the control condition (38 females and 21 males).[¬e]""']",NA
"['Page 3:\n[¬s]""Subjects were 39 New York City Public School special education teachers""\n"" experimental group""\n"" (51 boys, 13 girls)""\n"" The contrast students\' (57 boys, 20 girls)[¬e]""']",NA
"['Page 3:\n[¬s]""Subjects were 88 students (45 boys, 43 girls), who\nconstituted the four first-grade classes of a small, rura[¬e]""', 'Page 3:\n[¬s]""This random sampling resulted in 49 students in the\nalternative mastery learning treatment (DBI) and 39\npupils in the typical mastery learning treatment (TYP).[¬e]""']","88 students 49 treatment (DBI), 39 control (TYP)"
NA,10 teachers
"['Page 2:\n[¬s]"" Participants were 30 special educators in 16 schools, who taught self-contained or re\xad source programs.""\n"" leaving student ns of 19 and 20 in the two su bgroups of Group 1; 18 and 17 in the two subgroups of Group 2; and 18 in the control group.[¬e]""']"," Teachers: Participants were 30 special educators  Students: Each CB M teacher selected four stu­ dents to participate; each control teacher, two stu­ dents.   Students: 19 and 20 in the two su bgroups of Group 1;  18 and 17 in the two subgroups of Group 2;  and 18 in the control group."
"['Page 1:\n[¬s]"" Thirty teachers[¬e]""']",NA
NA,"Tachers Total = 30, 'no CBM, n = 20', 'CBM-IN, n = 10' (p.519). Pupils Total = 90 'Teachers implemented their respective treatments with all students in their math classes. To specify research participants for whom treatment effects would be evaluated, however, teachers identified three students: (a) one student who was chronically low achieving in mathematics, as judged by the teacher, and had been classified learning disabled...' (p.519) '...(b) one student who was chronically low achieving in mathematics, as judged by the teacher, but had never been referred for special education assessment...(c) one student whose mathematics performance was near the middle of the class, as judged b the teacher.' (p.520)"
"['Page 54:\n[¬s]""The sample that participated in the pilot study (30 subjects)[¬e]""']",NA
"['Page 4:\n[¬s]""45 high school juniors and seniors[¬e]""']",Note: these 45 students were split into 3 groups but only 2 of these groups are being included here.
"['Page 4:\n[¬s]""(N \t98)""\n""(N\t 100)[¬e]""']","198 treatment = 100, control=98"
NA,"Table 2 has 183 in intervention, 166 in control Flow diagram has 166 in intervention, 183 in control  Flow diagram shows total analysed is - 339 Intervention - 164 Control - 175  "
"['Page 3:\n[¬s]""Ss were 78 white, low[¬e]""']",NA
"['Page 3:\n[¬s]""Ss were 78 white, lower-middle class, 11[¬e]""']",NA
"['Page 299:\n[¬s]"" 167 fourth-grade students""\n""The experimental group consisted of 97 students""\n"" The control group con\xad tained 70 students,[¬e]""']",NA
"['Page 4:\n[¬s]""Total Feedback 389""\n""No Feedback 389[¬e]""']",778 students
"['Page 1:\n[¬s]""The experimental group was composed of 24 students ""\n""he control group consisted of 30 students[¬e]""']",54 students in total
"['Page 12:\n[¬s]""34""\n""33""\n""31""\n""33[¬e]""']",131
NA,160 students (80 students from School A- treatment group and 80 students from School B- control group)
NA,206
"['Page 1:\n[¬s]""167[¬e]""']",167
"['Page 2:\n[¬s]""(N=21)""\n""(N=21)[¬e]""']",42 students
NA,Sample size for just Groups R and O not given
"['Page 55:\n[¬s]""67""\n""94[¬e]""']",161 students
"['Page 3:\n[¬s]""(N = 48[¬e]""']",48
"['Page 4:\n[¬s]""105[¬e]""']",NA
"['Page 4:\n[¬s]""105 upper secondary school studeOls[¬e]""']",NA
NA,40 students (20 in the treatment group and 20 in a control matched group).
"['Page 80:\n[¬s]""All fifth graders enrolled in this school were invited to participate in the study (N = 65). Two classes (n = 43) served as the treatment group (receiving the intervention), and one class (n = 22) served as the control (no intervention).[¬e]""']","Student participants in the study included three fifth-grade classes, with one control (n=22) and two treatment classes (n=43)."
NA,1240 seventh grade students
"['Page 4:\n[¬s]"" groups of 15 subjects[¬e]""']","60 in total, 15 for purposes of this coding "
"['Page 30:\n[¬s]""Table 4: Results for the Holistic Score for Treatment and Control Groups by Grade[¬e]""']","1592 students (424 in grade 3, 419 in grade 4, 386 in grade 5 and 363 in grade 6)."
"['Page 15:\n[¬s]""Group feedback (n = 32) Self- explanations (n = 32) Control (n = 36)[¬e]""', 'Page 7:\n[¬s]""100[¬e]""']",NA
"['Page 3:\n[¬s]""The 5s were 84 of these children selected for training by virtue of missing at least four of the 10 pretest trials.[¬e]""']",84 children
"['Page 1:\n[¬s]""N ⫽ 148[¬e]""']",148
"['Page 7:\n[¬s]""The ﬁnal\nsample distribution was as follows: there were 30 stu-\ndents in the strategic-search-decisions feedback group,\n34 students participated in the right-answer feedback\ngroup, and 28 students participated in the placebo feed-\nback group.[¬e]""']","Total for the conditions who data extract here is N=62 (34 for right answer condition, 28 for active control) (for all three conditions, not data extracted here, the total sample is N=92)"
"['Page 7:\n[¬s]""The ﬁnal\nsample distribution was as follows: there were 30 stu-\ndents in the strategic-search-decisions feedback group,\n34 students participated in the right-answer feedback\ngroup, and 28 students participated in the placebo feed-\nback group.[¬e]""']","Total for the conditions who data extract here is N=58 (30 for strategic search-decision condition, 28 for active control) (for all three conditions, not data extracted here, the total sample is N=92)"
"['Page 6:\n[¬s]""They were\nrandomly distributed into three groups according to\nconditions: 50, 51 and 41 students in placebo,\nsearch&revisit and select&revisit feedback groups[¬e]""']","total N=142. Conditions are interest for this data extraction N=101 (50 control, 51 search&revisit)"
"['Page 6:\n[¬s]""distributed into three groups according to\nconditions: 50, 51 and 41 students in placebo,\nsearch&revisit and select&revisit feedback groups,\nrespectively[¬e]""']","N=91 (50 control, 41 select& revisit)"
"['Page 12:\n[¬s]""They were randomly distributed\ninto three groups: 37, 37 and 38 students in placebo, only-\nselect and select&revisit feedback groups, respectively[¬e]""']","N=74 for the comparison we are interested, 37 treatment and 37 control (N=112 for all 4 groups)"
"['Page 12:\n[¬s]""One hundred and twelve seventh and eighth graders took\npart in the study (mean age 12.39, SD=0.71; 54% male,\nSpanish native speakers). They were randomly distributed\ninto three groups: 37, 37 and 38 students in placebo, only-\nselect and select&revisit feedback groups, respectively[¬e]""']","N=75 (38 treatment, 37 control) Total in study N=112"
NA,28
NA,29
"['Page 4:\n[¬s]""Thirty-six second graders were recruited from the\ncommunity to participate in a laboratory experi-\nment (mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years). Of these,\n14 children were assigned to a control no-feed-\nback condition and 22 were assigned to a feed-\nback condition;[¬e]""']","36, 22 in feedback, 14 in coontrol"
"['Page 4:\n[¬s]""Thirty-six second graders were recruited from the\ncommunity to participate in a laboratory experi-\nment (mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years). Of these,\n14 children were assigned to a control no-feed-\nback condition and 22 were assigned to a feed-\nback condition;[¬e]""']","36, 22 treatment, 14 control"
NA,150 students
NA,"See table 1 - p.197 (only tutees data analysed, not tutors)"
NA,"296 students (14 teachers involved, but focus of study is on students) "
"['Page 4:\n[¬s]""13 subjects""\n""in each treatment group[¬e]""']",26 students 
"['Page 1:\n[¬s]"" (N = 62) [¬e]""', 'Page 2:\n[¬s]""there were 15 girls and 18 boys in the ex\xad perimental group, and 17 girls and 12 bpys in the control group[¬e]""']","Total = 62, Intervention = 33, Control = 29 "
"['Page 4:\n[¬s]"" 28 sixth-grade students [¬e]""']","Experimental = 14, Control = 14 (Table 2)"
"['Page 1:\n[¬s]""178[¬e]""']",178
"['Page 4:\n[¬s]""ack. Each group consisted of 15 subje[¬e]""']",Total = 30
"['Page 4:\n[¬s]""re""\n""ack. Each group consisted of 15 subj[¬e]""']",NA
"['Page 2:\n[¬s]""Ninety- three[¬e]""', 'Page 6:\n[¬s]""Table 5.[¬e]""']","41 students (PP - 25, C - 16)"
"['Page 4:\n[¬s]"" groups of 40[¬e]""']",80
"['Page 4:\n[¬s]""Two hundred and forty seven Ib[¬e]""']",NA
"['Page 4:\n[¬s]""35 second-grade students""\n"" The treatment group consisted of 15 second-grade stu- dents""\n""The non-treatment group consisted of 20 second-grade students[¬e]""']",NA
"['Page 4:\n[¬s]"" The treatment group consisted of 15 second-grade stu- dents and 25 fourth-grade students. The non-treatment group consisted of 20 second-grade students and 25 fourth-grade students.[¬e]""']",NA
"['Page 2:\n[¬s]"" 32 children[¬e]""']",NA
NA,"Total = 69, Intervention = 34, Control = 35 (Table 1)"
"['Page 3:\n[¬s]"" 97[¬e]""']",NA
"['Page 3:\n[¬s]""each group of 12 subjects[¬e]""']",24
"['Page 4:\n[¬s]""(N? 50)""\n""The\nstudents were randomly assigned to the treatment and control groups (10 per group).[¬e]""']",NA
NA,85
"['Page 119:\n[¬s]"" A total of 48 students comprised the groups of reviewers and readers[¬e]""']","96 students, Reviewers (n = 48), Readers (n = 48) "
"['Page 4:\n[¬s]""total of 145 fourth- and fifth- grade stu-\ndents[¬e]""']",145
NA,n=46 
NA,210
NA,210
"['Page 3:\n[¬s]""Seventy-two kindergarteners and first-graders""\n"" The children were assigned to six groups (n = 12)[¬e]""']",Feedback condition: 36 children No Feedback condition: 36 children  Overall: 72 children analysed.
"['Page 2:\n[¬s]""Fifty-four students (45 boys and 9 girls) participated in this study.[¬e]""']",Does not state how many children were in each group.
"['Page 5:\n[¬s]""subjects in this experiment (N = 93)[¬e]""', 'Page 6:\n[¬s]""Each good and poor comprehender was assigned in equal numbers (N = 16) to one of the experimental or control conditions by reference to a table of random numbers. The subjects were run ingroups of approximately 15 to 20, with roughly equal numbers of subjects from each condition in each group. Because 3 children (each from different conditions) failed to complete the reading of the passage, they could not be included in the data analyses. The ensuing unequal cell frequencies resulted in using unweighted means analyses of variance.[¬e]""']",It is unclear exactly how many children were in each group.
NA,Total allocated to intervention 10 schools 1983 pupils Control 10 schools 1541 pupils  Post test analysed Intervention Maths  5 schools 387 pupils  English 6 schools 710 pupils  Control Maths 6 schools 550 pupils  English 9 schools 1013 pupills
"['Page 37:\n[¬s]"" a total of 42 students constituted the final sample (control group = 10 students, single feedback group = 18 students, multiple feedback group = 14 students).[¬e]""']",Group 1 (control): 10 Group 3 (multiple feedback): 14  Overall 24 students.
NA,72
"['Page 2:\n[¬s]"" After pupil attritions the subject population was randomly reduced to 264 to pro\xad vide equal (N - 33) cell frequencies.[¬e]""']",Group 2 (IKR + 'Try your best'): 66 children Group 4 (No IKR + 'Try your best'): 66 children   Overall: 132 children analysed.
"['Page 6:\n[¬s]""4649[¬e]""']",4649
"['Page 2:\n[¬s]""98[¬e]""']",NA
"['Page 3:\n[¬s]""Participants were 33 fourth graders from two classes in one elementary school.[¬e]""']",22  There are 33 in total but I am not including Group 1 therefore there are 22 students (11 in each group).  Difficult to highlight - number in each group detailed in Note section of Figure 1 on page 228.
"['Page 5:\n[¬s]"" (_N * 40, 20 boys, 20 girls)[¬e]""']","This is in relation to the total number involved in the study. The study comprises of 3 groups (Group 1 = Process Goal, Group 2 = Product Goal, Group 3 = General Goal) with a fourth group created as Group 1 was split into 2 conditions (Group 4 = Process + Feeback). I am looking at Group 1 & Group 4 therefore it is not possible to state exactly how many students were involved in these groups."
NA,intervention: 10 (process goal + progress feedback) control: 10  secondary control: 10 (process goal)
"['Page 24:\n[¬s]""Treatment schools ranged in size from 207 to over 670, with between 3 and 21% FSM-eligible pupils. Comparison schools ranged in size from 320 to over 620, with between 7 and 18% FSM-eligible pupils [¬e]""']",9 schools in intervention 5 schools comparators
"['Page 2:\n[¬s]""Twenty first graders (mean age = 6 years, 2 months) f""\n""Chil\xad dren were randomly assigned to groups with the restriction that there be an equal number of boys and girls in each group.[¬e]""']",NA
NA,Number of schools Intervention - 70 Contrrol - 70
"['Page 3:\n[¬s]""424 s[¬e]""']",424
"['Page 3:\n[¬s]"" Fifty-three\' students enrolled in a high school regents ^ \'chemistry course were"" randomly assigned to three treatment groups (Keeler group, Bloom grbup, and traditional group).[¬e]""']",Note: Only Groups 1 & 3 were considered here.  If split equally we can assume 17.6 students per group and 35.3 students in total across the 2 groups being cnsidered here.  
NA,58 children enrolled in a second-year class and a third-year class at a junior school
"['Page 3:\n[¬s]""The subjects were 52 of the children who had partici\xad pated in the first experiment. They were re-assigned to no feedback, passive feedback or active feedback conditions [¬e]""']","Total = 34.6 approx., Intervention = 17.3 approx., Control = 17.3 approx. (Specific numbers are not stated. The highlighted material demonstrates that the 52 participants were split across 3 groups, only 2 of which are being observed here.) "
NA,T = 60 Control (ML group) = 30 Treatment (ECPR +ML) = 30
NA,T = 60 30 = treatment ECPR + ML) 30 = control (ML only)
"['Page 8:\n[¬s]""Enhanced CPR + FB/C""\n""(n = 30)""\n""Conventional""\n""(n = 30)""\n""Enhanced CPR + FB/C""\n""( n = 29)""\n""Conventional""\n""(n = 31)[¬e]""']","Total = 120, I = 59, C = 61"
"['Page 3:\n[¬s]""104[¬e]""']",NA
"['Page 7:\n[¬s]"" 120 or so students.[¬e]""']",NA
NA,"MIFS group = 340 students Control group = 378 students  Overall = 718 students  From Table 1, pg4"
"['Page 30:\n[¬s]"" 102 sixth and seventh graders""\n""Phase II (involving 50 seventh graders) replicated Phase 1 (involving 52 sixth graders).[¬e]""', 'Page 32:\n[¬s]""In both phases, students were assigned to two groups, and the groups randomly assigned to an experimental or control condition, as illustrated in Figure 3.2 below.[¬e]""']","Each phase was split into 2 groups, experimental and control, therefore assumed there is 25 students in each condition in Phase I and 26 in each group in Phase II. "
"['Page 52:\n[¬s]""The total number of teachers in the study was 11. These teachers were responsible for 31 sections of the Introduction to Pre-Algebra course. There were 14 sections in the ""T"" experimental treatment category , 9 sections in the ""C"" same-teacher [¬e]""', 'Page 53:\n[¬s]""control category, and 8 sections in the ""O"" group, the outside control category.""\n"" 843 students had data for all 3 tests and remained in the same section throughout the trimester.[¬e]""', 'Page 54:\n[¬s]""Students per Treatment Group Treatment Groups Frequency Percent T (Experimental Treatment)- collaboration and data 387 45.9 C (Same-teacher Control) - collaboration but no data 248 29.4 0 (Outside Control) - no collaboration or data 208 24.7 Total 843 100[¬e]""']",NA
"['Page 1:\n[¬s]""218 students""\n"" control condition consisted of 87 students""\n""The cooperation- with-individual-feedback and cooperation-with-shared-feedback con- ditions, each at 4 schools, consisted of 64 and 67 students, respec- tively.[¬e]""']",NA
"['Page 76:\n[¬s]""The study was conducted in four 8th grade physical science classes with a total o f 68 students[¬e]""']",Numbers in each class not stated - possibly because each class took part in both conditions.
"['Page 32:\n[¬s]""The two classrooms in which the curriculum-based measurement procedures were implemented (CBM-A and CBM-B) consisted of 21 and 19 students in each classroom, respectively. The two classrooms that utilized a variation of mastery learning (ML-A and ML-B) consisted of 21 and 16 students respectively[¬e]""']",40 in the interventionCBM group 37 in th control/mastery group 77 Total participants
"['Page 8:\n[¬s]""Twenty-five students in their sixth year of primary school[¬e]""']",25
"['Page 18:\n[¬s]""The two classes—52 students altogether[¬e]""']",52
"['Page 3:\n[¬s]"" 116 male high school students[¬e]""']",116
NA,Maths Intervention 49 schools 1336 pupils - cohort a 1441 pupils - cohort b  Control 45 schools 1501 pupils - cohort a 1686 pupils - cohort b  Reading Intervention 49 schools 1334 pupils - cohort a 1386 pupils - cohort b  Control 45 schools 1495 pupils - cohort a 1627 pupils - cohort b
NA,467
NA,2645
"['Page 8:\n[¬s]""The analysis sample consisted of 2,489 7th-grade students[¬e]""']","2,489"
"['Page 10:\n[¬s]""shown in Table 4[¬e]""']",2062
"['Page 104:\n[¬s]""Direct Instruction""\n""46""\n""Control Group""\n""41[¬e]""', 'Page 77:\n[¬s]""Of the 152 subjects in the study, the dependent measures of 134 subjects were selected for analysis.[¬e]""']",87
NA,"Treatment A: 8 students Control, no feedback: 10 students  (Other groups: 8 + 9 students)"
"['Page 36:\n[¬s]""Four groups were drawn randomly from two sixth grade language arts classes""\n"" Size of each group within each class ranged from 5 to 6.[¬e]""']",not specifically stated  four groups from two classes - each group withiin each class ranged from 5 to 6  
"['Page 6:\n[¬s]""25""\n""27[¬e]""']",52 students
"['Page 159:\n[¬s]"" 280[¬e]""', 'Page 61:\n[¬s]""the teacher participants were nested in either the control group (n = 6) or the experimental group (n = 6)[¬e]""']",280
"['Page 39:\n[¬s]"" [¬e]""', 'Page 65:\n[¬s]""78""\n""83[¬e]""']",161 students
"['Page 3:\n[¬s]""The subjects were 36 6- and 8-year-old children""\n"" Then, equal numbers of boys and girls of each age group were randomly assigned to each demon- stration condition.""\n""One half of the boys and girls in each structure group were randomly assigned to an imitation treat- ment.[¬e]""']",12
