school_treat_info,school_treat_ht,school_cont_info,school_cont_ht,school_total_info,school_total_ht,school_na_raw,school_na_info,school_na_ht
1,"['Page 3:\n[¬s]""one group per\nschool[¬e]""']",1,"['Page 3:\n[¬s]""one group per\nschool[¬e]""']",2,"['Page 3:\n[¬s]""one group per\nschool[¬e]""']",NA,NA,NA
1,"['Page 2:\n[¬s]""The staff selected a fourth grade class with no prior experience in rate sheets.""\n""The school grouped the children homogeneously for read\xad ing.[¬e]""']",1,"['Page 2:\n[¬s]""The staff selected a fourth grade class with no prior experience in rate sheets.""\n"" The school grouped the children homogeneously for read\xad ing.[¬e]""']",1,"['Page 2:\n[¬s]""The staff selected a fourth grade class with no prior experience in rate sheets.""\n""The school grouped the children homogeneously for read\xad ing.[¬e]""']",NA,NA,NA
1,"['Page 2:\n[¬s]""The school[¬e]""']",1,"['Page 2:\n[¬s]"" The school[¬e]""']",1,"['Page 2:\n[¬s]"" The school[¬e]""']",NA,NA,NA
NA,NA,NA,NA,2,"['Page 2:\n[¬s]""two schools[¬e]""']",NA,NA,NA
2,"['Page 2:\n[¬s]""two schools[¬e]""']",2,"['Page 2:\n[¬s]""two schools[¬e]""']",2,"['Page 2:\n[¬s]"" two schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
2,"['Page 127:\n[¬s]""The student population involved in the investigation came from the Garfield and McLane elementary schools of the Olympia School District[¬e]""']",2,"['Page 127:\n[¬s]""The student population involved in the investigation came from the Garfield and McLane elementary schools of the Olympia School District[¬e]""']",2,"['Page 127:\n[¬s]""two[¬e]""']",NA,NA,NA
3,"['Page 2:\n[¬s]""The children attended nine classes in three city elementary schools[¬e]""']",3,"['Page 2:\n[¬s]""The children attended nine classes in three city elementary schools[¬e]""']",3,"['Page 2:\n[¬s]""three[¬e]""']",NA,NA,NA
3,NA,3,NA,3,NA,NA,NA,NA
4,"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementary schools serving predominantly middle-clas[¬e]""']",4,"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementary schools serving predominantly middle-clas[¬e]""']",4,"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementary schools serving predominantly middle-clas[¬e]""']",NA,NA,NA
4,"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementar[¬e]""']",4,"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementar[¬e]""']",4,"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementa[¬e]""']",NA,NA,NA
4,"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementar[¬e]""']",4,"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementar[¬e]""']",4,"['Page 3:\n[¬s]""The sample comprised 200 fifth and sixth grade Jewish Israeli pupils (106 boys and 94 girls, mean age l1.10 years) from 16 ran- domly selected classes (out of 23) in four city elementa[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
1,"['Page 12:\n[¬s]"" a suburban Colorado middle school[¬e]""']",1,"['Page 12:\n[¬s]""a suburban Colorado middle school[¬e]""']",1,"['Page 12:\n[¬s]"" a suburban Colorado middle school[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
1,"['Page 4:\n[¬s]""The experiment was conducted in a class entitled “Advanced Business English and Communications” in a public university in southern\nTaiwan.[¬e]""']",1,"['Page 4:\n[¬s]""The experiment was conducted in a class entitled “Advanced Business English and Communications” in a public university in southern\nTaiwan.[¬e]""']",1,"['Page 4:\n[¬s]""The experiment was conducted in a class entitled “Advanced Business English and Communications” in a public university in southern\nTaiwan.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
1,NA,1,NA,1,NA,NA,NA,NA
39,"['Page 30:\n[¬s]""The final sample of 39 treatment schools and 35 control schools[¬e]""']",35,NA,74,"['Page 11:\n[¬s]""Data for the cluster-randomized experimental study were collected from participating grade 5 teachers and students in 74 Oregon schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,31,"['Page 4:\n[¬s]""The study was conducted in 31 ele-\nmentary schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
2,"['Page 11:\n[¬s]""both schools[¬e]""']",2,NA,2,NA,NA,NA,NA
1,"['Page 3:\n[¬s]""n a local elementary school. T[¬e]""']",1,"['Page 3:\n[¬s]""n a local elementary school. Th[¬e]""']",1,"['Page 3:\n[¬s]""a local elementary school. T[¬e]""']",NA,NA,NA
1,"['Page 83:\n[¬s]"" a public school in Waukesha, Wisconsin[¬e]""']",1,"['Page 83:\n[¬s]"" a public school in Waukesha, Wisconsin.[¬e]""']",1,"['Page 83:\n[¬s]"" a public school in Waukesha, Wisconsin.[¬e]""']",NA,NA,NA
3,NA,3,NA,3,NA,NA,NA,NA
1,"['Page 71:\n[¬s]"" an urban middle school[¬e]""']",1,"['Page 71:\n[¬s]"" an urban middle school[¬e]""']",NA,NA,NA,NA,NA
1,"['Page 52:\n[¬s]""the high school[¬e]""']",1,NA,1,NA,NA,NA,NA
1,"['Page 8:\n[¬s]""The students were three classes of first graders in a\nprivate elesentary school.[¬e]""']",1,"['Page 8:\n[¬s]""The students were three classes of first graders in a\nprivate elesentary school.[¬e]""']",1,"['Page 8:\n[¬s]""The students were three classes of first graders in a\nprivate elesentary school.[¬e]""']",NA,NA,NA
1,"['Page 8:\n[¬s]""The students were three classes of first graders in a\nprivate elesentary school.[¬e]""']",1,"['Page 8:\n[¬s]""The students were three classes of first graders in a\nprivate elesentary school.[¬e]""']",1,"['Page 8:\n[¬s]""The students were three classes of first graders in a\nprivate elesentary school.[¬e]""']",NA,NA,NA
1,"['Page 8:\n[¬s]""The students were three classes of first graders in a\nprivate elesentary school.[¬e]""']",1,"['Page 8:\n[¬s]""The students were three classes of first graders in a\nprivate elesentary school.[¬e]""']",1,"['Page 8:\n[¬s]""The students were three classes of first graders in a\nprivate elesentary school.[¬e]""']",NA,NA,NA
1,NA,1,NA,1,NA,NA,NA,NA
1,"['Page 11:\n[¬s]""CLAD was implemented in three third-\ngrade general education classrooms at an elementary school[¬e]""']",1,"['Page 11:\n[¬s]""These\nstudents’ scores were compared to those of third-grade students at an elementary\nschool (School 2) which was the largest and ranked in the upper one-third of the\ndistric[¬e]""']",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
1,"['Page 7:\n[¬s]""Eighth-grade students from four language arts classes were recruited to par- ticipate in the study. All classes were taught by the same teacher (MAS) at Century Middle School in Thornton, Colorado.[¬e]""']",1,"['Page 7:\n[¬s]""Eighth-grade students from four language arts classes were recruited to par- ticipate in the study. All classes were taught by the same teacher (MAS) at Century Middle School in Thornton, Colorado[¬e]""']",1,"['Page 7:\n[¬s]""Eighth-grade students from four language arts classes were recruited to par- ticipate in the study. All classes were taught by the same teacher (MAS) at Century Middle School in Thornton, Colorado.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,7,"['Page 3:\n[¬s]"" seven buildings,[¬e]""']",NA,NA,NA
1,"['Page 3:\n[¬s]""mall, rural\nschool district in northeastern Minnesota. T[¬e]""']",1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,16,"['Page 3:\n[¬s]""16 schools[¬e]""']",NA,NA,NA
16,"['Page 2:\n[¬s]""Participants were 30 special educators in 16 schools[¬e]""']",16,"['Page 2:\n[¬s]"" Participants were 30 special educators in 16 schools,[¬e]""']",16,"['Page 2:\n[¬s]""Participants were 30 special educators in 16 schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,16,"['Page 2:\n[¬s]""Participants were 30 special education teachers in 16 schools[¬e]""']",NA,NA,NA
≤11,"['Page 2:\n[¬s]""11 schools[¬e]""']",≤11,"['Page 2:\n[¬s]""11 schools[¬e]""']",11,"['Page 2:\n[¬s]""11 schools[¬e]""']",NA,NA,NA
4,"['Page 46:\n[¬s]""Four[¬e]""']",NA,"['Page 46:\n[¬s]""Four[¬e]""']",4,"['Page 46:\n[¬s]""Four[¬e]""']",NA,NA,NA
1,"['Page 4:\n[¬s]"" a university laboratory school[¬e]""']",1,"['Page 4:\n[¬s]"" a university laboratory school[¬e]""']",1,"['Page 4:\n[¬s]"" a university laboratory school[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
4,"['Page 10:\n[¬s]""The target group of 349 pupils across four schools was selected[¬e]""']",4,"['Page 10:\n[¬s]""The target group of 349 pupils across four schools was selected[¬e]""']",4,"['Page 10:\n[¬s]""The target group of 349 pupils across four schools was selected[¬e]""']",NA,NA,NA
1,"['Page 3:\n[¬s]""from a high school in a northern suburb of\nDetroit, Michigan. O[¬e]""']",1,NA,1,NA,NA,NA,NA
1,"['Page 3:\n[¬s]""Ss were 78 white, lower-middle class, 11th and 12th\ngrade males from a high school in a northern suburb of\nDetroit, Michigan. O[¬e]""']",1,"['Page 3:\n[¬s]""Ss were 78 white, lower-middle class, 11th and 12th\ngrade males from a high school in a northern suburb of\nDetroit, Michigan. O[¬e]""']",1,"['Page 3:\n[¬s]""Ss were 78 white, lower-middle class, 11th and 12th\ngrade males from a high school in a northern suburb of\nDetroit, Michigan. O[¬e]""']",NA,NA,NA
3,"['Page 299:\n[¬s]""three schools[¬e]""']",3,"['Page 299:\n[¬s]""three schools[¬e]""']",3,"['Page 299:\n[¬s]""three schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,15,"['Page 3:\n[¬s]""15 elementary and middle schools[¬e]""']",NA,NA,NA
2,"['Page 1:\n[¬s]""two schools[¬e]""']",2,"['Page 1:\n[¬s]"" two schools[¬e]""']",4,"['Page 1:\n[¬s]""The experimental group was composed of 24 students divided into two classes of 12 students. The classrooms were located in two schools. The control group consisted of 30 students who were in two special-educa\xad tion classes in two schools[¬e]""']",NA,NA,NA
2,"['Page 7:\n[¬s]""Three teachers in two schools were enlisted to participate in this study,\ntwo from an upper middle class middle school in Chicago\'s North Shore\narea, one from a school in a blue collar community in northwe[¬e]""']",2,"['Page 7:\n[¬s]""Three teachers in two schools were enlisted to participate in this study,\ntwo from an upper middle class middle school in Chicago\'s North Shore\narea, one from a school in a blue collar community in northwest Indiana.\nEach of the teachers had four classes which participated in th[¬e]""']",2,NA,NA,NA,NA
1,NA,1,NA,2,NA,NA,NA,NA
3,"['Page 8:\n[¬s]""three schools[¬e]""']",NA,NA,3,NA,NA,NA,NA
1,"['Page 4:\n[¬s]""he subjects included six classes of sixth graders from an elementary school in Taiwan. A\ntotal of 167 students participated in the study.[¬e]""']",1,"['Page 4:\n[¬s]""The subjects included six classes of sixth graders from an elementary school in Taiwan. A\ntotal of 167 students participated in the study[¬e]""']",1,NA,NA,NA,NA
1,NA,1,NA,1,"['Page 2:\n[¬s]"" instructed by the same teacher.[¬e]""']",NA,NA,NA
3,NA,3,NA,3,"['Page 2:\n[¬s]""total of 223 students in three schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,3,"['Page 54:\n[¬s]""three participating schools[¬e]""']",NA,NA,NA
1,"['Page 3:\n[¬s]""The participants (N = 48) were 11th-grade\nmale and female students enrolled in Eng-\nlish classes at Eisenhower High School,[¬e]""']",1,"['Page 3:\n[¬s]""The participants (N = 48) were 11th-grade\nmale and female students enrolled in Eng-\nlish classes at Eisenhower High School,\nHopkins, Minnesota[¬e]""']",NA,NA,NA,NA,NA
1,"['Page 4:\n[¬s]""The subjects for this study were 105 upper secondary school studeOls[¬e]""']",1,"['Page 4:\n[¬s]""The subjects for this study were 105 upper secondary school studeOls[¬e]""']",1,"['Page 4:\n[¬s]""The subjects for this study were 105 upper secondary school studeOls[¬e]""']",NA,NA,NA
1,NA,1,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
1,"['Page 73:\n[¬s]""an elementary school[¬e]""']",1,"['Page 73:\n[¬s]""an elementary school[¬e]""']",1,"['Page 73:\n[¬s]"" an elementary school[¬e]""']",NA,NA,NA
3,"['Page 1:\n[¬s]""three treatment schools[¬e]""']",1,"['Page 1:\n[¬s]""one comparison school[¬e]""']",4,"['Page 9:\n[¬s]""four middle schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,3,"['Page 4:\n[¬s]"" three primary schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,"['Page 22:\n[¬s]""one school district[¬e]""']"
1,"['Page 7:\n[¬s]""one junior high school[¬e]""']",1,"['Page 7:\n[¬s]""one junior high school[¬e]""']",1,"['Page 7:\n[¬s]""one junior high school[¬e]""']",NA,NA,NA
2,"['Page 3:\n[¬s]"" two Northfield, Minnesota public schools[¬e]""']",2,"['Page 3:\n[¬s]""two Northfield, Minnesota public schools[¬e]""']",2,"['Page 3:\n[¬s]"" two Northfield, Minnesota public schools[¬e]""']",NA,NA,NA
1,"['Page 8:\n[¬s]""The sample consisted of 148 students from nine classes of the second school year of\nHauptschule (sixth-grade level)[¬e]""']",1,NA,1,NA,NA,NA,NA
1,"['Page 7:\n[¬s]""Ninety-two high school students from grades 7 and 8\n(mean age 12.53, sd = 1.47; 67% male, all of them""\n""were Spanish native speakers) participated in the study.\nThey were randomly distributed into three groups\naccording to the formative feedback type[¬e]""']",1,NA,1,"['Page 7:\n[¬s]""Ninety-two high school students from grades 7 and 8\n(mean age 12.53, sd = 1.47; 67% male, all of them[¬e]""']",NA,NA,NA
1,"['Page 7:\n[¬s]""Ninety-two high school students from grades 7 and 8\n(mean age 12.53, sd = 1.47; 67% male, all of them""\n""were Spanish native speakers) participated in the study.\nThey were randomly distributed into three groups\naccording to the formative feedback type. The ﬁnal\nsample distribution was as follows: there were 30 stu-\ndents in the strategic-search-decisions feedback group,\n34 students participated in the right-answer feedback\ngroup, and 28 students participated in the placebo feed-\nback group[¬e]""']",1,NA,1,"['Page 7:\n[¬s]""Ninety-two high school students from grades 7 and 8\n(mean age 12.53, sd = 1.47; 67% male, all of them[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,"['Page 4:\n[¬s]""Thirty-six second graders were recruited from the\ncommunity to participate in a laboratory experi-\nment (mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years).[¬e]""']"
NA,NA,NA,NA,NA,NA,['not_provided'],NA,"['Page 4:\n[¬s]""Thirty-six second graders were recruited from the\ncommunity to participate in a laboratory experi-\nment (mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years).[¬e]""']"
1,NA,1,NA,1,NA,NA,NA,NA
1,"['Page 5:\n[¬s]""The subjects were drawn from the population of Year 7 (11- to 12-year-old) and Year 9 (13- to 14-year-old) pupils in a community school[¬e]""']",1,"['Page 5:\n[¬s]""The subjects were drawn from the population of Year 7 (11- to 12-year-old) and Year 9 (13- to 14-year-old) pupils in a community school[¬e]""']",1,"['Page 5:\n[¬s]""The subjects were drawn from the population of Year 7 (11- to 12-year-old) and Year 9 (13- to 14-year-old) pupils in a community school[¬e]""']",NA,NA,NA
9,"['Page 3:\n[¬s]""Participants in this study were 32 teachers from elementary schools (grades 4\x966), and their students (n = 388) from nine urban and rural English school[¬e]""']",9,"['Page 3:\n[¬s]""Participants in this study were 32 teachers from elementary schools (grades 4\x966), and their students (n = 388) from nine urban and rural English school[¬e]""']",9,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,NA
2,"['Page 3:\n[¬s]""School""\n""A""\n""B[¬e]""']",2,"['Page 3:\n[¬s]""School""\n""A""\n""B[¬e]""']",2,"['Page 3:\n[¬s]""School""\n""A""\n""B[¬e]""']",NA,NA,NA
1,"['Page 4:\n[¬s]""A class[¬e]""']",1,"['Page 4:\n[¬s]""A class[¬e]""']",1,"['Page 4:\n[¬s]""A class[¬e]""']",NA,NA,NA
1,"['Page 5:\n[¬s]""The participants initially selected for the study were 193 students in grades\n1-4 at two Blue Ribbon National Schools of Excellence (www.ed.gov, 2002)\nin the same school district.[¬e]""']",1,"['Page 5:\n[¬s]""he participants initially selected for the study were 193 students in grades\n1-4 at two Blue Ribbon National Schools of Excellence (www.ed.gov, 2002)\nin the same school district[¬e]""']",1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
1,"['Page 3:\n[¬s]""one group per school—each group being an intact classroom[¬e]""']",1,NA,2,NA,NA,NA,NA
NA,NA,NA,NA,3,"['Page 3:\n[¬s]"" 3 elementary schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,4,"['Page 4:\n[¬s]""elected from an initial pool of 1,600 children in the first and second grades in the four schools.[¬e]""']",NA,NA,NA
1,"['Page 4:\n[¬s]""an elementary school[¬e]""']",1,"['Page 4:\n[¬s]"" an elementary school[¬e]""']",1,"['Page 4:\n[¬s]""an elementary school[¬e]""']",NA,NA,NA
1,"['Page 4:\n[¬s]""an elementary school[¬e]""']",1,"['Page 4:\n[¬s]""an elementary school[¬e]""']",1,"['Page 4:\n[¬s]""an elementary school[¬e]""']",NA,NA,NA
1,"['Page 2:\n[¬s]""The subjects were 32 children (boys and girls) approximately 11 yr. old in the fifth grade of an elementary schoo[¬e]""']",1,"['Page 2:\n[¬s]""The subjects were 32 children (boys and girls) approximately 11 yr. old in the fifth grade of an elementary school.[¬e]""']",1,"['Page 2:\n[¬s]""The subjects were 32 children (boys and girls) approximately 11 yr. old in the fifth grade of an elementary school.[¬e]""']",NA,NA,NA
3,"['Page 3:\n[¬s]"" three[¬e]""']",3,"['Page 3:\n[¬s]""three[¬e]""']",3,"['Page 3:\n[¬s]""rando[¬e]""']",NA,NA,NA
3,"['Page 3:\n[¬s]""Subjects were 97 children, approximately 11 years old, in the fifth grades of three ele- mentary schools.[¬e]""']",3,"['Page 3:\n[¬s]""Subjects were 97 children, approximately 11 years old, in the fifth grades of three ele- mentary schools.[¬e]""']",3,"['Page 3:\n[¬s]""Subjects were 97 children, approximately 11 years old, in the fifth grades of three ele- mentary schools.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],Not provided,"['Page 2:\n[¬s]""Subjects were male students in Grades 1 through 4 from a large subur\xad ban public school district[¬e]""']"
4,"['Page 4:\n[¬s]""All\ntreatment groups were represented in all schools.[¬e]""']",4,"['Page 4:\n[¬s]""All\ntreatment groups were represented in all schools.[¬e]""']",4,"['Page 4:\n[¬s]""They were enrolled in four private schools[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"['Page 116:\n[¬s]"" a public charter school[¬e]""']",1,"['Page 116:\n[¬s]""a public charter school[¬e]""']",1,"['Page 116:\n[¬s]""a public charter school[¬e]""']",NA,NA,NA
1,"['Page 4:\n[¬s]""a public charter schoo[¬e]""']",1,NA,1,NA,NA,NA,NA
2,"['Page 5:\n[¬s]""Forty-six LEP students in grade four representing two elementary schools in the greater Houston area, Texas, participated in the study.[¬e]""']",2,NA,2,"['Page 5:\n[¬s]""Forty-six LEP students in grade four representing two elementary schools in the greater Houston area, Texas, participated in the study.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
3,"['Page 3:\n[¬s]""Seventy-two kindergarteners and first-graders (36 boys and 36 girls; M = age 6-5, range = 5-5 to 7-3) from three middle-class elementary schools in Montreal participated in the study.[¬e]""']",3,"['Page 3:\n[¬s]""Seventy-two kindergarteners and first-graders (36 boys and 36 girls; M = age 6-5, range = 5-5 to 7-3) from three middle-class elementary schools in Montreal participated in the study.[¬e]""']",3,"['Page 3:\n[¬s]"" three middle-class elementary schools in Montreal participated in the study.[¬e]""']",NA,NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
NA,NA,NA,NA,NA,NA,['not_provided'],NA,NA
10,"['Page 13:\n[¬s]"" the randomisation of schools (to achieve a 50:50 allocation) was performed[¬e]""', 'Page 19:\n[¬s]""Allocated to intervention (schools n=10;[¬e]""']",10,"['Page 13:\n[¬s]""the randomisation of schools (to achieve a 50:50 allocation) was performed[¬e]""', 'Page 19:\n[¬s]""Allocated to control (schools n=10;[¬e]""']",NA,NA,NA,NA,NA
1,"['Page 38:\n[¬s]""The setting was one public elementary school in a mixed locale (i.e., rural and suburban) school district of New Yor[¬e]""']",1,"['Page 38:\n[¬s]""The setting was one public elementary school in a mixed locale (i.e., rural and suburban) school district of New York.[¬e]""']",NA,NA,NA,NA,NA
1,"['Page 5:\n[¬s]""The data in this study were g[¬e]""']",1,"['Page 5:\n[¬s]""The data in this study were g[¬e]""']",1,"['Page 5:\n[¬s]""The data in this study were [¬e]""']",NA,NA,NA
1,"['Page 2:\n[¬s]""Orange County, Virginia Intermediate School[¬e]""']",1,"['Page 2:\n[¬s]""Orange County, Virginia Intermediate School[¬e]""']",1,"['Page 2:\n[¬s]""Orange County, Virginia Intermediate School.[¬e]""']",NA,NA,NA
10,"['Page 6:\n[¬s]""For the ten participating schools, the Management Analysis Department of MDCPS supplied\nrelevant student-level data, including ethnicity, gender, FCAT scale scores, math content scores\n(strand data), final grades, teacher, and section data""\n""After data validation, the\nresulting data set consisted of 4649 cases, 2819 students who completed conventional Algebra I\n(the Comparison Sample), and 1830 students completing Cognitive Tutor (the Program\nSample)[¬e]""']",10,NA,10,"['Page 6:\n[¬s]""For the ten participating schools[¬e]""']",NA,NA,NA
1,"['Page 2:\n[¬s]""an upper-middle\nclass high schoo[¬e]""']",1,NA,1,NA,NA,NA,NA
1,"['Page 3:\n[¬s]""Participants were 33 fourth graders from two classes in one elementary school.[¬e]""']",1,"['Page 3:\n[¬s]""Participants were 33 fourth graders from two classes in one elementary school.[¬e]""']",1,NA,NA,NA,NA
1,NA,1,NA,1,NA,NA,NA,NA
1,NA,1,NA,1,NA,NA,NA,NA
10,"['Page 25:\n[¬s]""Intervention schools (n=10)[¬e]""']",5,"['Page 25:\n[¬s]""Comparison schools (n=5)[¬e]""']",15,"['Page 25:\n[¬s]""No. of schools recruited (n=15)[¬e]""']",NA,NA,NA
