int_design_raw,int_design_ht,int_design_info
['Individual RCT'],"['Page 4:\n[¬s]""The subjects, randomly assigned""\n""experimental groups (GE1""\n""or to a control group (GC)[¬e]""']",NA
['Individual RCT'],"['Page 4:\n[¬s]""The subjects, randomly assigned""\n""assigned to""\n""GE2) or to a control group (GC).[¬e]""']",NA
['Prospective QED'],"['Page 3:\n[¬s]""The subjects were members of four\nheterogeneous instructional groups, one group per\nschool—each group being an intact classroom.[¬e]""', 'Page 4:\n[¬s]""overruled random assignment of treatment in\nfavor of my more pragmatic method[¬e]""']",NA
['Prospective QED'],"['Page 2:\n[¬s]""In order to avoid problems in matching stu\xad dents, the experiment followed a counterbal\xad anced method. The 14 children were divided into two groups of seven. The first group had their raw scores recorded on a rate sheet record (Figure 1) for the first 2 weeks. During the sec\xad ond 2 weeks the adult manager plotted their scores on linear graph paper (Figure 2) and discussed the graph with the child. The second group of seven children received the same rate sheets, but their scores were charted on linear graphs first and on the rate sheet record sec\xad ond.[¬e]""']",Non-Equivalent Groups Design
['Prospective QED'],"['Page 2:\n[¬s]""In order to avoid problems in matching stu\xad dents, the experiment followed a counterbal\xad anced method.[¬e]""', 'Page 4:\n[¬s]"" The children were divided into two groups of nine. The first group had their raw scores recorded on a rate sheet record, as in Figure 1, for the first 2 weeks. During the second 2 weeks the adult manager plotted their scores on 3 cycle semilog paper (Figure 3) and discussed the graph with the child.""\n""The second group of nine children received the same rate sheet sequence, but their scores were charted on sernilog paper during the first 2 weeks and recorded on the rate sheet record during the second 2 weeks.[¬e]""']",NA
['Prospective QED'],"['Page 2:\n[¬s]""The subjects were all of the seventh-grade stu- dents present on both testing days from two schools in small cities in central Wisconsin (N \x97 233).[¬e]""']",NA
['Prospective QED'],"['Page 2:\n[¬s]""The subjects were all of the seventh-grade stu- dents present on both testing days from two schools in small cities in central Wisconsin (N \x97 233).[¬e]""']",NA
['Prospective QED'],"['Page 5:\n[¬s]""he federally funded Coordinator of Federal Programs (the third author) for a large\nrural school district in a mid-Atlantic US state selected six remedial reading teachers\nto participate in this study.[¬e]""']",NA
['Individual RCT'],"['Page 123:\n[¬s]""experimental posttest-only control group design as discussed by Campbell and Stanley (1963:25-27)[¬e]""']",NA
['Cluster RCT'],"['Page 2:\n[¬s]""Three classes were randomly assigned to each experimental group[¬e]""']",NA
['Cluster RCT'],NA,NA
['Cluster RCT'],"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",Classes are the units of randomization.
['Cluster RCT'],"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",NA
['Cluster RCT'],"['Page 3:\n[¬s]""s populations. Four classes were randomly assigned to each of the four experimenta[¬e]""']",Classes are the unit of randomization
['Multisite RCT'],"['Page 9:\n[¬s]""At the time of this writing, we have analyzed summarization data from six seventh- to ninth- grade experimental classrooms and five control classes that used Summary Street during spring 2004.[¬e]""']",NA
['Multisite RCT'],"['Page 12:\n[¬s]""Working with one teacher and a relatively small number of students, who were randomly assigned to condition within each class[¬e]""']",NA
['Individual RCT'],"['Page 4:\n[¬s]""From each age group, the Ss were randomly assigned to six conditions of\ntest administration and two conditions of test form (picture-puzzle).[¬e]""']",NA
['Individual RCT'],"['Page 7:\n[¬s]""All participants were then\nrandomly assigned into one ofthe four experimental groups, and were given a smartphone, and a copy ofthe print reading material relevant\nto their group assignment.[¬e]""']",NA
['Multisite RCT'],"['Page 38:\n[¬s]""The subjects in this investigation were 167 eleventh-grade students enrolled in\nthe Memphis Partners Summer Prep program.[¬e]""', 'Page 40:\n[¬s]""Subjects were randomly assigned to one of 10 treatment conditions in a 2 x 5\nfactorial design.[¬e]""']",NA
['Individual RCT'],NA,NA
['Cluster RCT'],"['Page 11:\n[¬s]""cluster-randomized experimental study[¬e]""']",NA
['Individual RCT'],"['Page 2:\n[¬s]"" a controlled study was undertaken""\n""A stratified random assignment procedure was used to place students in the control and experimental groups[¬e]""']",NA
['Individual RCT'],"['Page 4:\n[¬s]""After identifying the pool of eligible at-risk\nstudents at each school, we randomly selected 6\nto 26 students within each school and randomly\nassigned them to one of two groups: RRI or typi-\ncal school practice (TSP).[¬e]""']",NA
['Individual RCT'],"['Page 4:\n[¬s]""Six children\nof each sex were randomly assigned to each of five\nconditions with the single constraint that the experi-\nmental groups be roughly equal in age.[¬e]""']",NA
['Individual RCT'],NA,NA
['Multisite RCT'],"['Page 3:\n[¬s]""The subjects were randomly assigned within classes to one of three experimental groups. T[¬e]""']",NA
['Multisite RCT'],"['Page 83:\n[¬s]""The general population for this study was eighth grade students enrolled in a public school in Waukesha, Wisconsin. The total school enrollment was 1032 including 323 eighth graders. Specifically, the population was those eighth graders enrolled in regular language arts and social studies classes for hours 3, 6 and 8.""\n"" Students enrolled in exceptional educational or bilingual programs were excluded from the study. From this population, a sample of 100 subjects who could adequately read material at a seventh to eighth grade level, but who had 67[¬e]""', 'Page 84:\n[¬s]""difficulty monitoring their comprehension were selected and randomly assigned to one of four treatment groups.[¬e]""']",NA
['Cluster RCT'],NA,"Details of assignment to condition are not clearly stated, it appears 28 students in each of 18 classes of 30 to 45 were assigned to either intervention or control, so it seems assignment was at class level"
['Individual RCT'],"['Page 71:\n[¬s]""Subjects were poor readers selected from the sixth and seventh grades of an urban middle school.[¬e]""', 'Page 81:\n[¬s]""This study Incorporated a ""true"" experimental design.[¬e]""']",NA
['Cluster RCT'],NA,NA
['Prospective QED'],"['Page 8:\n[¬s]""The experisental design was a posttest-only control\ngroup design(Caspbell C Stanley, 1c62).[¬e]""']",NA
['Prospective QED'],"['Page 8:\n[¬s]""The experisental design was a posttest-only control\ngroup design(Caspbell C Stanley, 1c62).[¬e]""']",NA
['Prospective QED'],"['Page 8:\n[¬s]""The experisental design was a posttest-only control\ngroup design(Caspbell C Stanley, 1c62).[¬e]""']",NA
['Individual RCT'],"['Page 2:\n[¬s]""The\nsubjects were ranked on their total score on the Arithmetic\nSkills Test of the Iowa Tests of Basic Skills. Random\nassignment within triads of the subjects produced three\ntreatment groups of 30 subjects each[¬e]""']",NA
['Cluster RCT'],"['Page 11:\n[¬s]""CLAD was implemented in three third-\ngrade general education classrooms at an elementary school (School 1) in which the\noverall mean state reading achievement test score in October 2003 was the lowest in\nthe district[¬e]""']",NA
['Individual RCT'],"['Page 5:\n[¬s]""We tested 30 sixth graders who were randomly assigned (counterbalancing for language-arts teacher, sex, and race) to one of two treatments:[¬e]""']",NA
['Prospective QED'],"['Page 7:\n[¬s]""We ran a ﬁve-way comparison that included the three ver-\nsions of iList, a group of students that worked with human tutors, and a control group of\nstudents that did an unrelated activity between pre and post-test.[¬e]""']",NA
['Prospective QED'],"['Page 7:\n[¬s]""We ran a ﬁve-way comparison that included the three ver-\nsions of iList, a group of students that worked with human tutors, and a control group of\nstudents that did an unrelated activity between pre and post-test.[¬e]""']",NA
['Prospective QED'],"['Page 7:\n[¬s]""We ran a ﬁve-way comparison that included the three ver-\nsions of iList, a group of students that worked with human tutors, and a control group of\nstudents that did an unrelated activity between pre and post-test.[¬e]""']",NA
['Prospective QED'],"['Page 7:\n[¬s]""We ran a ﬁve-way comparison that included the three ver-\nsions of iList, a group of students that worked with human tutors, and a control group of\nstudents that did an unrelated activity between pre and post-test[¬e]""']",NA
['Multisite RCT'],"['Page 8:\n[¬s]""Thus, assignment to experimental and control condition was made within classes, with roughly half of the children in each class randomly assigned to either condition.[¬e]""']",NA
['Multisite RCT'],"['Page 3:\n[¬s]""Teachers were based in seven buildings, with four to seven teachers per school. Within each school, teachers were assigned randomly[¬e]""']",NA
['Individual RCT'],"['Page 3:\n[¬s]""atified ran\ndom sampling procedure was employed to assign read\ning groups to experimental treatments. The stratified\nsampling insured that each teacher would have equal\nnumbers of groups in each experimental treatment and\nthat each treatment group would comprise equal num\nbers of groups from the upper and lower halves of the\nskill rankings.[¬e]""']",NA
['Individual RCT'],NA,NA
['Individual RCT'],NA,NA
['Individual RCT'],"['Page 2:\n[¬s]""Participants were 30 special education teachers in 16 schools in a southeastern metropolitan area Teachers were assigned randomly to three treat\xad ments:[¬e]""']",NA
['Multisite RCT'],"['Page 2:\n[¬s]""Participants were 40 general educators in 11 schools""\n"" While stratifying by grade level, we ran\xad domly assigned teachers to CBM (n = 20) or contrast (no CBM, n = 20""\n""we randomly assigned teachers to two CBM conditions: (a) CBM class\xad wide feedback with instructional recommenda\xad tions (CBM-IN, n = 10""\n""or (b) CBM classwide feedback without instructional recom\xad mendations (CBM-NoIN, n = I0,[¬e]""']",The study does not state whether control and intervention classes were in separate schools or not. 
['Multisite RCT'],"['Page 46:\n[¬s]""This is a true experimental research""\n""Within each school the subjects were randomly assigned to one of three treatment subgroups[¬e]""']",NA
['Individual RCT'],"['Page 4:\n[¬s]""The students were drawn from two intact classes [¬e]""', 'Page 5:\n[¬s]"" Students were randomly assigned to ""\n"" (a) inserted questions, (b) inserted questions & feedback,[¬e]""']","Note: as only two groups of students were collected as opposed to all three groups and with the assumed equal distribution of randomisation, the total sample of this extraction is 30 instead of 45 with individual groups at 15 participants each. "
['Individual RCT'],"['Page 3:\n[¬s]""Students were randomly\nassigned to groups[¬e]""']",NA
['Individual RCT'],"['Page 10:\n[¬s]""This evaluation is a two-arm, school-led, post-test-only design, randomised controlled trial in which four schools participated.""\n""After selection of the target group, the schools themselves randomised the target group into two arms[¬e]""']",NA
['Individual RCT'],"['Page 3:\n[¬s]""4. It\nwas decided to select the top and bottom thirds of the\ntotal I score for this research, which resulted in designat\ning boys who scored 22 and below as Externals and boys\nwho scored 26 and above as Internals. Forty-nine Exter\nnals and 53 Internals were then randomly assigned to the\nthree treatment groups, using a random table of numbers.[¬e]""']",NA
['Individual RCT'],"['Page 3:\n[¬s]""Crandall\'s reported mean of 24.38 for 12th grade\nboys. The median score of the current sample was 24. It\nwas decided to select the top and bottom thirds of the\ntotal I score for this research, which resulted in designat\ning boys who scored 22 and below as Externals and boys\nwho scored 26 and above as Internals. Forty-nine Exter\nnals and 53 Internals were then randomly assigned to the\nthree treatment groups, using a random table of numbers.[¬e]""']",The randomisation was conducted within strata depending on locus of control.
['Cluster RCT'],"['Page 299:\n[¬s]"" Eight classes were randomly as\xad signed to either the experimental or control group.[¬e]""']",NA
['Prospective QED'],NA,NA
['Prospective QED'],NA,NA
['Cluster RCT'],"['Page 7:\n[¬s]""ot considered to be significant.\nInstructional sets were assigned randomly to the teachers\' classes so\nthat each teacher had one class with each of the following sets: observing\nand writing activities plus revision; observing and writing activities with-\nout revision; assignment plus revision; and assignment without revision.\nIn addition, each class was divided randomly in half with one-half receiv-\ning brief comments and the other half receiving extended comments.\nThis results in a 2 x 2 x 2 design to test the following hyp[¬e]""']",NA
['Cluster RCT'],NA,NA
['Prospective QED'],NA,Unclear study design
['Prospective QED'],"['Page 4:\n[¬s]""n this study, a quasi-experiment was conducted on the ‘‘sustainable home’’ unit of an\nelementary school science course.[¬e]""', 'Page 5:\n[¬s]""Three classes were assigned to be the experimental group and the other three were the\ncontrol group[¬e]""']",NA
['Prospective QED'],"['Page 2:\n[¬s]""Treatment II (N=21) provided students with relatively general formative tests and learning correctives; Treatment III (N=21) involved relatively general formative tests but excluded the use of learning correctives[¬e]""', 'Page 4:\n[¬s]""This quasi-experimental study[¬e]""']",Allocation not described but treatment group and control group identified. 
['Individual RCT'],NA,NA
['Individual RCT'],NA,NA
['Individual RCT'],"['Page 3:\n[¬s]""The participants (N = 48) were 11th-grade\nmale and female students enrolled in Eng-\nlish classes at Eisenhower High School,\nHopkins, Minnesota. As students appeared\nfor the experiment, they were assigned one\ntreatment condition from a randomized list\nof the three treatment conditions.[¬e]""']",NA
['Individual RCT'],"['Page 5:\n[¬s]""Subjects were assigned in random to one of the lhree treatment and\ncontinued with r.he practice tesL[¬e]""']",NA
['Individual RCT'],NA,NA
['Prospective QED'],NA,NA
['Prospective QED'],"['Page 108:\n[¬s]""Regarding randomness, all fifth graders at this school participated in the study, so sampling was not random. [¬e]""', 'Page 80:\n[¬s]""All fifth graders enrolled in this school were invited to participate in the study (N = 65). Two classes (n = 43) served as the treatment group (receiving the intervention), and one class (n = 22) served as the control (no intervention). [¬e]""']",NA
['Prospective QED'],NA,NA
['Prospective QED'],"['Page 4:\n[¬s]""The sample was chosen from three primary schools in Rijeka, Croatia. The selection was made according to students\' results on a Furlan\'s Aloud Reading Test (Furlan, 1975) used regularly in Croatian schools for the evaluation of reading in the first four years of schooling. The participants in this study were 20% of second grade students in these schools Mean age:8 years, 4 months) with the lowest results on that test. The students\' reading fluency was one standard deviation or more lower from the average one. The students showed average or above average results on a test of nonverbal cognitive ability (Raven\'s Colored Progressive Matrices, Raven, Court, & Raven, 1994), and on a vocabulary test (a sub-test Vocabulary from REWISC, Biro, 1987). The participants were assigned to four groups of 15 subjects: one experimental and three control groups.[¬e]""']",NA
['Cluster RCT'],NA,NA
['Prospective QED'],"['Page 7:\n[¬s]""Participants were 100 ninth-grade students (47 boys, 53 girls) attending three classes within one junior high school in central Israel. We assigned each class to one of the three instructional methods: SEG, GFG, or CONT. [¬e]""']",Note: SEG not coded in extraction due to Citation notes
['Individual RCT'],"['Page 3:\n[¬s]"" After pretesting, children were randomly assigned to""\n""one of two feed\xad back conditions: feedback absent and feedback present; the latter were informed of whether or not recall was correct after each trial.[¬e]""']",NA
['Cluster RCT'],"['Page 8:\n[¬s]""The sample consisted of 148 students from nine classes of the second school year of\nHauptschule (sixth-grade level). Thus, we recruited low-performing students, but we did\nnot select them individually. Instead, we drew a convenience sample of classes from the\nHauptschule. The classes were randomly assigned to the treatment groups and participated\nas a whole.[¬e]""']",NA
['Individual RCT'],"['Page 7:\n[¬s]""Ninety-two high school students from grades 7 and 8\n(mean age 12.53, sd = 1.47; 67% male, all of them""\n""were Spanish native speakers) participated in the study.\nThey were randomly distributed into three groups\naccording to the formative feedback type[¬e]""']",NA
['Individual RCT'],"['Page 7:\n[¬s]""Ninety-two high school students from grades 7 and 8\n(mean age 12.53, sd = 1.47; 67% male, all of them""\n""were Spanish native speakers) participated in the study.\nThey were randomly distributed into three groups\naccording to the formative feedback type[¬e]""']",NA
['Individual RCT'],"['Page 6:\n[¬s]""One hundred forty-two seventh and eighth graders\ntook part in the study (mean age = 12.61, SD=0.72;\n61% female, Spanish native speakers). They were\nrandomly distributed into three groups according to\nconditions: 50, 51 and 41 students in placebo,\nsearch&revisit and select&revisit feedback groups,\nrespectively.[¬e]""']",NA
['Individual RCT'],"['Page 6:\n[¬s]""One hundred forty-two seventh and eighth graders\ntook part in the study (mean age = 12.61, SD=0.72;\n61% female, Spanish native speakers). They were\nrandomly distributed into three groups according to\nconditions: 50, 51 and 41 students in placebo,\nsearch&revisit and select&revisit feedback groups,\nrespectively.[¬e]""']",NA
['Individual RCT'],"['Page 12:\n[¬s]""One hundred and twelve seventh and eighth graders took\npart in the study (mean age 12.39, SD=0.71; 54% male,\nSpanish native speakers). They were randomly distributed\ninto three groups: 37, 37 and 38 students in placebo, only-\nselect and select&revisit feedback groups, respectively.[¬e]""']",NA
['Individual RCT'],"['Page 12:\n[¬s]""One hundred and twelve seventh and eighth graders took\npart in the study (mean age 12.39, SD=0.71; 54% male,\nSpanish native speakers). They were randomly distributed\ninto three groups: 37, 37 and 38 students in placebo, only-\nselect and select&revisit feedback groups, respectively[¬e]""']",NA
['Individual RCT'],NA,NA
['Individual RCT'],NA,NA
['Prospective QED'],"['Page 4:\n[¬s]""Thirty-six second graders were recruited from the\ncommunity to participate in a laboratory experi-\nment (mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years). Of these,\n14 children were assigned to a control no-feed-\nback condition and 22 were assigned to a feed-\nback condition; mean age did not differ across\nconditions, t(34)01.16, SE0.19, p\t.25. Addi-\ntional children were tested in the feedback\ncondition to allow for more detailed analyses of\nerror corrections. Parents received monetary\ncompensation and children received prizes for\nparticipat""\n""The design was a 2 (Feedback: None vs Im-\nmediate))2 (Multiple-Choice Testing: Not\nTested vs Tested))2 (Question Difficulty: Easy\nvs Hard) mixed design. Feedback was manipu-\nlated between-participants whereas multiple-\nchoice testing and question difficulty were\nmanipulated within-participants[¬e]""']",NA
['Prospective QED'],"['Page 4:\n[¬s]""Thirty-six second graders were recruited from the\ncommunity to participate in a laboratory experi-\nment (mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years)""\n""The design was a 2 (Feedback: None vs Im-\nmediate))2 (Multiple-Choice Testing: Not\nTested vs Tested))2 (Question Difficulty: Easy\nvs Hard) mixed design. Feedback was manipu-\nlated between-participants whereas multiple-\nchoice testing and question difficulty were\nmanipulated within-participants[¬e]""']",NA
['Individual RCT'],NA,NA
['Multisite RCT'],"['Page 5:\n[¬s]""The subjects were drawn from the population of Year 7 (11- to 12-year-old) and Year 9 (13- to 14-year-old) pupils in a community school""\n""The two experimental groups were allocated randomly to one of two conditions.[¬e]""']",NA
['Prospective QED'],"['Page 3:\n[¬s]""ticipate as a control group; teachers were offered a stipend that could be used towards the purchase of classroom resources or professional development. We were unable to randomly assign teachers and their students to conditions and relied on statistical means to deal with group inequivalence[¬e]""']",NA
['Individual RCT'],NA,NA
['Cluster RCT'],"['Page 1:\n[¬s]""Two classes of sixth-grade students (N = 62) participated in the study.""\n""To reduce the effects of pupil and teacher variability, 5s were randomly assigned to experimental and control groups within each classroom.[¬e]""']",NA
['Individual RCT'],"['Page 4:\n[¬s]""A class of 28 sixth-grade students were chosen as 5s.[¬e]""']",NA
['Prospective QED'],"['Page 6:\n[¬s]""A computerized matching program paired each student with another student\nin the same classroom, based on a pre-test Total Reading Composite score from\nthe Woodcock Reading Mastery Test, Form G. Two non-readers, defined by\nraw scores below 2 on Word Attack and below 4 on Word Identification, were\npaired with each other in the same classroom. Finally, one student in each pair\nwas randomly assigned to the Sustained Silent Reading (SSR) condition and\nthe other was assigned to the Reading Tutor (RT) condition. In classes with odd\nnumbers of students, the median-ranked student was left unpaired, so as to keep\nthe treatment groups well-matched. Pairing was done to improve the similarity\nof the two treatment groups, but paired students were not treated as paired\nsamples in statistical analyses. Of the 178 students who completed the study,\n90 were assigned to the SSR condition, and 88 used the Reading Tutor.[¬e]""']",NA
['Individual RCT'],"['Page 4:\n[¬s]""Subjects were 60 fourth-grade children from the Iowa City, Iowa, are[¬e]""']",NA
['Individual RCT'],"['Page 4:\n[¬s]""Subjects were 60 fourth-grade children from the Iowa City, Iowa,[¬e]""']",NA
['Prospective QED'],NA,NA
['Cluster RCT'],NA,NA
['Multisite RCT'],NA,NA
['Prospective QED'],"['Page 4:\n[¬s]""The quantitative research design for this quasi-experimental study was a pre-test/post-test nonequivalent groups design.[¬e]""']","""This study was quasi-experimental as the participants could not be randomly assigned to treatment and non-treatment groups because whole classrooms of students were utilized."""
['Prospective QED'],"['Page 4:\n[¬s]""The quantitative research design for this quasi-experimental study was a pre-test/post-test nonequivalent groups design.[¬e]""']","""This study was quasi-experimental as the participants couldnot be randomly assigned to treatment and non-treatment groups because whole classrooms of students were utilized."""
['Multisite RCT'],"['Page 2:\n[¬s]""The subjects were 32 children (boys and girls) approximately 11 yr. old in the fifth grade of an elementary school. Subjects participated in their regular classroom and were randomly assigned to one of two conditions, the test form and the feedback form conditions.[¬e]""']",NA
['Cluster RCT'],"['Page 3:\n[¬s]""Subjects participated in their regular class groups and were randomly assigned by classroom to one of three conditions, differing in that subjects were provided with feedback after a relatively short delay, that is, immediately after completing the initial test (SDF), after a relatively long delay of 24 h (LDF), or no feedback (C).[¬e]""']",NA
['Multisite RCT'],"['Page 3:\n[¬s]""Subjects were 97 children, approximately 11 years old, in the fifth grades of three ele- mentary schools. Subjects participated in their regular class groups and were randomly assigned by classroom to one of three conditions,[¬e]""']",Participants from 3 were randomly assigned to one of the three treatment conditions. Since all the conditions belong to all the schools it is a multisite RCT. 
['Individual RCT'],NA,NA
['Individual RCT'],"['Page 4:\n[¬s]""The\nstudents were randomly assigned to the treatment and control groups[¬e]""']",NA
NA,NA,NA
['Multisite RCT'],NA,NA
['Individual RCT'],"['Page 4:\n[¬s]""randomized control\ngroup design with four posttest measures. Data were\nanalyzed from a total of 145 fourth- and fifth- grade stu-\ndents who attended a public charter school[¬e]""']",NA
['Multisite RCT'],"['Page 5:\n[¬s]""At the beginning of the school year, all students in grade four were randomly assigned to teachers and sections. In each instance the teachers participating in the study taught two sections of language arts daily. One section from each teacher was randomly assigned to small group conditions.[¬e]""']",Students were assigned to either of the conditions within two schools. 
['Multisite RCT'],NA,"Page 446: ""This study was conducted using 210 students enrolled in nine, seventh-grade science classes. [...] all subjects were blocked by sex to ensure equal distribution of males and females and then randomly assigned to one of six experimental conditions."""
['Multisite RCT'],"['Page 3:\n[¬s]""This Mody was conducted «wng 210 wuJculs enrolled in uuic, seventh-grade science\nclasses Prior u> the experiraera, all subjects were blocked bv sex to ensure equal distribu\xad\ntion of males and females and then randomly assigned to uoe of six experimental conditions.[¬e]""']",NA
['Individual RCT'],"['Page 1:\n[¬s]""72 children (mean age = 6*5) were assigned to 1 of 6 training conditions[¬e]""']",NA
['Individual RCT'],NA,NA
['Individual RCT'],NA,NA
['Cluster RCT'],"['Page 12:\n[¬s]""A randomised control trial (RCT) design was used to generate potential effect size estimates.""\n""The unit of randomisation was the school, with each of the 20 schools being randomly allocated to either intervention or a waitlist control.[¬e]""']",NA
['Cluster RCT'],"['Page 37:\n[¬s]"" Each classroom was randomly assigned to one of three conditions: (a) control group; (b) single feedback; and (c) multiple feedback.[¬e]""']",NA
NA,NA,NA
['Individual RCT'],"['Page 2:\n[¬s]""subjects were randomly assigned to experimental conditions.[¬e]""']",NA
['Prospective QED'],"['Page 6:\n[¬s]""Of the thirteen high schools participating in the program during the 2002-\n2003 school year, ten were determined to have both sufficient experience with the program and\nfunctioning computer labs from the beginning of the school year.[¬e]""']",NA
['Individual RCT'],"['Page 3:\n[¬s]""Students were then randomly\nassigned to an instructional presentation,\nreceived the instruction,[¬e]""']",NA
['Multisite RCT'],"['Page 3:\n[¬s]""Participants were 33 fourth graders from two classes in one elementary school. [¬e]""']",Students from same school were included in different experimental groups.
['Individual RCT'],NA,NA
['Individual RCT'],NA,NA
['Prospective QED'],"['Page 25:\n[¬s]"" This is not a trial, and there is no cluster randomisation or randomisation of any kind. All treatment schools are in one school partnership in Bexley. Comparison schools are those in the same area who agreed to provide data.[¬e]""']",NA
['Multisite RCT'],"['Page 2:\n[¬s]""Twenty first graders (mean age = 6 years, 2 months) from a private school in suburban Baltimore, Maryland, participated in this study. Chil\xad dren were randomly assigned to groups with the restriction that there be an equal number of boys and girls in each group.[¬e]""']",Both control and treatment students belonged to the same school. 
['Cluster RCT'],"['Page 10:\n[¬s]""Schools participating in the trial were randomly assigned to one of two trial arms[¬e]""']",NA
['Individual RCT'],"['Page 4:\n[¬s]""All papers were scored by the experimenters. They\ndivided the students into high and low performance\nlevels on each task by grade based on the median score\nfor each grade. Within each performance level, students\nwere blocked by gender and total score and were ran-\ndomly assigned within blocks to one of two treatment\nconditions: comment-and-score or scor[¬e]""']","This study compares the rate students choose to repeat a task in relation to 3 condition of teacher feedback 1) encouragement irrespective of performance, 2) performance related and 3) no comment. It does not report descriptive SDs nor inferential results for the main contrast i.e. repeat rate x treatment. Consequently, it is not possible to extract an effect size for test this paper claims to report, As no alternative available, F ratio has been reported for difference in return rate between high and low performers (irrespective of treatment). Suggest it is not possible to derive meaningful interpretation of results of this study."
['Multisite RCT'],"['Page 3:\n[¬s]""Fifty-three\' students enrolled in a high school regents ^ \'chemistry course were"" randomly assigned to three treatment groups (Keeler group, Bloom grbup, and traditional group).[¬e]""']",Students from same school were assigned to treatment or control groups. 
['Individual RCT'],"['Page 2:\n[¬s]""EXPERIMENT 1[¬e]""', 'Page 3:\n[¬s]"" The subjects were randomly assigned to the four con\xad ditions of the experiment, which were : tests only, no feedback, passive feedback or active feedback.[¬e]""']",NA
['Multisite RCT'],"['Page 2:\n[¬s]""The subjects were 58 children enrolled in a second- year class and a third-year class at a junior school[¬e]""', 'Page 3:\n[¬s]""The subjects were randomly assigned to the four con\xad ditions of the experimen[¬e]""']",Both control and treatment children belonged to same junior school.
['Individual RCT'],NA,NA
['Individual RCT'],NA,NA
