int_fidel_raw,int_fidel_ht,int_fidel_info
['Quantitative'],"['Page 2:\n[¬s]""Fidelity of Treatment. The accuracy with which teachers implemented the treatment was assessed using the Spelling Modified Accuracy of Imple-[¬e]""', 'Page 3:\n[¬s]""mentation Rating Scale-Revised (S-MAIRS; Fuchs, 1988), which comprises three subscales: Structure,\' Measurement, and Data Utilization. Items are rated on a 5-point Likert-type scale (0 =""low""; 4 = ""high""), in accordance with detailed scoring guidelines. Staff were trained in scoring during one 3-hour session. Percentage of agree\xad ment, calculated on 15 protocols, was 92. (See Coulter, cited in Thompson, White, & Morgan, 1982, for formula.)[¬e]""']","Fidelity of Treatment.   The accuracy with which teachers implemented the treatment was assessed using the Spelling Modified Accuracy of Implementation Rating Scale-Revised (S-MAIRS  Fuchs, 1988), which comprises three subscales  Structure,' Measurement, and Data Utilization. Items are rated on a 5-point Likert-type scale (0 =""low""  4 = ""high""), in accordance with detailed scoring guidelines."
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['Qualitative'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']","['Page 11:\n[¬s]""The study examined fidelity of implementation through a teacher survey of classroom practices to determine the extent to which teachers implemented the desired practices and to describe differences between classroom practices of teachers in the treatment group and those of teachers in the control group.[¬e]""']",NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,lab experiment
['No implementation details provided.'],NA,NA
['Quantitative'],"['Page 7:\n[¬s]""The experimental pairs were asked to record every reading session on audio-tape and the researcher attended all sessions to ensure that this was carried out. One in every three reading sessions, that is one per week, was scrutinised to ensure that the correct procedures were being followed and to record reading progres""\n""The first 100 words were checked and details were recorded on standard record and analysis sheets. This made it possible to record the number of pauses, the number of self-corrections, the type and number of prompts given, whether the word was told and, if relevant, the number and nature of praise statements given.[¬e]""']",NA
"['Qualitative', 'Quantitative']",NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['Qualitative'],NA,NA
['Qualitative'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
"['Qualitative', 'Quantitative']",NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],"['Page 15:\n[¬s]""First, as\nmentioned, a limitation of this study might lie in the short period\nof time in which group members had to use the tools, ful?ll the\ntask, and establish shared norms, values and beliefs.""\n""in this study self and peer assessments (inter-\npersonal perceptions) were used in order to change the social\nand cognitive behavior of individual group members and the group\nas a whole. Students were both feedback provider (assessor) as\nfeedback receiver (assessee), thus student’s interpersonal percep-\ntions and behavior were inﬂuenced by their provided and received\nfeedback. In future research it would be interesting to use a larger\nsample size and Social Relations Models (SRM) to examine how\nmuch variance in self assessment and peer assessment scores can\nbe explained by the actor (assessor), partner (assessee), diad (spe-\nciﬁc combination of two students), and group (speciﬁc combina-\ntion of three or more students).[¬e]""']",NA
['Quantitative'],NA,NA
['Qualitative'],"['Page 7:\n[¬s]""The RAs were trained to follow a script, and fidelity\nof implementation was examined. First, RAs observed\nthe first author thinking aloud, evaluating, and scoring\nthose papers. Then, RAs were given the materials and\ntime to learn the script. RAs spent an average of two\nhours on practicing the lesson with the first author\nuntil they could deliver the instruction without refer-\nence to the script and with 100% fidelity. All RAs deliv-\nered instruction using the script, and their sessions\nwere audiotaped. A checklist was developed based on\nthe instructional script. The first author and an RA,\nwho had no involvement with the study and/or knowl-\nedge about the study’s research questions, indepen-\ndently listened to all tapes for fidelity purposes;\ninter- rater agreement on the checklist was 100%.\nFidelity of implementation was high (100%).[¬e]""', 'Page 8:\n[¬s]""Participants who were absent during pretest or posttest\ntasks were asked to complete the tasks at a later time.\nThe RA for that classroom or the researcher was present\nto administer these tasks.""\n""no student\nwas absent for more than one day. From the reviewing\ngroup, one fourth- grade and four fifth- grade students\nwere absent. From the reading group, one fourth- grade\nstudent and one fifth- grade student were absent. Finally,\nfrom the control group, six fourth- grade and five[¬e]""', 'Page 9:\n[¬s]""fourth- grade students were absent. These students were\nincluded in the data, even though they had missed one\nday of the intervention.[¬e]""']",NA
"['Qualitative', 'Quantitative']",NA,NA
['Quantitative'],NA,implementation was delivered by computer program 
['Quantitative'],NA,feedback provided by computer program
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Quantitative'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
"['Qualitative', 'Quantitative']",NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['Qualitative'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
"['Qualitative', 'Quantitative']",NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']",NA,NA
"['Quantitative', 'Qualitative']","['Page 6:\n[¬s]""The\nclassrooms that implemented ITSS with ﬁdelity had an average time on ITSS of 35 min each week compared to the other classrooms that\nprovided only 20 min or less of ITSS each week.[¬e]""', 'Page 11:\n[¬s]""This analysis of schools and classrooms that implemented the ITSS intervention with ﬁdelity shows that the effect sizes can be higher.\nThis ﬁnding suggests that the teachers’ role in the implementation of such web-based learning environment cannot be discounted.\nThe number of classrooms that implemented the intervention with ﬁdelity was 24 out of the 259 that participated in the large scale\nstudy. We have identiﬁed six possible reasons for this number based on our ﬁndings, classroom observations, and conversations with\nteachers during professional development sessions.[¬e]""']",NA
"['Qualitative', 'Quantitative']","['Page 12:\n[¬s]""The research team generated biweekly reports for the teachers showing student progress\nin ITSS. The reports listed one line for each student in the teacher’s classroom and showed\nthe last lesson completed, scores on most recent assessments, and the student responses.\nGaming was deﬁned as nonsense answers, repeatedly submitting the same answer, and/or\nsubmitting blank answers. This allowed the teachers to monitor the students’ progress and\nintervene where students appeared to be gaming the system rather than learning. If a student\nwas provided multiple trials for each lesson then the teacher was consulted to conﬁrm that\nthere were no other issues (e.g., problems with the headphones, disabilities that needed to\nbe addressed by a classroom aide).""\n""To further ensure ﬁdelity of implementation, the research team reviewed computer log\nﬁles weekly. The computer logs were sorted by time on task for each child and classrooms.\nIf the time on task showed less than 30 min each week the research coordinators contacted\nthe teachers to inquire about the usage. If there were any technology or software challenges,\na member of the research team followed up via phone or visited the school to resolve the\nissues.[¬e]""', 'Page 25:\n[¬s]""Fidelity checks noted that three schools with 12\nclassrooms were actively pursuing a text-structure-based curriculum for all their classrooms\nand had numerous posters and wall displays that showed signaling words and text structure\ninformation. Despite this unexpected overlap in some of the content between ITSS and the\nlanguage arts programs in 9% of the classrooms, ITSS showed statistically signiﬁcant and\nmoderate effects sizes on measures most directly related to producing good main ideas.[¬e]""']",6.9% attrition in exp.  5.2% attrition in control.
"['Qualitative', 'Quantitative']","['Page 9:\n[¬s]""Fidelity of the treatment was monitored by the research team\nthrough classroom observations and weekly review of ITSS com-\nputer logs. One classroom observation was conducted during the\nyear in both intervention and control classrooms and noted the\ntypes of instructional activities, overall classroom atmosphere, and\nclassroom organization (e.g., small group, teacher-led). The obser-\nvations documented any use of text structure and other compre-\nhension strategies in both the intervention and control classrooms\nand noted similarities and differences between the ITSS version of\ntext structure versus other approaches (as described earlier). The\nobservations also noted any possible contamination of the control\nclassrooms.\nBiweekly progress reports were emailed to the teachers in the\nintervention group noting student progress and any gaming of the\nsystem by students. If students submitted nonsense or blank an-\nswers repeatedly or used language in the urban dictionary, the\nsystem flagged the interactions as gaming and teachers were asked\nby the research team to follow-up with the student(s). Alerting\nstudents that teachers would see their written responses along with\nteacher follow-up reduced off-task behaviors in the ITSS (Wije-\nkumar et al., 2014).\nPosttest measures on reading comprehension were administered\nat the end of the school year under the same conditions as the\npretest. Posttests included the GSRT and researcher-designed mea-\nsures. When students had to leave early from any testing session,\nthe research team advised them to complete the standardized test\nand the signaling word task of the researcher designed measure\nprior to leaving.[¬e]""', 'Page 16:\n[¬s]""Students in the intervention classrooms used the ITSS system\nfor approximately 29 min each week for 22 weeks. They com-\npleted approximately 27 lessons on average. Most students com-\npleted instruction about the comparison, problem and solution, and\ncause and effect text structures. They also completed lessons on\nnested text structures.\nThe research team compiled weekly emails from the teacher-\naides supporting the ITSS delivery and also summarized observa-\ntions conducted in classrooms. Classroom observers were trained\nusing video-taped segments created for the training. After training\nobservers interrater reliability was 95%. Over 80% of the teachers\ndid not participate in the computer lab time when ITSS was being\nused by the students with the support of the teacher-aides. Class-\nroom observations focused on instructional foci and classroom\norganization. Observations showed that over 92% of teachers\nconcentrated on literature and focused more on critiques, writing,\nand discussions. Less emphasis was paid to explicit text structure\ninstruction and more focus was on implied text structure use (e.g.,\ncomparison of literary attributes). Due to budget and time limita-\ntions the team was unable to conduct observations in other content\narea classrooms, such as science.[¬e]""']",NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
"['Qualitative', 'Quantitative']","['Page 45:\n[¬s]""The balance of males to females was disrupted for two reasons: some students were assigned to one group but were forced to switch to another group because they could participate during only one of the class periods rather than during either. Other students randomly assigned to groups prior to the first week could not participate because their parental permission slips were not returned, and last minute switches to balance group size could not always simultaneously balance sex distribution.[¬e]""']","Treatment A — two students were absent  Treatment D— one student was absent,one student failed to write during either task 2 or 3  Make-up sessions in locations not suitable for concentrated work lead to absent students being dropped from the study"
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['No implementation details provided.'],NA,NA
['Qualitative'],NA,NA
['No implementation details provided.'],NA,NA
