base_diff_raw,base_diff_ht,base_diff_info
['No/Unclear'],"['Page 12:\n[¬s]""First, pre-test scores were compared to assure statistical equivalence of achievement\nin the two groups of students in September. Both groups were equivalent at baseline""\n""Kindergarten students in each group did not differ on DIBELS Letter Naming Fluency\n(LNF) scores in September (t=.80, df=115, p=.43; means are in Table 2). First Grade\nstudents in each group did not differ on DIBELS Phoneme Segmentation Fluency\n(PSF) scores in September (t=.88, df=149, p=.38; means are in Table 3)[¬e]""']",NA
['Yes'],"['Page 140:\n[¬s]""KOR""\n""34.78""\n""NFB""\n""39.57[¬e]""', 'Page 151:\n[¬s]""Pretest Analysis""\n""F statistics for the model were not significant in either case and that there were no interactions of or main effects due to the independent variables. On this basis, it was concluded that there were no reliable differences between groups prior to the experiment[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""performance scores from Session 1 were analyzed using a one-way analysis of variance (anova) to check initial equivalence of the experimental groups. The analysis revealed that only for one variable, elaboration, was the group effect considerable, F(2, 258) = 2.56, p < .08 whereas for all other variables the obtained F was very low.[¬e]""']",NA
['Yes'],NA,NA
NA,NA,NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['Yes'],NA,NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['Yes'],"['Page 8:\n[¬s]""Table 3[¬e]""']",NA
['Yes'],"['Page 52:\n[¬s]""Analysis of test data indicated no significant\npretreatment difference between groups in ACT Natural Science Reading test scores\nor in Nelson-Denny Reading Comprehension Test scores\n. These[¬e]""']",NA
['No/Unclear'],"['Page 7:\n[¬s]""This study used a post-test-only design[¬e]""']",NA
['Yes'],"['Page 38:\n[¬s]""Baseline equivalence of treatment and control groups[¬e]""', 'Page 39:\n[¬s]""There were some statistically significant differences between treatment and control group schools at the beginning of the study.[¬e]""']",NA
['No/Unclear'],NA,Not reported
['Yes'],"['Page 14:\n[¬s]""TABLE 5[¬e]""', 'Page 6:\n[¬s]""TABLE 2[¬e]""']",NA
['No/Unclear'],NA,NA
['Yes'],NA,table 8
['No/Unclear'],NA,NA
['Yes'],"['Page 86:\n[¬s]"" A one-way analysis of variance indicated that there were also no significant differences among the groups for reading proficiency based on the cloze test results.[¬e]""', 'Page 86:\n[¬s]""A chi-square test was conducted to determine if there were differences among groups in ability to monitor comprehension based on the passage inconsistencies test, and in gender. There were no significant differences among the four groups in these areas.[¬e]""']",NA
['Yes'],"['Page 7:\n[¬s]""There were no significant""\n""differences across groups on pretest scores.[¬e]""']",NA
['Yes'],"['Page 105:\n[¬s]""No statistically significant differences among group means were found, which suggests that the groups were generally equivalent, as was the goal of random assignment. It was noted on frequency distributions, however, that Group 1 contained several more students who scored above the 50th percentile on the Vocabulary and/or Reading subtest than Group 2 or 3. This suggests the possibility that the posttest scores of Group I may have been higher than Group 2 (Figure 2) because Group 1 contained more students of higher ability. However, as a result of random assignment, the groups were equivalent on grade level and reading Instructional level, the latter of which was significantly correlated with multiple-choice test results, and the groups were not significantly different on the Vocabulary or Reading subtest. Thus, the chance that Group 1 ""truly"" had higher ability than the other groups and as a result performed better (Figure 2) is not well[¬e]""', 'Page 106:\n[¬s]""supported by the data.[¬e]""']",NA
['Yes'],"['Page 71:\n[¬s]""300.7""\n""293-6[¬e]""']",NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,"no detail is provided of tests comparing performance of groups following allocation to condition, however, experimental control is provided by assigning the groups on the basis of ITBS "
['Yes'],"['Page 12:\n[¬s]""the inter-\nvention group students (School 1) began with lower reading achievement scores[¬e]""', 'Page 13:\n[¬s]""able 1. Mean reading achievement scores by group[¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""The 15 highest ranking students in each class were then selected for the study. There were 17 males and 13 females —13 black, 16 white, and one Indian student. Students were distributed roughly evenly by sex and race across the two treatment groups. The average end-of- fifth-grade percentile on the California Achievement Test (CTB/McGraw- Hill, 1977) for Language for the revision group (79.75, SD = 8.59) was not significantly different from the average for the control group (82.67, SD = 10.18).[¬e]""']",NA
['Yes'],"['Page 7:\n[¬s]""Pre-test score\nTutor N\nNone\niList-1\niList-2\niList-3\n53\n61\n56\n19\nHuman 54\n.34\n.41\n.31\n.53\n.40\n.22\n.23\n.17\n.29\n.26\nMean Std[¬e]""']",NA
['Yes'],"['Page 7:\n[¬s]""Pre-test score\nT""\n""Tutor""\n""None\niList-1""\n""Mean Std[¬e]""']",NA
['Yes'],"['Page 7:\n[¬s]""Pre-test score\nTutor N\nNone\niList-1\niList-2\niList-3\n53\n61\n56\n19\nHuman 54\n.34\n.41\n.31\n.53\n.40\n.22\n.23\n.17\n.29\n.26\nMean Std[¬e]""']",NA
['Yes'],"['Page 7:\n[¬s]""Pre-test score\nTutor N\nNone\niList-1\niList-2\niList-3\n53\n61\n56\n19\nHuman 54\n.34\n.41\n.31\n.53\n.40\n.22\n.23\n.17\n.29\n.26\nMean Std[¬e]""']",NA
['Yes'],"['Page 8:\n[¬s]""Students\x92 overall CSAP scores, collected in the spring of 2002, indicated that their achievement level on these measures was quite similar across all four classes.""\n""assignment to experimental and control condition was made within classes, with roughly half of the children in each class randomly assigned to either condition.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""Statistical tests revealed that experimental and contrast groups were similar with respect to teachers\' sex and experience as well as students\' sex and grade level.""\n""there was a relation between treatment group and the distribution of children among program types""\n""with a much greater percentage of brain-injured children in the experimental group[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""pils\' average scores on the Passage Reading Test (see Measures sec tion) pretest were 57.55 {SD = 34.20) and 86.90 {SD = 49.90), for the DBI and TYP treatment groups, respec tively.""\n""{SD = 46.67) and 87.46\n{SD = 50.46), respectively. A 2 x 2 x 4 (Mastery\nLearning Treatment x Achievement Level x Teacher),\nanalysis of variance conducted on the pretest scores\nrevealed significant differences between the reading\nskills of students in the achievement groups, F(l,70) =\n8.42, p < .005, a[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""One-way analyses of variance revealed, no f significant differences among groups on;„ the following teacher variables: age,: level;!, total years teaching, years teach irig special - #i education, years teaching in current school, years of computer experience, and • the self-reported number of times per year teachers had evaluated students’ spelling performance prior to the study. Descrip\xad tive and inferential statistics on these variables are displayed in Table 1. Addi\xad tionally, a chi-square test applied to teachers’ highest educational degree revealed no statistically significant differ\xad ence among groups, xz(4, N = 27) = 2.58, ns. ""\n""A multivariate one-way analysis of variance was conducted on these two scales, using Wilks’ lambda to test for equality of group centroids. This analysis revealed no significant differences among groups[¬e]""', 'Page 4:\n[¬s]""Table 1 Teacher and Student. Demographics[¬e]""']",NA
['Yes'],"['Page 2:\n[¬s]""ANOV As on students\' age, grade, teacher-es\xad timated math level, years in special education, and individually measured IQ (available for 60 students) revealed no significant differences. Chi-square tests applied to race, sex, and handi\xad capping condition indicated that groups were comparable (see Table 2).[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""TABLE 1 Teacher and Student Demographic Information[¬e]""', 'Page 4:\n[¬s]"" Chi-square tests applied to students’ race, sex, and handi\xad capping condition also indicated that experimental groups were comparable.""\n""In the CBM-ES, CBM-NES, and control groups, respectively, there were (a) 18,14, and 15 boys and 2, 6, and 5 girls; (b) 6, 4fiand-;6 minority and 14, 15, and 15 nonminority students; and (c) 16,17, and 19 pupils identified as learning disabled and 4, 2, and 1 pupils identified as emo\xad tionally disturbed.[¬e]""']",Both teachers and students were similar in terms of their characteristics at the initial stage. 
['Yes'],"['Page 13:\n[¬s]""Pretreatment Math Operations Test. The ANOVA on the pretreatment data indicated no significant effect for treatment, F(2,37) = .20, ns, and no significant effect for the interaction be\xad tween treatment and studenttype, F(4,74) = 1.27, ns.[¬e]""', 'Page 3:\n[¬s]""One between-subjects (treatment: CBM-IN\nvs. CBM-NoIN vs. contrast) and one within-sub-\njects (type of student: LD vs. LA vs. AA)\nANOVA conducted on students\' age and grade-\nlevel functioning in math indicated group com-""\n""parability,[¬e]""', 'Page 4:\n[¬s]""Age""\n""Grade level functioning in math""\n""IQ""\n""Years in Special Education""\n""Gende""\n""Race""\n""TABLE2 Student Demographic Information[¬e]""']",NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['Yes'],"['Page 4:\n[¬s]""Prior to the experiment, paper and pencil\ntests and questionnaires were administered\nin order to illustrate general characteristics\nof the sample as well as to ensure that the\ncontrol group and the treatment group did\nnot differ with respect to reading fluency (70\nitems/speed-test; Auer et al., 2005), intelli-\ngence (25 items; Heller & Perleth, 2000),\nperformance goal orientation and learning\ngoal orientation (9 Items; Baumert et al.,\n1997), self-efficacy in reading (3 Items; McEl-\nvany et al., 2008) and reading interest (9\nItems; Kunter et al., 2002). As shown in Table\n1, no differences between the control and\ntreatment group were found for any of these\nvariables.[¬e]""']",NA
['Yes'],"['Page 20:\n[¬s]""In terms of their prior KS2 English points, the randomisation was successful in creating balanced groups at the outset""\n""Table 3. KS2 points in English, all pupils[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""of covariance for\ngain scores using IQ as a covariate. The F ratio for condi\ntions suggests some possibility of differences between\ntreatments but does not indicate significant differences\nfor interaction or for personality. Hypothesis 1, which\nsuggested that Internals would gain more than Externals\nin the IR and F conditions, is therefore not supported.[¬e]""']",NA
['No/Unclear'],"['Page 3:\n[¬s]""e mean Otis IQ of Internals was\n112.7, SD = 10.96, while the Externals\' mean IQ was\n107.4, SD = 9.69. A Mest comparing the mean IQs of the\ntwo groups (t = 2.214, df= 2,78, p < .025) indicated that\nthe IQs were significantly different a[¬e]""']","IQ across strata, within was randomisation was conduced, was compared. However, there was no comparison across treatment conditions."
['Yes'],"['Page 303:\n[¬s]""Table 1 shows that the means for both the control group (2.45) and experimental group (2.45) began at the same approximate baseline for Phase One.[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""To increase the similarity among groups, the comple\xad tion-format pretest scores were used to match triads of students among treatment groups. This matching pro\xad cedure eliminated 16 percent of the examinees and pro\xad duced three matched groups of 389 cases, each having a pretest mean of 8.82 and standard deviation of 3.17.[¬e]""']",NA
['Yes'],"['Page 2:\n[¬s]"" The control classes con\xad tained 21 boys and 9 girls with an age span from 9 to 12 years. The schools in which the experimental and control classes were con\xad ducted were located in the central section of a large metropolitan area.""\n""Placement in the experimental and control classes was accomplished by matching students already assigned by the school district to special- education classes on the basis of (a) intelli\xad gence scores (Stanford-Binet) obtained from previously administered tests and (b) WRAT reading scores.[¬e]""']",NA
['Yes'],"['Page 12:\n[¬s]""Pre-test Mean 4.453 4.319 4.687 4.938\nS[¬e]""']",NA
['Yes'],"['Page 58:\n[¬s]""As noted from the 2010 Tennessee State Report Card, the experimental site, School A, was an elementary school in Overton County, Tennessee with a student population of 766 students at the end of the 2010 school year. The student enrollment was over 97% white. In this rural school, approximately 12% of the student population qualified for special education services, and 64% of the student population was considered economically disadvantaged. In 2010, the household income of a family of four must have been below $32,240 to meet the free lunch criteria. This school met target goals for federal AYP in all areas for the 2009-2010 school year (Tennessee Department of Education, 2010). Eighty out of 83 students from the eighth grade of this school participated in this study.""\n""The control site, School B, was also an elementary school in Overton County, Tennessee with a student population of 455 students at the end of the 2010 school year. The student enrollment was over 98% white. In this rural school, approximately 14% of the student population receives special education services, and 64% of the student population was considered economically disadvantaged. In 2010, the household income of a family of four must have been below $32,240 to meet the free lunch criteria (Tennessee Department of Education, 2011). This school met the target goals for federal AYP in all areas except for the subgroup of economically disadvantaged in the area of math (Tennessee Department of Education, 2010). Eighty out of 96 students from the eighth grade of this school participated in this study.[¬e]""', 'Page 64:\n[¬s]""The Mann-Whitney U was used to determine whether the groups were equivalent on the pretest[¬e]""', 'Page 67:\n[¬s]""Table 1 Distribution of Regular Education Students across the Independent Variables[¬e]""', 'Page 68:\n[¬s]""Table 2 Gender and Treatment Variable Crosstabulation for Regular Education Students[¬e]""']",NA
NA,NA,NA
['Yes'],"['Page 8:\n[¬s]""The mean\nvalues and standard deviations of the pre-test scores were 77.53 and 16.39 for the control\ngroup, and 73.56 and 22.10 for the experimental group.[¬e]""']",NA
['No/Unclear'],NA,Table 1 may indicate comparison but unclear if this relates to pre-test or post-test.
['No/Unclear'],NA,NA
['Yes'],"['Page 55:\n[¬s]""Demographic Characteristics o f Participating Students[¬e]""']",NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,"Student's cognitive style was assessed, and this variable was used for stratification in an additional analysis - however it's unclear if this measure was administered pre or post-treatment."
['No/Unclear'],NA,no baseline reported
['No/Unclear'],NA,NA
['Yes'],"['Page 82:\n[¬s]""Students in the treatment and control groups were similar in these ways: (a) gender balance, (b) ethnicity, and (c) percentage (of the total) o f regular education students. There were also differences[¬e]""', 'Page 83:\n[¬s]""between these two groups o f students: (a) higher percentage o f non-Hispanic Caucasian students in the control group, (b) higher percentage o f special education plus ESL students in the treatment group, and (c) higher percentage o f gifted students in the control group.[¬e]""']",NA
['Yes'],"['Page 10:\n[¬s]""Both the treatment and comparison groups had similar student characteristics (race, gender, limited English proficiency (LEP), free lunch eligibility, special education students) and teacher/school characteristics (licensed in teacher assign- ment, percent of core classes taught by \x93highly qualified teachers,\x94 student/teacher ratio). These demographics were compatible with the district, but varied from the state profile. When compared to the state\x92s school demographics, our participants had a higher Hispanic and lower white population, higher LEP, higher English not the first language, and higher percentage of students failing/needing improve- ment on the MCAS.[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""One-way ANOV As showed no differences between the experimental and the control groups in the subjects\' pre-training nonverbal cognitive ability and vocabulary, as well as speed and accuracy of reading.[¬e]""']",NA
['Yes'],"['Page 22:\n[¬s]""The student sample had a very low proportion of both English language learners and racial minorities (less than 1 percent); 10 percent of the students in the sample were eligible for free or reduced-price lunch; and 11 percent were in special education. These were equally[¬e]""', 'Page 23:\n[¬s]""distributed across the experimental and control groups.[¬e]""']",NA
['Yes'],"['Page 14:\n[¬s]""One-way analysis of variance (ANOVA) indicated that, at pretest, no signif- icant differences emerged between the three groups, F(2, 97) = 2.01, p > .05; \x03 \x04 = 0.08 on prior mathematical knowledge. Means were 83.30, ""\n"" and 82.04 respectively for GFG, ""\n"" and CONT (SD = 16.80, ""\n"" 14.70).[¬e]""', 'Page 7:\n[¬s]""The three classes were heterogeneous in terms of math ability.[¬e]""']","Three groups are described in the study, however only two groups are extracted for outcomes. "
['No/Unclear'],NA,NA
['Yes'],"['Page 9:\n[¬s]""ble 2. Sample statistics.\nGroup\nconText\nReading Detectives\nN\n59\n80\nAge M (SD)\n11.9 (0.6)\n12.0 (0.6)\nNote: Age differences were tested using t-tests. We used \ue0462\nSex (male /\nfemale)\nNon-native\nspeaker (%)\nDevelopmental\ndyslexia\n34 / 25 311\n43 / 37 315\ntests to investigate differences in sex[¬e]""']",NA
['Yes'],"['Page 7:\n[¬s]""Students were assigned to each condition\nafter being tested with a standardized comprehension\ntest (CompLEC; Llorens et al., 2011) so that all groups\nwere similar in terms of comprehension skills, F(2,\n89) = 0.13, p = .88 (M= 12.36, sd = 3.77 for the\nplacebo group; M= 12.82, sd = 3.61 for the right-\nanswer group; M= 12.57, sd = 3.57 for the strategic-\nsearch-decisions group).[¬e]""']",NA
['Yes'],"['Page 7:\n[¬s]""Students were assigned to each condition\nafter being tested with a standardized comprehension\ntest (CompLEC; Llorens et al., 2011) so that all groups\nwere similar in terms of comprehension skills, F(2,\n89) = 0.13, p = .88 (M= 12.36, sd = 3.77 for the\nplacebo group; M= 12.82, sd = 3.61 for the right-\nanswer group; M= 12.57, sd = 3.57 for the strategic-\nsearch-decisions group).[¬e]""']",NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['No/Unclear'],NA,NA
['Yes'],"['Page 6:\n[¬s]""The ranges of these scores were 0±10 for MT Comprehension Test, and 0±12 for Raven\'s Progressive Matrices. The mean score on the MT test of the experimental subjects was 6.86, while the controls[¬e]""', 'Page 7:\n[¬s]""mean score was 6.21. The mean score on the Raven Matrices was 9.14 in the experi- mental group and 9.07 in the control group.""\n""The mean score on the writing comprehensibility test was 3.57 in the experimental group and 3.86 in the control group. An analysis of variance con®rmed the absence of signi®cant differences between groups as regards the matching variable (F (1,28) 5 0.361, p 5 0.553), MT scores (F (1,28) 5 0.637, p 5 0.432) and Raven scores (F (1,28) 5 0.014, p 5 0.907).[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""All students, except four, were white males. Students in the two groups did not differ signifi\xad cantly on age (experimental M - 11.2 years. SD = .7; control M = 10.9. SD = .8) or reading achievement (test M = 100. SD = 15; experimental M = 82. 6. SD = 9.1; control M = 78.4, SD = 6.7). Mean IQ was significantly higher for the control group (M = 102.9. SD ~ 10.8) than the experimental group (Af = 95.4. SD = 7.4; F( 1,27) = 4.53, p < .05).[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""Thirty-six second graders were recruited from the\ncommunity to participate in a laboratory experi-\nment (mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years). Of these,\n14 children were assigned to a control no-feed-\nback condition and 22 were assigned to a feed-\nback condition; mean age did not differ across\nconditions, t(34)01.16, SE0.19, p\t.25[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""Of these,\n14 children were assigned to a control no-feed-\nback condition and 22 were assigned to a feed-\nback condition; mean age did not differ across\nconditions, t(34)01.16, SE0.19, p\t.25.[¬e]""']",NA
['No/Unclear'],NA,NA
['Yes'],"['Page 6:\n[¬s]""TABLE I. The composition of the three groups by gender, chronological age and reading age[¬e]""']",NA
['Yes'],NA,NA
['No/Unclear'],NA,NA
['Yes'],"['Page 2:\n[¬s]""there were 15 girls and 18 boys in the ex\xad perimental group, and 17 girls and 12 bpys in the control group[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""equal numbers of boys and girls in each group""\n""After random assignment of the groups the mean IQs of the two groups were compared by a t test. The difference between means did not approach significance.[¬e]""']",NA
['No/Unclear'],"['Page 9:\n[¬s]""he two treatment groups were similar in ability, grade, and special needs\nstatus. There were no statistically significant differences in any pre-test scores\nbetween the two groups—for all tests,[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""at the groups did not differ by se[¬e]""', 'Page 7:\n[¬s]""Preliminary univariate analysis of variance indicated that the four groups did not differ in any of their scores on the Original series (before they were exposed to any differential experimental[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""at the groups did not differ by se[¬e]""', 'Page 7:\n[¬s]""Preliminary univariate analysis of variance indicated that the four groups did not differ in any of their scores on the Original series (before they were exposed to any differential experimenta[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""Of the 93 students, 49 were girls and 44 were boys.[¬e]""']",Note highlighted section refers to sample including two groups which are NOT coded - see Citation details: Comments. 
