comp_anal_raw,comp_anal_ht,comp_anal_info
['No'],"['Page 25:\n[¬s]""The initial linear mixed model was based on the assumption that the posttest score for a student would be linearly related to the pretest score, and that this pre-to-post relationship might vary from one classroom to another. A random-coefficient regression model was constructed, consisting of as many classroom-specific regression lines as the number of classrooms in the study. The model is expressed mathematically as: Post = Intercept [F] + Centered_Pre [F] + Teacher Intercept [R] + Teacher Slope (Centered_Pre) [R] + Residual [R] • Post: Posttest score of a student • Centered_Pre: Pretest score of a student, expressed as a deviation from the classroom mean[¬e]""', 'Page 26:\n[¬s]""• Teacher Intercept and Slope: The intercept and the slope of a classroom-specific regression line predicting the posttest score from the pretest score • [F] indicates a fixed effect, whereas [R] indicates a random effect According to the analysis of covariance parameters, significant variations were found among different classrooms regarding classroom-specific regression lines. To assess the effect of the intervention on the student score, a second model was created that is expressed mathematically as: Post = Intercept [F] + Condition [F] + Centered_Pre [F] + Condition x Centered_Pre [F] + Teacher Intercept [R] + Teacher Slope (Centered_Pre) [R] + Residual [R] The estimates of fixed effects showed that the interaction term was not significant. Consequently, this term was dropped and a simplified model was established: Post = Intercept [F] + Condition [F] + Centered_Pre [F] + Teacher Intercept [R] + Teacher Slope (Centered_Pre) [R] + Residual [R][¬e]""']",Covariance was considered but the interaction term between pretest and posttest was not significant. 
['Yes'],NA,NA
['No'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['No'],NA,NA
['No'],NA,NA
NA,NA,NA
['No'],NA,NA
['Unclear or details not provided'],"['Page 2:\n[¬s]""All 5s were pre-tested and post-tested with the Metropolitan Spelling Achievement Test, Form R within a week prior to and following the ex\xad perimental period.[¬e]""', 'Page 4:\n[¬s]""A pre-test, composed of a random selection of 50 words from the revised programmed units, was given to 5s one day before the beginning of the ex\xad perimental period.[¬e]""']",NA
['No'],NA,NA
['Yes'],NA,NA
['Unclear or details not provided'],"['Page 4:\n[¬s]"" the [¬e]""', 'Page 7:\n[¬s]"" procedures). Analysis of covariance on targeted and nontargeted qualitative errors, using the Original series as acovariate, provided results essentially the same as those reported bel[¬e]""']",NA
['Unclear or details not provided'],"['Page 7:\n[¬s]"" procedures). Analysis of covariance on targeted and nontargeted qualitative errors, using the Original series as acovariate, provided results essentially the same as those reported bel[¬e]""']",NA
['Yes'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 8:\n[¬s]""Next, an analysis of covariance test (ANCOVA) was performed. The purpose of the ANCOVA was to make the groups equivalent on the pre-test by applying this statistical technique [¬e]""']",NA
['Yes'],"['Page 8:\n[¬s]""Next, an analysis of covariance test (ANCOVA) was performed. The purpose of the ANCOVA was to make the groups equivalent on the pre-test by applying this statistical technique[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 4:\n[¬s]""There\nwere no signiﬁcant differences between treatment groups in initial mean scores on the GM.[¬e]""']",NA
NA,NA,NA
['Yes'],NA,NA
['Yes'],"['Page 10:\n[¬s]""Analysis of covariance\n(ANCOVA) was used to control for pretest differences.\nDescriptive statistics are provided in Table 4""\n""A multivariate analysis of covariance (MANCOVA)\nwas performed with four dependent variables (quality\nof both immediate posttests and final drafts of transfer\nand delayed posttests), two covariates (quality of both\npretests)[¬e]""']",NA
['No'],NA,NA
['Yes'],NA,"The study does not account for any differences statistically, but students were randomly assigned to conditions hence lack of differences are highly probable (differences are accounted for at the design stage)."
['Yes'],NA,"The comparability is accounted for by design (randomisation), however it was not statistically controlled and comparisons were not conducted."
['Yes'],"['Page 3:\n[¬s]"" The children were assigned to six groups (n = 12) that were equated on the basis of sex, grade, and the scores obtained on each pretest task. Only children who got a score of 3 or less on the speaking task and 12 or less on the four other pretest tasks were included in the experiment[¬e]""']",NA
['No'],NA,NA
['No'],NA,NA
['Yes'],NA,NA
['No'],NA,Partcipants did not differ.
NA,NA,NA
['Yes'],"['Page 3:\n[¬s]"" Scores on Part 1 were used as the covariate variable.[¬e]""']",NA
['No'],NA,NA
['Yes'],"['Page 4:\n[¬s]""significant\ndifferences for presentation, F (6,180) =\n9.93, p < .0001, prior achievement, F (2,90)\n= 3.42, p < .05, and the presentation-by-\nprior achievement interaction, F (6,180) =\n2.44, p < .05.[¬e]""']",NA
['No'],NA,NA
['Yes'],"['Page 10:\n[¬s]""pretest measures served as covariates.[¬e]""']",NA
['Yes'],NA,NA
['Unclear or details not provided'],NA,NA
NA,NA,NA
['Yes'],"['Page 21:\n[¬s]""Table 4 provides a comparison between treatment and control at baseline and suggests the trial is well balanced in terms of inspection grade, broad school type, cohort size, and eligibility for FSM. Most importantly it is well balanced in terms of the KS2 score pre-test. [¬e]""']",The trial was balanced.
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 4:\n[¬s]""There were no significant differences among conditions in adjusted mean tables post-test performance. When the regression of tables post-test perform\xad ance on tables pre-test performance was plotted, the slopes for the active and passive conditions were significantly different, 2=2-26, df=31, P<-05. Pupils who had a low score on the tables pre-test, and who had worked in the active feedback condition, performed much better on the tables post-test than similar pupils from the passive feedback group.[¬e]""']",NA
['No'],NA,NA
['No'],NA,As there were no significant differences in pretest
['No'],NA,NA
['Yes'],"['Page 4:\n[¬s]""Table 1.-Comparison of Means and Standard Deviations for Prior Achievement[¬e]""']",NA
['Yes'],NA,NA
NA,NA,NA
['No'],NA,NA
['Yes'],"['Page 30:\n[¬s]""Characteristics of the 6th grade and the 7th grade students were compared to check for possible differences in gender and ethnicity and in prior achievement[¬e]""', 'Page 31:\n[¬s]""there were no differences in ethnic distribution or mean stanine score based on random assignment. Also as expected, the 7th graders scored significantly higher than the 6th graders on the measures related to why things sink and float, a logical result of previous exposure to the curriculum""\n""7th graders’ level of achievement at pretest was still below the level expected at the end of the FAST unit and thus they remained good candidates for re-teaching[¬e]""']",NA
NA,NA,NA
['Yes'],"['Page 2:\n[¬s]""At the outset of the investigation, students in the coopera- tion-with-individual-feedback condition scored lower on achievement than did students in the control condition. To adjust for this difference, we performed an analysis of co- variance on the last achievement measurement, with the first measurement serving as the covariate.[¬e]""']",NA
['No'],NA,NA
NA,NA,NA
['Yes'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],"['Page 29:\n[¬s]""For cohort A, the treatment and control groups are well balanced in terms of gender (49% male in both the treatment and control groups) and eligibility for FSM (36% in both groups). However, there is a clear difference in terms of KS1 test scores.[¬e]""', 'Page 31:\n[¬s]"" For both reading and maths, the mean score is higher for the treatment group than the control group. These results, however, ignore the imbalance that was observed in baseline (KS1) characteristics between these two groups. Once this has been adjusted for in the analysis model the effect size becomes small in terms of magnitude (i.e. 0.00) and never approaches statistical significance at conventional thresholds.[¬e]""']",Since there was an imbalance between the treatment and control groups in cohort A an adjustment was made during the analysis
['Yes'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['No'],NA,NA
['No'],NA,NA
['Yes'],NA,The groups did not differ significantly
['Yes'],"['Page 51:\n[¬s]""Before analyzing differences in performance between the four treatments, pre- and posttest means of the two classes were compared to see if performance between classes varied significantly.[¬e]""']",The groups did not differ significantly
['No'],NA,NA
['Yes'],NA,NA
['Yes'],NA,NA
['No'],NA,NA
