int_who_raw,int_who_ht,int_who_info
['Research staff'],NA,NA
['Class teachers'],"['Page 3:\n[¬s]""All\nparticipating teachers were volunteers, experienced, and\nVenezuelan by birth.[¬e]""']",NA
['Digital technology'],"['Page 73:\n[¬s]""Passages were presented to students on Commodore 64 microcomputers with color monitors.[¬e]""']",NA
['Peers'],NA,NA
['Class teachers'],"['Page 10:\n[¬s]""Then, the self -study\ninstruction booklets were handed cut randonly. The students\nworked on their own booklets individually, and raised their\nhands when they were done with them. Students then returned\nthe instruction booklets to the teacher and received the\ntest.[¬e]""']","but the feedback was provided by the booklets, not by the teachers"
['Unclear/not specified'],NA,NA
['Unclear/not specified'],NA,self-instructional booklets
['Class teachers'],"['Page 3:\n[¬s]""All classroom activities during the investigation were\ndirected by the regular classroom teacher.[¬e]""']",NA
['Class teachers'],"['Page 11:\n[¬s]""Participants were\npresented with a rationale and procedural details for implementing CLAD as well as\nthe opportunity to practise it during the retreat.\nThree of these teachers elected to implement CLAD in their classrooms approxi-\nmately once a week from November through May of the 2003–04 school year.[¬e]""']",NA
['Research staff'],"['Page 6:\n[¬s]""Two trained doctoral students taught both treatment groups (in a counter\xad balanced fashion) and were monitored daily through direct observation by[¬e]""', 'Page 7:\n[¬s]""D o w n l o a d e d b y [ D u r h a m U n i v e r s i t y L i b r a r y ] a t 0 8 : 4 1 1 7 S e p t e m b e r 2 0 1 7 8 FITZGERALD AND MARKHAM one of the investigators or through tape recordings of lessons that were re\xad viewed the same day. T[¬e]""']",NA
['Unclear/not specified'],NA,Just categorized as a human tutor
['Digital technology'],NA,NA
['Digital technology'],NA,NA
['Digital technology'],NA,NA
['Digital technology'],"['Page 4:\n[¬s]""An algorithm is used to determine the threshold for content coverage for each main topic or section of the text, which varies in each case;[¬e]""']",NA
['Class teachers'],NA,special education teachers
['Class teachers'],"['Page 4:\n[¬s]""Every week, teachers measured each\nstudent\'s correct performance rate on a reading passage\nrandomly sampled from the group\'s current instruc\ntional level story. I[¬e]""']",NA
['Digital technology'],NA,NA
"['Research staff', 'Class teachers']","['Page 5:\n[¬s]""CBM teachers (Groups 1 anel 2) were provided initial training to implement CBM over 8 weeks, with two 2-hour after-school workshops, teacher practice, and stan observation of teachers. Then, staff met with teachers in their classrooms once every 2 to 3 weeks to help them solve implemen\xad tation problems.[¬e]""']",NA
NA,NA,NA
['Class teachers'],NA,NA
NA,NA,NA
['Research staff'],NA,NA
['Digital technology'],"['Page 4:\n[¬s]""The study was conducted with a comput-\nerised test on text comprehension that was\ndesigned by the research team. For the\ndynamic test, students were first presented\nwith the introduction to the test procedure;\nthis included an exemplary item. Afterwards,\nthey were asked to read five texts and\nrespond to the corresponding multiple-\nchoice items. If a response was false, students\nfrom the treatment group received accuracy\nfeedback stating ‘That is wrong’.[¬e]""']",NA
"['Class teachers', 'Digital technology']","['Page 23:\n[¬s]""In fact the intervention involves no teaching at all. AR does recommend teachers let pupils read aloud in a small group with same-age or cross-age peers. Teachers who were supporting pupils at a very low reading level were using the independent reading time for loud reading and one-to-one tutoring.[¬e]""']",NA
"['Research staff', 'Digital technology']",NA,NA
"['Research staff', 'Digital technology']",NA,NA
"['Class teachers', 'Parents/carers']",NA,NA
['Unclear/not specified'],NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Digital technology'],NA,NA
['Research staff'],NA,NA
"['Class teachers', 'Peers']",NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Digital technology'],NA,NA
['Class teachers'],NA,NA
['Digital technology'],NA,NA
['Digital technology'],NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Digital technology'],NA,NA
['Research staff'],"['Page 5:\n[¬s]""Trained graduate students of psychology performed the training sessions[¬e]""']",NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Unclear/not specified'],NA,NA
['Class teachers'],NA,NA
"['Research staff', 'Unclear/not specified']","['Page 10:\n[¬s]""The experiment lasted two sessions of approxi-\nmately 1 h. In the ﬁrst session, we tested participants\non reading literacy skills (i.e., CompLEC).[¬e]""']",NA
['Digital technology'],NA,NA
['Research staff'],NA,NA
['Research staff'],NA,experiment with researcher
['Research staff'],NA,NA
['Research staff'],NA,NA
"['Research staff', 'Digital technology']",NA,NA
['Class teachers'],NA,NA
['Research staff'],NA,lab experiment
['Research staff'],NA,"lab experiment,"
['Research staff'],NA,NA
['Peers'],NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Digital technology'],NA,NA
['Research staff'],NA,NA
['Research staff'],NA,NA
['Peers'],NA,NA
['Class teachers'],NA,NA
['Research staff'],NA,NA
['Peers'],"['Page 2:\n[¬s]""cross-age tutoring writing program among second- and fourth-grade students[¬e]""']","The tutees were aged 7 & 8, the tutors were aged 9 & 10."
['Peers'],NA,NA
['Class teachers'],NA,NA
['Unclear/not specified'],NA,"As participants were assigned by class, I would assume the class teacher or research staff carried out the intervention."
['Unclear/not specified'],NA,NA
['Unclear/not specified'],NA,Examiner - may be research staff / class teacher
['Research staff'],NA,NA
['Class teachers'],"['Page 5:\n[¬s]""Students were told that they had three lessons to complete\nthe task, that it would be graded by their teacher[¬e]""']",NA
['Research staff'],NA,NA
['Research staff'],"['Page 6:\n[¬s]""On day 3 of the study, all students received instruction\nfrom the same RAs on the importance and purpose of\npersuasive writing[¬e]""']",NA
['Peers'],NA,NA
['Digital technology'],NA,NA
['Digital technology'],NA,NA
['Research staff'],NA,NA
['Research staff'],NA,NA
['Research staff'],NA,NA
['Class teachers'],NA,NA
['Research staff'],NA,NA
"['Class teachers', 'Digital technology']",NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
NA,NA,NA
['External teachers'],NA,NA
['External teachers'],NA,NA
['External teachers'],"['Page 6:\n[¬s]"" with a teacher from outside the school.[¬e]""']",NA
['Class teachers'],NA,NA
['Research staff'],NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
NA,NA,NA
['Digital technology'],NA,NA
"['Class teachers', 'Digital technology']",NA,NA
['Class teachers'],NA,NA
NA,NA,NA
['Class teachers'],NA,NA
['Unclear/not specified'],NA,NA
['Research staff'],NA,NA
['Class teachers'],NA,NA
['Research staff'],NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
"['Research staff', 'Class teachers']",NA,The class teacher was also the research lead.
['Class teachers'],NA,NA
['Digital technology'],NA,NA
"['Class teachers', 'Digital technology']",NA,NA
['Research staff'],NA,NA
"['Class teachers', 'Teaching assistants']",NA,NA
"['Class teachers', 'Digital technology']",NA,NA
"['Class teachers', 'Digital technology']",NA,NA
['Digital technology'],NA,NA
['Class teachers'],NA,NA
['Class teachers'],NA,NA
['Research staff'],"['Page 36:\n[¬s]"" Student volunteers[¬e]""']",NA
['Research staff'],NA,NA
['Research staff'],NA,NA
['Class teachers'],NA,NA
NA,NA,NA
['Research staff'],NA,NA
