comp_var_rep_raw,comp_var_rep_ht,comp_var_rep_info,comp_var_raw,comp_var_ht,comp_var_info
['Yes'],NA,NA,['Other (please specify)'],"['Page 2:\n[¬s]""Mean chronological age (CA)""\n""Mean mental age (MA)[¬e]""', 'Page 3:\n[¬s]""One-way analyses of variance on CA, IQ, MA, and number correct on the screening test, showed no significant differences among training[¬e]""']","Chronological Age, IQ and Mental Age"
NA,NA,NA,NA,NA,NA
['Yes'],"['Page 37:\n[¬s]""Contrast group children made approximately the same baseline scores on the beginning reading tasks; they were represented by traditional categorical diagnosis in approximately the same numbers; and there was approxi\xad mately the same ratio of boys to girls as the specifically treated children.[¬e]""']",NA,['Special educational needs'],"['Page 37:\n[¬s]""mildly mentlly retarded (4), emotionally dis\xad turbed (8), neurologically impaired (4), and learning disabled (8)[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Other (please specify)']","['Page 5:\n[¬s]""previous academic success[¬e]""', 'Page 5:\n[¬s]""results for musical aptitude""\n""ability to learn[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Other (please specify)']","['Page 6:\n[¬s]""Previous academic success[¬e]""', 'Page 6:\n[¬s]""Musical aptitude""\n""Ability to learn (all groups)[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 6:\n[¬s]""Table 3.- Revision Behavior per 100 Words""\n""Table 4. - Revision""\n""Table[¬e]""', 'Page 7:\n[¬s]""ading one to conclude that r""\n""Table 7. - Co variate, Dependent, and Adjusted Means and Stan-\ndard Deviations[¬e]""']",NA
['No'],NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 12:\n[¬s]""Kindergarten students in each group did not differ on DIBELS Letter Naming Fluency\n(LNF) scores in September (t=.80, df=115, p=.43; means are in Table 2). First Grade\nstudents in each group did not differ on DIBELS Phoneme Segmentation Fluency\n(PSF) scores in September (t=.88, df=149, p=.38; means are in Table 3)[¬e]""']",NA
['Yes'],"['Page 137:\n[¬s]""Tables 5.1 through 5.10 present numbers of students involved and the[¬e]""', 'Page 138:\n[¬s]""mean achievement data obtained on the pretest and posttests[¬e]""']",NA,['Educational attainment'],"['Page 122:\n[¬s]""student achievement in the learning area of encoding cognitive knowledge[¬e]""', 'Page 140:\n[¬s]""Means and Standard Deviations—Pretest Eighty Percent Mastery Students Excluded[¬e]""']",multiplication automaticity
['Yes'],"['Page 3:\n[¬s]""Table 1 presents group means and standard deviations for each measure of performance at Session 1[¬e]""']",NA,"['Educational attainment', 'Gender']","['Page 3:\n[¬s]""No short words""\n""No long words""\n""Fluency""\n""Flexibility""\n""Elaboration""\n""Originality[¬e]""', 'Page 3:\n[¬s]""Because preliminary analyses in\xad dicated no significant main or interaction effects for sex on any measures, data for the sexes were combined.[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']",NA,NA
NA,NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],"['Page 8:\n[¬s]""Table 3[¬e]""']",NA,['Educational attainment'],"['Page 8:\n[¬s]""Pretest Mean[¬e]""']",Pretest score on the outcome variable (reading ability).
['Yes'],NA,NA,['Educational attainment'],"['Page 52:\n[¬s]""Analysis of test data indicated no significant\npretreatment difference between groups in ACT Natural Science Reading test scores\nor in Nelson-Denny Reading Comprehension Test scores\n. These indicators suggest that groups were equivalent before the treatments were administered.[¬e]""']",NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],"['Page 39:\n[¬s]""Table 4. Baseline characteristics of study schools, teachers, and students[¬e]""']",NA,"['Educational attainment', 'Gender', 'Socio-economic status', 'Other (please specify)']","['Page 39:\n[¬s]""School proficiency rate on Oregon grade 4 writing assessment in spring 2007[¬e]""', 'Page 40:\n[¬s]""School proficiency rate on Oregon grade 4 reading assessment in spring 2007""\n""School proficiency rate on Oregon grade 4 mathematics assessment in spring 2007[¬e]""', 'Page 39:\n[¬s]""School proportion of girls (percent)[¬e]""', 'Page 39:\n[¬s]""School proportion of students eligible for free or reduced-price lunch (percent)[¬e]""', 'Page 39:\n[¬s]""School proportion of racial/ethnic minority students[¬e]""']",racial/ethnic minority students
['No'],NA,pretest undertaken but no desc stats reported,NA,NA,NA
['Yes'],"['Page 6:\n[¬s]""TABLE 2[¬e]""']",NA,"['Gender', 'Other (please specify)', 'Educational attainment']","['Page 6:\n[¬s]""Gender[¬e]""', 'Page 5:\n[¬s]""The mean ages of children\nin the RRI and TSP groups were 78.80 months\n(SD = 4.4) and 78.96 months (SD = 4.2), respec-\ntively.[¬e]""', 'Page 6:\n[¬s]""Ethnicity""\n""Cohort""\n""ESL received[¬e]""', 'Page 14:\n[¬s]""CTOPP Blending Words""\n""CTOPP Segmenting Words""\n""TOWRE Sight Word Efficiency""\n""TOWRE Phonemic Decoding""\n""WJ-III Letter Word ID W""\n""WJ-III Letter Word ID SS""\n""WJ-III Word Attack W""\n""WJ-III Word Attack SS""\n""WJ-III Passage CompW""\n""WJ-III Passage Comp SS""\n""WJ-III Spelling W""\n""WJ-III Spelling SS""\n""Oral reading fluency[¬e]""']",NA
['N/A'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['Yes'],"['Page 86:\n[¬s]""Table 1 Descriptive D a t a : Group Characteristics[¬e]""']",NA,"['Educational attainment', 'Gender']","['Page 86:\n[¬s]""ability to monitor comprehension based on the passage inconsistencies test""\n""reading proficiency based on the cloze test results""\n""Monitoring""\n""Cloze""\n""Cloze""\n""mean %""\n""mean %""\n""S.D.[¬e]""', 'Page 86:\n[¬s]""Gender[¬e]""']",NA
['Yes'],"['Page 9:\n[¬s]""To study inferential results, repeated\nmeasures ANOVAs were performed using\nstudent posttest mathematics achievement\nas the dependent variable. School, teacher,\nsex, and treatment served as factors.[¬e]""']",NA,"['Gender', 'Other (please specify)']",NA,"teacher, school"
['Yes'],"['Page 105:\n[¬s]""Since significant relationships between the Iowa subtests and posttest performance were found, a one-way Analysis of Variance was performed to check for possible differences among the groups on the Vocabulary subtest and Reading subtest performance.[¬e]""']",NA,['Educational attainment'],"['Page 105:\n[¬s]""Vocabulary subtest""\n""Reading subtest performance.[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 13:\n[¬s]""In order\nto filter out differences keteeen classes, scores\nfrom a standardized test on letter and sound was used\nas a covariate when analyzing data.[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 13:\n[¬s]""In order\nto filter out differences keteeen classes, scores\nfrom a standardized test on letter and sound was used\nas a covariate when analyzing data.[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 13:\n[¬s]""In order\nto filter out differences keteeen classes, scores\nfrom a standardized test on letter and sound was used\nas a covariate when analyzing data.[¬e]""']",NA
['Yes'],"['Page 3:\n[¬s]""The criterion measure scores in a randomized block\ndesign involving three levels of the treatment variable (type\nof remediation) and seven levels of the classification variable\n(math aptitude scores) were analyzed by factorial analysis\nof variance[¬e]""']",NA,['Educational attainment'],"['Page 3:\n[¬s]""seven levels of the classification variable\n(math aptitude scores) were analyzed by factorial analysis\nof variance[¬e]""']",NA
['Yes'],"['Page 12:\n[¬s]""The intervention group showed 26.47 mean\nimprovement points while the comparison group showed 17.26.[¬e]""']",NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 7:\n[¬s]""ANOVA\nrevealed an overall signiﬁcant difference across the ﬁve groups (F(4, 238) = 3.70,\nP < 0.01). Tukey post-hoc test showed only a signiﬁcant difference between the control\ngroup and the human group (P < 0.01), and a marginally signiﬁcant difference between\nthe control group and iList-2 (P < 0.1). The difference between iList-3 and the other\ntwo versions of iList is not signiﬁcant, but the progression of P values indicates that the\nperformance of iList-3 is even less distinguishable from human tutors than that of iList-1\nand iList-2 (Human vs. iList-1: P = 0.451; Human vs. iList-2: P = 0.738; Human vs.\niList-3: P = 0.996).[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 7:\n[¬s]""Size of each group, pre-test scores, post-test\nscores, and learning gains (post-test minus pre-test) are reported in Table 1. ANOVA\nrevealed an overall signiﬁcant difference across the ﬁve groups (F(4, 238) = 3.70,\nP < 0.01). Tukey post-hoc test showed only a signiﬁcant difference between the control\ngroup and the human group (P < 0.01), and a marginally signiﬁcant difference between\nthe control group and iList-2 (P < 0.1). The difference between iList-3 and the other\ntwo versions of iList is not signiﬁcant, but the progression of P values indicates that the\nperformance of iList-3 is even less distinguishable from human tutors than that of iList-1\nand iList-2 (Human vs. iList-1: P = 0.451; Human vs. iList-2: P = 0.738; Human vs.\niList-3: P = 0.996).[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 7:\n[¬s]""ize of each group, pre-test scores, post-test\nscores, and learning gains (post-test minus pre-test) are reported in Table 1. ANOVA\nrevealed an overall signiﬁcant difference across the ﬁve groups (F(4, 238) = 3.70,\nP < 0.01).[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 7:\n[¬s]""Size of each group, pre-test scores, post-test\nscores, and learning gains (post-test minus pre-test) are reported in Table 1.[¬e]""']",NA
['Yes'],"['Page 8:\n[¬s]""The mean CSAP scores for the experimental group and control group were 650.92 and 641.98, respectively (t (97) = .33, p > .05); standard deviations were 50.02 and 43.09, respectively, indicating that the two groups were comparable in reading achievement levels.[¬e]""']",NA,"['Educational attainment', 'Gender']","['Page 8:\n[¬s]"".""\n""The mean CSAP scores for the experimental group and control group were 650.92 and 641.98, respectively (t (97) = .33, p > .05); standard deviations were 50.02 and 43.09, respectively, indicating that the two groups were comparable in reading achievement levels.[¬e]""', 'Page 8:\n[¬s]""Of the participants with usable data, 52 were in the Summary Street® condition (24 females and 28 males) and 59 participants were in the control condition (38 females and 21 males).[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Other (please specify)', 'Gender']","['Page 3:\n[¬s]"" grade level[¬e]""', 'Page 3:\n[¬s]"" program types,""\n"" brain-injured children[¬e]""', 'Page 3:\n[¬s]"" students\' sex[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 5:\n[¬s]""4), and the covariate\nwas the PRT pretest[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 10:\n[¬s]""posttreatment achievement analyses controlled for pretreatment differences due to the raw score pretreatment differences in the sample[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""TABLE 2[¬e]""']",NA,"['Educational attainment', 'Gender', 'Other (please specify)', 'Special educational needs']","['Page 4:\n[¬s]""Spelling grade level[¬e]""', 'Page 4:\n[¬s]""Sex (ns)[¬e]""', 'Page 4:\n[¬s]""Age ""\n""Race[¬e]""', 'Page 4:\n[¬s]""Disability""[¬e]""']",NA
NA,NA,NA,NA,NA,NA
['Yes'],NA,"All comparibility variables, no co-variates used in this study.","['Educational attainment', 'Gender', 'Special educational needs', 'Other (please specify)']","['Page 4:\n[¬s]""Grade level functioning in math[¬e]""', 'Page 4:\n[¬s]""Gender[¬e]""', 'Page 4:\n[¬s]""Years in Special Education[¬e]""', 'Page 4:\n[¬s]""Age""\n""IQ""\n""Race (Caucasian)[¬e]""']",NA
['No'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],"['Page 4:\n[¬s]""reading fluency""\n""items/speed-test""\n""intelli-\ngence""\n""performance goal orientation""\n""learning\ngoal orientation""\n""self-efficacy in reading""\n""reading interest[¬e]""']",NA,['Educational attainment'],NA,NA
['No'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Other (please specify)'],NA,IQ
['N/A'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 303:\n[¬s]""Table 1 shows that the means for both the control group (2.45) and experimental group (2.45) began at the same approximate baseline for Phase One.[¬e]""']",NA
['N/A'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 12:\n[¬s]""The Effects of Instruction, Revision, and Teacher Comment\non Student Writin[¬e]""']",NA
['Yes'],NA,NA,"['Socio-economic status', 'Special educational needs', 'Gender']","['Page 64:\n[¬s]"" economically disadvantaged,[¬e]""', 'Page 64:\n[¬s]""special education,[¬e]""', 'Page 64:\n[¬s]""The extraneous variables analyzed in this study consisted of the following subgroups:""\n""gender[¬e]""']",NA
NA,NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 8:\n[¬s]"" covariance analyses were employed in the junior high school with posttest as criterion measure and pretest as covariate, and in High School A with posttest as criterion measure and aptitude as covariate[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 124:\n[¬s]""The first utilized students’ Week 1 CBM scores as covariates in a MANCOVA to better examine any changes in students’ writing performance over time.[¬e]""']",NA
['No'],NA,NA,['Educational attainment'],NA,NA
['No'],NA,"Student's cognitive style was assessed, and this variable was used for stratification in an additional analysis - however it's unclear if this measure was administered pre or post-treatment.",NA,NA,NA
['No'],NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['Yes'],"['Page 83:\n[¬s]""Table 5 Treatment an d C ontrol Groups: Ethnicity[¬e]""', 'Page 84:\n[¬s]""Table 6 Treatment a n d C ontrol Groups: Instructional Services[¬e]""']",NA,"['Special educational needs', 'Other (please specify)']","['Page 84:\n[¬s]""Table 6 Treatment a n d C ontrol Groups: Instructional Services[¬e]""', 'Page 83:\n[¬s]""Table 5 Treatment an d C ontrol Groups: Ethnicity[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 11:\n[¬s]"" pre-test as a covariate[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 4:\n[¬s]""One-way ANOV As showed no differences between the experimental and the control groups in the subjects\' pre-training nonverbal cognitive ability and vocabulary, as well as speed and accuracy of reading.[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 25:\n[¬s]"" Centered_Pre: Pretest score of a student, expressed as a deviation from the classroom mean[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 7:\n[¬s]""No statistical differences in mathematical knowledge were found between the three groups at pretest (see Results section).[¬e]""']",NA
['Yes'],NA,NA,['Gender'],"['Page 4:\n[¬s]""Since gender did not affect results in preliminary analyses, it was excluded from the analyses reported here.[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender', 'Socio-economic status']","['Page 9:\n[¬s]""Sex (male /\nfemal[¬e]""', 'Page 9:\n[¬s]""on-native\nspeaker (%)\nDevelopmental\ndyslexia\n34 / 25 311\n43 / 37 31[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']","['Page 7:\n[¬s]""Students were assigned to each condition\nafter being tested with a standardized comprehension\ntest (CompLEC[¬e]""', 'Page 7:\n[¬s]""Ninety-two high school students from grades 7 and 8\n(mean age 12.53, sd = 1.47; 67% male[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']","['Page 7:\n[¬s]""Students were assigned to each condition\nafter being tested with a standardized comprehension\ntest (CompLEC; Llorens et al., 2011) so that all groups\nwere similar in terms of comprehension skills[¬e]""', 'Page 7:\n[¬s]""Ninety-two high school students from grades 7 and 8\n(mean age 12.53, sd = 1.47; 67% male[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']","['Page 11:\n[¬s]""Means and standard deviations (in parentheses) of on-line processing measures and performance in the training phase by type of\nformative feedback (Experiment 1)\nPlacebo feedback\nTotal time revisiting the question screen\nNumber of revisiting the text decisions\nPerformance scores[¬e]""', 'Page 6:\n[¬s]""mean age = 12.61, SD=0.72;\n61% female, S[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']","['Page 11:\n[¬s]""Table 1. Means and standard deviations (in parentheses) of on-line processing measures and performance in the training phase by type of\nformative feedback (Experiment 1)\nPlacebo feedback\nTotal time revisiting the question screen\nNumber of revisiting the text decisions\nPerformance scores\n51.36 (17.52)\n0.74 (1.10)\n12.86 (3.95)\nSearch&revisit feedback\n64.09 (21.34)\n4.56 (3.41)\n12.98 (3.43)\nSelect&revisit feedback\n100.20 (39.42)\n10.00 (4.83)\n14.51 (3.23)[¬e]""', 'Page 6:\n[¬s]""One hundred forty-two seventh and eighth graders\ntook part in the study (mean age = 12.61, SD=0.72;\n61% female[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']","['Page 13:\n[¬s]""Table 3. Means and standard deviations (in parentheses) of on-line processing measures and performance in the training phase by type of\nformative feedback (Experiment 2)[¬e]""', 'Page 12:\n[¬s]""One hundred and twelve seventh and eighth graders took\npart in the study (mean age 12.39, SD=0.71; 54% male,\nSpanish native speakers)[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']","['Page 13:\n[¬s]""Table 3. Means and standard deviations (in parentheses) of on-line processing measures and performance in the training phase by type of\nformative feedback (Experiment 2[¬e]""', 'Page 12:\n[¬s]""One hundred and twelve seventh and eighth graders took\npart in the study (mean age 12.39, SD=0.71; 54% male,\nSpanish native speakers).[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 17:\n[¬s]""pre-test measures were used as covariates[¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 7:\n[¬s]""based on adjusted posttest mean[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']","['Page 4:\n[¬s]""Forty-eight questions on science, history, geogra-\nphy, and other educational topics were selected\nfrom Brain Quest† flashcards. Brain Quest†\nquestions are categorised by grade; second grade\nquestions (Feder, 2005a) were used for easy items\nand fourth grade questions (Feder, 2005b) were\nused for hard items.[¬e]""', 'Page 4:\n[¬s]""Thirty-six second graders were recruited from the\ncommunity to participate in a laboratory experi-\nment (mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years).[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender']","['Page 6:\n[¬s]""We begin with the correct answers, as shown in\nTable 1. Children showed a robust positive testing\neffect on the final short answer test, performing\nbetter on questions that had appeared on the\nprior multiple-choice test (M0.59, SD0.21)\nthan on questions being tested for the first\ntime (M0.25, SD0.13), F(1, 34)0153.62,\nMSE0.02, g2\np ¼ :82. The benefits of testing\nwere similar for easy and hard questions, FB1,\nand were greater for the participants who re-\nceived feedback during the multiple-choice test,\nF(1, 34)029.41, MSE0.02, g2[¬e]""', 'Page 4:\n[¬s]""Thirty-six second graders were recruited from the\ncommunity to participate in a laboratory experi-\nment (mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years)[¬e]""']",NA
['No'],NA,NA,NA,NA,NA
['Yes'],"['Page 6:\n[¬s]""TABLE I. The composition of the three groups by gender, chronological age and reading age[¬e]""']",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Gender'],"['Page 2:\n[¬s]""there were 15 girls and 18 boys in the ex\xad perimental group, and 17 girls and 12 bpys in the control group.[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""IQs (Otis Form B)[¬e]""']",NA,"['Other (please specify)', 'Gender']","['Page 4:\n[¬s]""IQs (Otis Form B)[¬e]""', 'Page 4:\n[¬s]""equal numbers of boys and girls in each group[¬e]""']",NA
['Yes'],NA,NA,"['Educational attainment', 'Gender', 'Socio-economic status']","['Page 9:\n[¬s]""There was, however, a higher percentage of males in the Reading Tutor group\n(58.0%) than in the SSR group (42.2%), c2(1, N= 178) = 4.4, p = .05. In addition,\nthe distribution of student gender across grade levels trended toward being\ndifferent for the two treatment groups, F(1, 176) = 3.8, p = .08[¬e]""', 'Page 5:\n[¬s]""The district was suburban and affluent, with 90% of\nthe student body white, 8% black, fewer than 1% Hispanic, and only 10% eligible\nfor free or reduced lunch; 178 students (92%) completed the study[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""(the control group had aratio of 9:""\n""7, the positive reinforcement group aratio of 8:[¬e]""']",NA,"['Gender', 'Educational attainment']","['Page 4:\n[¬s]""y se[¬e]""', 'Page 5:\n[¬s]""e Original ser[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""(the control group had aratio of 9:6, the response-cost group aratio of 8:[¬e]""', 'Page 7:\n[¬s]""ur groups did not differ in any of their scores on the Original ser[¬e]""']",NA,"['Educational attainment', 'Gender']","['Page 7:\n[¬s]""ns of the Original ser[¬e]""', 'Page 4:\n[¬s]""y sex [¬e]""']",NA
['Yes'],NA,NA,['Educational attainment'],"['Page 6:\n[¬s]""The scores from the prein- structional, objective test of language skills correlated most strongly with final quality scores and thus were used as the covariate, N = 89, r = .39, p < .002.[¬e]""']",NA
['N/A'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],"['Page 6:\n[¬s]""M Scores of Second Grade Pre-Test[¬e]""']",NA,['Educational attainment'],"['Page 6:\n[¬s]""Non-treatment (n = 20) 3.050""\n""Treatment (n = 15) 3.170[¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""M Scores of Second Grade Pre-Test[¬e]""']",NA,['Educational attainment'],"['Page 7:\n[¬s]""Non-Treatment (n = 25) 3.296""\n""Treatment (n = 25) 3.220[¬e]""']",NA
['No'],NA,NA,NA,NA,NA
['Yes'],"['Page 3:\n[¬s]"" scores on this test[¬e]""']",NA,['Educational attainment'],"['Page 3:\n[¬s]"" test of reading ability (a subtest of a Dutch intelligence test, the Interesse- Schoolvorderingen-Intelligentie Reeks[¬e]""', 'Page 5:\n[¬s]"" QUESTIONS ANSWERED CORRECTLY ON THE I""\n""Immediate test[¬e]""']",NA
['No'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 4:\n[¬s]""the GM.[¬e]""']",the Gates MacGinitie test
NA,NA,NA,NA,NA,NA
['Yes'],NA,NA,['Educational attainment'],"['Page 141:\n[¬s]""The effect sizes were medium to low in all comparisons (Cohen\x92s, 1988.) This finding justified the use of the pretests as a covariate in the analyses. [¬e]""']",NA
['Yes'],"['Page 10:\n[¬s]""two covariates (quality of both\npretests), and one between- group factor (condition).\nTable 4[¬e]""']",NA,['Educational attainment'],NA,NA
['No'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['N/A'],NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['Yes'],NA,Comparability in the analysis.,"['Educational attainment', 'Gender', 'Socio-economic status', 'Other (please specify)']","['Page 21:\n[¬s]""English""\n""Maths[¬e]""', 'Page 21:\n[¬s]""Gende[¬e]""', 'Page 21:\n[¬s]""FSM[¬e]""', 'Page 21:\n[¬s]""Age[¬e]""']",Age
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
['No'],NA,NA,NA,NA,NA
['Yes'],NA,NA,"['Educational attainment', 'Gender', 'Socio-economic status']","['Page 6:\n[¬s]""FCAT scale scores, math content scores\n(strand data), final grades, teacher, and section data.""\n""For the ten participating schools, the Management Analysis Department of MDCPS supplied\nrelevant student-level data[¬e]""', 'Page 6:\n[¬s]""Figure 2. Gender\n49.6%\n48.5%[¬e]""', 'Page 6:\n[¬s]""Figure 1. Ethnicity\n100.0%\n17.7%\n22.2%""\n""BLACK\nHISPANIC\nWHITE[¬e]""', 'Page 7:\n[¬s]""Figure 3. Free or Reduced Lunch\nFree\nReduced[¬e]""']",NA
