int_dur_ht,int_dur_info
"['Page 4:\n[¬s]""n. This study was conducted over AVi mo""\n""on. Students in two of\nthe groups received direct instruction in the use of the five\nrevision tactics prior to starting the autobiographical\nwriting lessons. That instruction occurred approximately\ntwice a week for about 1 mon[¬e]""']",NA
"['Page 2:\n[¬s]""The first group had their raw scores recorded on a rate sheet record (Figure 1) for the first 2 weeks. During the sec\xad ond 2 weeks the adult manager plotted their scores on linear graph paper (Figure 2) and discussed the graph with the child.[¬e]""']",1 month in total
"['Page 4:\n[¬s]""The first group had their raw scores recorded on a rate sheet record, as in Figure 1, for the first 2 weeks. During the second 2 weeks the adult manager plotted their scores on 3 cycle semilog paper (Figure 3) and discussed the graph with the child. ""\n""The second group""\n"" scores were charted on sernilog paper during the first 2 weeks and recorded on the rate sheet record during the second 2 weeks.[¬e]""']",NA
NA,I was not sure here - if the intervention is classed as the the testing following exposue to feedback then the answer is 17 minutes. If the first test is considered part of the intervention then the answer is 2 day as the second test (including feedback from the first) was carried out 2 days following.
NA,I was not sure here - if the intervention is classed as the testing following exposue to feedback then the answer is 17 minutes. If the first test is considered part of the intervention then the answer is 2 day as the second test (including feedback from the first) was carried out 2 days following.
NA,Duration of one school year
"['Page 134:\n[¬s]"" over a two month[¬e]""']",NA
"['Page 1:\n[¬s]"" three sessions over 2 days.[¬e]""']",Two separate school days over the course of the same week
"['Page 2:\n[¬s]""The experiment consisted of three sessions. Session I was con\xad ducted in I day, and Sessions 2 and 3 were conducted 2 days later, with an interval of 2 hr between them[¬e]""']",See code. 3 days in total
"['Page 4:\n[¬s]""The experiment included three sessions. Session 1was conducted one day and Sessions 2and 3two days[¬e]""']",3 days in total length
"['Page 4:\n[¬s]""The experiment included three sessions. Session 1was conducted one day and Sessions 2and 3two days later, with an interval of 3hr between the[¬e]""']",Code unclear - 3 days in total 
"['Page 4:\n[¬s]""The experiment included three sessions. Session 1was conducted one day and Sessions 2and 3two days later, with an interval of 3hr between th[¬e]""']","Unclear in code, but 3 days in total "
"['Page 12:\n[¬s]"" one semester[¬e]""', 'Page 9:\n[¬s]""used Summary Street during spring 2004.[¬e]""']",NA
"['Page 12:\n[¬s]""4 weeks,[¬e]""']",NA
NA,Not specified
NA,"90 minutes total, 50 minutes for intervention 15 minutes each for pre-test and post-test, and 10 minute informative discussion about the procedure."
"['Page 49:\n[¬s]""five weeks[¬e]""']",5 weeks
"['Page 6:\n[¬s]""Students completed the self-instructional booklets in about 45 minutes during\nclass. Five days later, they completed the unannounced paper-based post-test[¬e]""']",6 days
NA,"The treatment continued for the duration of one academic year for each of the two cohorts, 2007/2008 and 2008/2009 respectively. "
"['Page 2:\n[¬s]""The experimental pe\xad riod was 10 weeks.[¬e]""']",NA
"['Page 4:\n[¬s]""2-year period[¬e]""', 'Page 6:\n[¬s]""40-\nmin lesson[¬e]""']",2 years
"['Page 4:\n[¬s]""Training phase. Each child was individually taken Upon arrival, the child to the ""surprise room"" of a mobile research trailer parked on school grounds.2 was invited to sit at a round child-sized table and try out the ""roads game"" (maze task).""\n""After attempting to solve four mazes,\nthe child was asked if he or she would like to try the\n""copying game"" (geometric designs).[¬e]""', 'Page 5:\n[¬s]""After completing the design\ntask, the experimenter said that he had work to finish\nin another part of the trailer and that if the subject\nwould stay in the ""surprise room,"" he or she could\nplay with the various materials on a second table.""\n""Following the free-play period, the experimenter\nreturned to conduct an inquiry and to determine if\nthe child had any negative reactions to the experi-\nment.[¬e]""']",One day
"['Page 15:\n[¬s]""A teacher or student\ncan record daily performance for a period of 20 weeks which is equivalent to approximately\none semester of school on one chart[¬e]""']",20 weeks
NA,Unclear -seems to be one-off
"['Page 108:\n[¬s]""three month-period.[¬e]""']",NA
"['Page 5:\n[¬s]""for 10 weeks,[¬e]""']",NA
NA,Not described but is a one-off session
"['Page 67:\n[¬s]""Conducted over a fifteen week period""\n""Third through fourteenth weeks, administering of\ninstructional treatments and occasional sessions\nwith composition raters.[¬e]""']",NA
NA,not specified but seems to be one single short session 
NA,not stated but seems 1 session experiment
NA,"not specified, one off"
"['Page 3:\n[¬s]""(a total of six class periods[¬e]""']",NA
"['Page 11:\n[¬s]""approxi-\nmately once a week from November through May of the 2003–04 school year.[¬e]""', 'Page 12:\n[¬s]""over a 7-\nmonth period (from November 2003 to May 2004).[¬e]""']",about 7 months
"['Page 5:\n[¬s]""1 month[¬e]""']",NA
NA,Not specified
NA,Not specified
NA,Not specified
NA,Not specified
"['Page 12:\n[¬s]"" 4-week[¬e]""']",NA
"['Page 1:\n[¬s]""he 18-week implementati[¬e]""']",NA
NA,not specified
NA,15 weeks
"['Page 5:\n[¬s]"" CBM over 8 weeks, with two 2-hour after-school workshop[¬e]""']"," CBM over 8 weeks, with two 2-hour after-school workshops,"
"['Page 3:\n[¬s]""18 weeks of implementation[¬e]""']",NA
NA,'25 weeks' (p.519)
"['Page 47:\n[¬s]""six-day experimental period[¬e]""']",NA
"['Page 4:\n[¬s]""Data were gathered in a typical classroom across a period of three weeks.[¬e]""']",NA
NA,not stated but seems one off?
"['Page 5:\n[¬s]""22 weeks[¬e]""']",NA
"['Page 4:\n[¬s]""Ss in groups of three to ten students were administered\nthe pretest, the program and the post test in one session.\nEach condition was completed on a separate day, with\nthe extrinsic reinforcer g[¬e]""']",It appears that each condition occurred during a single day
"['Page 4:\n[¬s]""Ss in groups of three to ten students were administered\nthe pretest, the program and the post test in one session.\nEach condition was completed on a separate day, with\nthe extrinsic reinforcer[¬e]""']",one day
"['Page 300:\n[¬s]""Phase One: ""\n""three weeks""\n""Phase Two: ""\n"" two weeks[¬e]""', 'Page 301:\n[¬s]""three weeks""\n""Phase Three: [¬e]""', 'Page 302:\n[¬s]"" three weeks[¬e]""']",11 weeks in total
NA,"Various (dependent on length of multiple choice test added to 15 minute pretest and 15 minute posttest)  Total Feedback - 52 minutes, No Feedback - 45 minutes."
"['Page 1:\n[¬s]""From 1969 to 1971,[¬e]""', 'Page 3:\n[¬s]"" The pre- and posttests for the 1969-1970 school year were administered 8 months apart,[¬e]""']",Two different time periods given (as highlighted). 1969 - 1970 seems more likely to be correct as further details are given (highlighted).
"['Page 8:\n[¬s]""four weeks[¬e]""']",4 weeks
NA,15 weeks
NA,120 minutes
"['Page 6:\n[¬s]""During the learning activity in weeks 4–10, the students in the experimental group\nlearned with the peer assessment-based game development approach.[¬e]""']",7 weeks
NA,Two weeks
NA,Not given
"['Page 64:\n[¬s]"" 12-week[¬e]""']",12 weeks
NA,Not provided
NA,one hour
NA,one hour
NA,1 year
"['Page 86:\n[¬s]"" The intervention took place during the first month o f school, for a time period o f four weeks from September 4 to October 2,2002.[¬e]""']",Four-week intervention period.
NA,1 academic year
"['Page 5:\n[¬s]"" two months,[¬e]""']",NA
NA,One school year
"['Page 7:\n[¬s]"" 5 weeks[¬e]""']",NA
NA,acquisition and maintenance over one week of trained verbal rehearsal in the performance of serial recall by 84 kindergarten and first-grade children.
"['Page 1:\n[¬s]""one school year.[¬e]""', 'Page 11:\n[¬s]""8-month period[¬e]""']",One school year (8 months)
"['Page 10:\n[¬s]""The experiment lasted two sessions of approxi-\nmately 1 h. In the ﬁrst session, we tested participants\non reading literacy skills[¬e]""']",NA
NA,not specified
"['Page 16:\n[¬s]""A second limitation of the study is the brevity of our\ntraining. We have implemented 1-h training intervention\n(plus another hour for assessing transfer effects), which\nis a very short time to obtain durable results.[¬e]""']",1-2 hours experiment 
"['Page 8:\n[¬s]""The experiment lasted for two 1-h sessions, one for train-\ning and the other for transfer, with elapsed time of2h ap-\nproximately between the two sessions.[¬e]""']",1-2 hours experiment
NA,"unclear, but as in exper. 1 must be 1 session of 1-2 hours"
NA,"unclear, but as in exper. 1 must be 1 session of 1-2 hours"
NA,Three weeks
NA,6-8 weeks
NA,one single experimental session
"['Page 5:\n[¬s]""All children were tested in-\ndividually and the experiment lasted approxi-\nmately 30 minutes.[¬e]""']",one single experimental session
NA,One day
"['Page 6:\n[¬s]""Initially, the study was intended to be carried out over a period of 12 weeks, but with the disruption of summer camps and other seasonal activities and outings which affected all pupils concerned it had to be completed in 10.[¬e]""']",NA
"['Page 1:\n[¬s]"" yearlong study[¬e]""']",NA
"['Page 5:\n[¬s]""18-day[¬e]""']",NA
"['Page 2:\n[¬s]"" 15 weeks[¬e]""']",NA
"['Page 4:\n[¬s]"" 4-wk. [¬e]""']",NA
"['Page 1:\n[¬s]""7-month study[¬e]""']",7 months
"['Page 5:\n[¬s]""cts in single 45-minute sessions i[¬e]""']",1 session/day
"['Page 5:\n[¬s]""n single 45-minut[¬e]""']",NA
"['Page 4:\n[¬s]""4Vi months[¬e]""']",NA
"['Page 5:\n[¬s]""almost 3 hours (9:30 to 12:35 a.m.)[¬e]""']",2 hours 45 minutes
"['Page 6:\n[¬s]"" stages. The immediate posttest was administered immediately after the training session, while the delayed posttest took place two weeks[¬e]""']","While not specified, it can be estimated that the intervention lasted for the duration of approximately two weeks. Following pre-test, treatment, and immediate posttest, subjects received a second delayed post-test two weeks after the intervention. "
"['Page 5:\n[¬s]""10 weeks,[¬e]""']",NA
"['Page 5:\n[¬s]""10 weeks[¬e]""']",NA
NA,1 week
"['Page 4:\n[¬s]"" On the first day,""\n"" One week after they had taken the initial test, all children took the delayed retention test.[¬e]""']",2 tests were conducted at the beginning and end of a 1 week period. 
"['Page 3:\n[¬s]""ook the delayed test 7 days after reading the text.[¬e]""']",7 days
NA,Not given
"['Page 5:\n[¬s]""The study extended over 10 weeks. Pretesting was conducted during the ﬁrst 2 weeks,\ntraining during the next 6 weeks, and posttesting during the last 2 weeks.[¬e]""']",NA
"['Page 5:\n[¬s]""Prior to this collaborative writing task, stu- dents collaborated for 1 month""\n""The collaborative writing task con-\nsisted of three 45-min sessions over a period of one week[¬e]""']",NA
"['Page 124:\n[¬s]"" three days[¬e]""']",NA
"['Page 6:\n[¬s]""The study was\ncompleted in 12 days[¬e]""']",NA
NA,One month
NA,2 individual lessons  2 hours
NA,two lessons 2 hours
"['Page 7:\n[¬s]"" Children were given two training sessions lasting 30 min. each, separated by a three-day interval.[¬e]""']",5 days.
NA,"Is not stated. However, the study was probably conducted in one day for eeach class."
"['Page 9:\n[¬s]""The experimental materials were administered during regular school hours 1 week following the reading tests. I[¬e]""']","Not stated, however it was probably conducted in one session. "
"['Page 16:\n[¬s]""Sept\x96June 2015[¬e]""', 'Page 28:\n[¬s]"" teachers had considerable freedom over how to implement the project in their schools.[¬e]""']",10 months
"['Page 45:\n[¬s]"" the control and intervention sessions were conducted over an eight-week period.[¬e]""']",NA
NA,One session
"['Page 3:\n[¬s]"" The test was given in two parts on con\xad secutive days. Part 1 included the first thirty items from Form A, Series 1 of the STEP test. Part 2 was the first 40 items on Form A, Series 2 of the STEP test. The questions were inspected to be sure that IKR on one item would not cue any answer to another item. Part 2 was readministered at the end of the school year.[¬e]""']","The duration of the intervention (use of experimental conditions) was conducted twice, the second at the end of the school year. Given the first part was conducted at the beginning of the year, the sessions would be about 9 months apart. "
"['Page 3:\n[¬s]""4,649 ninth grade students in ten high schools who completed Algebra I during the\n2002-2003 school year[¬e]""']",NA
"['Page 3:\n[¬s]""4-day[¬e]""']",4 days
"['Page 4:\n[¬s]"" 20 days;[¬e]""']",NA
"['Page 6:\n[¬s]"" 20 days;[¬e]""']",NA
"['Page 6:\n[¬s]"" 20 days;[¬e]""']",4 weeks
"['Page 12:\n[¬s]"" a one-year pilot trial,[¬e]""']",NA
"['Page 2:\n[¬s]"" Each child was tested individually, two times, I week apart,[¬e]""']","Duration was1 session, the training session. The second session was used for assessment. "
"['Page 5:\n[¬s]"" the 2015/2016 and 2016/2017 academic years.[¬e]""']",2 years
NA,2 hours
"['Page 3:\n[¬s]""two and one half week experimental phase [¬e]""', 'Page 5:\n[¬s]""The instruction took\'place over a period of thirteen days""\n""the remediation period took five days.[¬e]""']",2.5 weeks if only considering experimental phase  18.5 if you include the orientation phase where students were taught strategies and procedures for the experimental phase. 
NA,2 days
"['Page 4:\n[¬s]""four consecutive days.[¬e]""']",NA
NA,4-8 weeks
"['Page 68:\n[¬s]""Each of the two studies was conducted during a four- to eight-week\nperiod and incorporated three or four sequential learning tasks. Each\nlearning unit was taught for approximately one to two and a half weeks[¬e]""']",4-8 weeks
"['Page 3:\n[¬s]""Each of the two studies was conducted during a 4-8 week period[¬e]""']",8-16 weeks
NA,1 hour
NA,not stated although 
"['Page 3:\n[¬s]""During the 1973-74 school year[¬e]""']","Not much information on the duration of the intervention, however it was probably no longer than a school year (9 months)."
NA,The duration of Phase 1 was 12 days and the duration of Phase II was 7 days. 
"['Page 15:\n[¬s]""first trimester of a school year[¬e]""']","The duration of the intervention was the same for both components, which was one school trimester. "
NA,"4 months? results show masurements for Sept, Oct, Nov, Dec"
"['Page 79:\n[¬s]""The study lasted four weeks[¬e]""']",NA
"['Page 37:\n[¬s]""Each week, for 25 weeks, an alternate form of the 13-item test was administered[¬e]""']",NA
NA,Appears to be 4-weeks
NA,Two weeks
"['Page 3:\n[¬s]""5 weeks[¬e]""']",NA
"['Page 5:\n[¬s]""between 25 and 32 weeks each year. The intervention ran from June 2014 to June 2016. One cohort of pupils used the LRS for two school years (‘cohort B’), and one cohort for only one school year (‘cohort A’).[¬e]""']",NA
"['Page 6:\n[¬s]""over approximately six months.[¬e]""']",NA
"['Page 24:\n[¬s]""using ITSS for 7 months[¬e]""']",NA
"['Page 9:\n[¬s]""6- to 7-month period during the school year[¬e]""']",NA
NA,1 academic year
"['Page 84:\n[¬s]""three day period of time[¬e]""']",NA
"['Page 38:\n[¬s]""Treatments were scheduled once a week for three weeks.[¬e]""']",3 weeks
"['Page 38:\n[¬s]"" three weeks.[¬e]""']",NA
"['Page 1:\n[¬s]""three separate eight-week intervention phases[¬e]""']",24 weeks
NA,Various - between 63 to 249 days
"['Page 60:\n[¬s]"" six w e e k s[¬e]""']",NA
NA,Not given
