int_desc_ht,int_desc_info
"['Page 2:\n[¬s]""The treatment phase consisted of four stories with direct feedback and practice, after which the subjects read 10 more stories on their own. The subjects were put in small groups with a maximum of 4 subjects in each group. After the sub\xad jects gave their responses to each of the first four metaphor stories, the researcher asked one of the subjects who had the correct answer to explain his or her answer. If the explanation was correct, the researcher would expand on the com\xad ments made by the students. If the stu\xad dent was incorrect, the researcher would ask the other students if they had a dif\xad ferent explanation. If no others could ex\xad plain, the researcher provided direct feedback on student responses, then ex\xad plained the analogous relationship.[¬e]""']",NA
"['Page 48:\n[¬s]""Treatment I consisted of information feedback; students in these classrooms used a highly structured feedback instrument, the Writing Evaluation Scale. The scale identifies five areas of concern for the student evaluator: content, development, sentence structure, word choice, and conventions. Students were given written directions on the use of this instrument during peer group meetings. They were to read at least three drafts written by other students in their small group, and complete the form by circling a number from one to five for each category on the scale. In turn, each student’s paper was read and evaluated by at least three others. Following the peer group meeting, students were instructed to revise and rewrite.[¬e]""', 'Page 7:\n[¬s]""All students completed a core composition curriculum, consisting of five formal assignments. All students were instructed to revise at least twice during the two weeks given for each assignment. In the two feedback treatments, students met in small groups and exchanged papers with fellow students.[¬e]""']",NA
"['Page 7:\n[¬s]""The ten-week experiment was preceded and followed by a writing sample and an attitude toward writing assessment. All students completed a core composition curriculum, consisting of five formal assignments. All students were instructed to revise at least twice during the two weeks given for each assignment.""\n""In the two feedback treatments, students met in small groups and exchanged papers with fellow students. Following the reading, students completed the feedback instrument provided.""\n""a loosely structured form was used to elicit positive comments about the draft in the reinforcement feedbackr treatment. The control group was given teacher-directed revision activities; no group interaction during the writing took place.[¬e]""']",NA
"['Page 2:\n[¬s]"" [¬e]""', 'Page 3:\n[¬s]""C2. Elaborated Feedback--After the subject chose aparticular alternative, he/she was told whether the selection was correct or, not. Then, it was indicated in detail why or why not the chosen response was correct. Reference was made to the demands of the task as outlined by Raven (1965) and Carlson and Jensen (1980). Each item was scored after solution and prior to any feed[¬e]""']",NA
"['Page 3:\n[¬s]""Half of the subjects within each training method received the training items in each of the formats described above. The train\xad ing set consisted of 12 items (2 per cate\xad gory) from 6 categories. For both the feed\xad back and feedback-counting training groups, the experimenter told the subject whether each response was right or wrong and then provided the correct answer be\xad fore going on to the next item.""\n""The control group received the same training items, but no feedback was given.[¬e]""']",NA
"['Page 65:\n[¬s]"" The experimental students, depending on their performance on their test and their required performance level, were cycled through the feedback and correc\xad tive procedure consisting of self-paced and -directed review, parallel item retesting, and, if necessary, tutoring and a second retesting. Only after attaining their required perform\xad ance level were they given the affective measure. The time spent in review was recorded by each student and his tutor. Experimen\xad tal Students who attained or surpassed their required performance level on the formative test bypassed the correction/review proce\xad dure and went directly to the unit affective instrument.""\n""On the second and third days, the students learned Units Two and Three following the Unit One procedure minus the pretest\xad ing. On the fourth day, the summative achievement, transfer, and affective measures were readministered. Approximately 85 per cent of the students followed this schedule. The remaining 15 per cent completed their learning and testing at their own pace. By the end of the fourth day, 95 per cent of the subjects had completed all learning and testing. The remaining 5 per cent c°mpleted everything in a 40 minute fifth session. In sum, the tUdy re<Wlred five days to complete.[¬e]""']",NA
"['Page 40:\n[¬s]"" A typical first treatment session was conducted in the following manner. The teacher presented the child with"" the stimulus page and conducted the assessment just as was done during baseline. Error responses were counted, and when the assessment was concluded the teacher told the child the number of errors he had made. Next the teacher counted off the number of errors from the child\'s response total. The teacher then made a clearly visible mark on the stimulus page after the last word representing the correct response[¬e]""', 'Page 41:\n[¬s]""total; Attention was then turned to the graph where the teacher pointed out that the child was making progress toward the eventual goal. The number of correct and error responses was marked on the graph, and the child was praised for this effort. Thus the child knew what his eventual performance should be (as defined by his nonreferred peers) and his daily approximation to that aim.""\n""The second treatment was an instructional drill preceding the daily measurement. Typically, this drill included flash card presentation of five words or letters which the child had mispronounced on previous assessments. These drills lasted about two minutes and involved two repetitions of the five flash cards while the teacher provided help on the task if the child needed it. At the conclusion of the practice session, but prior to assess\xad ment, those words or letters which had been practiced were underlined on the I stimulus page by the teacher as the child pronouned them. If the child could not pronounce a word, or make a letter sound which had been practiced in the drill, the teacher said it for him and proceded to underline the word or letter. The assessment was then taken. All procedures from- the baseline assessment, including feedback on errors and graphing results from treatment one were followed.[¬e]""', 'Page 42:\n[¬s]""The third treatment provided added incentive for the accomplishment of the task by allowing the child to select from a package of gummed stickers one which he would paste on a particular chart if he surpassed his previous day\'s correct rate. To determine whether a child was to receive a sticker the teacher subtracted the number of errors from the total words or letters said during that day\'s assessment. She then placed a verticle line behind the word which represented the number of correct responses made. If that verticle line, representing the target for the following day, was beyond the previous day\'s mark, the child had passed his objective and he was allowed to select a sticker from the available variety.[¬e]""']",NA
"['Page 2:\n[¬s]""ccess of teaching and learning (Guskey, 1987, p. 20). The steps an instructor must follow for formative evaluation within a mastery learning class are summarized by Fuchs et al. (1986, p. 27): ""(a) administer learning measures frequently; (b) evaluate test data systematically, with decision rules for when to advance students to more difficult material and when to introduce corrective strat egies, and (c) provide systematic feedback to students.\'\' Guskey (1987, p. 20) pointed out that ""in most mastery learning classes, the principal source of feedback is a sho[¬e]""', 'Page 4:\n[¬s]""reatments All the subjects received the same teaching related to the writing of the major scales in music. A pretest was ad ministered at the end of that course, and each experimen tal group received its proper feedback in the following course. We provided the feedback in the course following the completion of the pretest, after having consulted liter a[¬e]""', 'Page 5:\n[¬s]""ine the types of feedback. Written feedback. Students of GE1 fn = 23), after having passed the pretest in order to be able to measure their ability to write a major scale and produce a diagnostic, received their individualized and written feed back at the following course. The elements of this correc tive feedback were as follows: 1. A congratulation message for all the items mastered (enumeration of items), which ""confirms correct re sponses, telling the student how well the content is being understood"" (Kulhavy, 1977, p. 229); ""This . . . feed back ... is to help students identify . . . what they have learned well"" (Guskey, 1987, p. 19). 2. A list of weaknesses (enumeration of facets, dimen sions, and items) ""identifies . . . errors"" (Kulhavy, 1977, p. 229); ""This . . . feedback . . . [is] to help students iden tify ... on what they need to spend more time"" (Guskey, 1987, p. 19). 3. A step-by-step work plan, which will [ . . . ] ""cor rect errors?or allows the learner to correct them9\' (Kul havy, 1977, p. 229). ""Any students who do not achieve the mastery criterion on the formative test receive correc tive instruction, which may take the form of . . . mate rials for students to complete independently"" (Slavin, 1987, p. 176). 4. A motivation message, which will ""correct errors? or allows the learner to correct them"" (Kulhavy, 1977, p. 229). ""Any students who do not achieve the mastery cri terion on the formative test receive corrective instruction, which may take the form of . . . materials for students to complete independently"" (Slavin, 1987, p. 176). [¬e]""']","Formative evaluation must follow these steps  1. Instructor must inform students of learning measures/objectives frequently 2. Systematically evalaure test data and use ""decision rules"" to know when to incorporate more difficult material and when to introduce corrective strategies 3. Provide systematic feedback "
"['Page 4:\n[¬s]""reatments All the subjects received the same teaching related to the writing of the major scales in music. A pretest was ad ministered at the end of that course, and each experimen tal group received its proper feedback in the following course. We provided the feedbac[¬e]""', 'Page 5:\n[¬s]""ritten corrective feedback. Oral feedback. Students of GE2 (n = 30), after having passed the pretest, received an oral group feedback at the following course. The confirmation of correct answers (Guskey, 1987, p. 19; Kulhavy, 1977, p. 229) and the identification of errors (Guskey, 1987, p. 19) had been communicated by a percentage result appearing on each test copy, and by the comparison that each student could do during the communication by the teacher of the an swer of each item. Students in this group had the oppor tunity to correct their errors (""and it [. . . ] correct errors ?or allows the learner to correct them,"" (Kulhavy, 1977, p. 229); they had to replace on their copy a wrong answer by the right one presented by the teacher. According to Kulhavy (1977, p. 21), ""when an error is produced, the object is not only to eliminate the wrong answer, but also to substitute correct information in its place[¬e]""']",NA
"['Page 4:\n[¬s]""PP): Instruc-\ntion in specific revision strategies was given prior to the\nuse of six process-based writing lessons. During the writ-\ning lessons, students met with peer partners to respond to\nand revise rough draf[¬e]""']",NA
"['Page 2:\n[¬s]""Today precision teaching comprises two techniques, measurement and skill acquisi\xad tion. At the Learning Diagnostic Center the staff uses rate sheets to teach skills. All preci\xad sion teaching, whether for measurement only or for skill acquisition, measures frequency of response and views increased frequency as au indication of learning.""\n""An important part of precision teaching as a tool to measure behavior is the display of daily scores on a semilog graph.""\n""Two studies were designed to compare the reinforcement value of semilog graphs and linear graphs with the reinforcement value of raw scores. The first study compared gains made while charting scores on linear graphs with gains made while simply recording raw scores. The second study compared gains made while charting scores on semilog graphs with gains made while simply recording raw scores. No attempt was made to compare the effecti ve ness of linear graphs with semilog graphs because tbe two classroom groups were not matched.""\n""The children received 1 minute timings twice each day on rate sheets of vocabulary from the SRA series Crocking the Code (Ras\xad mussen & Coldberg, 19GB). Timings were ad\xad ministered hy a trained instructional aide, a high school tutor, a parent volunteer, or a teacher from the Learning Diagnostic Center. The adult also recorded or charted the score for the child, discussed the child\'s progress, and gave a great deal of verbal praise for gains made.[¬e]""']",NA
"['Page 2:\n[¬s]""The children received 1 minute timings twice each day on rate sheets of vocabulary from the SRA series Crocking the Code (Ras\xad mussen & Coldberg, 19GB). Timings were ad\xad ministered hy a trained instructional aide, a high school tutor, a parent volunteer, or a teacher from the Learning Diagnostic Center. The adult also recorded or charted the score for the child, discussed the child\'s progress, and gave a great deal of verbal praise for gains made. ""\n""Each child received 1 minute timings on a rate sheet until the child could read a pre\xad determined number of words in 1 minute.""\n""After achieving the set aim on a rate sheet, the child moved to the next sheet in the series, The rate sheets were roughly ordered by[¬e]""', 'Page 4:\n[¬s]""difficulty in the linguistic pattern presented in Cracking the Code.""\n""All children in this study initially worked for an aim of 80 words per minute; however, five children in the class were more capable readers, and they decided with the teacher to set aim at 100. Three of these children were in the grou p that recorded raw scores first, and two were in the group that charted first.[¬e]""']",NA
"['Page 3:\n[¬s]""On the day of the initial testing, the experimenter told the children to read the instructions written on the front page of the test as he read them out loud. The instruc- tions were as follows: This is a test of your ability to solve ab- stract problems. Since your school work often requires memorization rather than this type of thinking, your score on the test may not be directly related to how well you have done in school so far. Standard directions ""\n""for taking the test then followed. The time limit was 13 minutes, which is slightly more time than is required in the test manual. This was done to allow even the slow students time to at least at- tempt nearly all of the items, which was necessary if they were to believe that they had done very well on the test. ""\n""Two days after the first test, the second test was administered. The students were cautioned not to talk after receiving their test papers, and to leave the test booklets unopened on their desks. The top sheet contained only the student\'s name. After all of the papers had been passed out, the students were instructed to open their test booklets to the second page, where they found their ""score"" on the previous test and an interpretation of it.""\n"" 77 received a score of 96;""\n""90 and above corresponded to the comment ""Ex- cellent! Your problem solving ability is among the best of all seventh-grade students.""""\n""The experimenter than instructed the subjects to read the instructions on the next page of the test booklet""\n"" The instructions""\n""were as follows: ""This is another test of your problem-solving ability. Like the other test you took, it is not related to how well you have done in school so far.""""\n""The time limit was 17 minutes, which is slightly more than rec- ommended in the test manual, in order to minimize the effects of speed and further assure that it was basically a power test.[¬e]""']",NA
"['Page 3:\n[¬s]"" On the day of the initial testing, the experimenter told the children to read the instructions written on the front page of the test as he read them out loud. The instruc- tions were as follows: This is a test of your ability to solve ab- stract problems. Since your school work often requires memorization rather than this type of thinking, your score on the test may not be directly related to how well you have done in school so far. Standard directions""\n""for taking the test then followed. The time limit was 13 minutes, which is slightly more time than is required in the test manual. This was done to allow even the slow students time to at least at- tempt nearly all of the items, which was necessary if they were to believe that they had done very well on the test.""\n""Two days after the first test, the second test was administered. The students were cautioned not to talk after receiving their test papers, and to leave the test booklets unopened on their desks. The top sheet contained only the student\'s name. After all of the papers had been passed out, the students were instructed to open their test booklets to the second page, where they found their ""score"" on the previous test and an interpretation of it.""\n"" 77 received a score of 53; and 79 had a blank space after ""score"" on the interpretation sheet.""\n"" The score 59 and below corresponded to the comment ""Poor. Your problem solving ability is among the worst of all seventh-grade students."" ""\n""The experimenter than instructed the subjects to read the instructions on the next page of the test booklet as he read them aloud. The instructions""\n""were as follows: ""This is another test of your problem-solving ability. Like the other test you took, it is not related to how well you have done in school so far."" The standard instructions (slightly modified) then followed. The time limit was 17 minutes, which is slightly more than rec- ommended in the test manual, in order to minimize the effects of speed and further assure that it was basically a power test. [¬e]""']",NA
"['Page 2:\n[¬s]""professional development called Teaching as Intentional Learning,""\n"" Their topic of inquiry was formative assessment.""\n""Professional development comprised both direct instruction and inquiry learning in teachersÕ own classrooms.""\n""strategies they experimented with, their professional growth in formative assessment, and effects on students.[¬e]""']",NA
"['Page 16:\n[¬s]"" particularly timely study at this point in the development of educational thought and practice, given the rapidly expanding role of microcomputers in elementary school classrooms.[¬e]""', 'Page 16:\n[¬s]""presented as statements on the video output screen of a microcomputer, are most beneficial to student achievement (retention) during drill and practice by third grade students learning multiplication facts.[¬e]""', 'Page 16:\n[¬s]""This study investigates what forms of informational feedback and social reinforcement (praise), presented as statements on the video output screen of a microcomputer, are most beneficial to student achievement (retention) during drill and practice by third grade students learning multiplication facts. As such, it is a particularly timely study at this point in the development of educational thought and practice, given the rapidly expanding role of microcomputers in elementary school classrooms.[¬e]""', 'Page 16:\n[¬s]""This study investigates what forms of informational feedback and social reinforcement (praise), presented as statements on the video output screen of a microcomputer, are most beneficial to student achievement (retention) during drill and practice by third grade students learning multiplication facts.[¬e]""', 'Page 16:\n[¬s]""This study investigates what forms of informational feedback[¬e]""', 'Page 21:\n[¬s]"" the investigation reported here has been conducted in actual third grade classrooms in a typical school district in the State of Washington. The classroom teachers normally in charge of the classes involved administered the experiment which was conducted after these teachers had made their usual initial presentations of the learning material. Typical drill and practice software available to run on microcomputers generally found in elementary schools was used.[¬e]""', 'Page 25:\n[¬s]""Feedback is information given to the student related to the correctness, quality, etc., of his/her response to a question from the computer. It can consist of several levels. Knowledge of results is the simplest level, consisting of the student being informed of whether his/her response is correct or incorrect.[¬e]""']","Please note  This study contains two conditions - 1. Feedback and 2. Social Reinforcement. The coding of this study focuses only on the Feedback condition.   While there are three treatment groups (incl. of control), this study has only coded   1. Experimental group - Knowledge of results (KOR)  2. Control group - No Feedback (NFB)   It ignores the third grouping  Knowledge of results + corrective procedure (KOR + CP) "
"['Page 1:\n[¬s]"" given two interesting tasks, one quantitative arid one qualitative, on three sessions over 2 days.[¬e]""', 'Page 2:\n[¬s]""The experiment consisted of three sessions. Session I was con\xad ducted in I day, and Sessions 2 and 3 were conducted 2 days later, with an interval of 2 hr between them.""\n""Instructions for Task A were then read out loud. These included rules regarding acceptable words and criteria for successful performance (according to the number and length of words). Children were asked to begin, and after 5 min they were asked to stop and turn to Task B. Instructions for Task B, adapted from Torrance and Templeton (1963), also included criteria for success (according to the number, variety, and originality of re\xad sponses). After 5 min the booklets were collected.""\n""n Session 2. 2 days later. Booklet 1 was returned. Children in Group 1 were told that each had been given an appropriate eval\xad uation of his or her performance. Children in ""\n"" Group 3 were told that the booklet was being returned to them. Subjects were in\xad structed to look through the booklet to see how they had done, after which they would be given new tasks. Children in Group 1 were told that they would receive comments on the new tasks too, ""\n"" and children in Group 3 that this booklet would also be returned. Booklet 2 was then given out, and the procedure for Tasks A and B, in\xad cluding repetitions of the criteria for successful performance, was followed as described for Booklet 1.""\n""In Session 3. 2 hr later, Booklet 2 was returned with the eval\xad uation appropriate to each group, and Booklet 3 was distributed. Subjects were given a few minutes to look through Booklet 2 and were then told that the experimenters had some tasks that had not yet been tried out. The children were asked to try out the tasks and were told that this time the experimenters would not be able to return and/or to evaluate their w-ork. The procedure for Tasks A and B was then identical to that for previous trials. The attitude questionnaire was then distributed and the 7-point scoring system demonstrated.""\n"" Evaluation consisted of one sentence, which related specifically to the performance of the[¬e]""', 'Page 3:\n[¬s]""individual child. It consisted of one phrase relating to some aspect of the task that the child had performed well and one phrase relating to an aspect performed less well.[¬e]""']",NA
"['Page 1:\n[¬s]"" given two interesting tasks, one quantitative arid one qualitative, on three sessions over 2 days. The manipulation was applied after Sessions I and 2, and no feedback was expected or received after Session 3.[¬e]""', 'Page 3:\n[¬s]""Scores were computed according to the criteria for success outlined in the instructions (see next section). Grades were then computed and awarded so as to follow a normal distribution ranging from 30 to 100 within each class.[¬e]""']",NA
"['Page 3:\n[¬s]"" group. Feedback consisted of one sentence, which included both areinforcing and agoal-setting component and related specifically to the performance of the individual child. Typical com- ments, which did not include any information beyond that specified in the criteria for success given to all subjects in the general instruc- tions, were as follows (translated from Hebrew): ""You thought of quite afew ideas; maybe it is possible to think of more different ide[¬e]""']",NA
"['Page 4:\n[¬s]""dents. In Session 1instructions, which were identical for each feedback group, it was explained that the experimenters had constructed some tasks and were interested in seeing how different children performed them and that they hoped that the children would enjoy doing them and using their imagi""\n""rmance. Subjects in the grades group were told that they had each been given agrade that showed how they had done relative to other pupils in the cl[¬e]""']",NA
"['Page 4:\n[¬s]""e group. Feedback consisted of the phrase ""very go""\n""dents. In Session 1instructions, which were identical for each feedback group, it was explained that the experimenters had constructed some tasks and were interested in seeing how different children performed them and that they hoped that the children would enjoy doing them and using their imagi""\n""rned. Subjects in the comments and praise groups were told that each had been given an appropriate comment on their perfo[¬e]""']",NA
"['Page 9:\n[¬s]""As pail of the overall evaluation of Summary Street, all the students in the experimental and control classes wrote a summary at the beginning and end of the school\'term. In the experimental classes, the Summary Street intervention was embedded in the regular curriculum. For these pre and post exercises, students read orte of two texts (“Dust Bowl” or “Influenza”); which are simi? lar in length (954 and 1,175 words, respectively) and reading level (12th grade). Both texts have four sectjpns, all-.approximately equivaleht in length. Reading and summary writing, using pencil and paper, took place during a single, 45-minute class period; Half of the students of each class received one text for the pretest, and the other Half the other text in.,a randomized assignment. For the posttest, each student received the text he or she had not summarized during the pre-assessment;[¬e]""']",NA
"['Page 12:\n[¬s]"" guided practice (frequent feedback on"" the content of summaries[¬e]""', 'Page 3:\n[¬s]""Summary Street is computer software that supports the construction of written summaries.[¬e]""']",NA
"['Page 5:\n[¬s]""(4) Simple Feedback (c4)--After selection of the distractor, S was informed about the correctness of his solution: ""That\'s correct, you did it correctly;"" or ""That\'s incorrect, you made a mistake."" No other information was given.""\n""(5) Elaborated Feedback (cs)--After S chose his answer, E informed him\nof the correctness of his choice. If the solution was correct, E said ""~/\'es, that\'s\ncorrect, you did it correctly."" This was followed by an elaboration of why it\nwas correct by E pointing out the principles involved and how the correct\ndistractor just fitted or corresponded to these principles.""\n""(6) Elaborated Feedback Plus Verbalization during and after Problem\nSolution (c0--In this condition, the procedures involved in c2 and c5 were\ncombined. It involved the S\'s verbalization of the pattern to be completed, and\nthe S\'s explanation for the reason of his choice after solution, (cz), and\nelaborated feedback by E informing S of the correctness or incorrectness of\nhis response and explaining the principles involved in arriving at a correct\nsolution (c5).[¬e]""']",NA
"['Page 4:\n[¬s]""(1) Group 1, reading the print material printed with the QR codes and\nwith scaffolded questions[¬e]""', 'Page 5:\n[¬s]""QR codes, linked to scaffolded questions, were placed at the center of the page before the ﬁrst paragraph, in-between paragraphs, and\nafter the last paragraph to provide pre-reading, during-reading, and after-reading questions, respectively. They were so designed to scaffold\nstudents’ reading process toward a better understanding ofthe text. An example ofthe QR code indicating pre-reading questions is shown in\nFig. 3 (a), and a screenshot of the smartphone presenting the pre-reading questions after scanning the QR code is shown in Fig. 3 (b).\nBefore reading, a few questions were given to students to highlight the main points of the reading content. After scanning the QR code,\npre-reading questions were displayed in the smartphone as presented in Fig. 3 (b). Students could read the questions and proceed to read\nthe print material.""\n""During-reading questions were given to students after reading a paragraph (or a section of texts). These questions were designed to help\nstudents reﬂect on what has been read and evaluate their own understanding about the content. After scanning the QR code, a few multiple-\nchoice questions popped up in the smartphone, one at a time. If students chose a correct answer, the system guided them to read the next\nparagraph. If they gave a wrong answer, the system prompted them to a speciﬁc paragraph or the associated digital material to review the\ncontent.[¬e]""']",NA
"['Page 47:\n[¬s]""The KCR feedback treatment displayed ""RIGHT"" at the bottom of the\ncomputer screen for each correct response. With each incorrect response,\n""WRONG"" was displayed at the bottom of the screen. Next, an arrow pointed to the\ncorrect answer. The learner was instructed to type in that letter to continue\n(Dempsey, 1988; Tait, Hartley, & Anderson, 1973).[¬e]""', 'Page 48:\n[¬s]""AUC-1 is very similar to KCR in this investigation (see Figure 16). The AUC-\n1 feedback treatment provided the same feedback as the KCR treatment for correct[¬e]""', 'Page 49:\n[¬s]""answers. For incorrect answers, ""NO, TRY AGAIN"" was displayed at the bottom of the screen. After a second try, the learner was told ""RIGHT"" if correct or ""WRONG"" if incorrect, and was then shown the correct answer by means of an arrow. The learner was instructed to type in the letter to continue. The learner is provided one additional try after an erroneous response compared to KCR.""\n""The delayed feedback treatment provided immediate KOR with each question.\nAfter all four of the lesson sections were completed, the 40 questions were presented\nagain in the same order. The correct answer was indicated by an arrow. As with\nKCR and AUC, the learner was instructed to key in the correct answer to continue.[¬e]""']",NA
"['Page 5:\n[¬s]""The DF treatment provided correct answers to the questions at the end of the\nworkbook, an approach followed by many textbook publishers. For DF, students were\nadvised to answer all of the questions in the blank spaces provided beside each question\nand were not informed until after the last question that there was a correct answer key\nin the appendix of their workbook. They were advised to compare their responses with\nthe correct responses. The KCR and MTF treatments were similar to scratch-off lottery\ntickets. The KCR treatment used one blue dot placed beside the question blank to hide\nthe letter of the correct answer, while the MTF treatment indicated the correct answer\nby indicating ‘C’ (correct) or ‘TA’ (try again) beside each multiple-choice alternative,\neach covered with a blue dot (Strandburg, 1969). For both KCR and MTF treatments,\nstudents were advised to write the letter of the correct response in the blank space[¬e]""', 'Page 6:\n[¬s]""provided beside each question and then immediately scratch off the dot in order to\ncheck their answer.[¬e]""']",NA
NA,"The 6 + 1 Trait Writing model is a classroom approach to writing instruction in which teachers and students analyse writing using a set of traits  ideas, organisation, voice, word choice, sentence fluency, conventions, and presentation. Ideas is the main content and message of the piece of writing. "
"['Page 1:\n[¬s]"" use of a monitoring system will allow the special educator to stay close enough to the child to allow for effective decision making regarding the child\'s program. In order to investigate the effects of the application of moni\xad toring with slower math students in the early elementary grades, a continuous monitoring system was devised and field tested. The material necessary for implementation of this system included all elements of a set of behaviorally stated ob\xad jectives for the math curriculum for first and second grades.[¬e]""']",NA
"['Page 6:\n[¬s]""RRI consists of five lesson com- ponents designed to be implemented within a 40- min lesson. Teachers provide direct, explicit instruction in phonics skills and text-reading strategies, as well as modeling and instructional scaffolding as students apply these skills and strategies while reading and writing connected text. As RRI teachers plan daily lessons, they se- lect from a menu of activities for each of five les- son components based on diagnostic assessments of student strengths and needs. Procedures for each of these activities are described in detail in the RRI handbook (Denton & Hocker, 2006). This study implemented the following RRI com- ponents: WordWork (10 min).""\n""Print Concepts/Fluency and Assessment (10\nmin).""\n""Supported Reading (10 min).[¬e]""', 'Page 7:\n[¬s]""SupportedWriting (10 min).[¬e]""']",NA
