digit_tech_raw,digit_tech_ht,digit_tech_info,parent_partic_raw,parent_partic_ht,parent_partic_info
['No'],"['Page 9:\n[¬s]""Zbe instruction 1142 intended for computer Assisted\nInstruction (CAI).\nSince micro-computers were not avail-\nable at the school, a close simulation of the materials in\nthe form of booklets was used.[¬e]""']",NA,['No'],"['Page 9:\n[¬s]""Zbe instruction 1142 intended for computer Assisted\nInstruction (CAI).\nSince micro-computers were not avail-\nable at the school, a close simulation of the materials in\nthe form of booklets was used.[¬e]""']",NA
['No'],NA,on simulation of computerised program,['No'],NA,on simulation of computerised program
['No'],NA,on the model of compputerised,NA,NA,on the model of compputerised
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,Not for the human tutors group... ?,['No'],NA,Not for the human tutors group... ?
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
NA,NA,NA,NA,NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],"['Page 4:\n[¬s]""Students were trained to take the CBM spelling test at computers, using Basic Spelling software (Fuchs, Hamlett, & Fuchs, 1990). This program automatically ad\xad ministers and scores the tests and saves the score[¬e]""']"," Students were trained to take the CBM spelling test at computers, using Basic Spelling software",['No'],"['Page 4:\n[¬s]""Students were trained to take the CBM spelling test at computers, using Basic Spelling software (Fuchs, Hamlett, & Fuchs, 1990). This program automatically ad\xad ministers and scores the tests and saves the score[¬e]""']"," Students were trained to take the CBM spelling test at computers, using Basic Spelling software"
['Yes'],"['Page 1:\n[¬s]"" Specif\xad ically, we investigated how expert system computer programs might be applied within CBM systems to enhance practi\xad tioners’ instructional planning in spelling.[¬e]""']",NA,['No'],"['Page 1:\n[¬s]"" Specif\xad ically, we investigated how expert system computer programs might be applied within CBM systems to enhance practi\xad tioners’ instructional planning in spelling.[¬e]""']",NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],"['Page 4:\n[¬s]""The study was conducted with a comput-\nerised test on text comprehension that was\ndesigned by the research team.[¬e]""']",NA,['No'],"['Page 4:\n[¬s]""The study was conducted with a comput-\nerised test on text comprehension that was\ndesigned by the research team.[¬e]""']",NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],"['Page 4:\n[¬s]""The program used in this study was developed by the\nauthor especially for this research and was tried out and\nrevised several times on comparable populations. It is a\nbrief, linear program on classical and instrumental condi\ntioning consisting of 55 frames with 57 constructed\nresponses required; a 16-item multiple-choice test was\ngiven as both the pr[¬e]""']",NA,['No'],"['Page 4:\n[¬s]""The program used in this study was developed by the\nauthor especially for this research and was tried out and\nrevised several times on comparable populations. It is a\nbrief, linear program on classical and instrumental condi\ntioning consisting of 55 frames with 57 constructed\nresponses required; a 16-item multiple-choice test was\ngiven as both the pr[¬e]""']",NA
['No'],NA,NA,['Yes'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],"['Page 21:\n[¬s]""Automated Writing Evaluation is defined as the computer technology that evaluates and scores the written prose.[¬e]""']",NA,['No'],"['Page 21:\n[¬s]""Automated Writing Evaluation is defined as the computer technology that evaluates and scores the written prose.[¬e]""']",NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['Yes'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],"['Page 5:\n[¬s]""Each student spent about an hour on the stimulus material presented in multi-\nmedia mode. Subjects were assigned in random to one of the lhree treatment and\ncontinued with r.he practice tesL Upon completion of the practice test, each sub-\nject individually completed the on-line posuest[¬e]""']",NA,['No'],"['Page 5:\n[¬s]""Each student spent about an hour on the stimulus material presented in multi-\nmedia mode. Subjects were assigned in random to one of the lhree treatment and\ncontinued with r.he practice tesL Upon completion of the practice test, each sub-\nject individually completed the on-line posuest[¬e]""']",NA
['Yes'],"['Page 4:\n[¬s]""A commercially produced multimedia presentation on Dinosaurs was used as\nstimulus material. The multimedia program consisted of verbal information and\npresented in text, graphic and sound. The content presented in the program con-\nsisted of six major sections. From the pilot swdy questionnaire, it was found that\nthe experimental students have not been exposed to the content of the multime-\ndia instruction used for the smdy.[¬e]""']",NA,['No'],"['Page 4:\n[¬s]""A commercially produced multimedia presentation on Dinosaurs was used as\nstimulus material. The multimedia program consisted of verbal information and\npresented in text, graphic and sound. The content presented in the program con-\nsisted of six major sections. From the pilot swdy questionnaire, it was found that\nthe experimental students have not been exposed to the content of the multime-\ndia instruction used for the smdy.[¬e]""']",NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,NA,NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],"['Page 7:\n[¬s]""The texts and questions were presented using a new\ncomputer-based technology based on Read&Answer\nsoftware (Vidal-Abarca, Martínez et al., 2011)""\n""program recorded every action the students undertook,\nthe order of these activities and the time each activity\nlasted (i.e., online processing measures) using\nmasking/unmasking procedure.""\n""A simple interface allowed the\nreaders to move from the text screen to the questions\nscreen and from one question to another. The software\nallowed us to display formative feedback messages\naccording to the feedback group once students marked\ntheir answer choices[¬e]""']",NA,['No'],"['Page 7:\n[¬s]""The texts and questions were presented using a new\ncomputer-based technology based on Read&Answer\nsoftware (Vidal-Abarca, Martínez et al., 2011)""\n""program recorded every action the students undertook,\nthe order of these activities and the time each activity\nlasted (i.e., online processing measures) using\nmasking/unmasking procedure.""\n""A simple interface allowed the\nreaders to move from the text screen to the questions\nscreen and from one question to another. The software\nallowed us to display formative feedback messages\naccording to the feedback group once students marked\ntheir answer choices[¬e]""']",NA
['Yes'],"['Page 7:\n[¬s]""The texts and questions were presented using a new\ncomputer-based technology based on Read&Answer\nsoftware (Vidal-Abarca, Martínez et al., 2011). The\nprogram recorded every action the students undertook,\nthe order of these activities and the time each activity\nlasted (i.e., online processing measures) using\nmasking/unmasking procedure. The students had to\nunmask text segments by clicking on them (Figure 2).[¬e]""']",digitally delivered software,['No'],"['Page 7:\n[¬s]""The texts and questions were presented using a new\ncomputer-based technology based on Read&Answer\nsoftware (Vidal-Abarca, Martínez et al., 2011). The\nprogram recorded every action the students undertook,\nthe order of these activities and the time each activity\nlasted (i.e., online processing measures) using\nmasking/unmasking procedure. The students had to\nunmask text segments by clicking on them (Figure 2).[¬e]""']",digitally delivered software
['Yes'],"['Page 6:\n[¬s]""Texts and questions were presented by means of a\ncomputer-based system based on Read&Answer soft-\nware (Vidal-Abarca et al., 2011)[¬e]""']",NA,['No'],"['Page 6:\n[¬s]""Texts and questions were presented by means of a\ncomputer-based system based on Read&Answer soft-\nware (Vidal-Abarca et al., 2011)[¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""Texts and questions were presented by means of a\ncomputer-based system based on Read&Answer soft-\nware (Vidal-Abarca et al., 2011)[¬e]""']",NA,['No'],"['Page 6:\n[¬s]""Texts and questions were presented by means of a\ncomputer-based system based on Read&Answer soft-\nware (Vidal-Abarca et al., 2011)[¬e]""']",NA
['Yes'],"['Page 6:\n[¬s]""Texts and questions were presented by means of a\ncomputer-based system based on Read&Answer soft-\nware (Vidal-Abarca et al., 2011). This system recorded\nevery action that the students performed, the order and\nthe time that each activity lasted (i.e. on-line processing\nmeasures) using a masking procedure.[¬e]""']",computerised feedback,['No'],"['Page 6:\n[¬s]""Texts and questions were presented by means of a\ncomputer-based system based on Read&Answer soft-\nware (Vidal-Abarca et al., 2011). This system recorded\nevery action that the students performed, the order and\nthe time that each activity lasted (i.e. on-line processing\nmeasures) using a masking procedure.[¬e]""']",computerised feedback
['Yes'],NA,computerised feedback,['No'],NA,computerised feedback
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,NA,NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,staff had access to online resources but not pupils,['No'],NA,staff had access to online resources but not pupils
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,NA,NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
NA,NA,NA,NA,NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['Yes'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
['Yes'],"['Page 85:\n[¬s]""video camera and microphone to videotape their d a ily teaching[¬e]""']",NA,['No'],"['Page 85:\n[¬s]""video camera and microphone to videotape their d a ily teaching[¬e]""']",NA
['No'],NA,NA,['No'],NA,NA
['No'],NA,NA,['No'],NA,NA
