id,pub_author,pub_year,pub_type_raw,out_strand,smd_tool,se_tool,out_tit,out_out_type_tool,out_samp,out_comp,out_es_type,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,strand_raw,loc_country_raw,int_training_raw,int_approach_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,int_setting_raw,part_age_raw,school_total_info,class_total_info,int_desig_raw,sample_analysed_info,fsm_perc_info,school_target,eligibility,elig_targ_pop_info,means_tested,means_tested_thresh_info,recipient,month_avg_amount,month_avg_prim_recip,month_avg_prim_recip_info,prim_recip_dom_curr_type_info,month_avg_sec_recip,month_avg_sec_recip_info,sec_recip_dom_curr_type_info,transfer_limit,transf_lim_yes_max_per_fam_info,transf_lim_yes_max_ben_info,transfer_variation,transfer_regularity,transfer_regularity_info,time_limit,time_limit_info,primary_condition,addit_condition,health_cond_comp,health_conditions,monitoring,verification,min_attend_req,perc_attend_req,perc_attend_req_other_info,enforcement,enforcement_other_info,supply_incentive,savings_comp,savings_comp_yes_info,econ_out,econ_out_yes_info,prog_type
53901268,Attanasio (2004),2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Colombia'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],"Unclear, baseline data was completed in November 2002. The 1 year follow-up has not been complete at the time of this report.",monthly,N/A,"['Primary/elementary school', 'Secondary/High school']",['No information provided'],NA,NA,['Prospective QED'],NA,NA,['Primary and secondary'],['Household income'],NA,['Not reported/Unclear'],NA,['Mother or female head of household'],['Primary recipient'],['Transfer in US $ (numeric value only)'],Primary  8 Secondary  16,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Not reported/Unclear'],NA,['School enrolment and attendance'],['Other'],['Yes'],"['Student attendance at health check-ups', 'Student immunizations up-to-date', 'Mothers attendance at health education workshops']",['School attendance'],['Not reported/Unclear'],['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53902806,Attanasio (2005),2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Colombia'],['Unclear/ Not specified'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],Not specified,monthly,N/A,"['Primary/elementary school', 'Secondary/High school']",['No information provided'],NA,NA,['Prospective QED'],"Unclear, 57 communities in treatment",NA,['Primary and secondary'],['Targeted population (please provide details in info box)'],poorest 20% of households in rural Columbia.,['Not reported/Unclear'],NA,['Mother or female head of household'],NA,['Transfer in US $ (numeric value only)'],Primary School  ~10 Secondary School  ~20,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Not reported/Unclear'],NA,['Not reported'],['Not reported'],['Not reported/Unclear'],NA,['Not reported/Unclear'],['Not reported/Unclear'],['Not reported/Unclear'],NA,NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901226,Attanasio (2010),2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Colombia'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],Funded for 3 years,monthly,N/A.,"['Primary/elementary school', 'Secondary/High school']",['No information provided'],NA,NA,['Prospective QED'],NA,NA,['Primary and secondary'],['Village/neighbourhood income'],NA,['Not reported/Unclear'],NA,['Mother or female head of household'],NA,['Transfer in domestic currency (numeric value only)'],Primary  14000 Secondary  28000,Pesos,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Yes - time limited'],Only funded for 3 years,['School enrolment and attendance'],['Other'],['Yes'],"['Student attendance at health check-ups', 'Student immunizations up-to-date', 'Mothers attendance at health education workshops']",['Not reported/Unclear'],['Not reported/Unclear'],['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Level 7 - Insufficient information to assign a category']
53901986,Attanasio (2011),2011,NA,NA,0.149,0.053,School participation boy aged 10 to 16,"['Toolkit primary outcome', 'Other outcome']",['Sample: Low achievers'],With business as usual,['Post-test adjusted for baseline attainment AND clustering'],Curriculum  other,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Mexico'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Other (please specify)'],['Class teachers'],duration of school career,two months,NA,"['Primary/elementary school', 'Secondary/High school']","['10', '11', '12', '13', '14', '15', '16']",NA,NA,['Cluster RCT'],number of individual students in the intervention or control sample is not provided - paper does state analysis was carried out on 306 localities/villages - approx 25000,100,['Primary and secondary'],['Household income'],NA,['Yes'],NA,['Mother or female head of household'],['Primary recipient'],"['Transfer in domestic currency (numeric value only)', 'Transfer in US $ (numeric value only)']",75,NA,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",750,NA,"['Age', 'Grade', 'Gender']",['Bi-monthly'],NA,['Not reported/Unclear'],NA,['School enrolment and attendance'],['Grade promotion'],['Yes'],"['Student attendance at health check-ups', 'Student immunizations up-to-date', 'Mothers attendance at health education workshops']","['School enrolment', 'School attendance', 'Grade promotion', 'Not reported/Unclear']","['School enrolment', 'School attendance', 'Health attendance', 'Not reported/Unclear']",['Yes'],['85%'],NA,"['Attendance at school', 'Enrolment at school', 'Not reported/Unclear']",NA,['Not reported/Unclear'],['No'],NA,['No'],NA,['Level 7 - Insufficient information to assign a category']
53901698,Baez (2013),2013,NA,NA,-0.5566,0.031,Mathematics test,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.5566,0.031,NA,NA,NA,NA,NA,NA,NA,['Colombia'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],"Unclear, the intervention started in 2001, however this study was concerned with students who graduated between 2003 and 2009.",Monthly,N/A,['Secondary/High school'],"['7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18']",NA,NA,['Regression Discontinuity with randomisation'],"11,284 households total",NA,['Secondary only'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",No specific threshold. Highlighted is the process of measuring for proxy means testing.,['Mother or female head of household'],NA,['Transfer in domestic currency (numeric value only)'],"12,000 (Primary School Age) 24,000 (Secondary School Age)",Pesos,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Not reported/Unclear'],NA,['School attendance'],['Not reported'],['Not reported/Unclear'],NA,['Not reported/Unclear'],['Not reported/Unclear'],['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Level 5 - Conditional transfers where school enrolment conditions are monitored and enforced']
53901340,Baird (2011),2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Malawi'],['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],2 years,Monthly cash transfers,"N/A. No teaching as part of this intervention, therefore, no intervention sessions were held.",NA,['No information provided'],NA,NA,['Cluster RCT'],2907,NA,['Not reported/Unclear'],['Targeted population (please provide details in info box)'],Enumiration areas of the Zomba District.,['Not reported/Unclear'],NA,"['Parent or head of household', 'Student (or student and parent/guardian)']","['Primary recipient', 'Secondary recipients (details in info box)']",['Transfer in US $ (numeric value only)'],between 1 and 5,NA,['Transfer in US $ (numeric value only)'],4 - 10,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Yes - time limited'],2 years,['School attendance'],['Not reported'],['No'],NA,['School attendance'],['School attendance'],['Yes'],['80%'],NA,['Attendance at school'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Level 5 - Conditional transfers where school enrolment conditions are monitored and enforced']
53901799,Baird (2013),2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Malawi'],['No'],['Other (Explain in notes)'],NA,['Yes'],['Unclear/ not specified'],['Unclear/not specified'],2 years,Monthly cash transfers,N/A. No teaching as part of the intervention or session lengths.,NA,"['13', '14', '15', '16', '17', '18']",NA,NA,['Cluster RCT'],3796,NA,['Not reported/Unclear'],['Targeted population (please provide details in info box)'],NA,['Not reported/Unclear'],NA,['Parent or head of household'],"['Primary recipient', 'Secondary recipients (details in info box)']",['Transfer in US $ (numeric value only)'],1-5,NA,['Transfer in US $ (numeric value only)'],4-10,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Yes - time limited'],This was a 2 year program,['School attendance'],['School attendance'],['No'],NA,['School attendance'],['School attendance'],['Yes'],['80%'],NA,['Attendance at school'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Level 5 - Conditional transfers where school enrolment conditions are monitored and enforced']
53901228,Baird 1_1 (2009),2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['Malawi'],['Unclear/ Not specified'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],NA,monthly,N/A. No intervention sessions ,['No information provided'],"['13', '14', '15', '16', '17', '18']",NA,NA,['Individual RCT'],"3,805 young women total",NA,['Not reported/Unclear'],['Village/neighbourhood income'],NA,['No'],NA,"['Parent or head of household', 'Student (or student and parent/guardian)']",['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Yes - time limited'],a one year program,['School enrolment and attendance'],['No additional conditions'],['No'],NA,['Not reported/Unclear'],['Not reported/Unclear'],['Yes'],['75%'],NA,['Not reported/Unclear'],NA,['Not reported/Unclear'],['No'],NA,['No'],NA,['Level 7 - Insufficient information to assign a category']
53901505,Baird 1_2(2009),2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53901982,Barham (2012),2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,['No'],['Other (Explain in notes)'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],6 years in two phases (each households participated in the transfer for 3 years each),Bi monthly cash transfers and 1 annual fixed cash transfer,N/A,['No information provided'],"['7', '8', '9', '10', '11', '12', '13']",NA,NA,['Cluster RCT'],"Not specified. Red de Protección Social (RPS) intervention benefitted over 30,000 households, however, this study does not specify how many participants were included in the analysis.",NA,['Primary only'],['Targeted population (please provide details in info box)'],"The original randomized evaluation design targeted the RPS intervention in six rural municipalities in central and northern Nicaragua, chosen based on their low health and education indicators.",['No'],NA,['Mother or female head of household'],['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Not reported/Unclear'],"['Bi-monthly', 'Annually']",One annual educational cash transfer for school supplies,['Yes - time limited'],3 years,['School enrolment and attendance'],['No additional conditions'],['No'],NA,"['School enrolment', 'School attendance']","['School enrolment', 'School attendance']",['Not reported/Unclear'],NA,NA,['Not reported/Unclear'],NA,['Transfer complemented by supply incentive to school (details in info box)'],['No'],NA,['Not reported/Unclear'],NA,['Level 8 - Program description does not match sufficiently to assign a category']
53901992,Behrman (2000),2000,NA,NA,0.28,0.002,Spanish Achievement,"['Toolkit primary outcome', 'Reading primary outcome']",['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],Literacy  reading comprehension,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.28,0.002,NA,NA,NA,['Mathematics primary outcome'],-0.56,0.009,NA,NA,NA,NA,NA,NA,NA,['Mexico'],['No'],['Large group/class teaching (+6)'],['No'],['Yes'],['Other (please specify)'],['Class teachers'],108,NA,NA,"['Primary/elementary school', 'Secondary/High school']","['9', '10', '11', '12', '13', '14', '15']",500,NA,['Cluster RCT'],45723,100,['Primary and secondary'],['Household income'],NA,['Yes'],NA,['Not reported/Unclear'],['Primary recipient'],['Transfer in domestic currency (numeric value only)'],NA,Pesos,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",appears payment is standardised ,NA,"['Gender', 'Age', 'Grade']",['Monthly'],NA,['Yes - time limited'],1 year,['School attendance'],['School enrolment'],['Not reported/Unclear'],['Not reported/Unclear'],['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
