id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ap_focus,ap_involved,ap_where
41817134,Cogo-Moreira (2013),2013,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.05,0.13,NA,Reading Test (ITT),With business as usual,NA,Literacy  reading other,NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.05,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,10,NA,['Primary/elementary school'],"['8', '9', '10']",NA,NA,['Brazil'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['External teachers'],20,3 ,50,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['School']
41816481,Çokadar (2009),2009,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Science primary outcome']",1.0893,0.3215,['Post-test unadjusted (select one from this group)'],Ecology Concept Achievement Test (ECAT),With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",1.0893,0.3215,NA,NA,NA,45,1,2,['Secondary/High school'],"['12', '13']",NA,NA,['Turkey'],['Individual RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],3,3 ,45,['Toolkit: Arts participation '],['Drama'],['Classroom teachers'],['School']
41816497,Conner (1973),1973,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",1.0002,0.1995,['Pre-post gain'],Cognitive Abilities Test (CAT) - Arts Participation,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,6,6,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],"['Class teachers', 'External teachers']",9,3,45,['Toolkit: Arts participation '],['Drama'],"['Classroom teachers', 'Outside experts or specialists']",['School']
41817027,Cormack (2003),2003,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.9494,0.2882,NA,Writing Test (posttest S3),With business as usual,NA,Literacy  writing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1,2,['Primary/elementary school'],"['11', '12', '13']",NA,NA,['Canada'],['Prospective QED'],"['Large group/class teaching (+6)', 'Other (Explain in notes)']",['No'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",10,2,45,['Toolkit: Arts participation '],['Multi-component or integrated programme'],['Classroom teachers'],['School']
41817129,Costa-Giomi (2004),2004,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.0001,0.188,NA,Canadian Achievement Test,,NA,Literacy  speaking and listening/oral language,NA,NA,NA,NA,NA,NA,NA,['Mathematics primary outcome'],0,0.191,NA,NA,NA,NA,NA,NA,81,20,NA,['Primary/elementary school'],"['9', '10', '11']",NA,NA,['Canada'],['Individual RCT'],['One to one'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],114,1,40 ,['Toolkit: Arts participation '],['Music'],['Classroom teachers'],['School']
41817002,Debreli (2011),2011,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3336,0.2647,['Post-test unadjusted (select one from this group)'],Ratio and Proportion Achievement Test (Post-test),With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3336,0.2647,NA,NA,NA,NA,NA,NA,58,1,5,['Primary/elementary school'],"['12', '13']",NA,NA,['Turkey'],['Multisite RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'Paired learning']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],6,1,120.,['Toolkit: Arts participation '],['Drama'],['Classroom teachers'],['School']
41817127,Degé (2011),2011,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",-0.5807,0.3507,['Post-test unadjusted (select one from this group)'],visual memory-Arts-music group,With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34 ,1,NA,['Secondary/High school'],"['9', '10', '11']",NA,NA,['Germany'],['Prospective QED'],['Other (Explain in notes)'],['No'],['No'],['No'],['Unclear/ not specified'],['Class teachers'],104,5,90,['Toolkit: Arts participation '],['Music'],['Other (please specify)'],['School']
41817001,Duatepe (2004),2004,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.406,0.212,['Post-test unadjusted (select one from this group)'],POSTAPA,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.406,0.212,NA,NA,NA,NA,NA,NA,102,1,3,['Primary/elementary school'],"['12', '13']",NA,NA,['Turkey'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],52,4,40,['Toolkit: Arts participation '],['Drama'],['Other (please specify)'],['School']
41817023,DuPont (1992),1992,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.406,0.3464,['Post-test adjusted for baseline attainment'],MAT6 - Arts Participation,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.406,0.3464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,2,4,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",6,5,Information not provided,['Toolkit: Arts participation '],['Drama'],['Outside experts or specialists'],['School']
41817011,Fernsler (2003),2003,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.7741,0.3786,['Post-test unadjusted (select one from this group)'],Social Studies Test  - Arts Participation,With business as usual,['Sample: All'],Social Studies,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,2,['Primary/elementary school'],"['9', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],3,2,45,['Toolkit: Arts participation '],['Drama'],['Other (please specify)'],['School']
41817046,Fischer (1989),1989,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.3493,0.1951,NA,Critical Thinking (non-gifted groups),With business as usual,NA,Cognitive  other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,1,NA,['Middle school'],"['11', '12', '13']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],4,5,60,['Toolkit: Arts participation '],['Drama'],['Classroom teachers'],['School']
41817026,Fizzano (1999),1999,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1797,0.1735,['Post-test unadjusted (select one from this group)'],MAT -Arts-drama groups,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1797,0.1735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,2,6,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],8,1 ,120,['Toolkit: Arts participation '],['Drama'],['Classroom teachers'],['School']
41817020,Fleming (2004),2004,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4,0.2093,['Post-test unadjusted (select one from this group)'],Reading -Arts  drame,With business as usual,['Sample: All'],Literacy  reading other,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4,0.2093,NA,NA,NA,['Mathematics primary outcome'],0.83,0.2133,NA,NA,NA,NA,NA,NA,108,4,NA,['Primary/elementary school'],"['7', '8', '9']",NA,NA,"['UK (Select all that apply)', 'England']",['Retrospective QED  '],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],104,2,Information not provided,['Toolkit: Arts participation '],['Drama'],"['Outside experts or specialists', 'Classroom teachers']",['School']
41817126,Gromko (1998),1998,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.4944,0.3715,['Pre-post gain'],Cognitive Performance (IQ Raw),With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,NA,['Nursery school/pre-school'],"['3', '4']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['Yes'],['Before/after school'],['Research staff'],24,1,30,['Toolkit: Arts participation '],"['Music', 'Dance']",['Other (please specify)'],['School']
41817124,Gromko (2005),2005,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.7754,0.2073,['Post-test unadjusted (select one from this group)'],Nonsense-Word Fluency ,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.7754,0.2073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,2,8,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Lay persons/volunteers']",12,1,30 ,['Toolkit: Arts participation '],['Music'],"['Other (please specify)', 'Classroom teachers']",['School']
41817121,Hanson (2003),2003,['Journal article'],['Arts participation'],['Toolkit primary outcome'],-0.2376,0.3347,NA,Object Assembly (music vs control),With business as usual,NA,Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,3,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],28,2,30,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['School']
41817029,Hendrix (2011),2011,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Science primary outcome']",0.6968,0.3352,['Post-test unadjusted (select one from this group)'],FOSS - arts-drama (4th & 5th Grade combined),With business as usual,['Sample: All'],Science,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.6968,0.3352,NA,NA,NA,38,1,NA,"['Primary/elementary school', 'Middle school', 'Secondary/High school']","['9', '10', '11']",NA,NA,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Research staff', 'External teachers']",16,1,90 ,['Toolkit: Arts participation '],['Drama'],['Outside experts or specialists'],['School']
41816509,Hensel (1973),1973,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",0.8989,0.3318,['Post-test adjusted for baseline attainment'],Boehm Test of Basic Skills,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1,5,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],5,4,60,['Toolkit: Arts participation '],['Drama'],['Outside experts or specialists'],['School']
41817133,Herrera (2011),2011,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",1.3836,0.4056,['Post-test unadjusted (select one from this group)'],Initial Phoneme Oddity Test (Spanish-music vs control grps),,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.3836,0.4056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['Spain'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['External teachers'],8,2,60,['Toolkit: Arts participation '],"['Multi-component or integrated programme', 'Music', 'Other (Please specify)']",['Outside experts or specialists'],['School']
41817123,Hole (2013),2013,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5619,0.5129,['Post-test unadjusted (select one from this group)'],Word Reading Efficiency,With active control,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5619,0.5129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,NA,['Primary/elementary school'],"['8', '9']",NA,NA,"['UK (Select all that apply)', 'England']",['Individual RCT'],['Student alone (self-administered)'],['No'],['Yes'],['No'],['During regular school hours '],['Digital technology'],10,10,15 ,['Toolkit: Arts participation '],['Music'],['Other (please specify)'],['School']
41817122,Hunt (2012),2012,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.6762,0.3351,['Post-test unadjusted (select one from this group)'],Phonological Discrimination Task,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.6762,0.3351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1,1,['Nursery school/pre-school'],"['3', '4']",NA,NA,['Wales'],['Individual RCT'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Research staff'],6,1,20 ,['Toolkit: Arts participation '],['Music'],['Other (please specify)'],['School']
41817158,Janus (2016),2016,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2253,0.2658,NA,Peabody Picture Vocabulary Test III,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.2253,0.2658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,['Primary/elementary school'],"['4', '5', '6']",NA,NA,['Canada'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],['Summer/ holiday period'],['Class teachers'],4,5,180,['Toolkit: Arts participation '],"['Music', 'Other (Please specify)']",['Classroom teachers'],['Other (Please specify)']
41817007,Kaplan (2013),2013,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",-1.645,0.3071,['Post-test unadjusted (select one from this group)'],Achievement Test,With business as usual,['Sample: All'],Combined subjects,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,1,2,['Primary/elementary school'],"['11', '12']",NA,NA,['Turkey'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Unclear/not specified']",4,1,50,['Toolkit: Arts participation '],"['Music', 'Other (Please specify)']",['Classroom teachers'],['School']
41817050,Kariuki (2006),2006,['Conference paper'],['Arts participation'],"['Toolkit primary outcome', 'Other outcome']",-1.2512,0.4351,['Post-test unadjusted (select one from this group)'],Academic Achievement,With business as usual,['Sample: All'],Combined subjects,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,1,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Multisite RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",1,5,50 ,['Toolkit: Arts participation '],['Drama'],['Classroom teachers'],['School']
41817157,Kaviani (2014),2014,['Journal article'],['Arts participation'],['Toolkit primary outcome'],0.2119,0.259,['Post-test unadjusted (select one from this group)'],S-BIS   VAR--Music instruction,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,['Mathematics primary outcome'],0.106,0.2584,NA,NA,NA,NA,NA,NA,60,NA,NA,['Other educational setting (please specify)'],"['5', '6']",NA,NA,['Iran'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['External teachers'],12,1,75,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['Specialist arts venue']
41817186,Kelley (1981) 1_1,1981,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0505,0.3087,['Post-test unadjusted (select one from this group)'],BMRT Oral Reading in Context (cumulative total - post-test only- Arts Participation,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0505,0.3087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1,2,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['Yes'],['During regular school hours '],['Research staff'],24,3,30,['Toolkit: Arts participation '],['Music'],['Outside experts or specialists'],['School']
46325680,Kelley (1981) 1_2,1981,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1838,0.3132,['Post-test unadjusted (select one from this group)'],BMRT Oral Reading in Context (cumulative total - post-test only) - Arts Participation,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1838,0.3132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,1,2,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['Yes'],['During regular school hours '],['Research staff'],24,3,30,['Toolkit: Arts participation '],['Visual or other Fine arts'],['Outside experts or specialists'],['School']
41816507,Knudson (1970),1970,['Journal article'],['Arts participation'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5187,0.004,['Pre-post gain'],Metropolitan Advanced Reading Test - Arts Participation,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5187,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1,4,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],"['During regular school hours ', 'Unclear/ not specified']",['Class teachers'],32,Not specified,Not specified,['Toolkit: Arts participation '],['Drama'],['Classroom teachers'],['School']
41817207,Laurin (2010),2010,['Dissertation or thesis'],['Arts participation'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.1496,0.3023,['Post-test unadjusted (select one from this group)'],Words - Arts Participation,With business as usual,['Sample: All'],Literacy  writing,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,1,2,"['Independent/private school', 'Primary/elementary school']","['8', '9']",NA,NA,['Canada'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",8,1 ,50,['Toolkit: Arts participation '],['Drama'],['Outside experts or specialists'],['School']
