id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ss_aim,ss_aim_catch_up,ss_aim_enrich,ss_aim_trans,ss_aim_gifted,ss_aim_unclear,ss_pupil_part,ss_resid_comp,ss_grp_size,ss_act_focus,ss_staff_kind,ss_par_invol,ss_dig_tech,ss_attendance
47269789,Cline (1968) SS,1968,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.0208,0.148,NA,Peabody Picture Vocabulary-R (IQ) Test,With business as usual,NA,Literacy  speaking and listening/oral language,NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.0208,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,11,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],Not stated,Not stated,Not stated,NA,['Enrichment or compensation for disadvantage'],NA,['Enrichment or compensation for disadvantage'],NA,NA,NA,['Voluntary or optional'],['No'],['Class size (16+)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253200,Culp (1973),1973,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1047,0.1279,['Post-test unadjusted (select one from this group)'],SAT Word Meaning Boys and Girls combined,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1047,0.1279,NA,NA,NA,['Mathematics primary outcome'],-0.1368,0.128,NA,NA,NA,NA,NA,NA,NA,6,NA,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['Yes'],['Summer/ holiday period'],['Class teachers'],6,5,110,['Toolkit: Summer schools'],['Not specified or unclear'],NA,NA,NA,NA,['Not specified or unclear'],['Voluntary or optional'],['No'],['Class size (16+)'],['Academic and cultural or artistic'],['Qualified teachers'],['Yes'],['No / not mentioned'],['Yes']
39253314,D'Agostino (1995),1995,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1281,0.0551,['Post-test adjusted for baseline attainment'],Reading Comprehension-Summer schools,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1281,0.0551,NA,NA,NA,['Mathematics primary outcome'],-0.1222,0.0551,NA,NA,NA,NA,NA,NA,1496,68,NA,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Unclear/not specified'],Not stated.,Not stated.,Not stated.,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Not mentioned'],['Unsure'],['Large group (6-15 pupils)'],['Adademic only'],['Other (please specify)'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253203,David (1974) 1_1,1974,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3923,0.2936,['Post-test unadjusted (select one from this group)'],Total Reading ('72 Fall) - Posttest only,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3923,0.2936,NA,NA,NA,['Mathematics primary outcome'],-0.0344,0.2907,NA,NA,NA,NA,NA,NA,49,3,NA,['Primary/elementary school'],"['6', '7']",TRUE,80.0,['USA'],['Individual RCT'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Unclear/not specified'],Not stated,Not stated,Not stated,['Toolkit: Summer schools'],['Enrichment or compensation for disadvantage'],NA,['Enrichment or compensation for disadvantage'],NA,NA,NA,['Voluntary or optional'],['No'],['Class size (16+)'],['Adademic only'],['Other (please specify)'],['No / not mentioned'],['No / not mentioned'],['Yes']
43090138,David (1974) 1_2,1974,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2723,0.374,['Post-test unadjusted (select one from this group)'],Wide Range Achievement Test,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2723,0.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,['Primary/elementary school'],"['7', '6']",TRUE,81.0,['USA'],['Individual RCT'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Unclear/not specified'],12,5,NA,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['Unsure'],['Class size (16+)'],['Adademic only'],['Other (please specify)'],['No / not mentioned'],['No / not mentioned'],['Yes']
39253282,Durand (2002),2002,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0547,0.1387,['Post-test adjusted for baseline attainment'],Determining the Meaning of Words - TAAS - Reading Achievement subtest,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0547,0.1387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,34,NA,['Primary/elementary school'],"['9', '10', '8']",FALSE,20.5,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],6,5,240,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],"['Small group (2 - 5 pupils)', 'Large group (6-15 pupils)']",['Academic and cultural or artistic'],['Qualified teachers'],['Yes'],['No / not mentioned'],['Yes']
39253283,Dwight (2010),2010,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4945,0.2929,['Post-test unadjusted (select one from this group)'],District Test - 4-Sight Benchmark Tests - Reading Test,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4945,0.2929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,2,NA,['Primary/elementary school'],"['8', '9', '10']",TRUE,74.0,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['Yes'],['Yes'],['Summer/ holiday period'],['Class teachers'],4,5,150,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Small group (2 - 5 pupils)'],['Adademic only'],['Qualified teachers'],['Yes'],['Yes'],['Yes']
39253253,Ellers (2009),2009,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1981,0.183,['Post-test unadjusted (select one from this group)'],Alaska SBA Test - Language Arts,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1981,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,['Middle school'],"['12', '13', '14']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],6,5,Not stated.,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253205,Fonzi (1984),1984,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1742,0.0735,['Post-test unadjusted (select one from this group)'],SSAT Maths (items) Gr3+Gr5,With business as usual,['Sample: Low achievers'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1742,0.0735,NA,NA,NA,NA,NA,NA,1024,144,NA,['Primary/elementary school'],"['8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['External teachers'],6,5,345,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Class size (16+)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['Yes']
38296676,Gorard (2014),2014,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1722,0.1141,['Pre-post gain'],Summer School - English PiE,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1722,0.1141,NA,NA,NA,['Mathematics primary outcome'],-0.0023,0.1146,NA,NA,NA,NA,NA,NA,303,43,NA,['Primary/elementary school'],"['11', '9', '10']",FALSE,46.0,"['UK (Select all that apply)', 'England']",['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],"['External teachers', 'Peers']",4,5,360,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],['Academic and sports'],"['Qualified teachers', 'Other (please specify)']",['No / not mentioned'],['No / not mentioned'],['Yes']
39253318,Harlow (2001),2001,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1211,0.0758,['Post-test unadjusted (select one from this group)'],End-of-Grade Testing - Reading,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1211,0.0758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,NA,NA,"['Middle school', 'Other educational setting (please specify)']","['11', '12']",FALSE,34.0,['USA'],['Prospective QED'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['No'],"['Evenings and/or weekends', 'Summer/ holiday period']",['Lay persons/volunteers'],18,Not stated.,Not stated.,['Toolkit: Summer schools'],['Acceleration and/of gifted and talented'],NA,NA,NA,['Acceleration and/of gifted and talented'],NA,['Voluntary or optional'],['Unsure'],['Large group (6-15 pupils)'],['Adademic only'],['Young people/adults (paid)'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253285,Haymon (2009),2009,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1883,0.2588,['Post-test unadjusted (select one from this group)'],CTB Terra Nova Achievement test - Reading/Language Arts ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1883,0.2588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,NA,['Middle school'],"['11', '12']",TRUE,93.0,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['External teachers'],6,5,300,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Class size (16+)'],['Academic and sports'],['Qualified teachers'],['No / not mentioned'],['Yes'],['Yes']
39253320,Hink (1986),1986,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4107,0.2318,['Post-test unadjusted (select one from this group)'],Reading Achievement-Summer schools,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4107,0.2318,NA,NA,NA,['Mathematics primary outcome'],-0.0428,0.2673,NA,NA,NA,NA,NA,NA,96,1,NA,"['Primary/elementary school', 'Secondary/High school']","['7', '8', '9', '10', '11', '12', '13', '14', '15', '16']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['Yes'],['Summer/ holiday period'],"['Class teachers', 'Lay persons/volunteers', 'Other school staff']",6,4,180,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],['Adademic only'],"['Qualified teachers', 'Young people/adults (paid)']",['Yes'],['No / not mentioned'],['Yes']
39253321,Howes (1989),1989,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1407,0.1492,['Post-test unadjusted (select one from this group)'],"Gates MacGinitie Reading Tests, Primary A, Form 2 - Comprehension Score",With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1407,0.1492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163 ,3,6,['Primary/elementary school'],"['7', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['Summer/ holiday period'],['Unclear/not specified'],3,5,120,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],['Adademic only'],['Other (please specify)'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
47269817,Hyman (1967) OL,1967,['Journal article'],"['Oral language interventions', 'Summer schools']","['Toolkit primary outcome', 'Reading primary outcome']",0.4659,0.321,['Post-test unadjusted (select one from this group)'],Metropolitan Readiness Test (Percentile Scores) - Oral Language nguage,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4659,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Unclear/not specified'],6,no detail provided,no detail provided,"['Toolkit: Oral language interventions', 'Toolkit: Summer schools']",['Enrichment or compensation for disadvantage'],NA,['Enrichment or compensation for disadvantage'],NA,NA,NA,['Voluntary or optional'],['No'],['Class size (16+)'],['Academic and cultural or artistic'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253390,Jacob (2004),2004,['Journal article'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5073,0.0189,['Post-test adjusted for baseline attainment'],Grades combined - Iowa Test of Basic Skills (ITBS) - 2 year Reading Gain ,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5073,0.0189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147894,NA,NA,['Primary/elementary school'],"['9', '12']",TRUE,85.0,['USA'],['Regression Discontinuity - not randomised'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],6,Not stated,Not stated,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Compulsory or required'],['No'],['Large group (6-15 pupils)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253322,Kociemba (1995),1995,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2934,0.1131,['Post-test adjusted for baseline attainment'],Combined Grade 2 and 5 - C a l i f o r n i a Achievement Test ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2934,0.1131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,631,NA,NA,['Primary/elementary school'],"['7', '8', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Unclear/not specified'],6,4,240,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Class size (16+)'],['Adademic only'],['Other (please specify)'],['No / not mentioned'],['No / not mentioned'],['Yes']
