id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,school_target,eligibility,elig_targ_pop_info,means_tested,means_tested_thresh_info,recipient,month_avg_amount,month_avg_prim_recip,month_avg_prim_recip_info,prim_recip_dom_curr_type_info,month_avg_sec_recip,month_avg_sec_recip_info,sec_recip_dom_curr_type_info,transfer_limit,transf_lim_yes_max_per_fam_info,transf_lim_yes_max_ben_info,transfer_variation,transfer_regularity,transfer_regularity_info,time_limit,time_limit_info,primary_condition,addit_condition,health_cond_comp,health_conditions,monitoring,verification,min_attend_req,perc_attend_req,perc_attend_req_other_info,enforcement,enforcement_other_info,supply_incentive,savings_comp,savings_comp_yes_info,econ_out,econ_out_yes_info,prog_type
53901268,Attanasio (2004),2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,"['Primary/elementary school', 'Secondary/High school']",['No information provided'],NA,NA,['Colombia'],['Prospective QED'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],104,0.25,N/A,NA,['Primary and secondary'],['Household income'],NA,['Not reported/Unclear'],NA,['Mother or female head of household'],['Primary recipient'],['Transfer in US $ (numeric value only)'],16,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Not reported/Unclear'],NA,['School enrolment and attendance'],['Other'],['Yes'],"['Student attendance at health check-ups', 'Student immunizations up-to-date', 'Mothers attendance at health education workshops']",['School attendance'],['Not reported/Unclear'],['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53902806,Attanasio (2005),2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclear, 57 communities in treatment",NA,NA,"['Primary/elementary school', 'Secondary/High school']",['No information provided'],NA,NA,['Colombia'],['Prospective QED'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],Not specified,0.25,N/A,NA,['Primary and secondary'],['Targeted population (please provide details in info box)'],poorest 20% of households in rural Columbia.,['Not reported/Unclear'],NA,['Mother or female head of household'],NA,['Transfer in US $ (numeric value only)'],20,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Not reported/Unclear'],NA,['Not reported'],['Not reported'],['Not reported/Unclear'],NA,['Not reported/Unclear'],['Not reported/Unclear'],['Not reported/Unclear'],NA,NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
53901226,Attanasio (2010),2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10742,NA,NA,"['Primary/elementary school', 'Secondary/High school']",['No information provided'],NA,NA,['Colombia'],['Prospective QED'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],156,0.25,N/A.,NA,['Primary and secondary'],['Village/neighbourhood income'],NA,['Not reported/Unclear'],NA,['Mother or female head of household'],NA,"['Transfer in domestic currency (numeric value only)', 'Transfer in US $ (numeric value only)']",1402.98,Pesos,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Yes - time limited'],Only funded for 3 years,['School enrolment and attendance'],['Other'],['Yes'],"['Student attendance at health check-ups', 'Student immunizations up-to-date', 'Mothers attendance at health education workshops']",['Not reported/Unclear'],['Not reported/Unclear'],['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Level 7 - Insufficient information to assign a category']
53901986,Attanasio (2011),2011,NA,NA,"['Toolkit primary outcome', 'Other outcome']",0.149,0.053,['Post-test adjusted for baseline attainment AND clustering'],School participation boy aged 10 to 16,With business as usual,['Sample: Low achievers'],Curriculum  other,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,NA,NA,"['Primary/elementary school', 'Secondary/High school']","['10', '11', '12', '13', '14', '15', '16']",TRUE,100.0,['Mexico'],['Cluster RCT'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Other (please specify)'],['Class teachers'],104,0.125,NA,NA,['Primary and secondary'],['Household income'],NA,['Yes'],NA,['Mother or female head of household'],['Primary recipient'],"['Transfer in US $ (numeric value only)', 'Transfer in domestic currency (numeric value only)']",750,NA,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",750,NA,"['Age', 'Grade', 'Gender']",['Bi-monthly'],NA,['Not reported/Unclear'],NA,['School enrolment and attendance'],['Grade promotion'],['Yes'],"['Student attendance at health check-ups', 'Student immunizations up-to-date', 'Mothers attendance at health education workshops']","['School enrolment', 'School attendance', 'Grade promotion', 'Not reported/Unclear']","['School enrolment', 'School attendance', 'Health attendance', 'Not reported/Unclear']",['Yes'],['85%'],NA,"['Attendance at school', 'Enrolment at school', 'Not reported/Unclear']",NA,['Not reported/Unclear'],['No'],NA,['No'],NA,['Level 7 - Insufficient information to assign a category']
53901698,Baez (2013),2013,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.5566,0.031,NA,Mathematics test,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.5566,0.031,NA,NA,NA,NA,NA,NA,"11,284",NA,NA,['Secondary/High school'],"['7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18']",NA,NA,['Colombia'],['Regression Discontinuity with randomisation'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],416,0.25,N/A,NA,['Secondary only'],['Household income'],NA,"['Yes', 'If means testing was conducted, what was the threshold? (details in info box)']",No specific threshold. Highlighted is the process of measuring for proxy means testing.,['Mother or female head of household'],NA,"['Transfer in domestic currency (numeric value only)', 'Transfer in US $ (numeric value only)']",1202.56,Pesos,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Not reported/Unclear'],NA,['School attendance'],['Not reported'],['Not reported/Unclear'],NA,['Not reported/Unclear'],['Not reported/Unclear'],['Yes'],['80%'],NA,['Not reported/Unclear'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Level 5 - Conditional transfers where school enrolment conditions are monitored and enforced']
53901340,Baird (2011),2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2907,NA,NA,['Secondary/High school'],['No information provided'],NA,NA,['Malawi'],['Cluster RCT'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],104,0.25,"N/A. No teaching as part of this intervention, therefore, no intervention sessions were held.",NA,['Not reported/Unclear'],['Targeted population (please provide details in info box)'],Enumiration areas of the Zomba District.,['Not reported/Unclear'],NA,"['Parent or head of household', 'Student (or student and parent/guardian)']",['Primary recipient'],['Transfer in US $ (numeric value only)'],10,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Yes - time limited'],104,['School attendance'],['Not reported'],['No'],NA,['School attendance'],['School attendance'],['Yes'],['80%'],NA,['Attendance at school'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Level 5 - Conditional transfers where school enrolment conditions are monitored and enforced']
53901799,Baird (2013),2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3796,NA,NA,['Secondary/High school'],"['13', '14', '15', '16', '17', '18']",NA,NA,['Malawi'],['Cluster RCT'],['Other (Explain in notes)'],['No'],NA,['Yes'],['Unclear/ not specified'],['Unclear/not specified'],104,0.25,N/A. No teaching as part of the intervention or session lengths.,NA,['Not reported/Unclear'],['Targeted population (please provide details in info box)'],NA,['Not reported/Unclear'],NA,['Parent or head of household'],"['Primary recipient', 'Secondary recipients (details in info box)']",['Transfer in US $ (numeric value only)'],5,NA,['Transfer in US $ (numeric value only)'],10,NA,['Not reported/Unclear'],NA,NA,['Other'],['Monthly'],NA,['Yes - time limited'],104,['School attendance'],['School attendance'],['No'],NA,['School attendance'],['School attendance'],['Yes'],['80%'],NA,['Attendance at school'],NA,['Transfer unaccompanied by supply-side intervention'],['No'],NA,['No'],NA,['Level 5 - Conditional transfers where school enrolment conditions are monitored and enforced']
53901982,Barham (2012),2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,"['Primary/elementary school', 'Secondary/High school']","['7', '8', '9', '10', '11', '12', '13']",NA,NA,NA,['Cluster RCT'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],156,0.125,N/A,NA,['Primary only'],['Targeted population (please provide details in info box)'],"The original randomized evaluation design targeted the RPS intervention in six rural municipalities in central and northern Nicaragua, chosen based on their low health and education indicators.",['No'],NA,['Mother or female head of household'],['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,['Not reported/Unclear'],NA,NA,['Not reported/Unclear'],"['Bi-monthly', 'Annually']",One annual educational cash transfer for school supplies,['Yes - time limited'],156,['School enrolment and attendance'],['No additional conditions'],['No'],NA,"['School enrolment', 'School attendance']","['School enrolment', 'School attendance']",['Not reported/Unclear'],NA,NA,['Not reported/Unclear'],NA,['Transfer complemented by supply incentive to school (details in info box)'],['No'],NA,['Not reported/Unclear'],NA,['Level 8 - Program description does not match sufficiently to assign a category']
53901992,Behrman (2000),2000,NA,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.28,0.002,['Post-test unadjusted (select one from this group)'],Spanish Achievement,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.28,0.002,NA,NA,NA,['Mathematics primary outcome'],-0.56,0.009,NA,NA,NA,NA,NA,NA,45723,500,NA,"['Primary/elementary school', 'Secondary/High school']","['9', '10', '11', '12', '13', '14', '15']",TRUE,100.0,['Mexico'],['Cluster RCT'],['Large group/class teaching (+6)'],['No'],['No'],['Yes'],['Other (please specify)'],['Class teachers'],108,0.25,NA,NA,['Primary and secondary'],['Household income'],NA,['Yes'],NA,['Not reported/Unclear'],['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",appears payment is standardised ,NA,"['Gender', 'Age', 'Grade']",['Monthly'],NA,['Yes - time limited'],52,['School attendance'],['School enrolment'],['Not reported/Unclear'],['Not reported/Unclear'],['Not reported/Unclear'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53901232,Behrman (2004),2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13887,NA,NA,"['Primary/elementary school', 'Middle school', 'Secondary/High school']","['7', '8', '9', '10', '11', '12', '13', '14']",TRUE,100.0,['Mexico'],['Cluster RCT'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Unclear/ not specified'],['Unclear/not specified'],198,0.25,NA,NA,['Primary and secondary'],['Household income'],NA,['Not reported/Unclear'],NA,['Parent or head of household'],NA,"['Transfer in domestic currency (numeric value only)', 'Transfer in US $ (numeric value only)']",16.93,pesos,NA,NA,NA,['Not reported/Unclear'],NA,NA,"['Gender', 'Grade']",['Bi-monthly'],NA,['No time limit'],NA,['School attendance'],['Grade promotion'],['Yes'],"['Student attendance at health check-ups', 'Health visits for pregnant and breastfeeding women', 'Mothers attendance at health education workshops']",['School attendance'],"['School attendance', 'Grade promotion']",['Yes'],['85%'],NA,['Attendance at school'],NA,['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Level 6 - Conditional transfers where school attendance conditions are monitored and enforced']
53901230,Behrman (2005),2005,NA,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.0403,0.346,['Post-test unadjusted (select one from this group)'],WJ Reading Skills,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0403,0.346,NA,NA,NA,['Mathematics primary outcome'],-0.3303,0.2724,NA,NA,NA,NA,NA,NA,5523,NA,NA,"['Primary/elementary school', 'Middle school', 'Secondary/High school']","['9', '10', '11', '12', '13', '14', '15']",TRUE,66.0,['Mexico'],['Cluster RCT'],['Other (Explain in notes)'],['No'],['No'],['Yes'],['Other (please specify)'],['Unclear/not specified'],NA,NA,NA,NA,['Primary and secondary'],['Household income'],NA,['Not reported/Unclear'],NA,['Parent or head of household'],NA,"['Transfer in domestic currency (numeric value only)', 'Transfer in US $ (numeric value only)']",16.81,Pesos  ,NA,NA,NA,"['Yes, maximum amount per family (details in info box)']",families received a standardised amount per child dependent on thei age and gender,NA,"['Gender', 'Grade']",['Monthly'],NA,['Yes - time limited'],312  ,['School enrolment'],NA,['Yes'],['Student attendance at health check-ups'],"['School attendance', 'Grade promotion', 'Other (detail in info box)']","['School enrolment', 'School attendance', 'Grade promotion', 'Other (details in info box)']",['Not reported/Unclear'],['Not reported/Unclear'],NA,['Not reported/Unclear'],NA,['Not reported/Unclear'],['No'],NA,['Not reported/Unclear'],NA,['Type 4 - Conditional transfers where conditions are monitored imperfectly and with little enforcement']
