id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,prev_start_age,new_start_age,addit_time_f_pt,addit_time_struct,early_child_addit_time,early_child_addit_time_info,setting_type
77945723,Claessens (2014),2014,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1483,0.057,['Post-test adjusted for baseline attainment AND clustering'],ESA+0_Reading - all settings vs child-care centre,With active control,['Sample: All'],Literacy  reading other,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1483,0.057,NA,NA,NA,['Mathematics primary outcome'],-0.0571,0.057,NA,NA,NA,NA,NA,NA,4981,NA,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['Australia'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,not specified,not specified,['EY_Toolkit: Earlier starting age'],"['5', '6']","['4', '5']",['Not specified/ Unclear'],['Same activities'],['Six months or half an academic year'],NA,['Other (please specify)']
72102333,Clark (1979),1979,['Dissertation or thesis'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3761,0.2257,['Post-test unadjusted (select one from this group)'],ESA+1_DRRT Reading Scores,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3761,0.2257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1,NA,['Primary/elementary school'],"['5', '6', '9', '10']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Unclear/not specified'],38,5,360,['EY_Toolkit: Earlier starting age'],"['4', '5', '6']","['3', '5', '4']",['Not specified/ Unclear'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Unclear/ not specified']
71969350,de Felício (2012),2012,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3872,0.05,['Post-test adjusted for baseline attainment'],ESA+2_Literacy Scores,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3872,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA,NA,['Nursery school/pre-school'],"['3', '4', '5']",NA,NA,['Brazil'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,Not specified,['EY_Toolkit: Earlier starting age'],['6'],"['5', '4', '3']",['Full time'],['Not specified/ Unclear'],"['Other (Please add a numeric value only, in whole number of months)']","Additional time varied depending upon whether the children started at 3 (3 years additional time), 4 (2 years additional time), or 5 (1 year additional time).",['Unclear/ not specified']
72102341,Ellinwood (1971),1971,['Technical report'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",0.4547,0.1398,['Post-test unadjusted (select one from this group)'],ESA+1_CMMS,With business as usual,['Sample: Low achievers'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,958,NA,NA,['Nursery school/pre-school'],"['4', '3']",NA,NA,['USA'],['Prospective QED'],"['Large group/class teaching (+6)', 'One to one']",['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],"['Class teachers', 'Lay persons/volunteers']",38,5,120,['EY_Toolkit: Earlier starting age'],"['4', '5']","['3', '4']",['Not specified/ Unclear'],"['Different activities', 'Not specified/ Unclear']",['One full academic year (12 months)'],NA,['Nursery school or class (state funded)']
77945730,Gormley (2005),2005,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.79,0.501,['Post-test adjusted for baseline attainment'],ESA+0_WJ,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.79,0.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4716,NA,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['4', '5', '6']",NA,NA,['USA'],['Regression Discontinuity - not randomised'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,6,['EY_Toolkit: Earlier starting age'],['5'],['4'],"['Full time', 'Part time']",['Not specified/ Unclear'],['One full academic year (12 months)'],NA,"['Nursery school or class (state funded)', 'Other (please specify)']"
72102356,Hartford City Board of Education (1973),1973,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2701,0.0972,['Post-test unadjusted (select one from this group)'],ESA+1_PPVT,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2701,0.0972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,842,15,NA,['Nursery school/pre-school'],"['3', '4']",TRUE,90.0,['USA'],['Retrospective QED  '],['Other (Explain in notes)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],"['Class teachers', 'Other school staff']",38,5,300,['EY_Toolkit: Earlier starting age'],['Not specified / unclear'],['Not specified / unclear'],['Full time'],['Same activities'],"['Other (Please add a numeric value only, in whole number of months)']",10,['Nursery school or class (state funded)']
72102358,Hebbeler (1985),1985,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",-0.8412,0.0778,['Post-test unadjusted (select one from this group)'],ESA+4_ CAT  Headsart  s control,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2534,NA,NA,['Nursery school/pre-school'],"['3', '4']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",36,5,180,['EY_Toolkit: Earlier starting age'],"['4', '5']","['3', '4']",['Part time'],['Same activities'],['One full academic year (12 months)'],NA,['Nursery school or class (state funded)']
72102367,Hubbard (1967),1967,['Technical report'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",0.3659,0.2496,['Post-test unadjusted (select one from this group)'],ESA+2_Oral Language-Gr1(all groups),With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,15,NA,['Primary/elementary school'],"['6', '7', '8']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,5,['EY_Toolkit: Earlier starting age'],['Not specified / unclear'],['Not specified / unclear'],['Not specified/ Unclear'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Unclear/ not specified']
72102378,Larsen (1989),1989,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",0.5527,0.2327,['Post-test unadjusted (select one from this group)'],ESA+3_CTBS_Battery,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4982,0.2319,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3284,0.23,NA,NA,NA,NA,NA,NA,196,NA,NA,"['Primary/elementary school', 'Nursery school/pre-school']","['4', '5']",NA,NA,['USA'],['Retrospective QED  '],"['Large group/class teaching (+6)', 'Other (Explain in notes)']",['Unclear/ Not specified'],['No'],['Yes'],"['During regular school hours ', 'Before/after school']","['Class teachers', 'Teaching assistants']",38,4,150,['EY_Toolkit: Earlier starting age'],"['5', '6']","['4', '5']",['Part time'],['Same activities'],['One full academic year (12 months)'],NA,['Other (please specify)']
72102379,Larson (1972),1972,['Technical report'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",-0.441,0.2628,['Post-test unadjusted (select one from this group)'],ESA+0_Stanford-Binet Scores (X vs C1),With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,['Nursery school/pre-school'],"['3', '4']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5,150,['EY_Toolkit: Earlier starting age'],['5'],['4'],['Not specified/ Unclear'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,"['Nursery school or class (state funded)', 'Other (please specify)']"
72102385,McNamara (1968),1968,['Technical report'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",0.7882,0.3296,['Post-test unadjusted (select one from this group)'],ESA+0_Language Skills,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,"['Nursery school/pre-school', 'Other educational setting (please specify)']",['No information provided'],NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Unclear/not specified'],20,5,180,['EY_Toolkit: Earlier starting age'],"['5', '6']","['4', '5']",['Not specified/ Unclear'],['Not specified/ Unclear'],['Six months or half an academic year'],NA,['Nursery school or class (state funded)']
71142161,Melhuish (2002) 1_1,2002,['Technical report'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.19,0.0537,['Post-test unadjusted (select one from this group)'],ESA+0_ in Verbal Attainment,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.19,0.0537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,NA,['Nursery school/pre-school'],"['3', '4']",NA,NA,['Northern Ireland'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,not specified ,['EY_Toolkit: Earlier starting age'],"['4', '5']","['3', '4']",['Not specified/ Unclear'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Nursery school or class (state funded)']
74578022,Melhuish (2002) 1_2,2002,['Technical report'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.24,0.0678,['Post-test unadjusted (select one from this group)'],ESA+0_ in Verbal Attainment,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.24,0.0678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,['Nursery school/pre-school'],"['3', '4']",NA,NA,['Northern Ireland'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,not specified,['EY_Toolkit: Earlier starting age'],"['4', '5']","['3', '4']",['Not specified/ Unclear'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Private nursery class or school']
72102390,Munoz (2001),2001,['Technical report'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.4297,0.028,['Post-test unadjusted (select one from this group)'],ESA+2_ SDRT,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.4297,0.028,NA,NA,NA,['Mathematics primary outcome'],-0.341,0.0279,NA,NA,NA,NA,NA,NA,2683,NA,NA,['Nursery school/pre-school'],['4'],TRUE,100.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['Unclear/ not specified'],['Unclear/not specified'],38,5,300,['EY_Toolkit: Earlier starting age'],['5'],['4'],['Not specified/ Unclear'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Other (please specify)']
72102392,Nummedal (1971),1971,['Conference paper'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5087,0.218,['Post-test unadjusted (select one from this group)'],ESA+1_ Comprehension ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5087,0.218,NA,NA,NA,['Mathematics primary outcome'],-0.1501,0.215,NA,NA,NA,NA,NA,NA,141,NA,NA,['Other educational setting (please specify)'],"['4', '5']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Class teachers'],38,not specified,not specified,['EY_Toolkit: Earlier starting age'],['5'],['4'],['Not specified/ Unclear'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,"['Nursery school or class (state funded)', 'Other (please specify)']"
72102393,Perry (1999),1999,['Dissertation or thesis'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Other outcome']",0.6364,0.2295,['Post-test unadjusted (select one from this group)'],ESA+0_Readiness and Math achievement score,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1,NA,['Primary/elementary school'],"['4', '5']",TRUE,85.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,Not specified,['EY_Toolkit: Earlier starting age'],['4'],['4'],['Not specified/ Unclear'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Nursery school or class (state funded)']
72102396,Pinkelton (1976),1976,['Dissertation or thesis'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1885,0.166,['Post-test unadjusted (select one from this group)'],ESA+0_Reading Total,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1885,0.166,NA,NA,NA,"['Mathematics primary outcome', 'Other outcome']",0.1792,0.166,NA,NA,NA,NA,NA,NA,156,NA,NA,['Primary/elementary school'],"['8', '9', '10']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,not specified,['EY_Toolkit: Earlier starting age'],['4'],['3'],['Full time'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Nursery school or class (state funded)']
72102398,Porter (1965),1965,['Technical report'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1393,0.2477,['Post-test unadjusted (select one from this group)'],ESA+0_ PPVT total,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1393,0.2477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Class teachers'],not specified,not specified,not specified,['EY_Toolkit: Earlier starting age'],"['5', '6']","['4', '5']",['Not specified/ Unclear'],['Same activities'],['One full academic year (12 months)'],NA,['Nursery school or class (state funded)']
71969390,Rosa (2019),2019,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.114,0.012,['Post-test unadjusted (select one from this group)'],ESA+5_ Reading score (national exam),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.114,0.012,NA,NA,NA,['Mathematics primary outcome'],0.12,0.01,NA,NA,NA,NA,NA,NA,"4,625,768",NA,NA,"['Nursery school/pre-school', 'Primary/elementary school']",['6'],NA,NA,['Brazil'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,not specified,not specified,['EY_Toolkit: Earlier starting age'],['6'],['5'],['Full time'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Unclear/ not specified']
71142169,Sammons (2004),2004,['Journal article'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.737,0.0682,['Post-test unadjusted (select one from this group)'],ESA+0_Pre-reading concept,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.737,0.0682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3171,141,NA,"['Nursery school/pre-school', 'Home']",['3'],NA,NA,['England'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['Yes'],['During regular school hours '],['Unclear/not specified'],114,5,360,['EY_Toolkit: Earlier starting age'],['4'],['3'],['Full time'],['Not specified/ Unclear'],"['Other (Please add a numeric value only, in whole number of months)']",12-36,"['Nursery school or class (state funded)', 'Private nursery class or school']"
72102408,Seefeldt (1977),1977,['Conference paper'],['EY_Earlier starting age'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3603,0.208,['Post-test unadjusted (select one from this group)'],ESA+1_ PPVT,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3603,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,['Nursery school/pre-school'],"['3', '4', '5']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['Yes'],['Unclear/ not specified'],['Class teachers'],not specified,not specified,not specified,['EY_Toolkit: Earlier starting age'],['5'],['4'],['Not specified/ Unclear'],['Not specified/ Unclear'],['One full academic year (12 months)'],NA,['Nursery school or class (state funded)']
