StudyID,Admin_Strand,Author,OutcomeID_1,OutcomeLabel_1,TestType_Outcome_1,EffectSizeType_Outcome_1,ToolkitStrand_Outcome_1,InterventionText_1,ControlText_1,Outcome_1,SMD_1,SESMD_1,CIupperSMD_1,CIlowerSMD_1,OutcomeID_2,OutcomeLabel_2,TestType_Outcome_2,EffectSizeType_Outcome_2,ToolkitStrand_Outcome_2,InterventionText_2,ControlText_2,Outcome_2,SMD_2,SESMD_2,CIupperSMD_2,CIlowerSMD_2,OutcomeID_3,OutcomeLabel_3,TestType_Outcome_3,EffectSizeType_Outcome_3,ToolkitStrand_Outcome_3,InterventionText_3,ControlText_3,Outcome_3,SMD_3,SESMD_3,CIupperSMD_3,CIlowerSMD_3,OutcomeID_4,OutcomeLabel_4,TestType_Outcome_4,EffectSizeType_Outcome_4,ToolkitStrand_Outcome_4,InterventionText_4,ControlText_4,Outcome_4,SMD_4,SESMD_4,CIupperSMD_4,CIlowerSMD_4,OutcomeID_5,OutcomeLabel_5,TestType_Outcome_5,EffectSizeType_Outcome_5,ToolkitStrand_Outcome_5,InterventionText_5,ControlText_5,Outcome_5,SMD_5,SESMD_5,CIupperSMD_5,CIlowerSMD_5,OutcomeID_6,OutcomeLabel_6,TestType_Outcome_6,EffectSizeType_Outcome_6,ToolkitStrand_Outcome_6,InterventionText_6,ControlText_6,Outcome_6,SMD_6,SESMD_6,CIupperSMD_6,CIlowerSMD_6,OutcomeID_7,OutcomeLabel_7,TestType_Outcome_7,EffectSizeType_Outcome_7,ToolkitStrand_Outcome_7,InterventionText_7,ControlText_7,Outcome_7,SMD_7,SESMD_7,CIupperSMD_7,CIlowerSMD_7,OutcomeID_8,OutcomeLabel_8,TestType_Outcome_8,EffectSizeType_Outcome_8,ToolkitStrand_Outcome_8,InterventionText_8,ControlText_8,Outcome_8,SMD_8,SESMD_8,CIupperSMD_8,CIlowerSMD_8,OutcomeID_9,OutcomeLabel_9,TestType_Outcome_9,EffectSizeType_Outcome_9,ToolkitStrand_Outcome_9,InterventionText_9,ControlText_9,Outcome_9,SMD_9,SESMD_9,CIupperSMD_9,CIlowerSMD_9,OutcomeID_10,OutcomeLabel_10,TestType_Outcome_10,EffectSizeType_Outcome_10,ToolkitStrand_Outcome_10,InterventionText_10,ControlText_10,Outcome_10,SMD_10,SESMD_10,CIupperSMD_10,CIlowerSMD_10
37092622,['Feedback'],Baechie (1990),47675,VERB Metaphors test ,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],['Toolkit: Feedback'],Literacy: reading comprehension,With active control,Primary outcome,0.6548,0.2855,1.2143,0.0952,49732,VERB Test of metaphor responses,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],['Toolkit: Feedback'],Literacy: reading other,With business as usual,Secondary outcome(s),0.6661,0.2858,1.2262,0.1061,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
40117187,['Extending school time'],Baker (1996),51405,Reading comprehension - TAAS,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Extending school time'],Literacy: speaking and listening/oral language,With business as usual,Primary outcome,0.3006,0.0,0.3006,0.3006,51406,Mathematical accuracy - TAAS,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],[],Mathematics,With business as usual,Secondary outcome(s),0.3035,0.0,0.3035,0.3035,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
37133865,['Peer tutoring'],Baker (2005),43806,REC DIBELS Phoneme Segmentation gain Reciprocal PT,[],['Test type: Standardised test '],['Toolkit: Peer Tutoring'],Literacy: decoding/phonics,With business as usual,Primary outcome,1.0958,0.3434,1.7688,0.4228,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
39253276,['Summer schools'],Bakle (2010),50509,Reading - grade 2- (ANCOVA),['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Summer schools'],Literacy: reading comprehension,With business as usual,Primary outcome,0.12,0.1,0.316,-0.076,50510,Language Usage - grade 2 (ANCOVA),['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Summer schools'],Languages,With business as usual,Secondary outcome(s),0.04,0.1,0.236,-0.156,50511,Math-grade 2 (posttest means/SDs),['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Summer schools'],Mathematics,With business as usual,Secondary outcome(s),-0.2168,0.1034,-0.014,-0.4196,50513,Language Usage - Grade 3 (ANCOVA),['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Summer schools'],Languages,NA,Secondary outcome(s),0.09,0.09,0.2664,-0.0864,50512,Reading - grade 4 (ANCOVA),['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Summer schools'],Literacy: reading comprehension,With business as usual,Primary outcome,0.23,0.1,0.426,0.034,50515,Reading-Grade 3 (ANCOVA),['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Summer schools'],Literacy: reading comprehension,With business as usual,Primary outcome,0.23,0.1,0.426,0.034,50518,Reading-Grade 5 (ANCOVA),['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Summer schools'],Literacy: reading comprehension,With business as usual,Primary outcome,0.19,0.1,0.386,-0.006,50520,Math-Grade 5 (ANCOVA),['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Summer schools'],Mathematics,With business as usual,Secondary outcome(s),0.049,0.1,0.245,-0.147,50519,Language Usage-Grade 5,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Summer schools'],Languages,With business as usual,Secondary outcome(s),-0.0803,0.1008,0.1173,-0.2779,50514,Math-Grade 3 (ANCOVA),['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Summer schools'],Mathematics,With business as usual,Secondary outcome(s),0.11,0.08,0.2668,-0.0468
37093467,['Peer tutoring'],Bar-Eli (1982),43839,TE Standard Arithmetic Test (Tutees),[],['Test type: National test'],['Toolkit: Peer Tutoring'],Mathematics,With business as usual,Primary outcome,1.0033,0.3874,1.7627,0.2439,43840,TR Standard Arithmetic Test (Tutors),['Post-test adjusted for baseline attainment'],['Test type: National test'],['Toolkit: Peer Tutoring'],Mathematics,With business as usual,Primary outcome,1.1057,0.392,1.8741,0.3373,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
40117110,['Extending school time'],Barron (1993),NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
40117111,['Extending school time'],Bechtel (1991),NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
37671594,['Teaching assistants'],Bennett (2013),47454,AWMA - Verbal STM (word recall),['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],['Toolkit: Teaching assistants'],Cognitive: other,With business as usual,Primary outcome,0.0032,0.4369,0.8596,-0.8532,47455,AWMA - Verbal WM (counting,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],['Toolkit: Teaching assistants'],Cognitive: other,With business as usual,Secondary outcome(s),-0.3201,0.4404,0.543,-1.1832,47456,AWMA - Visuospatial STM (dot matrix),['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],['Toolkit: Teaching assistants'],Cognitive: other,With business as usual,Secondary outcome(s),-0.4062,0.4424,0.461,-1.2733,47457,AWMA - Visuo-spatial WM (odd one out),['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],['Toolkit: Teaching assistants'],Cognitive: other,With business as usual,Secondary outcome(s),-0.4142,0.4426,0.4534,-1.2818,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
37092573,['Feedback'],Benson (1979) 1_1,46370,WRIT PEER Writing Evaluation Scale,['Post-test adjusted for baseline attainment AND clustering'],[],['Toolkit: Feedback'],Literacy: writing,With business as usual,Primary outcome,0.22,0.12,0.4552,-0.0152,46371,WRIT PEER Writing Evaluation Scale (Total Revision),['Post-test adjusted for baseline attainment AND clustering'],[],['Toolkit: Feedback'],Literacy: writing,With business as usual,Secondary outcome(s),0.3,0.12,0.5352,0.0648,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
40294885,['Feedback'],Benson (1979) 1_2,49773,WRIT PEER Overall writing quality,"['Post-test unadjusted (select one from this group)', 'NA', 'NA']","['Test type: Researcher developed test', 'NA', 'NA']","['Toolkit: Feedback', 'NA', 'NA']",Literacy: writing,With business as usual,Primary outcome,0.2115,0.1455,0.4967,-0.0737,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
40117190,['Extending school time'],Bergin (1992),51701,Reading achievment score(Report Cards)-extending school time,"['Post-test unadjusted (select one from this group)', 'NA', 'NA']","['Test type: Researcher developed test', 'NA', 'NA']","['Toolkit: Feedback', 'NA', 'NA']",Literacy: reading other,With business as usual,Primary outcome,0.8322,0.45,1.7142,-0.0499,51702,Math Achievement(report cards)-extending school time,"['Post-test unadjusted (select one from this group)', 'NA', 'NA']","['Test type: Researcher developed test', 'NA', 'NA']","['Toolkit: Feedback', 'NA', 'NA']",Mathematics,With business as usual,Primary outcome,1.0262,0.461,1.9297,0.1227,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
40117239,['Extending school time'],Berninger (2006),51501,WRMT-R Word Attack (F-test),['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],['Toolkit: Extending school time'],Literacy: reading comprehension,With business as usual,Primary outcome,0.58,0.21,0.9916,0.1684,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
40117240,['Extending school time'],Berninger (2006),51863,Woodcock Johnson Writing Samples,[],[],[],Literacy: writing,With business as usual,Primary outcome,0.3171,0.2148,0.7381,-0.1038,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA
