StudyID,Strand,TypeofTest,TypeofTestHighlightedText,StandardisedTest,StandardisedTestHighlightedText,ResearcherDevelopedTest,ResearcherDevelopedTestHighlightedTest,SchoolDevelopedTest,SchoolDevelopedTestHighlightedTest,NationalTestorExam,NationalTestorExamHighlightedTest,InternationalTests,InternationalTestsHighlightedTest
37093467,Peer Tutoring,NA,NA,NA,NA,NA,NA,"Grade 2 - Teacher assigned grade (between a, b or c)",NA,Standard Arithmetic test by Ministry of Education ,NA,NA,NA
40117110,NA,NA,NA,NA,"['Page 57:\n[¬s]"" Comprehensive Tests of Basic Skills (CTBS), Form U (CTB/M cGraw-Hill, 1984)""\n""Spanish Assessment o f Basic Education (SABE) was used (CTB/M cGraw-Hill, 1988) ([¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40117111,NA,NA,NA,NA,"['Page 12:\n[¬s]""Com prehensive Test o f Basic Skills, Form -U[¬e]""', 'Page 49:\n[¬s]""The pretest was the total reading subtest, Level D that is given in the Spring to students in the second grade. The post-test was the total reading subtest, Level E given to third grade students the following Spring. Level D has 117 multiple choice items and Level E has 127 multiple choice items (See Table 2).[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37671594,Teaching assistants,NA,NA,NA,"['Page 4:\n[¬s]""Automated Working Memory Assessment (AWMA; Alloway, 2007). The AWMA is a computerized test battery that assesses four different aspects of WM and has been standard- ized for use with typically developing children aged four and above[¬e]""']",NA,"['Page 6:\n[¬s]""The Cogmed Index of Improvement (CII), which is calculated by the software automatically, provides a measure of overall improvement on the trained tasks.[¬e]""']",NA,NA,NA,NA,NA,NA
37092573,Feedback,NA,NA,NA,NA,NA,"['Page 7:\n[¬s]""Following the experiment, a posttest writing assignment was administered over a two-day period. [¬e]""']",NA,NA,NA,NA,NA,NA
40294885,Feedback,NA,NA,NA,NA,NA,"['Page 7:\n[¬s]""Following the experiment, a posttest writing assignment was administered over a two-day period. Both pens and pencils were used to distinguish revision behavior. The attitude measure used initially was administered again. Each pretest and posttest essay was scored holistically by trained raters.[¬e]""']",NA,NA,NA,NA,NA,NA
40117190,NA,NA,NA,NA,"['Page 7:\n[¬s]""Metropolitan Readiness Test (MR""\n""Metropolitan Achievement Test (MA[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40117239,Extending school time,NA,NA,WISC-III  WRMT-R Word Attack subtest (phonological decoding) WRMT-R Word Identification (real word reading accuracy out of context),"['Page 12:\n[¬s]""The WRMT-R Word Attack subtest was used as a measure of phonological de- coding, as in Study 1. Similarly, the WRMT-R Word Identification subtest was used as a measure of real-word reading accuracy out of context.[¬e]""']","Reading comprehension. The Gates-MacGinitie Reading Comprehension Test (GMG; MacGinitie & MacGinitie, 1989)",NA,NA,NA,"Developmental Reading Assessment (Beaver, 1997) for screening children at risk","['Page 10:\n[¬s]""Developmental Reading Assess- ment (Beaver, 1997) [¬e]""']",NA,NA
40117240,Extending school time,NA,NA,"Woodcock Johnson Psychoeducational Battery (WJ-R, Woodcock & Johnson, 1990)  - Writing Samples subtest evaluating writing quality ",NA,NA,NA,"3rd grade screen to identify at-risk composers (Berninger & Rutberg, 1992; Berninger et al., 1992) 4th grade high stakes test in writing",NA,4th grade high stakes test in writing,NA,NA,NA
37092626,Feedback,NA,NA,NA,"['Page 2:\n[¬s]""ure. The instrument used for assessing cognitive func- tioning was the Raven Coloured Progressive Matrices Test (Raven, 196[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
38296603,Teaching assistants,NA,NA,NA,"['Page 11:\n[¬s]"" GL Assessment New Group Reading Test (NGRT) digital edition.[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37092628,Feedback,NA,NA,NA,NA,NA,"['Page 4:\n[¬s]"" Half of the posttest items, 1 from each category, were presented in each of the two format[¬e]""']",NA,NA,NA,NA,NA,NA
40294886,Small Group Tuition,NA,NA,NA,"['Page 7:\n[¬s]""Phonological Awareness Literacy Screening (PALS-K; Invernizzi, Sullivan, & Meier, 2001)""\n""Roswell-Chall Auditory Blending Test (Roswell & Chall, 1963/1997).[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37671632,Teaching assistants,NA,NA,NA,"['Page 6:\n[¬s]""Qualifications and Curriculum Authority (QCA) designed tests for the end of Year 4 and 5 (optional but conducted in almost all the study schools),[¬e]""']",NA,NA,NA,NA,NA,"['Page 6:\n[¬s]""6. Assessments of pupils in mathematics and literacy: these were test scores from KS1, including end of KS1 SATs results, ""\n"" and end of Year 6 KS2 SATs scores (in terms of raw scores in mathematics, English and science sent to us by schools, once marked and returned to them by the QCA).[¬e]""']",NA,NA
37092755,Feedback,NA,NA,NA,NA,NA,"['Page 55:\n[¬s]"" Guided by the content-behavior descriptions of the three learning units, two parallel forms of a summative achievement test were drafted. The first form was bo serve as both a pre- and post-test measure of achievement. The Other form was eventually to serve as the retention measure. These tests were designed to test the student\'s knowledge of the basic types and terminology of matrices and his ability to apply Important rules. To test these behaviors, content was sampled from each learning unit. Each test contained 25 items, none of Which were drawn from the formative tests.[¬e]""']",NA,NA,NA,NA,NA,NA
40294887,NA,NA,NA,NA,NA,NA,"['Page 4:\n[¬s]""In order to assess problem-solving effective- ness after exposure to condition, performance on the anagram task (i.e., number of anagrams correctly solved during the 3-min trial) was examined b y a 3 x 2 X 2 X 2 (Condition X Motivational Orientation X Sex X Experi- menter) analysis of variance (ANOVA).""\n""A second major question was the amount of time children would approach the target task or a similar task during the 5 min free-choice session.[¬e]""', 'Page 5:\n[¬s]"" the weights used were iden- tical to those used to test the performance measure.""\n""subjects were asked to recall the number of incomplete pictures they performed correctly, other children performed correctly, and then to evaluate how good subjects thought they and others were at this type of activity. A 3X2X2 (Condition X Motivational Orien- tation X Sex) ANOVA was conducted""\n""Immediately before leaving the experimen- tal setting, subjects were asked questions re- garding attributions about ability, effort, task difficulty, and luck on the incomplete pictures task on which they had worked earlier. A 3 X 2 X 2 (Condition X Motivational Orienta- tion X Sex) ANOVA[¬e]""']",NA,NA,NA,NA,NA,NA
37091022,Feedback,NA,NA,NA,NA,NA,"['Page 19:\n[¬s]""Care, equal to that given in the preparation of stimulus materials, was taken in the construction of recording devices. Record sheets matching the stimulus materials were constructed to facilitate accurate marking.[¬e]""', 'Page 20:\n[¬s]"" Teachers were instructed to make no mark on the record sheet if the child made a correct response and to slash the appropriate cell if the child made an error.[¬e]""']",NA,NA,NA,NA,NA,NA
39253250,Summer schools,NA,NA,NA,"['Page 7:\n[¬s]""Comprehensive Test of Basic Skills, 4th Edition (CTBS/4)[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
39253387,Summer schools,NA,NA,DIBELS (letter naming fluency and phoneme segmentation fluency)  Developmental Reading Assessment (DRA)   Word List A assessment  dictation,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092604,Feedback,NA,NA,NA,NA,NA,"['Page 3:\n[¬s]""e formulation of the questions. The construction of a facet test and of analysis charts to compile the results may be done in three distinct steps. The first step involves an in-depth analysis of the subject to be taught, the second step is the formulation of the test itself, and the third step is the construction of the tool used for correction[¬e]""']",NA,NA,NA,NA,NA,NA
40294889,Feedback,NA,NA,NA,NA,NA,"['Page 3:\n[¬s]""The construction of a facet test and of analysis charts to compile the results may be done in three distinct steps. The first step involves an in-depth analysis of the subject to be taught, the second step is the formulation of the test itself, and the third step is the construction of the tool used for correctio[¬e]""']",NA,NA,NA,NA,NA,NA
37093538,Peer Tutoring,NA,NA,"Achievement.   The reading-dependent measures in this study were standard scores of the reading subtests of the California Achievement Tests .  The subtests were (1) Reading Vocabulary, (2) Reading Comprehension, (3) Total Reading, and (4) Word Analysis.","['Page 10:\n[¬s]""Achievement. The reading-dependent measures in this study were standard scores of the reading subtests of the California Achievement Tests (Form E). These measures were used in order to compare these results with previous studies of CIRC. The subtests were (1) Reading Vocabulary, (2) Reading Comprehension, (3) Total Reading, and (4) Word Analysis.[¬e]""']","Treatment Integrity Survey.   In addition to the ongoing observations and consultative assistance, the teachers themselves completed a survey at midyear to determine how well they were implementing the components of CIRC.  Teachers  Ratings ofAcceptability.   In order to determine how acceptable the teachers found CIRC, a rating form was distributed to the CIRC teachers","['Page 10:\n[¬s]""Teachers\x92 Ratings ofAcceptability. In order to determine how acceptable the teachers found CIRC, a rating form was distributed to the CIRC teachers in the spring of 1991. The form allowed the teachers to rate each component and to list the strengths and weaknesses of CIRC.[¬e]""', 'Page 10:\n[¬s]""Teachers\x92 Ratings ofAcceptability. In order to determine how acceptable the teachers found CIRC, a rating form was distributed to the CIRC teachers[¬e]""', 'Page 10:\n[¬s]""Treatment Integrity Survey. In addition to the ongoing observations and consultative assistance, the teachers themselves completed a survey at midyear to determine how well they were implementing the components of CIRC.[¬e]""']",NA,NA,NA,NA,NA,NA
37091024,Feedback,NA,NA,NA,NA,NA,"['Page 2:\n[¬s]""SRA series Crocking the Code (Ras\xad mussen & Coldberg, 19GB)[¬e]""']",NA,NA,NA,NA,NA,NA
40294890,Feedback,NA,NA,NA,NA,NA,"['Page 1:\n[¬s]"" As a relatively new technique, precision teaching is practiced in a variety of ways but is generally characterized by (a) sys\xad tematic arrangement of instructional cues largely taken from programmed learning, (b) continuous measurement of frequency of cor\xad rect response for evaluation, and (c) careful management of reinforcement contingencies (Haring, 1971).[¬e]""', 'Page 2:\n[¬s]""measures frequency of response and views increased frequency as au indication of learning.""\n""The children received 1 minute timings twice each day on rate sheets of vocabulary from the SRA series Crocking the Code (Ras\xad mussen & Coldberg, 19GB).[¬e]""']",NA,NA,NA,NA,NA,NA
37092631,Feedback,NA,NA,"The Lorge-Thorndike Intelligence Tests, Multi-Level Edition, Form 1, nonverbal battery were used in both the pretest and criterion test. This was used as it is a widely used group intelligence test.  ","['Page 2:\n[¬s]""All test items on both the pretest and the cri- terion test were taken from the Lorge-Thorndike Intelligence Tests, Multi-Level Edition, Form 1, nonverbal battery. 3 This test was chosen because it is a widely used, well-constructed group intel- ligence test (Cronbach, 1960).[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
40294891,Feedback,NA,NA,NA,"['Page 2:\n[¬s]"" Lorge-Thorndike Intelligence Tests, Multi-Level Edition, Form 1, nonverbal battery. 3 [¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
39253196,Summer schools,NA,NA,NA,"['Page 76:\n[¬s]""Scholastic Aptitude Test (SAT)[¬e]""', 'Page 78:\n[¬s]""Test of Standard W ritten English (TSWE)[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37092605,Feedback,NA,NA,DIBELS Test - six standardised measures of early literacy development ,"['Page 6:\n[¬s]"" The district used a set of measures called the Dynamic Indicators of Basic Early Literacy Skills (DIBELS)""\n""as a universal screening for all primary-aged students and for progress monitoring of at- risk students. [¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
37671541,Teaching assistants,NA,NA,NA,"['Page 14:\n[¬s]""Pseudoword decoding (standardized). To provide a measure of decoding ability, the child attempted to read (or decode) pseudowords (e.g., ap, raff, raff, raff bim, roo, bufty, bufty, bufty tadding) in the word attack subtest of the Woodcock Reading Mastery Tests (Woodcock, 1987). (Scores could range from 0 to 37.)[¬e]""', 'Page 15:\n[¬s]""Passage comprehension (standardized). The child attempted items in the passage comprehension subtest of the Woodcock Reading Mastery Tests. This subtest used a cloze procedure to assess comprehension. (Scores could range from 0 to 36.)[¬e]""']",NA,"['Page 14:\n[¬s]""Word recognition (informal). The child read a list of 40 words, graded in difficulty from early first grade to fourth grade (7 to 10 words at each level) (see Appendix A). The words were selected from the graded lists in Basic Reading Vocabularies (Harris & Jacobson, 1982). Using Cronbach’s alpha, reliability was .83 on the pretest administration of the word recogni- tion list and .78 on the posttest administration.""\n""Passage reading (informal). The child read aloud up to five passages (four narrative, one informational) that progressed in difficulty from prep- rimer to late-second grade (see Appendix B). These passages, whose read- ability was checked with the Dale-Chall formula, had been field-tested for graded difficulty in previous studies (e.g., Morris et al., 2000; Santa & Hoien, 1999). Thus, the passages represented a continuous variable as- signed a value on an interval scale.[¬e]""']",NA,NA,NA,NA,NA,NA
37133869,Peer Tutoring,NA,NA,"This will be measured (pre and post program) by three subscales o f The Writer Self- Perception Scale (WSPS) (Bottomly, Henk, 8c Melnick , 1998).   The WSPS explores five aspects o f self-efficacy including General progress (GPR), Specific progress (SPR), Observational comparison (OC), Social feedback (SF), and Physiological states (PS) (Bottomly, Henk, & Melnick, 1998)   Pennsylvania State School Assessment (PSSA) Writing samples for all fifth graders were scored using the rubric for the writing portion o f the Pennsylvania State School Assessment (PSSA)","['Page 73:\n[¬s]""Writing samples for all fifth graders were scored using the rubric for the writing portion o f the Pennsylvania State School Assessment (PSSA)[¬e]""', 'Page 81:\n[¬s]"" The WSPS explores five aspects o f self-efficacy including General progress (GPR), Specific progress (SPR), Observational comparison (OC), Social feedback (SF), and Physiological states (PS) (Bottomly, Henk, & Melnick, 1998)[¬e]""']",A standardized open-ended interview was conducted (pre and post program) by an interviewer.  Writing samples  Journals and Observations,NA,NA,NA,NA,NA,NA,NA
37093539,Peer Tutoring,NA,NA,"Achievement test. The California Achievement Test, Fifth Edition (CAT/5), was used as both the pretest and posttest for mathematics achieve- men","['Page 6:\n[¬s]""Achievement test. The California Achievement Test, Fifth Edition (CAT/5), was used as both the pretest and posttest for mathematics achieve- men[¬e]""']","Student exit questionnaire. A student exit ques- tionnaire was developed by the researcher and administered to participating students during the last week of the study. There were eight questions on the survey, asking students about their attitudes regarding math, the computer math lessons, and group activities","['Page 6:\n[¬s]""Achievement test. The California Achievement Test, Fifth Edition (CAT/5), was used as both the pretest and posttest for mathematics achieve- ment.[¬e]""', 'Page 7:\n[¬s]""Student exit questionnaire. A student exit ques- tionnaire was developed by the researcher and administered to participating students during the last week of the study. There were eight questions on the survey, asking students about their attitudes regarding math, the computer math lessons, and group activit[¬e]""']",NA,NA,NA,NA,NA,NA
38296605,Small Group Tuition,NA,NA,NA,"['Page 13:\n[¬s]""GL Assessment""\n""Progress in English 12""\n""Progress in Maths 12[¬e]""']",NA,NA,NA,NA,NA,NA,NA,NA
38296604,Small Group Tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Page 5:\n[¬s]""English and mathematics GCSE[¬e]""']",NA,NA
37061108,Feedback,NA,NA,NA,NA,Multiplication tests typically used to assess this area of mathematics in elementary schools were adapated to develop a pretest and four posttests for this study. ,NA,NA,NA,NA,NA,NA,NA
37671596,Teaching assistants,NA,NA,NA,"['Page 3:\n[¬s]""QCA end of year tests[¬e]""']",NA,NA,NA,NA,NA,"['Page 3:\n[¬s]""national SATS tests[¬e]""']",NA,NA
37671542,Teaching assistants,NA,NA,NA,"['Page 3:\n[¬s]""Single-word reading (screening; t1Ðt3). All children completed the Early Word Recognition (EWR) test (a = 0.98) from the York Assessment of Reading (YARC) Early Reading battery (Hulme et al., 2009). Children reading over 25 words were given an additional set of words from the Test of Single-Word Reading, from the YARC.""\n""Letter-sound knowledge (screening; t1Ðt3): This extended test of alphabetic knowledge from the YARC (Hulme et al., 2009) asks the child to provide the sound for 32 individual letters and digraphs (a = 0.98).""\n""Expressive and Receptive One-Word Picture Vocabulary Tests (EO- WPVT; ROWPVT; Brownell, 2000).[¬e]""', 'Page 4:\n[¬s]""Expressive grammar and information (t1Ðt3): Assessed using the Action Picture Test (APT; Renfrew, 1997). Basic concept knowledge (t1): From the Clinical Evaluation of Language Fundamentals (CELF) Pre- school 2nd Edition (Wiig, Secord, & Semel, 2006) assessed knowledge of 18 basic linguistic concepts (internal consistency = 0.85). Receptive grammar (t1): Measured by the Test for Reception of Grammar 2 (TROG-2; Bishop, 2003). Eight grammatical constructs were tested in blocks of four items; each correct item was awarded a score of 1 (internal consistency = 0.87).[¬e]""']",NA,"['Page 3:\n[¬s]""Phoneme blending (t1Ðt3): The child was asked to select which of three pictures represented a word spo- ken by the experimenter in ÔrobotÕ talk.""\n""Nonword reading (t1Ðt3): Children were asked to read the names of six cartoon monsters: ÔetÕ, ÔomÕ, ÔipÕ, ÔnegÕ, ÔsabÕ and ÔhicÕ. ""\n""Spelling (t1Ðt3): Ten words were presented as pictures to be named and spelled (see also Bowyer-Crane et al., 2008).""\n""Taught vocabulary knowledge (t1Ðt3): Tests were created to measure expressive and receptive knowledge of words explicitly taught in each phase of the inter- vention programme (i.e. weeks 1Ð20, tested t1Ðt3; weeks 21Ð40, tested t2Ðt3).[¬e]""']",NA,NA,NA,NA,NA,NA
