ItemID,Author,Year,Strand,Outcome,Intervention,LevelofAssignment,ParticipantAssignment,StudyRealism,StudentGender,PublicationType,EducationalSetting,Country,GroupBaselineDifferences,StudyDesign,Comparability,CompVariablesReported,ComparabilityVariables,InterventionOrg,InterventionTrainingProvided,StudentAge,Attrition/DropOutReported,FocusofIntervention,InterventionTeachingApproach,InterventionTime,WhoDeliveredTeaching,EducationalSetting,SMD,SESMD,CIupper,CIlower,CodesSectionPresent,OutcomesSectionPresent,OutcomeCodesSectionPresent
37671594,Bennett (2013),2013,Toolkit: Teaching assistants,Primary outcome,Cognitive: other,Individual,Random (please specify),High ecological validity,Mixed gender,Journal article,Secondary/High school,England,Yes,Individual RCT,No,Yes,Other (please specify),University/ researcher design,Yes (Please specify),"['7', '8', '9', '10', '11', '12']",['Yes'],['Students'],['Student alone (self-administered)'],['During regular school hours '],"['Teaching assistants', 'Other school staff']","['Primary/elementary school', 'Secondary/High school']",0.0032,0.4369,0.8596,-0.8532,Yes,Yes,Yes
37092573,Benson (1979) 1_1,1979,Toolkit: Feedback,Primary outcome,Literacy: writing,Class,"Non-random, not matched prior to treatment",High ecological validity,Mixed gender,Dissertation or thesis,Middle school,USA,Yes,Prospective QED,Yes,No,NA,University/ researcher design,Yes (Please specify),"['12', '13', '14']",['No'],['Students'],"['Small group/intensive support (3-5)', 'Student alone (self-administered)']",['During regular school hours '],['Class teachers'],['Middle school'],0.22,0.12,0.4552,-0.0152,Yes,Yes,Yes
40294885,Benson (1979) 1_2,1979,Toolkit: Feedback,Primary outcome,Literacy: writing,School - multi-site,"Non-random, but matched",High ecological validity,Mixed gender,Dissertation or thesis,Middle school,USA,Yes,Prospective QED,Yes,Yes,Educational attainment,School or group of schools,Unclear/ Not specified,"['12', '13', '14']",['No'],['Students'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)']",['During regular school hours '],['Class teachers'],['Middle school'],0.2115,0.1455,0.4967,-0.0737,Yes,Yes,Yes
40117190,Bergin (1992),1992,NA,Primary outcome,Literacy: reading other,NA,Retrospective Quasi Experimental Design (QED),High ecological validity,Mixed gender,Journal article,Other educational setting (please specify),USA,No/Unclear,Prospective QED,Yes,Yes,Other (please specify),School or group of schools,Yes (Please specify),"['5', '6']",['Yes'],['Students'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one', 'Paired learning']",['Before/after school'],"['Class teachers', 'Lay persons/volunteers']",['Other educational setting (please specify)'],0.8322,0.45,1.7142,-0.0499,Yes,Yes,No
40117239,Berninger (2006),2006,Toolkit: Extending school time,Primary outcome,Literacy: reading comprehension,School - cluster,Random (please specify),High ecological validity,Mixed gender,Journal article,Primary/elementary school,USA,No/Unclear,Cluster RCT,No,No,NA,University/ researcher design,Unclear/ Not specified,"['7', '8']",['No'],['Students'],['Large group/class teaching (+6)'],['Before/after school'],"['Research staff', 'Class teachers']",['Primary/elementary school'],0.58,0.21,0.9916,0.1684,Yes,Yes,Yes
40117240,Berninger (2006),2006,Toolkit: Extending school time,Primary outcome,Literacy: writing,School - cluster,Random (please specify),High ecological validity,Mixed gender,Journal article,Primary/elementary school,USA,Yes,Cluster RCT,Yes,Yes,Educational attainment,Local education authority or district,Unclear/ Not specified,['9'],['No'],['Students'],['Large group/class teaching (+6)'],['Before/after school'],"['Research staff', 'External teachers']",['Primary/elementary school'],0.3171,0.2148,0.7381,-0.1038,Yes,Yes,Yes
37092626,Bethge (1982),1982,Toolkit: Feedback,Primary outcome,Cognitive: other,Individual,Random (please specify),Low ecological validity,Mixed gender,Journal article,Primary/elementary school,Germany,Yes,Individual RCT,Yes,Yes,Other (please specify),University/ researcher design,No,"['8', '9']",['No'],['Students'],['One to one'],['Unclear/ not specified'],['Research staff'],['Primary/elementary school'],0.8552,0.3027,1.4485,0.2619,Yes,Yes,Yes
38296603,Biggart (2015),2015,Toolkit: Teaching assistants,Primary outcome,Literacy: reading comprehension,Individual,Random (please specify),High ecological validity,Mixed gender,Technical report,Primary/elementary school,England,Yes,Multisite RCT,Yes,Yes,Other (please specify),University/ researcher design,Yes (Please specify),"['11', '10']",['Yes'],['Students'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['During regular school hours '],['Teaching assistants'],['Primary/elementary school'],0.1641,0.2362,0.6271,-0.2989,Yes,Yes,Yes
37092628,Bilsky (1978),1978,Toolkit: Feedback,Primary outcome,Mathematics,Individual,"Non-random, not matched prior to treatment",Low ecological validity,Mixed gender,Journal article,Secondary/High school,USA,Yes,Prospective QED,Yes,Yes,Other (please specify),University/ researcher design,No,"['13', '14', '15']",['Yes'],['Students'],['One to one'],['During regular school hours '],['Research staff'],['Secondary/High school'],2.4289,0.4056,3.2239,1.6338,Yes,Yes,Yes
40294886,Bingham (2010) SGT,2010,Toolkit: Small Group Tuition,Primary outcome,Literacy: spelling,School - cluster,"Non-random, not matched prior to treatment",High ecological validity,Mixed gender,Journal article,Primary/elementary school,USA,Yes,Prospective QED,Yes,Yes,Educational attainment,University/ researcher design,Yes (Please specify),"['5', '6']",['No'],['Students'],['Small group/intensive support (3-5)'],['During regular school hours '],['Teaching assistants'],['Primary/elementary school'],1.5469,0.2942,2.1236,0.9702,Yes,Yes,Yes
37671632,Blatchford (2007),2007,Toolkit: Teaching assistants,Secondary outcome(s),Literacy: reading comprehension,Region or district,"Non-random, not matched prior to treatment",High ecological validity,Mixed gender,Journal article,Primary/elementary school,England,No/Unclear,Retrospective QED  ,Yes,Yes,Educational attainment,University/ researcher design,No,NA,['No'],"['Students', 'Teaching assistants']",['Small group/intensive support (3-5)'],['During regular school hours '],['Teaching assistants'],['Primary/elementary school'],0.0,0.125,0.245,-0.245,Yes,Yes,Yes
37092755,Block (1970),1970,Toolkit: Feedback,Primary outcome,Mathematics,Individual,Random (please specify),High ecological validity,Mixed gender,Dissertation or thesis,Primary/elementary school,USA,NA,Individual RCT,NA,NA,NA,University/ researcher design,No,"['13', '14']",['Yes'],['Students'],"['Student alone (self-administered)', 'One to one']",['During regular school hours '],['Peers'],['Primary/elementary school'],0.5191,0.2479,1.005,0.0331,Yes,Yes,Yes
40294887,Boggiano (1985) 1_2,1985,NA,NA,NA,Not provided/ not available,Random (please specify),Unclear,Mixed gender,Journal article,Secondary/High school,USA,NA,NA,NA,NA,NA,University/ researcher design,Unclear/ Not specified,"['9', '10', '11', '12']",NA,['Students'],['Other (Explain in notes)'],['Unclear/ not specified'],['Research staff'],"['Primary/elementary school', 'Middle school', 'Secondary/High school']",NA,NA,NA,NA,Yes,No,No
37091022,Bohannon (1975),1975,Toolkit: Feedback,Primary outcome,Literacy: decoding/phonics,Individual,"Non-random, but matched",High ecological validity,Mixed gender,Dissertation or thesis,Primary/elementary school,USA,Yes,Retrospective QED  ,Unclear or details not provided,Yes,Special educational needs,University/ researcher design,Yes (Please specify),"['6', '7', '8', '9']",['Unclear (please add notes)'],['Students'],['One to one'],['During regular school hours '],['Teaching assistants'],['Primary/elementary school'],2.75,0.66,4.0436,1.4564,Yes,Yes,Yes
39253250,Borman (2006),2006,Toolkit: Summer schools,Primary outcome,Literacy: reading comprehension,Individual,Random (please specify),High ecological validity,Mixed gender,Journal article,Primary/elementary school,USA,Yes,Individual RCT,Yes,Yes,Socio-economic status,University/ researcher design,Yes (Please specify),"['5', '6', '7']",['Yes'],['Students'],['Small group/intensive support (3-5)'],['Summer/ holiday period'],['Lay persons/volunteers'],['Primary/elementary school'],0.0,1.9,3.724,-3.724,Yes,Yes,Yes
39253387,Borman (2009),2009,Toolkit: Summer schools,Primary outcome,Literacy: reading comprehension,School - multi-site,Random (please specify),Low ecological validity,Mixed gender,Journal article,Other educational setting (please specify),USA,Yes,Individual RCT,Yes,Yes,Educational attainment,Local education authority or district,Yes (Please specify),"['6', '5']",['Yes'],['Students'],['Large group/class teaching (+6)'],['Summer/ holiday period'],"['External teachers', 'Lay persons/volunteers']","['Primary/elementary school', 'Other educational setting (please specify)']",0.4,0.69,1.7524,-0.9524,Yes,Yes,Yes
37092604,Boulet (1990) 1_1,1990,Toolkit: Feedback,Primary outcome,Curriculum: other,Individual,Random (please specify),High ecological validity,No information provided,Journal article,Secondary/High school,Canada,Yes,Individual RCT,Yes,Yes,Other (please specify),University/ researcher design,Unclear/ Not specified,"['13', '14']",['No'],['Students'],['Large group/class teaching (+6)'],['During regular school hours '],"['Class teachers', 'Research staff']",['Secondary/High school'],-0.0329,0.2838,0.5233,-0.5891,Yes,Yes,Yes
40294889,Boulet (1990) 1_2,1990,Toolkit: Feedback,Primary outcome,Curriculum: other,School - multi-site,Random (please specify),High ecological validity,No information provided,Journal article,Secondary/High school,Canada,Yes,Individual RCT,Yes,Yes,Other (please specify),University/ researcher design,Unclear/ Not specified,"['13', '14']",['No'],['Students'],"['Large group/class teaching (+6)', 'One to one']",['During regular school hours '],"['Research staff', 'Class teachers']",['Secondary/High school'],0.2514,0.2664,0.7735,-0.2707,Yes,Yes,Yes
37093538,Bramlett (1994),1994,Toolkit: Peer Tutoring,Primary outcome,Literacy: reading comprehension,Class,Unclear,High ecological validity,NA,Journal article,Primary/elementary school,USA,No/Unclear,Prospective QED,Yes,Yes,Educational attainment,University/ researcher design,Yes (Please specify),NA,['Unclear (please add notes)'],['Students'],"['Small group/intensive support (3-5)', 'Paired learning']",['Unclear/ not specified'],"['Research staff', 'Class teachers', 'Parents/carers', 'Peers']",['Primary/elementary school'],0.1019,0.1011,0.3,-0.0962,Yes,Yes,Yes
37091024,Brandstetter (1978) 1_1,1978,Toolkit: Feedback,Primary outcome,Literacy: reading comprehension,Class,"Non-random, but matched",High ecological validity,No information provided,Journal article,Primary/elementary school,USA,No/Unclear,Prospective QED,Unclear or details not provided,No,NA,Other (please provide details),Yes (Please specify),"['9', '10']",['No'],['Students'],['Large group/class teaching (+6)'],['During regular school hours '],"['Research staff', 'Class teachers', 'Teaching assistants', 'Lay persons/volunteers']",['Primary/elementary school'],1.0215,0.4019,1.8091,0.2339,Yes,Yes,Yes
40294890,Brandstetter (1978) 1_2,1978,Toolkit: Feedback,Primary outcome,Literacy: reading comprehension,Class,"Non-random, not matched prior to treatment",High ecological validity,No information provided,Journal article,Primary/elementary school,USA,Yes,Prospective QED,No,No,NA,Other (please provide details),Yes (Please specify),"['9', '10']",['Yes'],['Students'],['One to one'],['During regular school hours '],"['External teachers', 'Parents/carers', 'Lay persons/volunteers']",['Primary/elementary school'],0.37,1.07,2.4672,-1.7272,Yes,Yes,Yes
37092631,Bridgeman (1974) 1_1,1974,Toolkit: Feedback,Primary outcome,Cognitive: reasoning,Individual,Random (please specify),High ecological validity,Mixed gender,Journal article,Middle school,USA,No/Unclear,Prospective QED,No,N/A,NA,University/ researcher design,No,"['12', '13']",['No'],['Students'],['Large group/class teaching (+6)'],['During regular school hours '],['Research staff'],['Middle school'],0.206,0.1606,0.5207,-0.1088,Yes,Yes,Yes
40294891,Bridgeman (1974) 1_2,1974,Toolkit: Feedback,Primary outcome,Cognitive: reasoning,Individual,Random (please specify),High ecological validity,Mixed gender,Journal article,Secondary/High school,USA,No/Unclear,Prospective QED,No,N/A,NA,University/ researcher design,No,"['12', '13']",['No'],['Students'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['During regular school hours '],['Research staff'],['Secondary/High school'],-0.0984,0.1602,0.2157,-0.4124,Yes,Yes,Yes
39253196,Brody (1984),1984,Toolkit: Summer schools,Primary outcome,Literacy: reading comprehension,NA,Retrospective Quasi Experimental Design (QED),High ecological validity,Mixed gender,Dissertation or thesis,Middle school,USA,Yes,Prospective QED,Yes,Yes,Gender,University/ researcher design,Unclear/ Not specified,"['13', '14']",['No'],['Students'],['Other (Explain in notes)'],['Summer/ holiday period'],['Research staff'],['Middle school'],0.0224,0.161,0.3381,-0.2932,Yes,Yes,Yes
37092605,Brookhart (2008),2010,Toolkit: Feedback,Primary outcome,Literacy: decoding/phonics,School - multi-site,"Non-random, but matched",High ecological validity,Mixed gender,Journal article,Primary/elementary school,USA,NA,NA,NA,NA,NA,University/ researcher design,Yes (Please specify),"['5', '6', '7']",NA,"['Students', 'Teachers']","['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']","['During regular school hours ', 'Before/after school']","['Class teachers', 'Teaching assistants']",['Primary/elementary school'],0.1738,0.2101,0.5857,-0.2381,Yes,Yes,Yes
37671541,Brown (2005),2005,Toolkit: Teaching assistants,Primary outcome,Literacy: reading comprehension,School - cluster,"Non-random, but matched",High ecological validity,Mixed gender,Journal article,Primary/elementary school,USA,Yes,Prospective QED,Yes,Yes,NA,University/ researcher design,Yes (Please specify),"['7', '8', '9', '10', '11', '12']",['Yes'],['Students'],['One to one'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",['Primary/elementary school'],1.0488,0.2378,1.5148,0.5828,Yes,Yes,Yes
37133869,Bruno (2004),2004,Toolkit: Peer Tutoring,Primary outcome,Literacy: writing,Class,"Non-random, not matched prior to treatment",High ecological validity,NA,Dissertation or thesis,Primary/elementary school,USA,No/Unclear,Prospective QED,Yes,Yes,Educational attainment,University/ researcher design,Yes (Please specify),"['5', '6', '10', '11']",['Yes'],['Students'],['Paired learning'],['During regular school hours '],['Peers'],"['Nursery school/pre-school', 'Primary/elementary school']",0.38,0.0864,0.5493,0.2107,Yes,Yes,Yes
37093539,Brush (1997),1997,Toolkit: Peer Tutoring,Primary outcome,Mathematics,Class,Random (please specify),High ecological validity,Mixed gender,Journal article,Primary/elementary school,USA,Yes,Cluster RCT,Yes,Yes,Educational attainment,University/ researcher design,Yes (Please specify),"['10', '11']",['No'],['Students'],['Paired learning'],['During regular school hours '],"['Class teachers', 'Other school staff', 'Peers']",['Primary/elementary school'],0.3167,0.2668,0.8396,-0.2061,Yes,Yes,Yes
38296605,Buchanan (2015) Pri,2015,Toolkit: Small Group Tuition,Primary outcome,Literacy: reading comprehension,School - cluster,"Non-random, but matched",High ecological validity,Mixed gender,Technical report,Secondary/High school,England,Yes,Prospective QED,Yes,Yes,Other (please specify),University/ researcher design,Yes (Please specify),"['10', '11', '12']",['Yes'],['Students'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one']","['During regular school hours ', 'Before/after school']",['External teachers'],"['Primary/elementary school', 'Secondary/High school']",-0.08,0.1276,0.17,-0.33,Yes,Yes,Yes
38296604,Buchanan (2015) Sec,2015,Toolkit: Small Group Tuition,Primary outcome,Mathematics,NA,"Non-random, but matched",NA,Mixed gender,Technical report,Secondary/High school,England,Yes,Prospective QED,Yes,Yes,Socio-economic status,Private or commercial company,Yes (Please specify),"['13', '14', '15', '16']",['Yes'],['Students'],"['Small group/intensive support (3-5)', 'One to one']",['During regular school hours '],['External teachers'],['Secondary/High school'],0.051,0.0255,0.101,0.001,Yes,Yes,Yes
37061108,Bumgarner (1984),1984,Toolkit: Feedback,Primary outcome,Mathematics,Class,Random (please specify),High ecological validity,Mixed gender,Dissertation or thesis,Primary/elementary school,USA,Yes,Individual RCT,Yes,Yes,Educational attainment,University/ researcher design,Yes (Please specify),"['8', '9']",['Yes'],['Students'],['Student alone (self-administered)'],['During regular school hours '],['Digital technology'],['Primary/elementary school'],-0.2205,0.2809,0.3301,-0.7711,Yes,Yes,Yes
37671596,Bunn (2008),2008,Toolkit: Teaching assistants,Primary outcome,Literacy: reading comprehension,Class,"Non-random, not matched prior to treatment",High ecological validity,No information provided,Journal article,Primary/elementary school,England,Yes,Prospective QED,No,N/A,NA,University/ researcher design,No,"['8', '9', '7']",['Yes'],['Students'],['Small group/intensive support (3-5)'],['During regular school hours '],['Teaching assistants'],['Primary/elementary school'],0.6266,0.2403,1.0976,0.1556,Yes,Yes,Yes
37671542,Burgoyne (2012),2012,Toolkit: Teaching assistants,Primary outcome,Literacy: reading other,Individual,Random (please specify),High ecological validity,Mixed gender,Journal article,Primary/elementary school,England,Yes,Individual RCT,Yes,Yes,Other (please specify),University/ researcher design,Yes (Please specify),"['9', '10', '7', '8']",['Yes'],['Students'],['One to one'],NA,NA,['Primary/elementary school'],0.0969,0.2725,0.6311,-0.4372,Yes,Yes,Yes
37092634,Butler (1986) 1_1,1986,Toolkit: Feedback,Primary outcome,Literacy: writing,Class,Random (please specify),High ecological validity,Mixed gender,Journal article,Primary/elementary school,Israel,Yes,Cluster RCT,Yes,Yes,Gender,University/ researcher design,Unclear/ Not specified,"['11', '12']",['No'],['Students'],['Large group/class teaching (+6)'],['During regular school hours '],['Research staff'],['Primary/elementary school'],1.539,0.1742,1.8804,1.1976,Yes,Yes,Yes
40294895,Butler (1986) 1_2,1986,Toolkit: Feedback,Primary outcome,Literacy: writing,Class,Random (please specify),Low ecological validity,Mixed gender,Journal article,Primary/elementary school,Israel,Yes,Cluster RCT,Yes,Yes,Gender,University/ researcher design,Unclear/ Not specified,"['12', '13']",['No'],['Students'],['Large group/class teaching (+6)'],['During regular school hours '],['Research staff'],['Primary/elementary school'],1.1185,0.1636,1.4392,0.7978,Yes,Yes,Yes
37092633,Butler (1987) 1_1,1987,Toolkit: Feedback,Secondary outcome(s),Cognitive: reasoning,Class,Random (please specify),High ecological validity,Mixed gender,Journal article,Primary/elementary school,Israel,NA,Cluster RCT,NA,NA,NA,University/ researcher design,Unclear/ Not specified,"['11', '12', '10']",['No'],['Students'],['Large group/class teaching (+6)'],['During regular school hours '],['Lay persons/volunteers'],['Primary/elementary school'],2.4566,0.3815,3.2043,1.7089,Yes,Yes,Yes
40294893,Butler (1987) 1_2,1987,Toolkit: Feedback,Primary outcome,Cognitive: reasoning,Class,Random (please specify),Low ecological validity,Mixed gender,Journal article,Primary/elementary school,Israel,No/Unclear,Cluster RCT,No,No,NA,University/ researcher design,Unclear/ Not specified,"['11', '12', '13']",['No'],['Students'],['Large group/class teaching (+6)'],['During regular school hours '],['Research staff'],['Primary/elementary school'],0.541,0.2884,1.1063,-0.0242,Yes,Yes,Yes
40294894,Butler (1987) 1_3,1987,Toolkit: Feedback,Primary outcome,Cognitive: reasoning,NA,Random (please specify),Low ecological validity,Mixed gender,Journal article,Primary/elementary school,Israel,No/Unclear,Cluster RCT,No,No,NA,University/ researcher design,Unclear/ Not specified,"['12', '11', '13']",['No'],['Students'],['Large group/class teaching (+6)'],['During regular school hours '],['Research staff'],['Primary/elementary school'],0.3675,0.2854,0.927,-0.1919,Yes,Yes,Yes
37092575,Caccamise (2007) 1_1,2007,Toolkit: Feedback,Primary outcome,Literacy: writing,Class,"Non-random, but matched",High ecological validity,No information provided,Book or book chapter,Secondary/High school,USA,Yes,Multisite RCT,Yes,No,NA,School or group of schools,Unclear/ Not specified,"['12', '13', '14', '15']",['Yes'],['Students'],"['Student alone (self-administered)', 'Other (Explain in notes)']",['During regular school hours '],['Digital technology'],"['Middle school', 'Secondary/High school']",0.38,0.2132,0.7979,-0.0379,Yes,Yes,Yes
40294896,Caccamise (2007) 1_2,2007,Toolkit: Feedback,Primary outcome,Literacy: reading comprehension,Individual,Random (please specify),High ecological validity,No information provided,Book or book chapter,Middle school,USA,No/Unclear,Multisite RCT,Yes,No,NA,School or group of schools,Unclear/ Not specified,"['13', '14']",['Unclear (please add notes)'],['Students'],['Student alone (self-administered)'],['During regular school hours '],['Digital technology'],['Middle school'],0.4243,0.2132,0.8422,0.0064,Yes,Yes,Yes
