StudyID,Strand,lowSESFSMstudents,lowSESFSMstudentsHighlightedText,lowSESFSM%,lowSESFSM%HighlightedText,lowSESFSMfurtherinfo,lowSESFSMfurtherinfoHighlightedText,NoSESFSMinformation,NoSESFSMinformationHighlightedText
37671542,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
37092634,Feedback,"SES was not specified  but the authors do make a link between socio-economic status and ""internal orientation"" (i.e. motivation and attitudes) which could be interpreted as suggestive/biased. ","[['Page 6:\n[¬s]"" Although the attribution patterns of all groups reflected the predominantly internal orientation usually found in the middle class (Rotter. 1966). group differences within this general pattern were suggestive.[¬e]""']]",NA,NA,NA,"[['Page 2:\n[¬s]"" three city elementary schools serving predominantly middle-class populations. [¬e]""']]",NA,NA
40294895,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37092633,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
40294893,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
40294894,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37092575,Feedback,Assumed that SES makeup of sample was mixed based on geographical location/neighbourhood. ,"[['Page 9:\n[¬s]""The classes were from a mixture of urban  suburban  and rural middle and high schools [¬e]""']]",NA,NA,NA,NA,NA,NA
40294896,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37093518,Peer Tutoring,Not mentioned,NA,NA,NA,NA,NA,NA,NA
40117116,NA,NA,NA,NA,NA,NA,NA,67%,"[['Page 3:\n[¬s]""Sixty-seven percent of the Chapter 1 stu\xad dents received free and reduced lunches  indi\xad cating economic disadvantage.[¬e]""']]"
37116223,Peer Tutoring,NA,"[['Page 93:\n[¬s]""Thirteen percent of the students receive free or reduced lunch.[¬e]""']]",NA,NA,NA,NA,NA,NA
37093351,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
40117117,Extending school time,NA,NA,NA,NA,FSM and reduced lunch   Intervention AL: 68% Intervention FL: 39% Intervention MS: 87%  Control AL: 53% Control FL: 38% Control MS: 93%,"[['Page 82:\n[¬s]""TABLE 1 Demographic Data On All Selected Schools School State Calendar Enrollment Percent Free Per Capita and Reduced Income Lunch Montevallo AL T raditional 580 .53 7 369 Elementary Vincent AL Year-Round 550 .68 7  642 Elementary S e a Park FL Traditional 640 .38 11 637 Elementary Gardendale FL Year-Round 634 .39 12 136 Elementary Stainton M S Traditional 340 .93 6 328 Elementary Stainton M S Year-Round 340 .87 6 328 Elementary[¬e]""']]",NA,NA
39253388,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117193,Extending school time,NA,NA,NA,NA,NA,NA,NA,NA
40117118,NA,NA,NA,Intervention school: 32.68% Control school: 37.15%,"[['Page 79:\n[¬s]""32.68 p e r c e n t of the s tu d e n t s q u a l i f i e d for free l u n c h in t h i s school (Garcia  1993).[¬e]""'  'Page 80:\n[¬s]"" In terms of family inc o m e background  37.15 p e r cent w ere ""free lunch"" st u d e n t s at school (Goycochea  1993).[¬e]""']]",Intervention: 70.7% Hispanic + 12.3% Filipino + 8.5% White + 4.5 % Black + 4% Others  Control: 75% Mexican + 12% Filipino + 9% White + 3% Black + 1% Others,NA,NA,NA
37116229,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
37671546,Teaching assistants,NA,NA,NA,"[['Page 5:\n[¬s]""approximately 30% were eligible for free school meals[¬e]""']]",NA,NA,NA,NA
39253281,Summer schools,NA,NA,NA,NA,NA,NA,NA,NA
37092576,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37671598,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
40117120,Extending school time,NA,NA,Percentage given for whole school  not specific sample within the school,"[['Page 40:\n[¬s]"" It has a 98.2% free and reduced lunch rate.[¬e]""']]",NA,NA,NA,NA
43090135,Extending school time,NA,NA,NA,NA,NA,NA,NA,NA
37671620,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
40117121,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
37093542,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
37091026,Feedback,Not specified,NA,NA,NA,NA,NA,NA,NA
39253200,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253314,Summer schools,NA,NA,NA,NA,NA,NA,NA,NA
37093543,Peer Tutoring,not reported,NA,NA,NA,NA,NA,NA,NA
39253203,Summer schools,NA,NA,NA,NA,To qualify for inclusion the child's family needed to be classified as low income,"[['Page 99:\n[¬s]""classified -as low-income[¬e]""']]",NA,NA
43090138,Summer schools,NA,NA,Poverty Intervention: 76%  Control: 91% (Table 17  page 87)  See Appendix D for explanation for the poverty classification,"[['Page 105:\n[¬s]"" .76 .91[¬e]""']]",(criteria for participation in the programme:) The child's family was classified as low-income.,"[['Page 99:\n[¬s]""3 t * \\ - ■controls\'. \'• < 83 dropped from .the study. In two.of these projects there ..99 * was classified -as low-income.[¬e]""']]",NA,NA
40117246,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117123,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093616,Peer Tutoring,Not mentioned,NA,NA,NA,NA,NA,NA,NA
37671548,Teaching assistants,NA,NA,Approximately 20% of pupils in the intervention groups were FSM and just over 15% FSM in the comparison groups. ,NA,NA,"[['Page 24:\n[¬s]""There were no significant differences between intervention and comparison schools in the proportion of students in receipt of free school meals or who were designated to be at school action or school action plus.[¬e]""']]",NA,NA
43090143,NA,NA,NA,NA,NA,NA,NA,NA,NA
37091027,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093544,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
37671600,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
40117126,NA,NA,NA,Austin YRE: 80% of students economically disadvantaged Conroe: 24% population in disadvantage Waxahachie: 50% economically disadvantage,NA,NA,NA,NA,NA
39253282,Summer schools,NA,NA,NA,NA,NA,"[['Page 60:\n[¬s]""2 0 .5 % o f th e p o p u la tio n is classifie d as e c o n o m ic a lly d isa d v an ta g ed . [¬e]""']]",NA,NA
39253283,Summer schools,NA,NA,NA,"[['Page 13:\n[¬s]""The public school families represent a range of socio-economic status  with the elementary population including 44% who qualify for free or reduced-price lunch.[¬e]""'  'Page 14:\n[¬s]""Of the students who qualify for Title I services  74 % qualify for free or reduced-price[¬e]""'  'Page 15:\n[¬s]""lunch[¬e]""']]",NA,NA,NA,NA
40117194,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133886,Peer Tutoring,O f the 289 subjects in this study  44  or 15.22%  were clas sified as being economically disadvantaged.,"[['Page 88:\n[¬s]""O f the 289 subjects in this study  44  or 15.22%  were clas sified as being economically disadvantaged.[¬e]""']]",NA,"[['Page 88:\n[¬s]"" O f the 289 subjects in this study  44  or 15.22%  were clas sified as being economically disadvantaged[¬e]""']]",NA,NA,NA,NA
37092761,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
40294902,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
38878251,Small Group Tuition,NA,NA,95% of the students in the schools (not the sample) qualified for free or reduced-price lunch. ,"[['Page 6:\n[¬s]""95% qualified for free or[¬e]""'  'Page 7:\n[¬s]""reduced-price lunc[¬e]""']]",NA,"[['Page 6:\n[¬s]"" primarily language-minority students who were enrolled in first grade during the 2003-2004 school year. They came from five low-SES urban public schools""\n"" and three comparable schools""\n"" The majority of students  more than 90%  were from homes where Spanish was the first language[¬e]""']]",NA,NA
39253253,Summer schools,NA,NA,NA,NA,NA,"[['Page 100:\n[¬s]""The two groups had a similar distribution of non-low-income to low-income participants  with the majority of the participants being low-income.[¬e]""']]",NA,NA
37061114,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
40117128,Extending school time,NA,NA,Intervention: 97.4% Control: 84.6%,NA,96.5% of the students in the school were eligible for Chapter 1 services (targeted for disadvantaged children?)   Note from the coder  80.3% of the study population is Hispanic  compared to 29.2% in the whole district. For some reason Latin families prefer YRE. This is in accordance with the big study by Mitchell & Mitchell 1999  where Spanish students for some reason had chosen Track B  most unfavourable calendar by qualified teachers.,"[['Page 10:\n[¬s]""Forty-two percent of the district\'s students were Hispanic  41.6 percent were black. and 28.5 percent were white. The two schools that participated in this study served a largely minority population  With 80.3 percent of the students being Hispanic  12.5 percent black. and 7.2 percent white. [¬e]""']]",NA,NA
37093353,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
40117129,NA,NA,NA,Figure 2. Page 29  YRS: Low income c. 90% NYRS: Low income c. 85% ,NA,NA,NA,NA,NA
37093472,Peer Tutoring,Schoolwide family income data indicate that the majority of the families represent lower middle to lower socioeconomic groups (85% of children attending the school qualify for federal lunch assistance).,NA,NA,NA,NA,NA,NA,NA
37093471,Peer Tutoring,All students in the study qualified for the federally subsidized lunch programme. ,"[['Page 3:\n[¬s]""Data representing family income indicated that all of the participants\' families were members of lower socioeco- nomic groups (i.e.  all the students qualified for the federally subsidized lunch program).[¬e]""']]",NA,NA,NA,NA,NA,NA
38878265,Small Group Tuition,NA,NA,NA,NA,NA,NA,NA,NA
40117274,Small Group Tuition,NA,NA,NA,NA,Detail for overall student body - not specific to sample ,"[['Page 30:\n[¬s]""Forty-seven percent of the GMS student body participatd in the free and reduced lunch[¬e]""']]",NA,NA
37093506,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
37092577,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37133895,Peer Tutoring,NA,NA,NA,NA,NA,"[['Page 10:\n[¬s]""lower socioeconomic status area[¬e]""']]",NA,NA
39253205,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092578,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37671552,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
37671553,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
37091029,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37092579,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37092580,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37092581,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
40294904,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37093553,Peer Tutoring,The percentages of students with free and re­ duced lunch in these respective schools were 95.3  96.0  74.2  60.2  55.6  54.5  35.6  22.6  and 19.7.,"[['Page 6:\n[¬s]""The percentages of students with free and re\xad duced lunch in these respective schools were 95.3  96.0  74.2  60.2  55.6  54.5  35.6  22.6  and 19.7.[¬e]""']]",NA,"[['Page 6:\n[¬s]""The percentages of students with free and re\xad duced lunch in these respective schools were 95.3  96.0  74.2  60.2  55.6  54.5  35.6  22.6  and 19.7[¬e]""']]",NA,NA,NA,NA
37093549,Peer Tutoring,Not mentioned,NA,NA,NA,NA,"[['Page 9:\n[¬s]""n. We then divided these 22 schools into high-level  middle-level  and low-level groups. High-level schools had a relatively high mean reading score and a comparatively low proportion of students on free or reduced lunch; low-level schools had the reverse profile; middle-level schools fell between the two on both indexes of reading performance and family income. Stratifying on these high-  middle-  and low-level groupings  we randomly assigned schools to PALS or No-PALS conditions. (Detailed description of how we operationalized this stratification of schools is available from the first autho[¬e]""']]",NA,NA
37093550,Peer Tutoring,Not mentioned,NA,NA,NA,NA,NA,NA,NA
37093524,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
37133902,Peer Tutoring,Reduced/free lunch  Individual  -  n= 25   37% Cooperative - n=28  44% ,NA,NA,NA,NA,NA,NA,NA
37093618,Peer Tutoring,PALS group - n=26  59% No PALS group - n= 20  40%,NA,NA,NA,NA,NA,NA,NA
37093551,Peer Tutoring,48 students recieved free lunch,NA,NA,NA,NA,NA,NA,NA
37093523,Peer Tutoring,Does not specifiy,NA,NA,NA,NA,NA,NA,NA
37116212,Peer Tutoring,Stated in Table 1 (split by achievement group)  Total children on free school lunches (199/327) = 61% ,NA,NA,NA,NA,NA,NA,NA
40117132,NA,NA,NA,Percentages only given for school 1 and school 3,"[['Page 5:\n[¬s]""Lark""\n"" 90% of the students are on Aid for Dependent Families (AFDC) or the school\'s free lunch program[¬e]""'  'Page 6:\n[¬s]""Brady""\n"" Nearly 50% are on the free or reduced-fee lunch program.[¬e]""']]",NA,NA,NA,NA
37133906,Peer Tutoring,"The authors distinguish between ""low achievers"" who are from economically or supposed ""culturally"" deprived/disdvantaged groups and communities  from students whose low academic performance is related to learning difficulties and are otherwise from an ""advantaged"" background.   The majority of students involved in the study sample are from low socio-economic communities. However  no metric is given that represents what proportion of participants are low SES. ",NA,NA,NA,NA,NA,NA,NA
37093555,Peer Tutoring,Not mentioned,NA,NA,NA,NA,NA,NA,NA
40117276,Extending school time,NA,NA,NA,NA,Low SES students: 2% (first year)  0% (second year),NA,NA,NA
37061127,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37671623,Teaching assistants,NA,NA,Overall  48% of participants were on FSM or reduced FSM.   Experimental group: 53% FSM and reduced school meals  Control group: 43% FSM and reduced school meals ,NA,NA,NA,NA,NA
37093477,Peer Tutoring,All of the participatingf students qualified for the federally subsidized lunch programme and were members of low SES families,"[['Page 4:\n[¬s]"" Data representing family income (all of the students qualified for the federally subsidized lunch program) indicate that all of the participants were members of lower socioeconomic status families.[¬e]""']]",NA,NA,NA,NA,NA,NA
37093478,Peer Tutoring,NA,NA,100% of sample on FSM (federally subsidized lunch program),"[['Page 3:\n[¬s]""All students qualified for the federally subsidized lunch program [¬e]""']]",NA,"[['Page 3:\n[¬s]""Participants were selected from a population of 230 students. Data representing family income indicated that all of the students in the school were members of lower socioeconomic status families. All students qualified for the federally subsidized lunch program  with 67% living below the poverty level[¬e]""']]",NA,NA
37092650,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37133911,Peer Tutoring,There were significantly more low SES students in the peer tutoring (CPT) groups  at total of 31  while only 19 of those in MAI were categorised in lowest SES group.   There was less of a difference between CPT and MAI groups on any of the remaining SES categories (i.e. middle class low  middle class high  and high SES). ,NA,NA,NA,NA,NA,NA,NA
37671603,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
38296617,Teaching assistants,NA,NA,31.8%,NA,NA,NA,NA,NA
38296615,Feedback,NA,NA,See information on overall sample - numbers differ in table 2 and flowchart  In table 2 FSM 35% of sample  Intervention group FSM- 62 Non FSM - 121  Control group FSM- 61 Non FSM - 105,"[['Page 18:\n[¬s]""35[¬e]""']]",NA,NA,NA,NA
38296616,Feedback,NA,NA,FSM: Intervention: 34%  Control: 38%  From Table 3  pg19.   Note: measured after randomisation - may not be the final sample analysed.,NA,NA,NA,NA,NA
40117250,Extending school time,NA,NA,see table 1  p.290,NA,NA,NA,NA,NA
38878252,Small Group Tuition,NA,NA,50% of the district  but not the sample. No sample-specific details given,"[['Page 33:\n[¬s]"" 50% of the students qualifying for free or reduced meals[¬e]""']]",NA,NA,NA,NA
37093559,Peer Tutoring,Not mentioned,NA,NA,NA,NA,NA,NA,NA
37671634,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
37671557,Teaching assistants,NA,NA,NA,NA,NA,"[['Page 62:\n[¬s]"" Sample learner characteristics and demographics by classroom (N = 2) are presented in Tables 1 and 2.[¬e]""'  'Page 73:\n[¬s]""requency analysis revealed a population of 97% Caucasian and 3% Hispanic  57% male  9% Free and Reduced Meals (FARM) participation with 3% receiving free meals and 6% receiving reduced cost meals. [¬e]""']]",NA,NA
37671558,One to one tuition,NA,NA,NA,NA,NA,NA,NA,NA
37093560,Peer Tutoring,NA,"[['Page 3:\n[¬s]"" final sample that consisted of 6 Chapter 1 schools and 3 non-Chapter 1 schools.[¬e]""']]",NA,NA,NA,NA,NA,NA
37133917,Peer Tutoring,"The SES status of the school population nor students in the study sample was not specified. The description of the school locality as ""suburban"" may indicate that the majority of the school population were middle-class.   The strong link between SES and school attainment levels  particularly literacy measures  may mean that the ""low ability"" students in this sample were from working-class or impoverished backgrounds  or perhaps included students with learning difficulties and disabilities. ",NA,NA,NA,NA,NA,NA,NA
40117251,Extending school time,NA,NA,NA,"[['Page 4:\n[¬s]""Fifty-six (62%) received free lunch.[¬e]""']]",NA,NA,NA,NA
37092582,Parental engagement,NA,NA,NA,NA,NA,"[['Page 295:\n[¬s]""Students in the experimental groups represented three socioeconomic classes.[¬e]""'  'Page 299:\n[¬s]"" Students were enrolled in one of three schools: (1) an affluent suburban school on the south shore of Nassau County. NY; (2) a low socioeconomic multi-ethnic school located in Brooklyn  NY; and (3) a middle-class school in Queens  NY.[¬e]""']]",NA,NA
37133918,Peer Tutoring,54% tutor population FSM  64% nontutor population FSM,NA,NA,NA,NA,NA,NA,NA
37671515,Teaching assistants,NA,NA,Does not state how many children in the sample received FSM  however gives percentage for district. ,"[['Page 52:\n[¬s]""The present study took place in a large urban school district in Southeast Texas in which 80% of the students qualified for free or reduced lunch  an indicator of low- SES status.[¬e]""']]",NA,NA,NA,NA
38878253,Small Group Tuition,NA,NA,NA,NA,NA,NA,NA,NA
37671559,Teaching assistants,NA,NA,NA,NA,The only FSM information is given in Table 4 on pg140 and states whether FSM was higher  lower or average for each of the 4 schools in the study. ,NA,NA,NA
40117134,Teaching assistants,NA,NA,Total = 21.9%  Intervention= 25.75%  Control = 0%,NA,NA,NA,NA,NA
37671520,Teaching assistants,NA,NA,NA,NA,NA,NA,NA,NA
37092655,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37133919,Peer Tutoring,It is unclear whether African-American students involved in the intervention were from a lower SES than the wider school population or their non-African-American counterparts. It is mentioned that of the students participating  SES differences between participants were small.   In the literature it is cited that race and SES are highly correlated in the United States  with African-Americans making up higher percentages of lower incomes groups. However  the SES of the students involved in this study cannot be estimated without definitive data or description from the researcher. ,NA,NA,NA,NA,NA,NA,NA
37116213,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
37091033,Feedback,NA,NA,NA,NA,NA,"[['Page 1:\n[¬s]"" lived in an extremely poor area of a large city""\n"" (b) Family income: the median family income for the experimental-class pupils was $4 230  while the median family income for the control pupils was calculated to be $4 482.[¬e]""']]",NA,NA
39253318,NA,NA,NA,NA,"[['Page 3:\n[¬s]""34% of the Summerbridge participants qualified for free- or reduced-price lunch[¬e]""']]",NA,NA,NA,NA
40117135,Feedback,NA,NA,NA,NA,NA,NA,NA,NA
37671562,Teaching assistants,NA,NA,NA,"[['Page 3:\n[¬s]"" received free school meals (20-week intervention group 31%  10-week interven- tion group 38%) [¬e]""']]",NA,NA,NA,NA
40117175,NA,NA,NA,NA,"[['Page 44:\n[¬s]""The percentage of low income ranged from 48.5% to 68.9%.""\n"" School A reported 59.6% low income as based on free and reduced lunch counts ""\n""School B reported 68.9% low income as based on free and reduced lunch counts[¬e]""'  'Page 45:\n[¬s]""School C reported 60.4% low income based on free and reduced lunch counts ""\n""School D reported 59.4% low income based on free and reduced lunch counts""\n""School E reported 48.5% low income based on free and reduced lunch counts""\n""School F reported 68.2% low income based on free and reduced lunch counts [¬e]""']]",NA,NA,NA,NA
39253285,Summer schools,NA,NA,NA,"[['Page 85:\n[¬s]""Low-income Status No 2 2 Yes 28 28[¬e]""']]",NA,NA,NA,NA
40117136,NA,NA,NA,99.6% (Intervention school)  The comparison school: 53.8%,"[['Page 70:\n[¬s]"" The percentage of students eligible for the federal program of free/reduced lunches was 99.6% while the school system’s average was 30.7% and the state o f Georgia’s average was 43.2%[¬e]""'  'Page 71:\n[¬s]""with 53.8% of its students qualifying for the federal program o f free/reduced lunches. Th[¬e]""']]",most of the students came from low income housing with average annual family income of $9 000  80% of homes being single-parent homes,NA,NA,NA
37093480,Peer Tutoring,NA,NA,85%,NA,NA,"[['Page 54:\n[¬s]""the majority of the families represent lower-middle to lower socioeconomic groups (85% of the children qualify for federal lunch assistance)[¬e]""']]",NA,NA
37133921,Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA
39253320,Summer schools,NA,NA,NA,NA,Students are from low-middle to low income families. Two-parent homes tend to show one parent employed in a blue-collar occupation and one-parent homes tend to show unemployment. No parents were employed in white-collar occupations. With this population  it is estimated that one-parent homes outnumbered two-parent homes at a ratio of 3 to 1.,NA,NA,NA
40117252,Extending school time,NA,NA,92%,"[['Page 7:\n[¬s]"" low income (92% received free or reduced price lunch).[¬e]""'  'Page 93:\n[¬s]""Free/Reduced Price Lunch 92.2% 92.1% 92.5%[¬e]""']]",NA,NA,NA,NA
