itemids,NumberofClasses,TotalNumberofClasses
37671565,NA,30
40294914,NA,12
40117256,NA,NA
37092585,NA,NA
40117137,NA,NA
37671627,NA,6
37093568,NA,NA
37116222,NA,NA
40117257,NA,NA
37091034,NA,NA
37092606,NA,3
38296632,NA,NA
40117138,NA,NA
40117141,NA,NA
39253322,NA,NA
37092607,NA,NA
40294919,NA,NA
37092586,NA,NA
40294920,NA,2
40117142,NA,Not provided
37092670,NA,NA
37093356,NA,NA
40117259,NA,NA
40117258,NA,NA
40117206,NA,NA
39253323,NA,NA
40117260,NA,NA
37671606,No of classes calculated based on the information provided that Years 1 and 2 attended language groups. ,NA
40117283,NA,NA
38878267,NA,NA
40117284,NA,NA
39253220,"Children from grades 1,2 and 3 were included in the study",NA
39253291,NA,NA
40117261,NA,NA
39253292,NA,NA
38296633,NA,120
38296634,NA,NA
40294923,NA,NA
39253327,NA,NA
43090171,NA,NA
37092587,NA,NA
37092588,NA,NA
37671566,NA,NA
39253391,NA,NA
37093622,NA,NA
37093577,NA,20
37116235,NA,30
46325689,NA,NA
37116234,NA,22
38878258,NA,NA
40294924,NA,NA
39253392,NA,NA
40117146,NA,4
38296644,NA,NA
37092684,NA,NA
37093360,NA,NA
40117357,NA,NA
37671568,NA,1
39253295,NA,NA
40117358,NA,NA
39253296,Grade 2 students were included in the study from 2 schools.,2
37133945,NA,7
38296647,NA,NA
37671570,NA,NA
40294926,NA,1
37133947,NA,4
37093581,NA,5
37093579,NA,NA
37092589,NA,14
37671572,NA,NA
37091036,NA,NA
40117150,NA,NA
40117264,NA,NA
40117289,NA,NA
43090186,NA,NA
37061123,NA,2
40294931,NA,1
40294930,NA,4
40117359,NA,NA
40117214,NA,NA
37671607,NA,NA
37116214,NA,NA
37092701,NA,NA
37671575,NA,8
40117215,NA,NA
37133954,NA,4
38296657,NA,NA
37093585,NA,2
37092590,NA,2
37092703,"16 classes includes Groups 1 to 4, number of classes just for Groups 1 and 2 (aligning with coding comments given with this study) not provided.  3 schools also includes Groups 1 to 4 for the same reasons.  ",16
37092704,NA,8
39253393,NA,NA
40294937,NA,4
40117154,NA,NA
37133956,NA,3
37092591,NA,NA
40294939,NA,NA
37133957,NA,NA
39253299,NA,NA
38296659,NA,NA
37061141,NA,1
37061139,NA,NA
40294942,Subjects were fifth graders from three schools hence total classes are 3 with one 5th grade from each school.,3
37092708,NA,NA
40294947,NA,3
37093590,NA,1
37092592,NA,NA
38878269,NA,NA
40117157,NA,NA
37092593,Grade 4 students of 2 elementary schools were included in the study. So I assument total number of classes to be 2. ,2
40117291,NA,NA
38878270,NA,NA
38878271,NA,NA
37671611,NA,NA
39253229,NA,NA
39253334,NA,NA
37092715,NA,6
40117178,NA,NA
39253335,NA,NA
37092594,NA,3
37092778,NA,NA
38296661,NA,10
39253336,NA,NA
40117295,NA,NA
40117160,NA,2
37671612,NA,NA
38878272,NA,NA
37092595,NA,3
40294951,NA,3
40398944,NA,NA
37092719,NA,8
38296668,NA,NA
38296667,NA,NA
37133962,NA,NA
39253394,NA,NA
40117223,NA,NA
40117180,NA,NA
37092597,NA,2
37092598,2 classes,2
43090192,NA,NA
40294954,NA,NA
40294955,NA,NA
38296671,NA,NA
39253304,NA,NA
37093595,NA,12
38296672,NA,NA
40117166,NA,6
43090193,NA,NA
37671584,NA,NA
37671585,NA,NA
38296673,NA,NA
38296676,NA,NA
38296677,NA,NA
37133964,NA,4
37093596,NA,4
38878122,Not provided - refers to districts not schools.,NA
37093365,NA,4
40117298,NA,NA
37133968,NA,10
37092727,NA,1
40117168,NA,NA
38296682,NA,NA
37116236,8 classes were randomly assigned to 2 different conditions so it is assumed that each condition consists of 4 classes each. ,8
40117229,NA,NA
37093602,NA,6
37116233,NA,NA
37133971,NA,2
37093603,NA,21
38296685,NA,NA
37671586,NA,NA
37093606,NA,2
37671517,NA,NA
37092790,NA,2
37093367,NA,39
37061134,NA,2
40294957,NA,2
37093607,NA,NA
37133974,third grade students from 2 schools included in the study,4
45336793,NA,NA
45336794,NA,NA
40294958,NA,6
37133976,3rd and 6th grader students participated in the study,2
37061135,NA,NA
37092791,Since the study included fifth grade students it is assumed that total no. of classes to be 10 with 5/5 treatment control in 10 schools. ,10
37092612,NA,2
43090197,NA,NA
43090198,NA,NA
37133980,NA,4
37133982,NA,NA
37116207,NA,NA
38296692,NA,NA
38296693,NA,102
38296689,NA,NA
38878260,NA,NA
38878273,NA,NA
40398947,NA,NA
37093368,NA,NA
40117231,NA,NA
37092613,NA,NA
39253235,NA,NA
37133983,2,NA
37116208,NA,NA
40117363,NA,NA
39253306,NA,NA
40117360,NA,13
37671592,NA,19
37671636,NA,NA
37671638,NA,NA
40294961,NA,25
37671637,NA,30
43090199,NA,NA
37671588,NA,NA
37671589,NA,NA
37671614,NA,26 (assuming that the same classroom has only participated in Cohort 1 or 2)
37133984,NA,NA
37116237,Third and sixth grade students participated in the study,NA
37093609,NA,NA
40294962,NA,13
40117232,NA,NA
37092614,NA,NA
37092599,NA,1
37092600,NA,2
40117182,NA,NA
43090202,NA,1
39253308,NA,NA
39253238,NA,NA
37671616,NA,NA
37092796,NA,6
37133987,"2 classes- grade 6 (tutors), grade 8 (tutees). Control and treatment were within the class",2
37093610,NA,27
38296697,Year 5 and 6 pupils were included in the study,194
37092615,NA,49
39253240,4th grades from 7 schools ,7
39253241,NA,≤2
37092601,NA,4
37092602,NA,2
40294963,NA,2
39253243,NA,NA
40117171,Class size approximated from sample size given,≤40
37671591,NA,NA
37092800,NA,2
37116218,NA,2
37133992,NA,1
37092616,NA,NA
37092603,NA,10
39253343,NA,NA
40117237,NA,NA
40117361,NA,NA
37092801,NA,NA
39253395,NA,NA
39253396,NA,NA
