id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,kind_of_play,who_involved,play_focus
71090280,Dickinson (2019),2019,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Other outcome']",0.261,0.139,['Post-test adjusted for baseline attainment AND clustering'],Receptive vocabulary,With active control,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,16,16,['Nursery school/pre-school'],"['4', '5']",TRUE,100.0,['USA'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],25,4,13.5,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],['Children and adult staff'],['Language/ literacy']
71090284,Fisher (2013) 1_1,2013,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.0919,0.3414,['Post-test unadjusted (select one from this group)'],Atypical Shapes - Play based learning,With active control,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.0919,0.3414,NA,NA,NA,NA,NA,NA,40,NA,NA,['No information provided'],"['4', '5']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Unclear/ Not specified'],['No'],['No'],"['During regular school hours ', 'Other (please specify)']",['Research staff'],1,.2,not specified,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],['Children and adult staff'],['Mathematics']
74578001,Fisher (2013) 1_2,2013,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.7991,0.3299,['Post-test unadjusted (select one from this group)'],Atypical Shapes - Play based learning,With active control,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.7991,0.3299,NA,NA,NA,NA,NA,NA,40,NA,NA,['No information provided'],"['4', '5']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Unclear/ Not specified'],['No'],['No'],"['During regular school hours ', 'Other (please specify)']",['Research staff'],1,.2,15,['EY_Toolkit: Play-based learning'],['Free play'],['Children and adult staff'],['Mathematics']
71090288,Han (2010),2010,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Other outcome']",0.6883,0.2948,['Pre-post gain'],Picture naming gain scores,With active control,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,['Nursery school/pre-school'],"['4', '5']",TRUE,100.0,['USA'],['Individual RCT'],['Other (Explain in notes)'],['Yes (Please specify)'],['No'],['No'],['Unclear/ not specified'],['Research staff'],30.42 ,2,30,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],['Children and adult staff'],['Language/ literacy']
71090289,Jemutai (2019),2019,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Other outcome']",0.3731,0.2302,['Pre-post gain'],VPAT,With business as usual,['Sample: All'],Cognitive  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,2,2,['Nursery school/pre-school'],"['5', '6', '7']",NA,NA,"['Kenya', 'South Africa']",['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],19,5,40,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],['Children and adult staff'],"['Language/ literacy', 'Mathematics']"
71969375,Macdonald (2017) EY_PBL,2017,['Technical report'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Reading primary outcome']",0.054,0.011,['Post-test adjusted for baseline attainment AND clustering'],Reading comprehension (Grade 1),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.054,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,73,90,"['Primary/elementary school', 'Independent/private school']","['5', '6']",NA,NA,['Tonga'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],"['During regular school hours ', 'Other (please specify)', 'Unclear/ not specified']","['Class teachers', 'Parents/carers', 'Lay persons/volunteers']",30,2,120,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],"['Children and adult staff', 'Children and parents']",['Language/ literacy']
78361838,McGivern (2007),2007,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.3616,0.4468,['Post-test unadjusted (select one from this group)'],Numbers  Computer games ,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],['Reading primary outcome'],1.7499,0.5163,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.3616,0.4468,NA,NA,NA,NA,NA,NA,39,1,2,['Nursery school/pre-school'],['4'],NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Unclear/ Not specified'],['Yes'],['No'],['During regular school hours '],['Digital technology'],14,2,25,['EY_Toolkit: Play-based learning'],['Games or other structured or directed play activities'],['Early years children only'],['Mathematics']
74671371,Morrow (1990) 1_1,1990,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Reading primary outcome']",1.0613,0.2435,['Post-test unadjusted (select one from this group)'],Reading behaviours  PBL,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",1.0613,0.2435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,6,['Nursery school/pre-school'],"['3', '4']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Other school staff', 'Teaching assistants']",Not specified,Not specified,Not specified,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],['Children and adult staff'],['Language/ literacy']
74671376,Pellegrini (1982),1982,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4927,0.4156,['Post-test unadjusted (select one from this group)'],CRT (Total Recall),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4927,0.4156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Research staff'],not specified,not specified,30,['EY_Toolkit: Play-based learning'],['Socio-dramatic or pretend play'],['Children and adult staff'],['Language/ literacy']
68655345,Robinson-Smith (2019),2019,['Technical report'],"['Parental engagement', 'EY_Play-based learning', 'EY_Parental engagement']","['Toolkit primary outcome', 'Other outcome']",0.04,0.0714,['Post-test adjusted for baseline attainment'],Core Language Standard Score - parental engagement,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1205,102,NA,['Nursery school/pre-school'],"['3', '4']",FALSE,47.2,['England'],['Cluster RCT'],"['Other (Explain in notes)', 'One to one']",['Yes (Please specify)'],['Yes'],['Yes'],"['Before/after school', 'Evenings and/or weekends']",['Parents/carers'],20,1,2.5,"['Toolkit: Parental engagement', 'EY_Toolkit: Play-based learning']",['Guided or facilitated play'],['Children and parents'],"['Language/ literacy', 'Social/ emotional development']"
71090299,Schmitt (2018),2018,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3512,0.2671,['Post-test unadjusted (select one from this group)'],Mathematical Language (post test),With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3512,0.2671,NA,NA,NA,NA,NA,NA,59,9,NA,['Nursery school/pre-school'],"['3', '4', '5', '6']",NA,NA,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],7,2,17.5,['EY_Toolkit: Play-based learning'],['Guided or facilitated play'],['Early years children only'],['Mathematics']
71969401,Worku (2018),2018,['Journal article'],['EY_Play-based learning'],"['Toolkit primary outcome', 'Other outcome']",0.55,0.234,['Post-test adjusted for baseline attainment'],Language (at 6 months),With no equivalent teaching,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,['Home'],"['3', '4']",TRUE,100.0,['Ethiopia'],['Individual RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['Yes'],['Other (please specify)'],"['Research staff', 'Parents/carers']",26,1,60,['EY_Toolkit: Play-based learning'],"['Guided or facilitated play', 'Games or other structured or directed play activities']",['Children and parents'],"['Language/ literacy', 'Physical development (gross or fine motor skills)', 'Social/ emotional development']"
