id,pub_author,pub_year,pub_type_raw,strand_raw,toolkit_version,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,pt_tut_desc,pt_tut_desc_same_age,pt_tut_desc_cross_age,pt_same_age_attainment,pt_cross_age_attainment,pt_tut_from,pt_tut_role,pt_tutee_attain_level,pt_digit_tech,pt_incentive
74069951,Dean (1990),1990,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Other outcome']",1.0222,0.2668,['Post-test unadjusted (select one from this group)'],T&T_Cognitive test,With business as usual,['Sample: All'],Languages,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1,1,['Middle school'],"['10', '12']",NA,NA,['England'],['Individual RCT'],['Paired learning'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Peers'],4,1,30,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Matched to same relative level of attainment'],['From the same school'],['No'],['Low attaining'],['No'],['No']
74069952,Dill (2000),2000,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0228,0.2887,['Post-test unadjusted (select one from this group)'],REC_recall posttest ,With active control,['Sample: Low achievers'],Literacy  reading other,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0228,0.2887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1,3,['Primary/elementary school'],"['10', '11']",TRUE,97,['USA'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Research staff', 'Peers']",1,1,30,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,['From the same school'],['Yes'],['Not mentioned'],['No'],['Yes']
74069953,Ding (2011),2011,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Science primary outcome']",0.4956,0.2541,['Post-test unadjusted (select one from this group)'],REC_Peer tutoring v individual Delayed Posttest table 5,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.4956,0.2541,NA,NA,NA,96,1,3,['Secondary/High school'],['17'],NA,NA,['China'],['Individual RCT'],['Paired learning'],['No'],['No'],['No'],['During regular school hours '],['Peers'],4,2,40,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,['From the same school'],['Yes'],['Not mentioned'],['No'],['No']
74069956,Ensergueix (2011) 1_1,2011,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Other outcome']",2.786,0.414,['Post-test unadjusted (select one from this group)'],REC_Declarative Knowledge,With active control,['Sample: All'],Curriculum  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1,3,['Secondary/High school'],"['11', '12', '13', '14']",NA,NA,['France'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],8,1,Not specified,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)', 'Cross-age (i.e. different school year from tutees)']","['Same-age as tutees (if yes, select one from drop down)']",['Cross-age (i.e. different school year from tutees)'],['matched to different level of attainment'],['Not matched on attainment'],['From the same school'],['Yes'],['Mixed'],['Yes'],['No']
74069957,Ensergueix (2011) 1_2,2011,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Other outcome']",0.037,0.2887,['Post-test unadjusted (select one from this group)'],REC_Declarative Knowledge,With active control,['Sample: All'],Curriculum  other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1,3,['Secondary/High school'],"['11', '12', '13', '14']",NA,NA,['France'],['Individual RCT'],"['Large group/class teaching (+6)', 'Other (Explain in notes)']",['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],8,1,Not specified,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)', 'Cross-age (i.e. different school year from tutees)']","['Same-age as tutees (if yes, select one from drop down)']",['Cross-age (i.e. different school year from tutees)'],['matched to same level of attainment'],['Not matched on attainment'],['From the same school'],['Yes'],['Mixed'],['Yes'],['No']
74069958,Flores (2016),2016,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",1.13,0.123,['Post-test adjusted for baseline attainment'],TE_SUB_F ratio intervention tutees v control table 1,With active control,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.13,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,10,NA,['Primary/elementary school'],"['6', '7', '8', '9', '10', '11']",NA,NA,['Spain'],['Individual RCT'],['Paired learning'],['Unclear/ Not specified'],['Yes'],['No'],['Unclear/ not specified'],['Class teachers'],12,2,30,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)', 'Cross-age (i.e. different school year from tutees)']","['Same-age as tutees (if yes, select one from drop down)']",['Cross-age (i.e. different school year from tutees)'],['not matched on attainment'],['Not matched on attainment'],['From the same school'],['Yes'],['Not mentioned'],['Yes'],['No']
74069960,Greene (2018),2018,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.6517,0.3379,['Post-test adjusted for baseline attainment'],T&T_Mathematics fluency,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.6517,0.3379,NA,NA,NA,NA,NA,NA,41,1,NA,['Primary/elementary school'],"['8', '9', '10', '11', '12']",NA,NA,['Ireland'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],8,3,30,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Matched to same relative level of attainment'],['From the same school'],['No'],['Not mentioned'],['No'],['No']
74069961,Greenwood (1991),1991,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",1.1016,0.1265,['Post-test unadjusted (select one from this group)'],T&T_Academic Activity Composite,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.1016,0.1265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,9,NA,['Primary/elementary school'],"['5', '6', '7', '8']",TRUE,100,['USA'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",152,5,90,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,['From the same school'],['No'],['Not mentioned'],['No'],['Yes']
74069962,Gyanani (1995),1995,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Other outcome']",0.3166,0.098,['Post-test unadjusted (select one from this group)'],T&T_Verbal & Spatial Ability (Geography),With business as usual,['Sample: All'],Curriculum  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,5,NA,['Secondary/High school'],"['14', '15', '16', '11', '12', '13']",NA,NA,['India'],['Prospective QED'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],10,Not specified,20,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to same level of attainment'],NA,['From the same school'],['Yes'],['Not mentioned'],['No'],['No']
74069963,Hattie (2006),2006,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1076,0.187,['Post-test unadjusted (select one from this group)'],TE_PRI Sunshine Fluency,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1076,0.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,13,NA,['Primary/elementary school'],"['7', '8', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],7.5,2,Not specified,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Not matched on attainment'],['From the same school'],['No'],['Low attaining'],['No'],['No']
74069964,Johnson (2011),2011,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Other outcome']",0.5832,0.1785,['Post-test unadjusted (select one from this group)'],REC Rhythmic reading test,With business as usual,['Sample: All'],Arts,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,1,NA,['Secondary/High school'],"['11', '12', '13', '14', '15', '16']",TRUE,78,['USA'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],2,2,30,['Toolkit: Peer Tutoring'],"['Cross-age (i.e. different school year from tutees)', 'Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",['Cross-age (i.e. different school year from tutees)'],['not matched on attainment'],['Not matched on attainment'],['From the same school'],['Yes'],['Not mentioned'],['No'],['No']
74069965,Kotsopoulos (2009),2009,['Dissertation or thesis'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.8529,0.3219,['Post-test unadjusted (select one from this group)'],TE_PRI_WIAT Written Expression total table 5a and 5d,With active control,['Sample: Low achievers'],Literacy  writing,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,NA,['Secondary/High school'],"['14', '15']",NA,NA,['Canada'],['Individual RCT'],"['Large group/class teaching (+6)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],38,1,80,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Not matched on attainment'],['From the same school'],['No'],['Low attaining'],['No'],['No']
74069966,Lee (2014),2014,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4232,0.1974,['Post-test unadjusted (select one from this group)'],T&T_Reading skills (posttest),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4232,0.1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,3,6,['Primary/elementary school'],"['8', '9']",NA,NA,['South Korea / Republic of Korea'],['Retrospective QED  '],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",8,4,20,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,NA,['No'],['Low attaining'],['No'],['No']
74069967,Li (2006) 1_1,2006,['Dissertation or thesis'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.4877,0.1654,['Post-test adjusted for baseline attainment AND clustering'],T&T_ Reading comprehension test (RSA vs SA),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.4877,0.1654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,8,18,['Primary/elementary school'],"['11', '12', '13']",NA,NA,['China'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['Before/after school'],['Peers'],38,1,90,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to same level of attainment'],NA,['From the same school'],['Yes'],['Not mentioned'],['No'],['No']
74069968,Li (2006) 1_2,2006,['Dissertation or thesis'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5092,0.1572,['Post-test unadjusted (select one from this group)'],T&T_Reading comprehension (CA vs RS),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5092,0.1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,624,8,18,['Primary/elementary school'],"['10', '11']",NA,NA,['China'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],38,1,90,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Matched to same relative level of attainment'],NA,['No'],['Mixed'],['No'],['No']
74069969,Li (2006) 1_3,2006,['Dissertation or thesis'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3607,0.1141,['Post-test unadjusted (select one from this group)'],T&T_Reading comprehension test (RSA vs RS),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3607,0.1141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,8,24,['Primary/elementary school'],"['7', '8']",NA,NA,['China'],['Retrospective QED  '],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['Before/after school'],"['Class teachers', 'Peers']",38,1,120,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to same level of attainment'],NA,NA,['Yes'],['Not mentioned'],['No'],['No']
74069970,Li (2006) 1_4,2006,['Dissertation or thesis'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",0,0.1117,['Post-test unadjusted (select one from this group)'],T&T_Reading comprehension test (CA vs RS),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0,0.1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,8,24,['Primary/elementary school'],"['7', '8']",TRUE,70,['China'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],38,1,90,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Matched to same relative level of attainment'],['From the same school'],['No'],['Mixed'],['No'],['No']
74069971,Li (2012) 1_1,2012,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Other outcome']",0.615,0.26,['Post-test adjusted for baseline attainment AND clustering'],TE_PRI_Non Monetary ES from page 344,With business as usual,['Sample: Low achievers'],Curriculum  other,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,2,22,['Primary/elementary school'],"['7', '8', '9', '10', '11', '12']",NA,NA,['China'],"['Cluster RCT', 'Prospective QED']",['Paired learning'],['Unclear/ Not specified'],['No'],['No'],['Other (please specify)'],['Peers'],19,5,Not specified,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,['From the same school'],['No'],['Low attaining'],['No'],['No']
74069972,Li (2012) 1_2,2012,['Journal article'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Other outcome']",0.5673,0.2749,['Post-test adjusted for baseline attainment'],TE_PRI_Academic performance (combined ES),With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,2,19,['Primary/elementary school'],"['7', '8', '9', '10', '11', '12']",NA,NA,['China'],['Cluster RCT'],['Paired learning'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Peers'],not specified,not specified,not specified,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,NA,['No'],['Low attaining'],['No'],['Yes']
74069973,Mackley (2009),2009,['Dissertation or thesis'],['Peer tutoring'],['MT_2023 (in progress)'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5896,0.4843,['Post-test unadjusted (select one from this group)'],REC_LNF DIBELS,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5896,0.4843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,2,['Primary/elementary school'],"['5', '6']",TRUE,83,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Peers', 'Class teachers']",12,4,20,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],['matched to different level of attainment'],['Not matched on attainment'],['From the same school'],['Yes'],"['Low attaining', 'Average']",['No'],['No']
