StudyID,Strand,CurriculumSubjectsTested,CurriculumSubjectsTestedComments,CurriculumSubjectsTestedCommentsHT
40117274,Small Group Tuition,['Mathematics'],NA,NA
37093506,Peer Tutoring,"['Reading comprehension', 'Reading other']",vocabulary fluency,"['Page 3:\n[¬s]""The literacy-related outcomes[¬e]""', 'Page 3:\n[¬s]"" reading fluency[¬e]""']"
37092577,Feedback,['Writing'],NA,"['Page 10:\n[¬s]""To address instructional effects on writing quality,[¬e]""']"
37133895,Peer Tutoring,['Mathematics'],NA,NA
39253205,NA,['Mathematics'],NA,NA
37092578,Feedback,['Reading comprehension'],NA,"['Page 8:\n[¬s]""We constructed a comprehension test similar to the one the students would be tested with later that spring, one consisting of both open-ended as well as multiple-choice test items. For this purpose we selected retired, published com- prehension items from the Colorado Student Assessment Program (CSAP) to test comprehension performance of the students prior to and following the summary practice sessions.[¬e]""', 'Page 9:\n[¬s]""To analyze students\x92 comprehension performance, the test items of the two test versions were first categorized into the following groups: summary ques- tions, inference questions, vocabulary questions, fact-finding questions and a few questions, labeled \x93other,\x94 that did not fit these categories.[¬e]""']"
37671552,Teaching assistants,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",NA,NA
37671553,Teaching assistants,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",NA,"['Page 3:\n[¬s]""Listening comprehension: [¬e]""', 'Page 3:\n[¬s]""Language skills. Vocabulary:[¬e]""']"
37091029,Feedback,['Reading comprehension'],NA,NA
37092579,Feedback,['Spelling'],NA,NA
37092580,Feedback,['Spelling'],NA,"['Page 2:\n[¬s]""spell ing goal,[¬e]""']"
37092581,Feedback,['Spelling'],NA,"['Page 4:\n[¬s]""The accuracy with which teachers imple\xad mented treatments was assessed using the Spelling-Modified Accuracy of Implemen\xad tation Rating Scale-Revised (S-MAIRS; Fuchs, 1988),[¬e]""']"
40294904,Feedback,['Mathematics'],NA,NA
37093553,Peer Tutoring,['Mathematics'],"mathematics operations (i.e., acquisition) and concepts/applications (i.e., trans­ fer) ","['Page 11:\n[¬s]""The transfer measure was the Mathe\xad matics Concepts and Applications Test (Stecker, Fuchs, & Hamlett, 1992), which systematically samples problems across Grades 1 through 6 from the concepts/appli- cations portions of the Tennessee curricu\xad lum (i.e., numeration, concepts, geometry, measurement, charts and graphs, money, word problems)[¬e]""']"
37093549,Peer Tutoring,['Reading other'],"Students engage in three strategic reading activities more typically addressed during teacher-directed instruction: partner read- ing with retell, paragraph summary, and prediction relay. ","['Page 13:\n[¬s]""Reading activities. Students engage in three strategic reading activities more typically addressed during teacher-directed instruction: partner read- ing with retell, paragraph summary, and prediction relay.[¬e]""']"
37093550,Peer Tutoring,['Mathematics'],"conceptual mathematical explanationsnumber concepts, counting, word prob­ lems, charts/graphs, money, measurement, geometry, or computation.","['Page 10:\n[¬s]""The PMI ac\xad tivities were designed for the comprehen\xad sive mathematics curriculum so that differ\xad ent dyads could work simultaneously on number concepts, counting, word prob\xad lems, charts/graphs, money, measurement, geometry, or computation[¬e]""']"
37093524,Peer Tutoring,['Mathematics']," Numeration, number concepts, measurement, money, charts and graphs, word problems, computation","['Page 16:\n[¬s]""d the Comprehensive Mathe""\n""ades 1-6. The Operations portion of this test includes 50 mathematical operation problems involving addition, sub- traction, multiplication, and division of whole numbers, decimals, and fractions. The Concepts/Applications portion presents students with 50 concept and application questions, in[¬e]""']"
37133902,Peer Tutoring,['Mathematics'],"num­ ber concepts, counting, story problems, charts/graphs, money, measurement, ge­ ometry, or computation.","['Page 7:\n[¬s]""num\xad ber concepts, counting, story problems, charts/graphs, money, measurement, ge\xad ometry, or computation.[¬e]""']"
37093618,Peer Tutoring,"['Reading other', 'Reading comprehension']",NA,"['Page 4:\n[¬s]""Every day, the first PALS activity is Partner Reading, designed to improve students\x92 reading accuracy and fluency.[¬e]""', 'Page 5:\n[¬s]""The last activity, Prediction Relay, extends Paragraph Shrinking to larger chunks of text and requires students to formulate and (dis)confirm predictions.[¬e]""', 'Page 4:\n[¬s]""The second PALS activity, designed to develop compre- hension through summarization and main idea identification[¬e]""']"
37093551,Peer Tutoring,"['Reading comprehension', 'Literacy (first language']",NA,"['Page 6:\n[¬s]""Each PALS session comprised three ac\xad tivities: partner reading, paragraph shrink\xad ing (which is similar to paragraph summa\xad rization), and prediction relay.[¬e]""', 'Page 6:\n[¬s]""Each PALS session comprised three ac\xad tivities: partner reading, paragraph shrink\xad ing [¬e]""']"
37093523,Peer Tutoring,['Mathematics'],NA,NA
37116212,Peer Tutoring,['Mathematics'],NA,"['Page 1:\n[¬s]"" mathematics development.[¬e]""']"
40117132,NA,"['Mathematics', 'Reading comprehension']",NA,NA
37133906,Peer Tutoring,"['Reading comprehension', 'Speaking and listening/Oral language']",NA,NA
37093555,Peer Tutoring,"['Reading other', 'Reading comprehension']",NA,NA
40117276,Extending school time,"['Writing', 'Reading comprehension', 'Speaking and listening/Oral language', 'Reading other']",CAT Reading vocabulary and Language mechanics,"['Page 9:\n[¬s]"" independent writing samples based upon content from the social studies learning standards[¬e]""', 'Page 9:\n[¬s]""reading passages with multiple- choice questions,[¬e]""', 'Page 9:\n[¬s]""reading and listening passages with written responses[¬e]""']"
37061127,Feedback,['Languages'],NA,"['Page 3:\n[¬s]"" ENGLISH AS A SECOND LANGUAGE[¬e]""']"
37671623,Teaching assistants,['Decoding/phonics'],NA,NA
37093477,Peer Tutoring,"['Mathematics', 'Other curriculum test']","This study also measured  - children's self-perceptions, including scholastic competence, social acceptance, behavioural conduct, athletic competence, physical appearance and global self-worth - peer tutoring student behaviour ","['Page 4:\n[¬s]""Peer Tutoring Interaction Coding System. Student behavior recorded during the peer tutoring Generalization Probe was coded using an interval recording system developed by the authors.[¬e]""', 'Page 6:\n[¬s]""Self-Perception Profilefor Children (Harter, 1985). This measure consists of 36 items designed to measure children\'s self-perceptions across several domains: scholastic competence, social acceptance, behavioral conduct, athletic compe- tence, physical appearance, and global self-worth (Harter, 1985)[¬e]""']"
37093478,Peer Tutoring,['Mathematics'],NA,NA
37092650,Feedback,"['Science', 'Reading comprehension']",NA,NA
37133911,Peer Tutoring,['Mathematics'],NA,NA
37671603,Teaching assistants,"['Decoding/phonics', 'Reading comprehension']",NA,NA
38296617,Teaching assistants,"['Reading comprehension', 'Reading other']",NA,NA
38296615,Feedback,['Reading comprehension'],NA,NA
38296616,Feedback,['Reading comprehension'],NA,NA
40117250,Extending school time,NA,NA,NA
38878252,Small Group Tuition,NA,NA,NA
37093559,Peer Tutoring,['Reading comprehension'],NA,NA
37671634,Teaching assistants,"['Mathematics', 'Reading comprehension']",NA,"['Page 4:\n[¬s]""The CAAS system provides mea- sures of how rapidly students com- plete tasks by speaking into a micro- phone once a word, a cloze sentence, or a number fact appears on the computer screen.[¬e]""', 'Page 5:\n[¬s]"" The PAT scores were used as an indication of studentsÕ ca- pacity to engage successfully with more complex tasks, such as mathematical problem solving and text comprehen- sion.[¬e]""', 'Page 4:\n[¬s]""The CAAS system provides mea- sures of how rapidly students com- plete tasks by speaking into a micro- phone once a word, a cloze sentence, or a number fact appears on the computer screen.[¬e]""', 'Page 5:\n[¬s]"" The PAT scores were used as an indication of studentsÕ ca- pacity to engage successfully with more complex tasks, such as mathematical problem solving and text comprehen- sion.[¬e]""']"
37671557,Teaching assistants,"['Decoding/phonics', 'Speaking and listening/Oral language']",NA,"['Page 65:\n[¬s]""The DIBELS kindergarten measures consist of four standardized, individually administered subtests: Initial Sound Fluency (ISF) (average reliability is estimated at .91 with predictive validity of .48 mid-year and .36 at year-end), Letter Naming Fluency (LNF) (criterion-related validity is .70 with alternate-form reliability of .88 and predictive validity of .65 and .71), Phoneme Segmentation Fluency (PSF) (alternate-form/two-week reliability is .79 in May of kindergarten with validity of .50), and Nonsense Word Fluency (NWF) (one-month, alternate-form reliability is reported as .83 in January of first grade with a criterion-validity of .59) (University of Oregon, 2002). Descriptions of the individual subtests may be found in Appendix B.[¬e]""', 'Page 65:\n[¬s]""The DIBELS kindergarten measures consist of four standardized, individually administered subtests: Initial Sound Fluency (ISF) (average reliability is estimated at .91 with predictive validity of .48 mid-year and .36 at year-end), Letter Naming Fluency (LNF) (criterion-related validity is .70 with alternate-form reliability of .88 and predictive validity of .65 and .71), Phoneme Segmentation Fluency (PSF) (alternate-form/two-week reliability is .79 in May of kindergarten with validity of .50), and Nonsense Word Fluency (NWF) (one-month, alternate-form reliability is reported as .83 in January of first grade with a criterion-validity of .59) (University of Oregon, 2002). Descriptions of the individual subtests may be found in Appendix B.[¬e]""']"
37671558,One to one tuition,"['Decoding/phonics', 'Reading other']",NA,"['Page 6:\n[¬s]"" each pupilÕs reading ability was collated using the Word Recognition and Phonics Skills test (WraPS).[¬e]""']"
37093560,Peer Tutoring,['Other curriculum test'],tests IQ,NA
37133917,Peer Tutoring,"['Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",NA,NA
40117251,Extending school time,['Science'],NA,NA
37092582,Parental engagement,['Writing'],NA,NA
37133918,Peer Tutoring,"['Decoding/phonics', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",NA,NA
37671515,Teaching assistants,"['Reading comprehension', 'Reading other']",NA,NA
38878253,Small Group Tuition,"['Decoding/phonics', 'Reading comprehension', 'Reading other', 'Speaking and listening/Oral language']",NA,NA
37671559,Teaching assistants,['Reading comprehension'],NA,NA
40117134,Teaching assistants,"['Mathematics', 'Reading comprehension']",NA,NA
37671520,Teaching assistants,"['Reading comprehension', 'Reading other']",NA,NA
37092655,Feedback,"['Mathematics', 'Science', 'Social studies']",NA,NA
37133919,Peer Tutoring,['Mathematics'],NA,NA
37116213,Peer Tutoring,['Mathematics'],NA,NA
37091033,Feedback,"['Mathematics', 'Decoding/phonics', 'Reading comprehension']",NA,NA
39253318,NA,"['Writing', 'Mathematics', 'Science', 'Social studies', 'Reading comprehension']",NA,NA
40117135,Feedback,"['Mathematics', 'Reading comprehension']",NA,NA
37671562,Teaching assistants,"['Reading comprehension', 'Decoding/phonics', 'Speaking and listening/Oral language']",NA,NA
40117175,NA,['Reading other'],NA,NA
39253285,Summer schools,"['Writing', 'Mathematics', 'Reading comprehension']",Only specifies 'reading',NA
40117136,NA,"['Mathematics', 'Reading other']",Total Reading score (ITBS),NA
37093480,Peer Tutoring,['Mathematics'],NA,NA
37133921,Peer Tutoring,"['Reading comprehension', 'Reading other']",Reading fluency,NA
39253320,Summer schools,"['Mathematics', 'Reading comprehension', 'Reading other']",The reading areas of the CTBS contains reading vocabu­ lary and reading comprehension tests.,"['Page 60:\n[¬s]""The mathematics area of the CTBS contains mathematics computation and mathematics concepts and applications t e s t s . The computation t e s t contains items in subtraction,[¬e]""', 'Page 61:\n[¬s]""addition and multiplication. The concepts and applications t e s t measures s k i l l s in basic operations, numbers and numeration, s e t s , measurements, and some fractions. I t measures the a b i l i t y to recognize or apply appropriate concepts or techniques and the a b i l i t y to solve problems.[¬e]""', 'Page 60:\n[¬s]"" In the reading comprehension area, the student reads passages, l e t t e r s , poems, and a r t i c l e s and then answers questions measuring l i t e r a l re\xad c a l l , identification of main idea, a b i l i t y to draw conclu\xad sions, and other reading s k i l l s .[¬e]""']"
40117252,Extending school time,"['Mathematics', 'Reading other']",NA,NA
40117253,Extending school time,['Mathematics'],NA,NA
40398941,Teaching assistants,['Mathematics'],NA,NA
37092584,Feedback,['Writing'],NA,NA
37671521,Teaching assistants,['Mathematics'],NA,NA
39253321,Summer schools,"['Reading comprehension', 'Reading other']",Vocabulary,NA
37092768,Feedback,['Science'],NA,NA
37671626,Teaching assistants,['Decoding/phonics'],NA,NA
37671605,Teaching assistants,['Decoding/phonics'],NA,NA
37061117,NA,['Social studies'],History,NA
37133923,Peer Tutoring,['Mathematics'],NA,NA
37116224,Peer Tutoring,['Reading comprehension'],NA,NA
39253390,Summer schools,"['Mathematics', 'Reading other']",NA,NA
37061115,Feedback,"['Mathematics', 'Science']",NA,NA
37093509,Peer Tutoring,"['Decoding/phonics', 'Spelling', 'Reading comprehension', 'Reading other']","Strategies included read- ing for meaning, becoming independent in word recognition through the use of decoding and self- monitoring strategies, learning to spell by hearing sounds in words, spelling the sounds with letters, attending to letter order, using high-frequency words, selecting books at appropriate reading lev- els, and using metacognitive reading strategies.","['Page 4:\n[¬s]""trategies included read- ing for meaning, becoming independent in word recognition through the use of decoding and self- monitoring strategies, learning to spell by hearing sounds in words, spelling the sounds with letters, attending to letter order, using high-frequency words, selecting books at appropriate reading lev- els, and using metacognitive reading strategies. They were also given opportunities for indepen- dent learning and were continually supported in their re[¬e]""', 'Page 4:\n[¬s]""trategies included read- ing for meaning, becoming independent in word recognition through the use of decoding and self- monitoring strategies, learning to spell by hearing sounds in words, spelling the sounds with letters, attending to letter order, using high-frequency words, selecting books at appropriate reading lev- els, and using metacognitive reading strategies. They were also given opportunities for indepen- dent learning[¬e]""', 'Page 4:\n[¬s]""Strategies included read- ing for meaning, becoming independent in word recognition through the use of decoding and self- monitoring strategies, learning to spell by hearing sounds in words, spelling the sounds with letters, attending to letter order, using high-frequency words, selecting books at appropriate reading lev- els, and using metacognitive reading strategies. They were also given opportunities for indepen- dent learning and were continually supported in their reading and instructional efforts by their teacher.[¬e]""', 'Page 4:\n[¬s]""Strategies included read- ing for meaning, becoming independent in word recognition through the use of decoding and self- monitoring strategies, learning to spell by hearing sounds in words, spelling the sounds with letters, attending to letter order, using high-frequency words, selecting books at appropriate reading lev- els, and using metacognitive reading strategies. They were also given opportunities for indepen- dent learning and were continually supported in their re[¬e]""']"
37671565,Teaching assistants,"['Mathematics', 'Spelling', 'Reading other']",NA,NA
40294914,Peer Tutoring,NA,NA,NA
40117256,NA,"['Mathematics', 'Science', 'Social studies']",NA,NA
37092585,Feedback,['Writing'],NA,NA
