id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN
74069975,Martí-Alcaide (2021),2021,['Peer tutoring'],NA,['MT_2023 (in progress)'],Maths Post test v pre test table 4,,NA,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.6251,,0.4859,,Mathematics,,9,,8.29,,1,,9,,7.16,,2.22,,-0.3273,,1.5775,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: School-developed test'],
74069976,Mastropieri (2005),2005,['Peer tutoring'],NA,['MT_2023 (in progress)'],Chemistry Posttest Peer tutoring v traditional control special ed and general ed combined table 2,,Researcher made chemistry test,,"['Toolkit primary outcome', 'Science primary outcome']",,0.7925,,0.334,,Science,,19,,21.688,,5.587,,20,,16.856,,6.316,,0.1378,,1.4473,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
74069977,Mattatall (2017),2017,['Peer tutoring'],NA,['MT_2023 (in progress)'],Reading f ratio in text page 163,,DRA district reading test,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2707,,0.058,,Literacy: reading other,,NA,,NA,,NA,,NA,,NA,,NA,,0.157,,0.3844,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: School-developed test'],
74069978,McDuffie (2009) 1_1,2009,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Peer Tutoring vs non Peer Tutoring table 2,,Cumulative academic content measures,,"['Toolkit primary outcome', 'Other outcome']",,0.113,,0.1437,,Combined subjects,,98,,0.67,,0.168,,96,,0.651,,0.167,,-0.1687,,0.3947,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: School-developed test'],
74069981,Mitchell (2016),2016,['Peer tutoring'],NA,['MT_2023 (in progress)'],Gain second grade tutees post vs pre,,Dictated words correct,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2721,,0.3288,,Literacy: spelling,,28,,41.8,,7.9,,14,,39.6,,8,,-0.3724,,0.9166,,Primary outcome,,['Sample: All'],,NA,,['Pre-post gain'],,['Test type: Standardised test '],
74069982,Müller (2016),2016,['Peer tutoring'],NA,['MT_2023 (in progress)'],ELFE tutees posttest reading strategy v control,,standardised reading comprehension test,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3138,,0.2441,,Literacy: reading comprehension,,34,,8.85,,3.14,,34,,7.85,,3.16,,-0.1646,,0.7923,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
74069984,Ohadugha (2020),2020,['Peer tutoring'],NA,['MT_2023 (in progress)'],BCSAT,,"Basic Computer Skill Acquisition Test (BCSAT) contained questions drawn from related WASCE past questions papers on Computer Science. The test instrument has two sections. Section A which contained twenty (20) items multiple choice questions was aimed at testing students’ theoretical knowledge while section B which had five questions, each containing practical demonstrative steps aimed at testing students’ psychomotor skills as well as their practical utilization of the computer which covered topics on Word Processor, the Internet and Email.",,"['Toolkit primary outcome', 'Other outcome']",,2.94,,0.3225,,Curriculum: other,,NA,,NA,,NA,,NA,,NA,,NA,,2.3079,,3.5721,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],
74069985,Oloyede (2019),2019,['Peer tutoring'],NA,['MT_2023 (in progress)'],CAT (PT vs TE),,"The questions for Chemistry Achievement Test were obtained from past questions of West Africa Examination Council (WAEC) in Chemistry. The CAT consisted of two sections. Section A dealt with personal data of the students with respect to; name, age, class and sex.",,"['Toolkit primary outcome', 'Science primary outcome']",,1.24,,0.25,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,0.75,,1.73,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
74069986,Olulowo (2020),2020,['Peer tutoring'],NA,['MT_2023 (in progress)'],FAAT,,NA,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,3.6184,,0.2828,,Mathematics,,53,,23.302,,0.35,,84,,15.648,,0.243,,3.0641,,4.1726,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],
74069987,Onabanjo (2006),2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],MAT,,Mathematics achievement test (MAT),,"['Toolkit primary outcome', 'Mathematics primary outcome']",,2.4425,,0.1579,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,2.133,,2.752,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],
74069988,Pastore (2008),2008,['Peer tutoring'],NA,['MT_2023 (in progress)'],Reading comprehension achievement,,"Following the full-scale intervention, I collected posttest data across all groups utilizing a test with the same type and difficulty of questions with different passages",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.2733,,0.7136,,Literacy: reading comprehension,,4,,4.5,,13.5,,4,,0.5,,11.9,,-1.1253,,1.672,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
74070002,Takala (2006),2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],Standardised reading comp hierachy posttest table 5,,"The hierarchy-rating test (Lyytinen & Lehto, 1998)",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.3236,,0.1624,,Literacy: reading comprehension,,74,,11.55,,3.558,,80,,10.369,,3.699,,0.0053,,0.6418,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],
74070008,Ullah (2018),2018,['Peer tutoring'],NA,['MT_2023 (in progress)'],T&T_Peer tutoring v control table 4,,Researcher dev 50 marks biology comprehension,,"['Toolkit primary outcome', 'Science primary outcome']",,1.3015,,0.3514,,Science,,20,,36.05,,5.4,,20,,27.25,,7.66,,0.6127,,1.9903,,Primary outcome,,['Sample: Low achievers'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Researcher developed test'],
74070009,Ullah (2020),2020,['Peer tutoring'],NA,['MT_2023 (in progress)'],NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
74578044,Van Keer (2004) 1_2,2004,['Peer tutoring'],NA,['MT_2023 (in progress)'],Reading Comp Posttest multi level model STRAT and CA table 3,,standardised reading comp,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.36,,0.17,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0268,,0.6932,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],
74070010,Van Keer (2005) 1_1,2005,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_REading Comp Grade 2 STRAT SA same age table 5 model 3,,"reading comprehension achievement using Dutch standardized test batteries (Staphorsius & Krom, 1996",,"['Toolkit primary outcome', 'Reading primary outcome']",,0.14,,0.11,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0756,,0.3556,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],
74070011,Van Keer (2005) 1_2,2005,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_reading comp strat ca cross age grade 2 table 5 model 3,,standised dutch reading comp ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.22,,0.11,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,0.0044,,0.4356,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment AND clustering'],,['Test type: Standardised test '],
