id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,pt_tut_desc,pt_tut_desc_same_age,pt_tut_desc_cross_age,pt_same_age_attainment,pt_cross_age_attainment,pt_tut_from,pt_tut_role,pt_tutee_attain_level,pt_digit_tech,pt_incentive
74069952,Dill (2000),2000,['Journal article'],['Peer tutoring'],['Toolkit primary outcome'],0.0228,0.2887,['Post-test unadjusted (select one from this group)'],Peer criterion v Individual criterionText recall posttest table 1,With active control,['Sample: Low achievers'],Literacy  reading other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1,3,['Primary/elementary school'],"['10', '11']",TRUE,97.0,['USA'],['Individual RCT'],['Paired learning'],NA,['No'],['No'],['During regular school hours '],NA,1,NA,30,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,['From the same school'],['Yes'],['Not mentioned'],['No'],['Yes']
74069953,Ding (2011),2011,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Science primary outcome']",0.4956,0.2541,['Post-test unadjusted (select one from this group)'],REC_Peer tutoring v individual Delayed Posttest table 5,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.4956,0.2541,NA,NA,NA,96,1,3,['Secondary/High school'],['17'],NA,NA,['China'],['Individual RCT'],['Paired learning'],['No'],['No'],['No'],['During regular school hours '],['Peers'],4,2,40,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,['From the same school'],['Yes'],['Not mentioned'],['No'],['No']
74069954,DuPaul (1998),1998,['Journal article'],['Peer tutoring'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,18,['Primary/elementary school'],"['6', '7', '8', '9', '10']",NA,NA,['USA'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",6,3.5,17.5,NA,"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,['From the same school'],['Yes'],['Low attaining'],['No'],['No']
74069956,Ensergueix (2011) 1_1,2011,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Other outcome']",2.8828,0.4215,['Post-test unadjusted (select one from this group)'],Deferred Action Efficiency Table 3,With active control,['Sample: All'],Curriculum  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1,3,['Secondary/High school'],"['11', '12', '13', '14']",NA,NA,['France'],['Individual RCT'],['Other (Explain in notes)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],8,1,Not specified,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)', 'Cross-age (i.e. different school year from tutees)']","['Same-age as tutees (if yes, select one from drop down)']",['Cross-age (i.e. different school year from tutees)'],['matched to different level of attainment'],['Not matched on attainment'],['From the same school'],['Yes'],['Mixed'],['Yes'],['No']
74069957,Ensergueix (2011) 1_2,2011,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Other outcome']",0.0077,0.2887,['Post-test unadjusted (select one from this group)'],Deffered Action Effciency Spntaneous RPT v Individual Practice table 3,With active control,['Sample: All'],Curriculum  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1,3,['Secondary/High school'],"['11', '12', '13', '14']",NA,NA,['France'],['Individual RCT'],"['Large group/class teaching (+6)', 'Other (Explain in notes)']",['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],8,1,Not specified,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)', 'Cross-age (i.e. different school year from tutees)']","['Same-age as tutees (if yes, select one from drop down)']",['Cross-age (i.e. different school year from tutees)'],['matched to same level of attainment'],['Not matched on attainment'],['From the same school'],['Yes'],['Mixed'],['Yes'],['No']
74069958,Flores (2016),2016,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",1.13,0.123,['Post-test adjusted for baseline attainment'],F ratio intervention tutees v control table 1,With active control,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.13,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577,10,NA,['Primary/elementary school'],"['6', '7', '8', '9', '10', '11']",NA,NA,['Spain'],['Individual RCT'],['Other (Explain in notes)'],['Unclear/ Not specified'],['Yes'],['No'],['Unclear/ not specified'],['Class teachers'],12,2,30,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)', 'Cross-age (i.e. different school year from tutees)']","['Same-age as tutees (if yes, select one from drop down)']",['Cross-age (i.e. different school year from tutees)'],['not matched on attainment'],['Not matched on attainment'],['From the same school'],['Yes'],['Not mentioned'],['Yes'],['No']
74069959,Fuchs (2012),2012,['Technical report'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3009,0.1836,['Post-test unadjusted (select one from this group)'],CRAB PAL v non PAL Table 4,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3009,0.1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,22,80,"['Primary/elementary school', 'Middle school']","['7', '8', '9', '10', '11', '12']",NA,NA,['USA'],['Cluster RCT'],"['Small group/intensive support (3-5)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Other school staff']",15,3,35,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)', 'Cross-age (i.e. different school year from tutees)']","['Same-age as tutees (if yes, select one from drop down)']",['Cross-age (i.e. different school year from tutees)'],['matched to different level of attainment'],NA,['From a different school'],['Yes'],"['Low attaining', 'High attaining', 'Mixed', 'Average']",['No'],['Yes']
74069960,Greene (2018),2018,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7772,0.3875,['Post-test adjusted for baseline attainment'],Mathematics fluency,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7772,0.3875,NA,NA,NA,NA,NA,NA,41,1,NA,['Primary/elementary school'],"['8', '9', '10', '11', '12']",NA,NA,['Ireland'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],NA,['No'],['During regular school hours '],['Peers'],NA,3,30,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Matched to same relative level of attainment'],['From the same school'],['No'],['Not mentioned'],['No'],['No']
74069961,Greenwood (1991),1991,['Journal article'],['Peer tutoring'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,6,NA,['Primary/elementary school'],"['5', '6', '7', '8']",TRUE,100.0,['USA'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",152,5,90,NA,"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,['From the same school'],['No'],['Not mentioned'],['No'],['Yes']
74069962,Gyanani (1995),1995,NA,['Peer tutoring'],"['Toolkit primary outcome', 'Other outcome']",0.3166,0.098,['Post-test unadjusted (select one from this group)'],Verbal & Spatial Ability (Geography),With business as usual,['Sample: All'],Curriculum  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P.470  '415...experimental...214...control...201.',5,NA,['Secondary/High school'],"['15', '16', '11', '12', '13', '14']",NA,NA,['India'],['Prospective QED'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],P.471  '2-3 months',Not stated,P.471  '20 min',['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to same level of attainment'],NA,['From the same school'],['Yes'],['Not mentioned'],['No'],['No']
74069963,Hattie (2006),2006,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1076,0.187,['Post-test unadjusted (select one from this group)'],Sunshine Fluency,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1076,0.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Number of control students not provided.,13,NA,['Primary/elementary school'],"['7', '8', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],38,NA,Not stated,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Not matched on attainment'],['From the same school'],['No'],['Low attaining'],['No'],['No']
74069964,Johnson (2011),2011,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Other outcome']",0.5832,0.1785,['Post-test unadjusted (select one from this group)'],Rhythmic reading test,With business as usual,['Sample: All'],Arts,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,['Secondary/High school'],"['11', '12', '13', '14', '15', '16']",TRUE,78.0,['USA'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],NA,2,30,['Toolkit: Peer Tutoring'],"['Cross-age (i.e. different school year from tutees)', 'Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",['Cross-age (i.e. different school year from tutees)'],['not matched on attainment'],['Not matched on attainment'],['From the same school'],['Yes'],['Not mentioned'],['No'],['No']
74069966,Lee (2014),2014,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4232,0.1974,['Post-test unadjusted (select one from this group)'],Reading skills (posttest),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4232,0.1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,3,6,['Primary/elementary school'],"['8', '9']",NA,NA,['South Korea / Republic of Korea'],['Retrospective QED  '],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",8,4,20,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,NA,['No'],['Low attaining'],['No'],['No']
74069968,Li (2006) 1_2,2006,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5092,0.1572,['Post-test unadjusted (select one from this group)'],Reading comprehension (CA vs RS),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5092,0.1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,624,8,18,['Primary/elementary school'],"['10', '11']",NA,NA,['China'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],38,1,90,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Matched to same relative level of attainment'],NA,['No'],['Mixed'],['No'],['No']
74069970,Li (2006) 1_4,2006,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0,0.1117,['Post-test unadjusted (select one from this group)'],Reading comprehension test (CA vs RS),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0,0.1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,8,24,['Primary/elementary school'],"['7', '8']",NA,NA,['China'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],38,1,90,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Matched to same relative level of attainment'],['From the same school'],['No'],['Mixed'],['No'],['No']
74069972,Li (2012) 1_2,2012,['Journal article'],['Peer tutoring'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,2,NA,['Primary/elementary school'],"['7', '8', '9', '10', '11', '12']",NA,NA,['China'],['Cluster RCT'],NA,['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Peers'],not specified,not specified,not specified,NA,"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,NA,['No'],['Low attaining'],['No'],['Yes']
74069974,Marshak (2011),2011,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Other outcome']",0.8661,0.1745,['Pre-post gain'],REC_Total gain Scores Table 2,With business as usual,['Sample: All'],Social Studies,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,8,['Middle school'],"['13', '12']",NA,NA,['USA'],['Cluster RCT'],['Paired learning'],['No'],['No'],['No'],['During regular school hours '],['Peers'],10,5,NA,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,['From the same school'],['Yes'],['Mixed'],['No'],['No']
74069975,Martí-Alcaide (2021),2021,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.6251,0.4859,['Pre-post gain'],Maths Post test v pre test table 4,With business as usual,['Sample: All'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.6251,0.4859,NA,NA,NA,NA,NA,NA,NA,1,1,['Primary/elementary school'],"['6', '7']",NA,NA,['Spain'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],2,4,NA,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['not matched on attainment'],NA,['From the same school'],['No'],['Mixed'],['No'],['No']
74069976,Mastropieri (2005),2005,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Science primary outcome']",0.7925,0.334,['Post-test unadjusted (select one from this group)'],Chemistry Posttest Peer tutoring v traditional control special ed and general ed combined table 2,With business as usual,['Sample: Low achievers'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.7925,0.334,NA,NA,NA,NA,1,2,['Secondary/High school'],['No information provided'],NA,NA,['USA'],['Prospective QED'],NA,['No'],NA,NA,NA,NA,NA,NA,90,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,['From the same school'],['Yes'],['Mixed'],['No'],['No']
74069977,Mattatall (2017),2017,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2707,0.058,['Post-test adjusted for baseline attainment'],Reading f ratio in text page 163,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2707,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,"['7', '6']",NA,NA,['Canada'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],30,3,30,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)']","['Same-age as tutees (if yes, select one from drop down)']",NA,['matched to different level of attainment'],NA,['From the same school'],['No'],['Low attaining'],['No'],['No']
74069978,McDuffie (2009) 1_1,2009,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Other outcome']",0.113,0.1437,['Post-test adjusted for baseline attainment AND clustering'],REC_Peer Tutoring vs non Peer Tutoring table 2,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,2,4,['Middle school'],"['12', '13', '14']",FALSE,18.0,['USA'],['Cluster RCT'],"['Paired learning', 'Other (Explain in notes)']",['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants', 'Other school staff']",8,Not specified,48-58,['Toolkit: Peer Tutoring'],"['Same-age as tutees (if yes, select one from drop down)', 'Cross-age (i.e. different school year from tutees)']","['Same-age as tutees (if yes, select one from drop down)']",['Cross-age (i.e. different school year from tutees)'],['matched to same level of attainment'],['Not matched on attainment'],['From the same school'],['Yes'],['Mixed'],['Yes'],['No']
74069981,Mitchell (2016),2016,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2721,0.3288,['Pre-post gain'],Gain second grade tutees post vs pre,NA,['Sample: All'],Literacy  spelling,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.2721,0.3288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,1,3,['Primary/elementary school'],"['7', '8', '9', '10']",NA,NA,['USA'],['Prospective QED'],"['Large group/class teaching (+6)', 'One to one', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['Other (please specify)'],['Class teachers'],9,1,30,['Toolkit: Peer Tutoring'],['Cross-age (i.e. different school year from tutees)'],NA,['Cross-age (i.e. different school year from tutees)'],NA,['Not matched on attainment'],['From the same school'],['Yes'],['Mixed'],['No'],['No']
