id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10
42025141,Hampton (1998) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CBTS: Reading -  Parental Engag. ,['Mathematics primary outcome'],Secondary outcome(s),CBTS: Mathematics - Parental Engag.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578009,Hampton (1998) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,"Reading Test (2a,2b,3): Parental Engag.",['Other outcome'],Secondary outcome(s),"Mathematics (2a,2b,3): Parent. Engag.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578008,Hampton (1998) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTBS (Reading): Parental Engagement,['Other outcome'],Secondary outcome(s),CTBS (Mathematics): Parental engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024832,Highberger (1973),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulary Test - Parental Engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032961,Ihmeideh (2020),['Other outcome'],Secondary outcome(s),Phonological Awareness: FLP vs control,['Other outcome'],Secondary outcome(s),Concepts of print: FLP vs control,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Vocabulary: FLP  vs control,['Writing and spelling primary outcome.'],Secondary outcome(s),Emergent Writing: FLP  vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025475,Jordan (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAP Language Posttest,['Other outcome'],Primary outcome,CAP Sound Posttest,['Other outcome'],Primary outcome,CAP Print Postest,['Other outcome'],Primary outcome,Peabody Postest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025422,Justice (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Words in Print,['Other outcome'],Secondary outcome(s),Alphabet Knowledge,['Other outcome'],Secondary outcome(s),Word Segmentation,['Other outcome'],Secondary outcome(s),Print Recognition,['Other outcome'],Secondary outcome(s),Print Concepts,['Other outcome'],Secondary outcome(s),Words in Print ,['Other outcome'],Secondary outcome(s),Alphabet Knowledge,['Other outcome'],Secondary outcome(s),Word Segmentation,['Other outcome'],Secondary outcome(s),Print Recognition,['Other outcome'],Secondary outcome(s),Print Concepts
42059811,Koh (1982),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CBTS– Gr1-Grp A: Reading: Parental Engag.,['Other outcome'],Secondary outcome(s),CBTS– Gr1-Grp A: Language - Parental Engag.,['Other outcome'],Primary outcome,CBTS– Gr1-Grp B:Reading - Parental Eng.,['Other outcome'],Secondary outcome(s),CBTS: Gr1-Grp B: Language- Parental Eng.,['Other outcome'],Secondary outcome(s),CBTS: Gr1-Grp B: Maths - Parental Eng.,['Mathematics primary outcome'],Secondary outcome(s),CBTS– Gr1-Grp A: Maths -Parental Eng.,['Other outcome'],Primary outcome,CBTS: Gr1-Grp C: Reading-Parental Engag.,['Other outcome'],Secondary outcome(s),CBTS:Gr1-Grp C: Language - Parental Eng.,['Other outcome'],Secondary outcome(s),CBTS: Gr1-Grp C: Maths- Parental Eng.,NA,NA,NA
61218207,Korat (2013) PE,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word meaning: e-book+printed vs control,['Other outcome'],Secondary outcome(s),Syllabic awar: e-book+printed vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578013,Kotaman (2020) PE,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPTV (Turkish version),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025476,Kraft (2001),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,WRMT Word Identification,['Other outcome'],Secondary outcome(s),WRMT Word Attack ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55203355,Lam (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word recognition,['Other outcome'],Secondary outcome(s),Reading ﬂuency: parental training vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032963,Leung (2019),['Other outcome'],Secondary outcome(s),HKCAS-P cognition scores,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,HKCAS-P cognition: Healthy Start vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55203352,Levin (2012),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,linguistic competencies,['Other outcome'],Secondary outcome(s),alphabetic skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025499,Lonigan (1998),['Other outcome'],Secondary outcome(s),PPVT Posttest adjusted Low compliance Home only v control,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT Posttest adjusted High compliance Home only v control,['Other outcome'],Secondary outcome(s),EOWPVT Posttest adjusted Low compliance Home only v control,['Other outcome'],Secondary outcome(s),EOWPVT Postest adjusted high compliance schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032966,Mantzicopoulos (2013),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Woodcock Science Knowledge,['Other outcome'],Secondary outcome(s),Science Learning Assessment ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024838,McCormick (1986),['Other outcome'],Secondary outcome(s),Words knowledge W1,['Other outcome'],Secondary outcome(s),Word knowledge-W2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word knowledge W1+W2,['Writing and spelling primary outcome.'],Secondary outcome(s),Spelling W1+W2,['Other outcome'],Secondary outcome(s),Spelling W2,['Other outcome'],Secondary outcome(s),Spelling W1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024898,McQueen (1988),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT (grp I vs III - adjusted means),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578021,Mears (2007) EY_PE,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DIBELS score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025519,Mehran (1988),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTBS:  reading - Parental Engagm.,['Other outcome'],Secondary outcome(s),WJ: Total reading - Parental Engagm.,['Other outcome'],Secondary outcome(s),WJ: Reading-FU - Parental Engagm.,['Other outcome'],Secondary outcome(s),CTBS: Reading- FU - Parental Engagm.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68655341,Miller (2020),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,CELF-language skills,['Other outcome'],Secondary outcome(s),Concepts about Print,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032967,Morrow (1997),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Probed Comprehension,['Other outcome'],Secondary outcome(s),Story retelling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269856,Nedler (1971) PE,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Peabody Picture Vocabulary Test -Spanish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025480,Niedermeyer (1970),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Postest Mean Percent Correct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024842,Phillips (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MET-2 (Home vs Control),['Other outcome'],Secondary outcome(s),Circus (home vs control posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578032,Reese (2010) PE,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,EVT score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68655345,Robinson-Smith (2019),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Core Language Standard Score - parental engagement,['Other outcome'],Secondary outcome(s),Core Language Standard Score - PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025508,Rolla (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading,['Other outcome'],Secondary outcome(s),Concepts about Print,['Other outcome'],Secondary outcome(s),Letter Identification,['Other outcome'],Secondary outcome(s),Vocabulary,['Other outcome'],Secondary outcome(s),Phonological Awareness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032969,Rosemberg (2011),['Other outcome'],Secondary outcome(s),Increase in receptive vocabulary:  A vs C ,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Increase in receptive vocabulary: A vs B,['Other outcome'],Secondary outcome(s),Increase in Writing: A vs C,['Writing and spelling primary outcome.'],Secondary outcome(s),Increase in Writing: A vs B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025511,Saracho (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Early Reading Ability,['Other outcome'],Secondary outcome(s),Concepts in Print,['Other outcome'],Secondary outcome(s),Preschool Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032970,Schenke (2020),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths: MU + SV vs MU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032971,Schneider (2018),"['Toolkit primary outcome', 'Other outcome']",Primary outcome, WPPSI-IV: home intervention vs control,['Other outcome'],Secondary outcome(s),reduction in attention problems: home intervention vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42064891,Seward (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT-III,['Other outcome'],Secondary outcome(s),MAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578036,Sheets (1999) EY_PE,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPTV-III,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55203359,Sheridan (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TROLL Reading: parental training vs control,['Writing and spelling primary outcome.'],Secondary outcome(s),TROLL Writing: parental involvement vs control,['Other outcome'],Secondary outcome(s),PLS-4 EC: parental involvement vs control ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032973,Sim (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT-IIIA/B: DR plus DR+PR vs control,['Other outcome'],Secondary outcome(s),PAT: DR & DR+PR vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42059779,St Pierre (1995),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Exhibit 8.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578039,St Pierre (2003) PE,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT (table 6.13),['Other outcome'],Secondary outcome(s),WJR: Letter-Word ID (table 6.13),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42059780,St Pierre (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT,['Other outcome'],Secondary outcome(s),Letter Word ID,['Other outcome'],Secondary outcome(s),PPVT,['Other outcome'],Secondary outcome(s),Letter Word ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578040,Starkey (2000) PE 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578041,Starkey (2000) PE 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73032974,Strouse (2013),['Other outcome'],Secondary outcome(s),Story Comprehension Measure: DQ+DA vs control,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,EOW-PVT: DQ+DA vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024834,Swinson (1985),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,English Picture Vocabulary Test,['Other outcome'],Secondary outcome(s),British Ability Scales (Verbal Comprehension),['Other outcome'],Secondary outcome(s),British Ability Scales (Naming Vocabulary),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025497,Sylva (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,BAS word reading - Parental Engagement,['Other outcome'],Secondary outcome(s),BPVS  - Parental Engagement,['Other outcome'],Secondary outcome(s),Phonological awareness - Parental Engagement,['Writing and spelling primary outcome.'],Secondary outcome(s),Writing - Parental Engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
