id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
37671570,Merrell (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Y7 Reading (NGRT) - Phonics Teaching assistants ,['Other outcome'],Secondary outcome(s),Y7 Reading (NGRT) - Phonics Teaching assistants - FSM,['Other outcome'],Secondary outcome(s),Y7 Non-word reading (PhAB) - Phonics Teaching assistants,['Other outcome'],Secondary outcome(s),Y7 Reading (SWRT) Phonics Teaching Assistants ,['Other outcome'],SES/FSM outcome,Y7 Reading (SWRT) Phonics Teaching Assistants - FSM,['Other outcome'],SES/FSM outcome,Y7 Non-word reading (PhAB) - Phonics Teaching assistants - FSM,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269851,Moody (1971) SGT 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics post-test - Small Group Tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269852,Moody (1971) SGT 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics post-test - Small Group Tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035414,Nicolson (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WORD Reading Standard Score - Small Group Tuition,['Other outcome'],Secondary outcome(s),WORD Spelling Standard Score - Small Group Tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035353,Nielsen (2012),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Test of Narrative Language (TNL) Composite - Small Group Tuition ,['Other outcome'],Secondary outcome(s),TOLD Semantics Composite - Small Group Tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296657,Nunes (2018),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Quantitative Reasoning,['Other outcome'],SES/FSM outcome,Quantitative Reasoning (FSM),['Other outcome'],Secondary outcome(s),KS1 Maths,['Other outcome'],SES/FSM outcome,KS1 Maths (FSM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294947,Peterson (1979) SGT,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Achievement-Post-test-Small Group tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878269,Pinnell (1994),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),Gates-MacGinitie Reading Test,['Other outcome'],Primary outcome,Woodcock Reading Mastery Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035419,Puhalla (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Storybook Vocabulary Assessment - Small Group Tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878270,Ransford-Kaldon (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NWF - Percentage Correct,['Other outcome'],Secondary outcome(s),NWF - Mean Difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878271,Rashotte (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WDRB Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878272,Rolfhus (2012),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Test of Early Mathematics Ability–Third Edition (TEMA-3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099855,Ryder (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Neale comprehension raw score,['Other outcome'],Secondary outcome(s),Neale accuracy raw score,['Other outcome'],Secondary outcome(s),Burt raw score,['Other outcome'],Secondary outcome(s),Phoneme awareness total score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035355,Schuele (2008) SGT,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Letter sounds,['Other outcome'],Secondary outcome(s),Spelling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296672,Sheard (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NGRT reading comprehension (TAs) ,['Other outcome'],SES/FSM outcome,FSM Teaching Assistants - Reading Comprehension NGRT,['Writing and spelling primary outcome.'],Secondary outcome(s),Teaching Assistants - Spelling SWST,['Other outcome'],SES/FSM outcome,FSM Teaching Assistants - Spelling SWST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878122,Sindelar (1982),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Stanford Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296685,Styles (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks,['Other outcome'],Primary outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks+,['Other outcome'],SES/FSM outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks (FSM),['Other outcome'],Secondary outcome(s),Y7 Sentence completion - smgrouptuit/extschooltime Chbooks,['Other outcome'],Secondary outcome(s),Y7 Sentence completion - smgrouptuit/extschooltime Chbooks+,['Other outcome'],Secondary outcome(s),Y7 Passage comprehension - smgrouptuit/extschooltime Chbooks,['Other outcome'],Secondary outcome(s),Y7 Passage comprehension - smgrouptuit/extschooltime Chbooks+,['Other outcome'],SES/FSM outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks+ (FSM),NA,NA,NA
38296693,Torgerson (2014),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,KS2 - Writing,['Other outcome'],SES/FSM outcome,KS2 Writing (FSM),['Other outcome'],Secondary outcome(s),KS 2 Reading,['Other outcome'],Secondary outcome(s),KS 2 Spelling and Grammar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296689,Torgerson (2018),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,KS2 Maths Scaled Scores,['Other outcome'],Secondary outcome(s),KS2 Reading,['Other outcome'],Secondary outcome(s),"KS2 GPS (Grammar, Punctuation and Spelling) Scaled Score",['Other outcome'],Secondary outcome(s),KS2 Maths Scaled Scores - means & SD,['Other outcome'],SES/FSM outcome,FSM Only - KS2 Maths Scaled Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878260,Torgesen (2006),['Other outcome'],Secondary outcome(s),Grade 3 - WRMT Passage Comprehension,['Other outcome'],Secondary outcome(s),Grade 5 - WRMT Passage Comprehension,['Other outcome'],SES/FSM outcome,FRPL Grade 3 WRMT-R Comprehension,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRMT Combined G3&G5,['Other outcome'],SES/FSM outcome,FRPL Grade 5 WRMT-R Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878273,Torgesen (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRMT Passage comprehension subtest - LIPS vs C,['Other outcome'],Secondary outcome(s),WRMT Gray Comprehension subtest - LIPS v C,['Other outcome'],Secondary outcome(s),WRMT Passage Comprehension - RWT v C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40398947,Tracey (2019),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Small Group Tuition - Writing KS2 (Past papers),['Other outcome'],SES/FSM outcome,FSM Small Group Tuition - Writing KS2 (Past Papers),['Other outcome'],Secondary outcome(s),Small Group Tuition - Reading Assessment KS2,['Other outcome'],Secondary outcome(s),Small Group Tuition - spelling KS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294961,Vadasy (2008) SGT,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome, WRMT-R/NU Passage Comprehension subtest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671588,Vadasy (2009),['Other outcome'],Secondary outcome(s),G2/G3 word-level (single letter sounds) - teaching assistants,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,G2/G3 reading (Cloze test) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 word-level (letter combo sounds) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 word-level (word reading) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 reading fluency (PRF-U DIBELS) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 reading fluency (PRF-A DIBELS) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 reading (multiple choice) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 reading (multiple choice - fluency based) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 reading fluency (fluency rate) - teaching assistants
47035358,Vaughn (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,GRADE Reading Comprehension,['Other outcome'],Secondary outcome(s),WJ-III passage comprehension,['Other outcome'],Secondary outcome(s),TOWRE SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035359,Vaughn (2011),['Reading primary outcome'],Primary outcome,WJ Word Identification ,['Other outcome'],Secondary outcome(s),WJ word attack,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WJ Passage Comprehension,['Other outcome'],Secondary outcome(s),TOWRE Phonemic Decoding,['Other outcome'],Secondary outcome(s),TOWRE Sight word,['Other outcome'],Secondary outcome(s),WJ Spelling ,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035424,Vellutino (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcock Reading Mastery Tests-Letter Identification,['Other outcome'],Secondary outcome(s),Rhyme Detection Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035425,Vellutino (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcock Reading Mastery Test- Letter Identification,['Other outcome'],Secondary outcome(s),Rhyme Detection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035427,Wanzek (2008),['Other outcome'],Secondary outcome(s),WRMT-R Word Identification,['Other outcome'],Secondary outcome(s),WRMT-R Word Attack ,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRMT-R Passage Comprehension,['Other outcome'],Secondary outcome(s),DIBELS Oral Reading Fluency ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47035360,Westerveld (2008),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Oral Narrative Comprehension (Task),['Other outcome'],Secondary outcome(s),Oral Narrative Comprehension (Probe),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
