id,pub_author,pub_year,pub_eppi,pub_eppi_CLEAN,abstract,strand_raw,FB_Update_2020,strand_CLEAN,sample_analysed_ht,sample_analysed_info,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_info_info,fsm_info_ht,fsm_na,fsm_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
46887923,Elawar (1985),1985,"Journal, Article",,"Eighteen Venezuelan elementary school teachers, trained to provide constructive written feedback on their sixth grade students' mathematics homework, did so three times weekly for ten weeks. In addition to learning and attitude outcomes, aptitude-treatment interactions were examined among treatments and student ability, attitude, and sex. (Author/BS)",NA,['Feedback'],,"['Page 3:\n[¬s]""504 sixth-grade students[¬e]""', 'Page 4:\n[¬s]""To achieve a balanced design,\nonly 28 students (14 boys and 14 girls) were selected at\nrandom from each class.[¬e]""']",NA,,['Mixed gender'],"['Page 4:\n[¬s]""To achieve a balanced design,\nonly 28 students (14 boys and 14 girls) were selected at\nrandom from each class.[¬e]""']",NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 3:\n[¬s]""504[¬e]""']","No details are provided specifying the n of intervention group, however, assuming the 504 students were assigned to the 3 conditions evenly n of intervention = 168",,NA,assumed 168,,NA,NA,,NA,NA,,NA,assumed 168 as not specified in text,,NA,assumed to be 168 as not specified in text,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
37061114,Elliot (1986),1986,Dissertation,,"The purpose of this study was to investigate use of the microcomputer to enhance poor readers' comprehension of text. The study focused on two text-centered comprehension strategies, questions interspersed in text and immediate feedback, which were used in conjunction with computer-presented passages. The feedback capability of the computer was of primary interest, and was demonstrated by providing feedback regarding students' answers to interspersed questions. Poor readers were used as subjects because of indications from prior research that they are less able to organize text and to monitor their performance during reading than are good readers, suggesting that poor readers may benefit from externally-provided comprehension aids. There were three experimental groups  (a) a text-only group which read computerized text without interspersed questions or feedback, (b) a group reading the text with interspersed questions, but without feedback, (c) a group receiving feedback in addition to interspersed questions. Subjects were 66 sixth and seventh graders reading one to two years below grade level, who were randomly assigned to treatments. All subjects read 250-word expository passages, one science-related and one social studies-related. Re-reading of relevant portions of passages after answering interspersed questions was permitted. A cloze test and multiple-choice test consisting of factual and inferential questions were administered after each passage. The following relationship among groups was predicted for each of the four dependent variables (cloze, multiple-choice test, factual questions, inferential questions)  Group 1 < Group 2 < Group 3. A series of four 3 (type of presentation) x 2 (type of passage) ANOVAS with repeated measures on passages was performed. Study results failed to confirm the predicted relationships, as no significant differences were found among treatment groups for any of the dependent variables. Additional results showed that subjects did little re-reading of text and spent about half the time reading feedback as was expected. The latter finding may have contributed to the lack of significant results. It was concluded that poor readers will not necessarily be motivated to read all material presented to them on a microcomputer. It was suggested that only game-like or other highly motivating comprehension-related CAI materials be used with poor readers and that effectiveness of such materials be researched further.",['Feedback'],NA,,"['Page 72:\n[¬s]"" 66[¬e]""']","Of the 74 students remaining after the pilot study, 66 were able to be used In the main study, with 24 students in Group 1,22 In Group 2, and 20 in Group 3.",,['Mixed gender'],NA,NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 72:\n[¬s]""20[¬e]""']",20,,"['Page 72:\n[¬s]""24 [¬e]""']",24,,NA,NA,,NA,NA,,"['Page 89:\n[¬s]""20[¬e]""']",20,,"['Page 89:\n[¬s]""24[¬e]""']",24,,NA,NA,,NA,NA,,['Unclear (please add notes)'],"['Page 72:\n[¬s]"" Twenty-four subjects were then randomly assigned to be used In the pilot study, in which 21 students actually participated. Of the 74 students remaining after the pilot study, 66 were able to be used In the main study, with 24 students in Group 1,22 In Group 2, and 20 in Group 3.[¬e]""']",Atrrition is not reported clearly. It is assumed that (74 - 66) / 74 = 8 / 74 is the total attrition and (24-20)/24 = 4/24 is the attrition for the treatment group.,,"['Page 72:\n[¬s]"" Twenty-four""\n""20[¬e]""']",16.7%,,"['Page 72:\n[¬s]"" Of the 74 students remaining after the pilot study, 66 were able to be used In the main study[¬e]""']",10.8%,
46887929,Farrell (1977),1977,Dissertation,,NA,NA,['Feedback'],,"['Page 52:\n[¬s]""154\nparticipated in this study.[¬e]""']","Tutored = 42 Peer Evaluation = 49 Teacher L = 42 No Comp = 21  (See Table 4, Page 71)",,['Mixed gender'],NA,NA,,NA,NA,NA,"['Page 51:\n[¬s]""A middle-income community of 18,4-84 people as of\na 1974 town census[¬e]""']",NA,,"['Page 52:\n[¬s]""154[¬e]""', 'Page 71:\n[¬s]""49[¬e]""']",49,,"['Page 71:\n[¬s]""21[¬e]""']",21,,NA,NA,,NA,NA,,"['Page 71:\n[¬s]""49[¬e]""']",49,,"['Page 71:\n[¬s]""21[¬e]""']",NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
46888082,Feng (1983) 1_1,1983,Report,,"Self-instructional booklets simulating computer-assisted instruction (CAI) were used to teach four basic concepts in science to first graders in three treatment groups which received different types of feedback--hints, correct answers, and right or wrong. A control group received neither instruction nor feedback. A multiple-choice test was administered to the 47 students in the 4 groups following completion of the instruction. It was found that the group provided with hints had the highest mean  the group provided with the correct answer had the second highest mean  the group provided with right/wrong feedback had the second lowest mean  and the control group had the lowest mean. The results were inconclusive with respect to the hypotheses as there were no significant differences among the group means. Possible causes are suggested in the discussion that concludes the report. A table summarizing the means and standard deviations, a flowchart showing the hypothesized model of relationships between different forms of feedback, and samples of generalities, practice items, and test items are provided. Lists of 12 references and 10 prior IDD&E working papers are also included. ",NA,['Feedback'],,"['Page 14:\n[¬s]""Hint group\nI CA group\nR/11 group\nI\nI\nControl Group\nMD MD\nI\nI\nI\nI\nI\na\n12\n14\n11\n10[¬e]""']",N=22 total sample 47 but we are interested here for the control (n=10) vs hint (n=12),,['No information provided'],NA,NA,,NA,NA,NA,NA,NA,,"['Page 14:\n[¬s]""12[¬e]""']",12,,"['Page 14:\n[¬s]""10[¬e]""']",10,,NA,NA,,NA,NA,,"['Page 14:\n[¬s]""12[¬e]""']",12,,"['Page 14:\n[¬s]""10[¬e]""']",10,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
49106820,Feng (1983) 1_2,1983,Report,,"Self-instructional booklets simulating computer-assisted instruction (CAI) were used to teach four basic concepts in science to first graders in three treatment groups which received different types of feedback--hints, correct answers, and right or wrong. A control group received neither instruction nor feedback. A multiple-choice test was administered to the 47 students in the 4 groups following completion of the instruction. It was found that the group provided with hints had the highest mean  the group provided with the correct answer had the second highest mean  the group provided with right/wrong feedback had the second lowest mean  and the control group had the lowest mean. The results were inconclusive with respect to the hypotheses as there were no significant differences among the group means. Possible causes are suggested in the discussion that concludes the report. A table summarizing the means and standard deviations, a flowchart showing the hypothesized model of relationships between different forms of feedback, and samples of generalities, practice items, and test items are provided. Lists of 12 references and 10 prior IDD&E working papers are also included.",NA,['Feedback'],,"['Page 14:\n[¬s]""Hint group\nI CA group\nR/11 group\nI\nI\nControl Group\nMD MD\nI\nI\nI\nI\nI\na\n12\n14\n11\n10[¬e]""']",N=24 total sample 47 but we are interested here for the control (n=10) vs CA (n=14),,['No information provided'],NA,NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 14:\n[¬s]""14[¬e]""']",14,,"['Page 14:\n[¬s]""10[¬e]""']",10,,NA,NA,,NA,NA,,"['Page 14:\n[¬s]""14[¬e]""']",14,,"['Page 14:\n[¬s]""10[¬e]""']",10,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
49106821,Feng (1983) 1_3,1983,Report,,"Self-instructional booklets simulating computer-assisted instruction (CAI) were used to teach four basic concepts in science to first graders in three treatment groups which received different types of feedback--hints, correct answers, and right or wrong. A control group received neither instruction nor feedback. A multiple-choice test was administered to the 47 students in the 4 groups following completion of the instruction. It was found that the group provided with hints had the highest mean  the group provided with the correct answer had the second highest mean  the group provided with right/wrong feedback had the second lowest mean  and the control group had the lowest mean. The results were inconclusive with respect to the hypotheses as there were no significant differences among the group means. Possible causes are suggested in the discussion that concludes the report. A table summarizing the means and standard deviations, a flowchart showing the hypothesized model of relationships between different forms of feedback, and samples of generalities, practice items, and test items are provided. Lists of 12 references and 10 prior IDD&E working papers are also included.",NA,['Feedback'],,NA,"N=21 for the comparison we are interested in (treatment n=11, control n=10) (total of all treatment groups)",,['No information provided'],NA,NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 14:\n[¬s]""11[¬e]""']",11,,"['Page 14:\n[¬s]""10[¬e]""']",10,,NA,NA,,NA,NA,,"['Page 14:\n[¬s]""11[¬e]""']",11,,"['Page 14:\n[¬s]""10[¬e]""']",10,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
46887967,Fiel (1975),1975,"Journal, Article",,"The purpose of this study was to test Gagné's hypothesis that attention to prerequisites should be more effective than repeated practice of a final task when learning intellectual skills. Ninety eighth-grade general science students studied self-instructional materials on the construction and interpretation of graphs. After each of three lessons each subject took a diagnostic test covering the objectives of the instruction. Subjects in Group 1 received additional instruction on prerequisites as remediation. Subjects in Group 2 received additional practice items as remediation, and subjects in Group 3 received no remedial activity. Students receiving remedial instruction did significantly better than those receiving only main-line instruction. Students receiving additional instruction on prerequisites did significantly better than those receiving additional practice items as remediation.",NA,['Feedback'],,"['Page 2:\n[¬s]""90 eighth-grade general science students""\n""three\ntreatment groups of 30 subjects each.[¬e]""']",NA,,['No information provided'],NA,NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,NA,60,,NA,30,,NA,NA,,NA,NA,,NA,60,,NA,30,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
46887836,Fitch (2008),2008,"Journal, Article",,"This study measures the effectiveness of Collaborative Learning Assessment through Dialogue (CLAD) on reading achievement in inclusive classrooms in the USA. The CLAD process involved students collaboratively completing multiple-choice quizzes, using dialogue and critical thinking to reach consensus and receiving immediate feedback on their responses. The procedure was implemented in three third-grade classrooms (n = 30) in a midwestern elementary school for the purpose of reducing a significant achievement gap between these students and those who attended a different school within the same district (n = 95). The effectiveness of CLAD was assessed though a comparison of students' scores on a state reading achievement test designed to measure their ability to construct, examine, and extend meaning in text. The test was administered to both groups in October 2003 and again in March 2004. While both the intervention and comparison groups showed significant improvement in reading achievement scores, the intervention group showed significantly greater growth with a mean growth rate of 19.78 (0.004) and effect size of 0.60. The achievement gap between the two groups of students was reduced from a 13-point gap in their mean scores to a three-point gap. (Contains 3 tables.)",NA,['Feedback'],,"['Page 11:\n[¬s]""While the intervention group consisted of 30 students, the\ncomparison group consisted of 95 third graders in a similar, yet larger, school\nwithin the same district. B[¬e]""']","125 30 treatment (CLAD), 95 controls",,['No information provided'],NA,NA,,NA,NA,"low SES 54% for treatment, 58% for control","['Page 10:\n[¬s]""based on the majority of[¬e]""', 'Page 11:\n[¬s]""students coming from low income families""\n""in which the overall mean state reading achievement test score in October 2003 was the lowest in the district (384.63). S""\n""The school in which CLAD was implemented had secured a grant through the state Department of Education to promote access to standards-based curriculum for students with disabilities.""\n""the majority of whom were from low socio-economic backgrounds (54\nand 58%, respectively).[¬e]""']",NA,,"['Page 11:\n[¬s]""30[¬e]""']",30,,"['Page 11:\n[¬s]""95[¬e]""']",95,,NA,NA,,NA,NA,,NA,30,,NA,95,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
37092577,Fitzgerald (1987),1987,"Journal, Article",,"We investigated effects of instruction in the process of revision on children's knowledge of the revision process, on their ability to make revisions on paper, and on the quality of their writing. Fifteen sixth graders received instruction in the process of revision  15 controls read good literature. After instruction, each child wrote a story, was interviewed about potential revisions, and was given an opportunity to make changes on the first copy and then write another draft. The main variables for knowledge of the revision process were number of spots suggested for revision and average specificity of suggested changes. The main variable for ability to make revisions on paper was total number of revisions made. A quality score was obtained for the first and final drafts. Instruction did affect knowledge of the revision process, and it enhanced revision efforts. Quality judgments tended to increase across drafts for the revision group, whereas they remained stable for the controls.",['Feedback'],NA,,"['Page 2:\n[¬s]""Fifteen sixth graders received instruction in the process of revision; 15 controls read good literature.[¬e]""', 'Page 5:\n[¬s]""30[¬e]""']",NA,,['Mixed gender'],"['Page 6:\n[¬s]""17 males and 13 females[¬e]""']",NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 2:\n[¬s]""Fifteen sixth graders received instruction in the process of revision[¬e]""', 'Page 5:\n[¬s]""We tested 30 sixth graders who were randomly assigned (counterbalancing for language-arts teacher, sex, and race) to one of two treatments:[¬e]""']",15,,"['Page 2:\n[¬s]""15 controls[¬e]""']",15,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,not reported,,NA,No,
47269797,Fossati (2009) FB 1_1,2009,Conference Proceedings,,"We developed a new model for iList, our system that helps students learn linked list. The model is automatically extracted from past student data, and allows iList to track students' problem-solving behavior in order to provide targeted feedback. We evaluated the new model both intrinsically and extrinsically. We show that the model can match most student actions after a relatively small sequence of observations, and that iList can effectively use the new student tracker to provide feedback and help students learn.",['Feedback'],NA,,"['Page 7:\n[¬s]""Table 1. Test scores (range: 0 to 1)[¬e]""']",Control = 53 iList-1 = 61 iList-2 = 56 iList-3 = 19 Human Tutor = 54,,['No information provided'],NA,NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 7:\n[¬s]""54[¬e]""']",54,,"['Page 7:\n[¬s]""53[¬e]""']",53,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""54[¬e]""']",54,,NA,53,,NA,NA,,NA,NA,,['No'],"['Page 7:\n[¬s]""utor N\nNone\niList-1\niList-2\niList-3\n53\n61\n56\n19\nHuman 54\n.34\n.41\n.31\n.53\n.40\n.22\n.23\n.17\n.29\n.26\nMean Std Mean\n.35\n.49\n.41\n.65\n.54\nPost-test score\nStd\n.23\n.27\n.23\n.26\n.26[¬e]""']",NA,,NA,NA,,NA,NA,
47269798,Fossati (2009) FB 1_2,2009,Conference Proceedings,,"We developed a new model for iList, our system that helps students learn linked list. The model is automatically extracted from past student data, and allows iList to track students' problem-solving behavior in order to provide targeted feedback. We evaluated the new model both intrinsically and extrinsically. We show that the model can match most student actions after a relatively small sequence of observations, and that iList can effectively use the new student tracker to provide feedback and help students learn.",['Feedback'],NA,,NA,Control = 53 iList-1 = 61 iList-2 = 56 iList-3 = 19 Human Tutor = 54,,['No information provided'],NA,NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 7:\n[¬s]""61""\n""iList-1[¬e]""']",61,,"['Page 7:\n[¬s]""53""\n""None[¬e]""']",53,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""61[¬e]""']",61,,"['Page 7:\n[¬s]""53[¬e]""']",53,,NA,NA,,NA,NA,,['No'],"['Page 7:\n[¬s]""N\nNone\niList-1\niList-2\niList-3\n53\n61\n56\n19\nHuman 54\n.34\n.41\n.31\n.53\n.40\n.22\n.23\n.17\n.29\n.26\nMean Std Mean\n.35\n.49\n.41\n.65\n.54\nPost-test score\nStd\n.23\n.27\n.23\n.26\n.26[¬e]""']",NA,,NA,NA,,NA,NA,
47269799,Fossati (2009) FB 1_3,2009,Conference Proceedings,,"We developed a new model for iList, our system that helps students learn linked list. The model is automatically extracted from past student data, and allows iList to track students' problem-solving behavior in order to provide targeted feedback. We evaluated the new model both intrinsically and extrinsically. We show that the model can match most student actions after a relatively small sequence of observations, and that iList can effectively use the new student tracker to provide feedback and help students learn.",['Feedback'],NA,,NA,Control = 53 iList-1 = 61 iList-2 = 56 iList-3 = 19 Human Tutor = 54,,['No information provided'],NA,NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 7:\n[¬s]""56""\n""iList-2[¬e]""']",56,,"['Page 7:\n[¬s]""53""\n""None[¬e]""']",53,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""56[¬e]""']",56,,"['Page 7:\n[¬s]""53[¬e]""']",53,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
47269800,Fossati (2009) FB 1_4,2009,Conference Proceedings,,"We developed a new model for iList, our system that helps students learn linked list. The model is automatically extracted from past student data, and allows iList to track students' problem-solving behavior in order to provide targeted feedback. We evaluated the new model both intrinsically and extrinsically. We show that the model can match most student actions after a relatively small sequence of observations, and that iList can effectively use the new student tracker to provide feedback and help students learn.",['Feedback'],NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,,"['Page 7:\n[¬s]""19""\n""iList-[¬e]""']",19,,"['Page 7:\n[¬s]""53""\n""None[¬e]""']",53,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""19""\n""iList-3[¬e]""']",19,,"['Page 7:\n[¬s]""53[¬e]""']",53,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
37092578,Franzke (2005),2005,"Journal, Article",,"Having students express their understanding of difficult, new material in their own words is an effective method to deepen their comprehension and learning. Summary Street® is a computer tutor that offers a supportive context for students to practice this activity by means of summary writing, guiding them through successive cycles of revising with feedback on the content of their writing. Automatic evaluation of the content of student summaries is enabled by Latent Semantic Analysis (LSA). This article describes an experimental study of the comprehension and writing tutor, in which 8th-grade students practiced summary writing over a 4-week period, either with or without the guidance of the tutor. Students using Summary Street® scored significantly higher on an independent comprehension test than the control group for test items that tapped gist level comprehension. Their summaries were also judged to be significantly superior in blind scoring on several measures of writing quality. Students of low-to-moderate achievement levels benefitted most from the tool.",['Feedback'],NA,,"['Page 8:\n[¬s]""the analyses are based on responses of 111 students who missed no more than three of the eight summary practice sessions.""\n""Of the participants with usable data, 52 were in the Summary Street® condition (24 females and 28 males) and 59 participants were in the control condition (38 females and 21 males).[¬e]""']",NA,,['Mixed gender'],"['Page 8:\n[¬s]"" Of the participants with usable data, 52 were in the Summary Street® condition (24 females and 28 males) and 59 participants were in the control condition (38 females and 21 males).[¬e]""']",NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 8:\n[¬s]""Of the participants with usable data, 52 were in the Summary Street® condition[¬e]""']",52,,"['Page 8:\n[¬s]"" 59 participants were in the control condition (38 females and 21 males)[¬e]""']",59,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,
37091029,Fuchs (1984),1984,"Journal, Article",,"This study examined the educational effects of repeated curriculum-based measurement and evaluation. Thirty-nine special educators, each having three to four pupils in the study, were assigned randomly to a repeated curriculum-based measurement/evaluation (experimental) treatment or a conventional special education evaluation (contrast) treatment. Over the 18-week implementation, pedagogical decisions were surveyed twice  instructional structure was observed and measured three times  students’ knowledge about their learning was assessed during a final interview  reading achievement was tested before and after treatment. Analyses of covariance revealed that experimental teachers effected greater student achievement. Additional analyses indicated that (a) experimental teachers’ decisions reflected greater realism about and responsiveness to student progress, (b) their instructional structure demonstrated greater increases, and (c) their students were more aware of goals and progress.",['Feedback'],NA,,"['Page 3:\n[¬s]""Subjects were 39 New York City Public School special education teachers""\n"" experimental group""\n"" (51 boys, 13 girls)""\n"" The contrast students\' (57 boys, 20 girls)[¬e]""']",NA,,['Mixed gender'],"['Page 3:\n[¬s]""In the experimental group""\n""(51 boys, 13 girls)""\n""The contrast students\' (57 boys, 20 girls)[¬e]""']",NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 3:\n[¬s]""51 boys, 13 girls[¬e]""']",64,,"['Page 3:\n[¬s]""57 boys, 20 girls[¬e]""']",77,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""51 boys, 13 girls[¬e]""']",64,,"['Page 3:\n[¬s]""57 boys, 20 girls[¬e]""']",77,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,0,,NA,0,
46887970,Fuchs (1986),1986,"Journal, Article",,"This study assessed the effect of contrasting mastery learning on performance among high- and low-achieving students. Subjects were 48 high- and 40 low-achieving first graders, who received either a typical commercial basal reading series mastery learning treatment or an alternative mastery learning treatment that adhered more closely to principles of frequent testing, corrective feedback, and technically sound measurement. Analyses of covariance on two achievement post-tests indicated an interaction. Use of the alternative procedures resulted in better scores for low- but not high-achieving pupils. Implications for practice are discussed.",NA,['Feedback'],,"['Page 3:\n[¬s]""Subjects were 88 students (45 boys, 43 girls), who\nconstituted the four first-grade classes of a small, rura[¬e]""', 'Page 3:\n[¬s]""This random sampling resulted in 49 students in the\nalternative mastery learning treatment (DBI) and 39\npupils in the typical mastery learning treatment (TYP).[¬e]""']","88 students 49 treatment (DBI), 39 control (TYP)",,['Mixed gender'],"['Page 3:\n[¬s]""Subjects were 88 students (45 boys, 43 girls), wh[¬e]""']",49% female,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 3:\n[¬s]""students in the\nalternative mastery learning treatment (DBI) a[¬e]""']",49,,"['Page 3:\n[¬s]""pupils in the typical mastery learning treatm[¬e]""']",39,,NA,NA,,NA,NA,,NA,49,,NA,39,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
37092579,Fuchs (1989),1989,"Journal, Article",,"Assessed the effects of computerized teacher feedback systems within curriculum-based measurement (CBM) in the area of spelling. 27 special education teachers selected 2 mildly handicapped pupils who had been classified as learning disabled, emotionally disturbed, or educable mentally retarded. For 15 wks, each teacher was assigned randomly to 1 of 2 CBM groups, enhanced feedback or unenhanced feedback, or to a control group. Multivariate analyses of variance (MANOVA) conducted on fidelity of treatment measures indicated that CBM teachers implemented procedures with comparable accuracy, except that the enhanced feedback group timed their instructional modifications more accurately. Analysis of covariance (ANCOVA) indicated that spelling achievement of students in the enhanced feedback group exceeded that of controls.",['Feedback'],NA,,NA,10 teachers,,['Mixed gender'],"['Page 4:\n[¬s]""2, 1, and 1 girls[¬e]""']",4 girls out of 54.,,NA,NA,NA,NA,NA,,"['Page 3:\n[¬s]""unenhanced feedback CBM""\n""4[¬e]""']",4,,"['Page 3:\n[¬s]"" control""\n""6 teachers[¬e]""']",6,,NA,NA,,NA,NA,,NA,4,,NA,6,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
37092580,Fuchs (1991),1991,"Journal, Article",,"The purpose of this study was to assess the contribution of ongoing skills analysis to Curriculum-Based Measurement (CBM). Thirty special educators were assigned randomly to treatment groups, including a control condition and different levels of CBM analysis, one of which included graphed performance indicators with skills analysis  one, graphed performance indicators only  and another, graphed performance indicators with ordered lists of student spellings. Teachers who used skills analysis effected, better achievement than controls and than CBM teachers who had no additional analysis. Although the mean achievement of students whose teachers had skills analysis was greater than that of teachers who inspected ordered lists of errors, the difference in achievement was not reliable, and the teachers who inspected errors effected greater growth than controls. Implications for CBM practice are discussed.",['Feedback'],NA,,"['Page 2:\n[¬s]"" Participants were 30 special educators in 16 schools, who taught self-contained or re\xad source programs.""\n"" leaving student ns of 19 and 20 in the two su bgroups of Group 1; 18 and 17 in the two subgroups of Group 2; and 18 in the control group.[¬e]""']"," Teachers  Participants were 30 special educators  Students  Each CB M teacher selected four stu­ dents to participate  each control teacher, two stu­ dents.   Students  19 and 20 in the two su bgroups of Group 1   18 and 17 in the two subgroups of Group 2   and 18 in the control group.",,NA,NA,NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 2:\n[¬s]""During the study, 10 of the 100 students moved, leaving student ns of 19 and 20 in the two su bgroups of Group 1; 18[¬e]""']",18,,"['Page 2:\n[¬s]"" 18 in the control group.[¬e]""']",18,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,No attrition was reported.,,NA,Not reported,
37092581,Fuchs (1991),1991,"Journal, Article",,"30 special education teachers were assigned randomly to 3 groups  curriculum-based measurement (CBM) with expert system advice (CBM-ES), CBM with no expert system advice (CBM-NES), and control (i.e., no CBM). Ss implemented treatments for 18 wks. Both CBM groups achieved better than the control group, with no reliable difference between CBM groups. Analysis of the Ss' instructional programs indicated that CBM-NES Ss provided more direct instruction on skills, whereas CBM-ES Ss utilized more drill and practice. Results are discussed in terms of types of instructional adjustments and ongoing assessment information that may be useful in teacher planning.",['Feedback'],NA,,"['Page 1:\n[¬s]"" Thirty teachers[¬e]""']",NA,,['Mixed gender'],NA,NA,,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 3:\n[¬s]"" student ns were 20,19, and 20 for the CBM-ES, CBM- NES, and control groups, respectively.[¬e]""']",19,,"['Page 3:\n[¬s]"" student ns were 20,19, and 20 for the CBM-ES, CBM- NES, and control groups, respectively.[¬e]""']",20,,NA,NA,,NA,NA,,NA,19,,NA,20,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
40294904,Fuchs (1994) FB,1994,"Journal, Article",,"This study examined the effectiveness of innovative curriculum-based measurement (CBM) classwide decision-making structures within general education mathematics instruction, with and without recommendations for how to incorporate CBM feedback into instructional planning. Forty general educators, each of whom had at least one student with an identified learning disability for math instruction, were randomly assigned to three groups  CBM with classwide reports that summarized information and provided instructional recommendations, CBM with reports but without recommendations, and contrast (no CBM). Results indicated that only the CBM teachers who received instructional recommendations designed better instructional programs and effected greater achievement for their students.",['Feedback'],NA,,NA,"Tachers Total = 30, 'no CBM, n = 20', 'CBM-IN, n = 10' (p.519). Pupils Total = 90 'Teachers implemented their respective treatments with all students in their math classes. To specify research participants for whom treatment effects would be evaluated, however, teachers identified three students  (a) one student who was chronically low achieving in mathematics, as judged by the teacher, and had been classified learning disabled...' (p.519) '...(b) one student who was chronically low achieving in mathematics, as judged by the teacher, but had never been referred for special education assessment...(c) one student whose mathematics performance was near the middle of the class, as judged b the teacher.' (p.520)",,['Mixed gender'],NA,56.6% female (Table 2),,NA,NA,NA,NA,['No SES/FSM Information Provided'],,"['Page 2:\n[¬s]""assigned teachers to CBM (n = 20)""\n""To specify research participants for whom treat\xad ment effects would be evaluated, however, teach\xad ers identified three students:[¬e]""']",20,,"['Page 2:\n[¬s]""contrast (no CBM, n = 20,""\n""To specify research participants for whom treat\xad ment effects would be evaluated, however, teach\xad ers identified three students:[¬e]""']",20,,NA,NA,,NA,NA,,NA,20,,NA,20,,NA,NA,,NA,NA,,['No'],"['Page 3:\n[¬s]""No student withdrew from the study.[¬e]""']",NA,,NA,NA,,NA,NA,
