id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht_t_sd_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
43090143,Dorval (1978) TA,1978,['Teaching assistants'],NA,NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671600,Duff (2014),2014,['Teaching assistants'],NA,NA,['Yes'],NA,"Data Cleaning  Descriptive statistics for T1 entered as pretest and T3 entered for post-test, despite T2 possibly being a more accurate timepoint for post-test.",,"['Page 2:\n[¬s]""29 children[¬e]""']",29,,"['Page 5:\n[¬s]""16.70[¬e]""']",16.70,,"['Page 5:\n[¬s]""8.34[¬e]""']",8.34,,"['Page 5:\n[¬s]""23.74[¬e]""']",23.74,,"['Page 5:\n[¬s]""6.55[¬e]""']",6.55,,NA,NA,,NA,NA,,NA,NA,,"['Page 2:\n[¬s]""27[¬e]""']",27,,"['Page 5:\n[¬s]""16.13[¬e]""']",16.13,,"['Page 5:\n[¬s]""8.50[¬e]""']",8.5,,"['Page 5:\n[¬s]""23.09[¬e]""']",23.09,,"['Page 5:\n[¬s]""7.90[¬e]""']",7.9,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
37671552,Fricke (2013),2013,['Teaching assistants'],NA,NA,['Yes'],NA,NA,,"['Page 3:\n[¬s]""Allocated to intervention (N = 90)""\n""Intervention •• Lost to follow-up due to moving schools: t2 = 6 t3 = 0 t4 = 0 t5 = 1 t6 = 0""\n""Received allocated intervention (N = 89)\nDid not receive allocated intervention due\nto moving schools before intervention\nstarted (N = 1)[¬e]""']",82,,"['Page 5:\n[¬s]""12.60[¬e]""']",12.60,,"['Page 5:\n[¬s]""6.09[¬e]""']",6.09,,"['Page 5:\n[¬s]""36.27[¬e]""']",36.27,,NA,8.54,,NA,NA,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""Allocated to waiting control (N = 90)""\n""Waiting control\nLost to follow-up due to moving schools:\nt2 = 2\nt3 = 0\nt4 = 1\nt5 = 3\nt6 = 2[¬e]""']",82,,"['Page 5:\n[¬s]""12.37[¬e]""']",12.37,,"['Page 5:\n[¬s]""5.97[¬e]""']",5.97,,"['Page 5:\n[¬s]""32.17[¬e]""']",32.17,,"['Page 5:\n[¬s]""9.14[¬e]""']",9.14,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
37671553,Fricke (2017),2017,['Teaching assistants'],NA,NA,['Yes'],"['Page 6:\n[¬s]""Primary outcomes CELF-EV""\n""Table 1 Mean raw scores (SD) for 30-week intervention, 20-week intervention and waiting control groups for primary and secondary outcome measures at screening (t0), preintervention (t1), immediately postintervention (t2) and delayed follow-up (t3; with effect sizes for intervention effects)""\n""t2-(40)""\n""t0-(40)[¬e]""']",NA,,"['Page 4:\n[¬s]""n = 132 to 30-week intervention group;""\n""Did not receive allocated intervention due to moving schools before intervention started (30-week intervention group n = 3""\n""Lost to follow-up due""\n""30-week intervention group n = 13;[¬e]""']",117,,"['Page 6:\n[¬s]""10.86[¬e]""']",10.86,,"['Page 6:\n[¬s]""5.10[¬e]""']",5.10,,"['Page 6:\n[¬s]""21.00[¬e]""']",21.00,,"['Page 6:\n[¬s]""5.74[¬e]""']",5.74,,NA,NA,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""Allocated to waiting control group (N = 129)""\n""Lost to follow-up due to moving schools or low attendance: t2 = 11[¬e]""']",118,,"['Page 6:\n[¬s]""10.80[¬e]""']",10.80,,"['Page 6:\n[¬s]""5.34[¬e]""']",5.34,,"['Page 6:\n[¬s]""19.60[¬e]""']",19.60,,"['Page 6:\n[¬s]""5.98[¬e]""']",5.98,,NA,NA,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""n = 133 to 20- week intervention group)""\n""20-week intervention group n = 4)""\n""Did not receive allocated intervention""\n""20-week intervention group n = 5)[¬e]""']",124,,"['Page 6:\n[¬s]""10.74[¬e]""']",10.74,,"['Page 6:\n[¬s]""5.59[¬e]""']",5.59,,"['Page 6:\n[¬s]""20.77[¬e]""']",20.77,,"['Page 6:\n[¬s]""5.90[¬e]""']",5.9,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
37671623,Gibbs (2001),2001,['Teaching assistants'],NA,NA,['Yes'],"['Page 90:\n[¬s]""Table 7\nMeans. Standard Deviations, and Analysis of Variance Summary Table for Woodcock\nJohnson Letter-Word Identification Scores[¬e]""']",NA,,NA,30,,NA,18.3,,NA,2.91,,NA,23,,NA,3.13,,NA,NA,,NA,NA,,NA,NA,,NA,30,,NA,19.23,,NA,3.36,,NA,21.67,,NA,3.99,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671603,Goetz (2008),2008,['Teaching assistants'],NA,NA,['Yes'],"['Page 14:\n[¬s]""Table 3 Means (standard deviations) and number of children performing above chance on the alliter-\nation and ﬁnal phoneme matching tasks[¬e]""']",Note  Stats entered as the outcome in this table are not the same as the primary outcome,,NA,8,,NA,9.63,,NA,2.97,,NA,10.88,,NA,2.64,,NA,NA,,NA,NA,,NA,NA,,NA,7,,NA,8.29,,NA,2.43,,NA,10.14,,NA,3.13,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
38296617,Gorard (2014),2014,"['Teaching assistants', 'One to one tuition', 'Phonics']",NA,NA,['Yes'],NA,NA,,"['Page 20:\n[¬s]""155[¬e]""']",155,,"['Page 20:\n[¬s]""76.53[¬e]""']",76.53,,NA,NA,,"['Page 20:\n[¬s]""80.93[¬e]""']",80.93,,"['Page 20:\n[¬s]""9.23[¬e]""']",9.23,,"['Page 20:\n[¬s]""4.40[¬e]""']",4.40,,"['Page 20:\n[¬s]""8.18[¬e]""']",8.18,,NA,NA,,"['Page 20:\n[¬s]""153[¬e]""']",153,,"['Page 20:\n[¬s]""76.14[¬e]""']",76.14,,NA,NA,,"['Page 20:\n[¬s]""78.73[¬e]""']",78.73,,"['Page 20:\n[¬s]""9.29[¬e]""']",9.29,,"['Page 20:\n[¬s]""2.59[¬e]""']",2.59,,"['Page 20:\n[¬s]""6.53[¬e]""']",6.53,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671634,Graham (2007),2007,['Teaching assistants'],NA,NA,['Yes'],NA,Descriptive statistics reported for PAT Maths ,,NA,42,,"['Page 5:\n[¬s]"" 21.67[¬e]""']",21.67,,"['Page 5:\n[¬s]""16.7[¬e]""']",16.7,,"['Page 5:\n[¬s]""44.24*[¬e]""']",44.24,,"['Page 5:\n[¬s]""20.1[¬e]""']",20.1,,NA,NA,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""n= 10.[¬e]""']",10,,"['Page 5:\n[¬s]""56.68[¬e]""']",56.68,,"['Page 5:\n[¬s]""25.4[¬e]""']",25.4,,"['Page 5:\n[¬s]"" 65.30[¬e]""']",65.30,,"['Page 5:\n[¬s]""14.7[¬e]""']",14.7,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671557,Graves (2010),2010,"['Teaching assistants', 'Phonics']",NA,NA,['Yes'],NA,NA,,"['Page 79:\n[¬s]""Treatment B (n=8)[¬e]""']",8,,"['Page 80:\n[¬s]""28.25[¬e]""']",28.25,,"['Page 80:\n[¬s]""13.10[¬e]""']",13.1,,"['Page 80:\n[¬s]""38.25[¬e]""']",38.25,,"['Page 80:\n[¬s]""10.36)[¬e]""']",10.36,,"['Page 80:\n[¬s]""10.00[¬e]""']",10,,"['Page 80:\n[¬s]""7.50[¬e]""']",7.5,,NA,NA,,"['Page 79:\n[¬s]""n=21[¬e]""']",21,,"['Page 80:\n[¬s]""45.90[¬e]""']",45.9,,"['Page 80:\n[¬s]""11.48[¬e]""']",11.48,,"['Page 80:\n[¬s]""52.62[¬e]""']",52.62,,"['Page 80:\n[¬s]""12.05[¬e]""']",12.05,,"['Page 80:\n[¬s]""6.72[¬e]""']",6.72,,NA,7.225,,NA,NA,,"['Page 79:\n[¬s]""n=6[¬e]""']",6,,"['Page 80:\n[¬s]""24.67[¬e]""']",24.67,,"['Page 80:\n[¬s]""6.65[¬e]""']",6.65,,"['Page 80:\n[¬s]""32.50[¬e]""']",32.5,,"['Page 80:\n[¬s]""12.05[¬e]""']",12.05,,"['Page 80:\n[¬s]""7.83[¬e]""']",7.83,,"['Page 80:\n[¬s]""7.33[¬e]""']",7.33,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671558,Gray (2007),2007,"['Teaching assistants', 'One to one tuition']",NA,NA,['Yes'],"['Page 7:\n[¬s]""table 1 the baseline results (in months) for Year 2 pupils""\n""Reading quotient""\n""table 2 the test 2 results (in months) for Year 2 pupils""\n""Reading quotient[¬e]""']",NA,,"['Page 7:\n[¬s]""36 receiving support[¬e]""']",36,,NA,86.3,,NA,NA,,NA,NA,,NA,91.5,,NA,NA,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""36 not receiving support[¬e]""']",36,,NA,86.9,,NA,NA,,NA,91.9,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671515,Guerrero (2015),2015,['Teaching assistants'],NA,NA,['Yes'],"['Page 56:\n[¬s]""Table 1\nDescriptive Statistics of Pre-Test (T1) Reading Scores by Condition""\n""L2 Broad\nReading[¬e]""', 'Page 73:\n[¬s]""Table 4 Descriptive Statistics of L2 Broad Reading Ability by Time and Condition""\n""T3[¬e]""']",NA,,NA,10,,NA,454,,NA,21.69,,NA,496.3,,NA,17.7,,NA,NA,,NA,NA,,NA,NA,,NA,10,,NA,459.6,,NA,21.69,,NA,506.60,,NA,16.688,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
