id,pub_author,pub_year,abstract,smd_tool,se_tool
43090143,Dorval (1978) TA,1978,"The present study of the use of the Wallach and Wallach tutorial program for low-readiness first graders has found it to be effective in establishing first grade reading competencies as measured by standardized tests of reading achievement for a substantial proportion of the low readiness children tutored with it. By contrast, much lower proportions of each of the various control groups studied were found to perform this well. Since the readiness scores for the Chicago experimental group reported in M.A. Wallach and L. Wallach (1976) were comparable to those for the present Roanoke Rapids experimental sample (median per centile scores of 25 and 17.5 respectively) and since the Spache Word Recognition and Reading Passages subtests were administered in both studies, comparison may be of interest. While both experimental samples were found to perform considerably better than their respective controls, the Roanoke Rapids experimentals turn out if anything to be superior on these Spache tests to the Chicago experimentals as well. The results of the present study thus replicate and extend the findings reported in 1976. The results suggest that the Wallach and Wallach program may be on the right track in its emphasis on phoneme identification skills for low-readiness children, and that the program can be successfully applied by appropriately supervised paraprofessionals.",1.1638,0.3513
37671600,Duff (2014),2014,"Background Intervention studies for children at risk of dyslexia have typically been delivered preschool, and show short‐term effects on letter knowledge and phoneme awareness, with little transfer to literacy. Methods This randomised controlled trial evaluated the effectiveness of a reading and language intervention for 6‐year‐old children identified by research criteria as being at risk of dyslexia (n = 56), and their school‐identified peers (n = 89). An Experimental group received two 9‐week blocks of daily intervention delivered by trained teaching assistants  the Control group received 9 weeks of typical classroom instruction, followed by 9 weeks of intervention. Results Following mixed effects regression models and path analyses, small‐to‐moderate effects were shown on letter knowledge, phoneme awareness and taught vocabulary. However, these were fragile and short lived, and there was no reliable effect on the primary outcome of word‐level reading. Conclusions This new intervention was theoretically motivated and based on previous successful interventions, yet failed to show reliable effects on language and literacy measures following a rigorous evaluation. We suggest that the intervention may have been too short to yield improvements in oral language  and that literacy instruction in and beyond the classroom may have weakened training effects. We argue that reporting of null results makes an important contribution in terms of raising standards both of trial reporting and educational practice.",0.0886,0.2676
37671552,Fricke (2013),2013,"Background  Oral language skills in the preschool and early school years are critical to educational success and provide the foundations for the later development of reading comprehension. Methods  In a randomized controlled trial, 180 children from 15 UK nursery schools (""n"" = 12 from each setting  M[subscript age] = 4 0) were randomly allocated to receive a 30-week oral language intervention or to a waiting control group. Children in the intervention group received 30 weeks of oral language intervention, beginning in nursery (preschool), in three group sessions per week, continuing with daily sessions on transition to Reception class (pre-Year 1). The intervention was delivered by nursery staff and teaching assistants trained and supported by the research team. Following screening, children were assessed preintervention, following completion of the intervention and after a 6-month delay. Results  Children in the intervention group showed significantly better performance on measures of oral language and spoken narrative skills than children in the waiting control group immediately after the 30 week intervention and after a 6 month delay. Gains in word-level literacy skills were weaker, though clear improvements were observed on measures of phonological awareness. Importantly, improvements in oral language skills generalized to a standardized measure of reading comprehension at maintenance test. Conclusions  Early intervention for children with oral language difficulties is effective and can successfully support the skills, which underpin reading comprehension. (Contains 5 figures and 2 tables.) ",0.97,0.3
37671553,Fricke (2017),2017,"Background  Oral language skills are a critical foundation for literacy and more generally for educational success. The current study shows that oral language skills can be improved by providing suitable additional help to children with language difficulties in the early stages of formal education. Methods  We conducted a randomized controlled trial with 394 children in England, comparing a 30-week oral language intervention programme starting in nursery (N = 132) with a 20-week version of the same programme starting in Reception (N = 133). The intervention groups were compared to an untreated waiting control group (N = 129). The programmes were delivered by trained teaching assistants (TAs) working in the children's schools/nurseries. All testers were blind to group allocation. Results  Both the 20- and 30-week programmes produced improvements on primary outcome measures of oral language skill compared to the untreated control group. Effect sizes were small to moderate (20-week programme  d = 0.21  30-week programme  d = 0.30) immediately following the intervention and were maintained at follow-up 6 months later. The difference in improvement between the 20-week and 30-week programmes was not statistically significant. Neither programme produced statistically significant improvements in children's early word reading or reading comprehension skills (secondary outcome measures). Conclusions  This study provides further evidence that oral language interventions can be delivered successfully by trained TAs to children with oral language difficulties in nursery and Reception classes. The methods evaluated have potentially important policy implications for early education. Background  Oral language skills are a critical foundation for literacy and more generally for educational success. The current study shows that oral language skills can be improved by providing suitable additional help to children with language difficulties in the early stages of formal education. Methods  We conducted a randomized controlled trial with 394 children in England, comparing a 30-week oral language intervention programme starting in nursery (N = 132) with a 20-week version of the same programme starting in Reception (N = 133). The intervention groups were compared to an untreated waiting control group (N = 129). The programmes were delivered by trained teaching assistants (TAs) working in the children's schools/nurseries. All testers were blind to group allocation. Results  Both the 20- and 30-week programmes produced improvements on primary outcome measures of oral language skill compared to the untreated control group. Effect sizes were small to moderate (20-week programme  d = 0.21  30-week programme  d = 0.30) immediately following the intervention and were maintained at follow-up 6 months later. The difference in improvement between the 20-week and 30-week programmes was not statistically significant. Neither programme produced statistically significant improvements in children's early word reading or reading comprehension skills (secondary outcome measures). Conclusions  This study provides further evidence that oral language interventions can be delivered successfully by trained TAs to children with oral language difficulties in nursery and Reception classes. The methods evaluated have potentially important policy implications for early education.",0.1461,0.1125
37671623,Gibbs (2001),2001,"This study was designed to determine the effects of a one-to-one phonological awareness intervention on the beginning reading skills of first-grade students in four elementary schools who were identified as at risk for the acquisition of beginning reading. Effects were measured using standardized measures of phonological awareness, letter-word identification and word attack skills. The procedure for this study consisted of three phases including a screening phase designed to identify participants for the study, an in-service training for teaching assistants who implemented the treatment intervention, and the intervention implementation. Sixty-three participants were randomly assigned to either the treatment or control conditions. The performance of the treatment group and the control group was compared. The treatment condition consisted of a 10-minute, one-to-one intervention that included the recommended components of curriculum design for students who are at risk for learning and systematically addressed letter-sound correspondences, blending, segmenting, and the use of onset rimes. The control condition was a traditional, supplemental intervention for students at risk for learning to read. A two-way analysis of variance with repeated measures was used to examine the data and to test for differences within groups and between groups on conceptually similar measures. The amount of change from pretest to posttest was significant for both groups in letter-word identification with a modest effect size of .77 for the control group and a very large effect size of 1.62 for the experimental group. The amount of change from pretest to posttest was also significant for both groups in word attack with a modest effect size of .68 for the control condition and a more robust effect size of 1.58 for the experimental condition. The amount of change from pretest to posttest in phonological awareness was significant for both groups, but there were no statistically significant differences between the groups. The results of this study indicate that a one-to-one phonological awareness intervention can improve word reading ability and selected word attack skills of first grade students identified as at risk to a greater extent than a traditional, supplemental intervention in a balanced literacy program. ",1.62,0.3
37671603,Goetz (2008),2008,"The authors report a short-term reading intervention study involving 15 children with Down syndrome (DS) who attended mainstream schools. The intervention programme taught children phoneme segmentation and blending skills in the context of learning letter-sounds and working with words in books. The children were taught by their learning support assistants, who received special training for this purpose. Compared to a waiting group, a group of eight children with DS improved significantly on measures of early literacy skills (letter-sound knowledge, Early Word Recognition) following eight weeks of intervention. The waiting group started to make progress once they received the intervention. Both groups maintained progress on the literacy measures five months after the intervention had finished. The results suggest that children with DS can benefit from structured, phonics-based reading intervention. ",0.8,0.5
38296617,Gorard (2014),2014,"Switch-on Reading is an intensive 10-week literacy intervention. It is delivered on a one to one basis by staff, most commonly teaching assistants, who have been trained in the approach. The purpose of Switch-on is to achieve functional literacy for as many pupils as possible, and so to close the reading achievement gap for vulnerable children working below age-expected levels. It is inspired by the well- established intervention Reading Recovery, which is teacher led and delivered over a 12-20 week period. In this evaluation, the programme involved regular sessions for pupils who had not achieved Level 4 English at Key Stage 2. The identified pupils in Year 7 attended regular 20-minute reading sessions over the course of the Spring term. The students were removed from class to attend the sessions, which aimed to improve their reading comprehension and fluency. Each session required students to read from four different books graded on the basis of their difficulty. Training and support for staff was provided by the Every Child a Reader staff of Nottinghamshire Local Authority. The overall result was an effect size of +0.24, based on the pooled standard deviation of the post-test score for both groups, meaning that the programme made a noticeable positive impact. This effect can be envisaged as suggesting that on average pupils receiving the intervention would make approximately three additional months’ progress over the course of a year compared to similar pupils who did not. The evaluation identified positive results for all groups of pupils (defined by sex, first language, ethnicity, special educational needs, free school meal eligibility and measured attainment at the outset). However, it is important to note that conclusions about specific groups of pupils are more tentative than the overall finding, because the study was primarily designed to test the average impact on all identified children.",0.237,0.1144
37671634,Graham (2007),2007,"QuickSmart is a basic academic skills intervention designed for persistently low-achieving students in the middle years of schooling that aims to improve the automaticity of basic skills to improve higher-order processes, such as problem solving and comprehension, as measured on standardized tests. The QuickSmart instructional program consists of three structured, teacher- or teacher aide-directed, 30-minute, small-group lessons each week for approximately 26 weeks. In this study, 42 middle school students experiencing learning difficulties (LD) completed the QuickSmart reading program, and a further 42 students with LD took part in the QuickSmart mathematics program. To investigate the effects of the intervention, comparisons were made between the reading and mathematics progress of the intervention group and a group of 10 high-achieving and 10 average-achieving peers. The results indicated that although the standardized reading comprehension and mathematics scores of QuickSmart students remained below those of comparison students, they improved significantly from pretest to posttest.  In contrast, the standardized scores of comparison students were not significantly different from pretest to posttest. On measures of response speed and accuracy gathered using the Cognitive Aptitude Assessment System (CAAS), QuickSmart students were able to narrow the gap between their performance and that of their high- and average-achieving peers. Implications are drawn regarding the importance of interventions that emphasize the automaticity of basic academic skills for students with learning difficulties.",0.3553,0.3622
37671557,Graves (2010),2010,"This ex post facto, quasi-experimental study was conducted at a single-site, kindergarten through eighth grade district in rural, southeastern Connecticut. Of the single cohort of kindergarten students (N = 35) participating, eight students received fall intervention from a trained paraprofessional using ""Stepping Stones to Literacy"" and winter intervention using ""Road to the Code"" and six students received winter intervention from the trained paraprofessional using ""Stepping Stones to Literacy"". The first research question investigated early literacy skills achievement, as measured by the Dynamic Indicator of Basic Literacy Skills, between treatment and comparison groups using two commercially available interventions  ""Stepping Stones to Literacy"" and ""Road to the Code"". The second research question examined learner characteristics and demographics as explanatory variables for early literacy skills achievement of the study sample. Study findings indicate that all treatment participants made statistically significant gains in early literacy skills achievement, generally kept pace with their non-at-risk peers, but that neither treatment closed the achievement gap between at-risk and not-at-risk for reading difficulty participants. Both fall (Initial Phoneme Segmentation, ES = 0.04, F (1, 34) = 1.20, p less than 0.01  Letter Naming Fluency, ES = 0.03, F (1, 34) = 1.20, p less than 0.01) and winter (Letter Naming Fluency, ES = 0.03, F (2, 32) = 0.55, p less than 0.05  Phoneme Segmentation Fluency, ES = 0.01, F (2, 32) = 0.87, p less than 0.05  Nonsense Word Fluency, ES = 0.03, F (2, 32) = 0.23, p less than 0.05) gains were small for all treatment groups. Multiple stepwise regression analysis found that non-intact biological family settings negatively impacted rapid letter naming, explaining between 13% and 14% of variance. Treatment fidelity examination indicates that the treatment was implemented with fidelity. Study recommendations include investigations into the impact of core reading instruction on early literacy skills in order to determine efficient intervention programming that supplements classroom instruction for specifically identified populations (e.g., Hispanic males residing in a single parent household) and longitudinal kindergarten cohort data collection of reading achievement on district-wide measurements in order to develop longevity data as related to later reading difficulty and relationship to treatment efficacy, additional supplemental services, and learner characteristics/demographics. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page  http //www.proquest.com/en-US/products/dissertations/individuals.shtml.] ",0.3178,0.3474
37671558,Gray (2007),2007,"As the number of learning support assistants (also referred to as classroom assistants, teaching aides, auxiliary support and paraeducators) employed in the primary sector continues to increase, questions concerning the contribution they make to raising standards of attainment remain to be answered. This article reports evidence from a small-scale study undertaken to evaluate the impact learning support assistants have on the reading attainment of young children taught in schools using a whole class systematic phonics approach. A matched sample test/retest approach was employed to examine differences in the reading performance of pupils who did and did not receive additional reading support. Whilst overall, pupils exposed to the whole class systematic phonics approach showed a significant improvement in reading performance, no added value was noted for pupils receiving learning support assistance. On the contrary, the results suggest that learning support may have a detrimental impact on lower ability readers. Contradictions between the empirical findings and the views of teachers are discussed here. (Contains 3 tables and 2 figures.) ",1.1499,0.2544
