id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ry_identify_ret_stu,ry_ret_stu_age,ry_ret_basis,ry_impact_meas,ry_stu_ret_num,ry_ret_stud_comp,ry_matching_char,ry_comp,ry_comp_grp_school
40375619,Chansky (1964),1964,['Journal article'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5909,0.2687,['Pre-post gain'],SA+1_MAT_reading comprehension,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5909,0.2687,NA,NA,NA,['Mathematics primary outcome'],-0.0158,0.2626,NA,NA,NA,NA,NA,NA,63,4 school districts,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],NA,5,Not stated,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],"['3 – 7 years', '8- 11 years']","['Teacher assessment, teacher judgement or grades']",['Other (Please specify)'],"['At least once, but unspecified']","[""Promoted 'regular' students""]",NA,['Same age'],['Unclear/ not provided']
40375681,Coffield (1954) 1_1,1954,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Other outcome']",-1.3393,0.2397,['Post-test unadjusted (select one from this group)'],SA+1_MAT_composite achievement,With business as usual,['Sample: Low achievers'],Combined subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,289,NA,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5 ,N/A.,NA,['A specific year group/groups or grade/grades for retention are identified in the research'],['8- 11 years'],"['Teacher assessment, teacher judgement or grades']",['1 year'],['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],"['Achievement test score', 'Age']",['Same age'],['Same school']
43090127,Coffield (1954) 1_2,1954,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Other outcome']",1.5421,0.4385,['Post-test unadjusted (select one from this group)'],SA+1_MAT_composite achievement,With business as usual,['Sample: Low achievers'],Combined subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,289,NA,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,Not stated ,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['8- 11 years'],['Other (please specify)'],"['1 year', '2 years', '3 years', '4 years']",['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],['Achievement test score'],['Same age'],['Different school']
43090126,Coffield (1954) 1_3,1954,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Other outcome']",-0.5687,0.295,['Post-test unadjusted (select one from this group)'],SA+1_MAT_Compostie Achievement ,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,289,NA,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,Not stated,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['8- 11 years'],['Other (please specify)'],"['1 year', '2 years', '3 years', '4 years']",['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],['Achievement test score'],['Same age'],['Same school']
43090125,Coffield (1954) 1_4,1954,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Other outcome']",-1.3171,0.3828,['Post-test unadjusted (select one from this group)'],SA+1_MAT_Composite Achievement ,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,289,NA,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],NA,38,5,Not specified,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['8- 11 years'],['Other (please specify)'],"['1 year', '2 years', '3 years', '4 years']",['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],['Achievement test score'],['Same age'],['Different school']
43090124,Coffield (1954) 1_5,1954,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Other outcome']",-0.597,0.3324,['Post-test unadjusted (select one from this group)'],SA+1_MAT_Composite Achievement,With business as usual,['Sample: Low achievers'],Combined subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,289,NA,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],NA,NA,38,5,Not stated,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['8- 11 years'],['Other (please specify)'],"['1 year', '2 years', '3 years']",['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],['Achievement test score'],['Same age'],['Same school']
43090123,Coffield (1954) 1_6,1954,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Other outcome']",-0.6254,0.5524,['Post-test unadjusted (select one from this group)'],SA+1_MAT_Composite Achievement,With business as usual,['Sample: Low achievers'],Combined subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,289,NA,['Primary/elementary school'],"['11', '12']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,Not stated,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['8- 11 years'],['Other (please specify)'],"['1 year', '2 years', '3 years']",['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],['Achievement test score'],['Same age'],['Different school']
43090122,Coffield (1954) 1_7,1954,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Other outcome']",-0.9408,0.5742,['Post-test unadjusted (select one from this group)'],SA+1_MAT_Composite Achievement,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,289,NA,['Primary/elementary school'],"['11', '12']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5  ,Not stated,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],"['8- 11 years', '12 years or older']",['Other (please specify)'],"['1 year', '2 years']",['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],['Achievement test score'],['Same age'],['Same school']
43090121,Coffield (1954) 1_8,1954,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Other outcome']",-0.3712,0.357,['Post-test unadjusted (select one from this group)'],SA+1_MAT_Composite Achievement ,With business as usual,['Sample: Low achievers'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,289,NA,['Nursery school/pre-school'],"['11', '12']",NA,NA,['UK (Select all that apply)'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5 ,Not stated,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],"['8- 11 years', '12 years or older']",['Other (please specify)'],"['1 year', '2 years']",['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],['Achievement test score'],['Same age'],['Different school']
40375683,Cooper (1980),1980,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5683,0.3712,NA,SA+1_MAT_Metropolitan Reading,With business as usual,NA,Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.5683,0.3712,NA,NA,NA,['Mathematics primary outcome'],-0.8983,0.3815,NA,NA,NA,NA,NA,NA,34,NA,NA,['Primary/elementary school'],"['6', '7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,45,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['3 – 7 years'],"['Teacher assessment, teacher judgement or grades']","['1 year', '2 years']",['Once'],"[""Promoted similar students (low attaining or 'underachieving' students)""]",NA,['Same age'],"['Same school', 'Different school']"
40375583,Cosden (1995),1995,['Journal article'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-1.1185,0.3721,['Post-test unadjusted (select one from this group)'],SG+1_MAT_Stanford Reading,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-1.1185,0.3721,NA,NA,NA,['Mathematics primary outcome'],-0.9727,0.3652,NA,NA,NA,NA,NA,NA,616,11,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['5', '6']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,360,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['3 – 7 years'],"['Teacher assessment, teacher judgement or grades']",['2 years'],['Once'],"[""Promoted 'regular' students"", 'Promoted matched students (where specific characteristics are used to identify a specific match)']","['Age', 'Ethnicity', 'Gender', 'Language status (e.g. ESL, E2L)']",['Same grade'],['Same school']
43090139,Dennebaum (1994) 1_2,1994,['Journal article'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-1.0979,0.3386,['Post-test unadjusted (select one from this group)'],SG+2_MAT_Metropolitan reading,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-1.0979,0.3386,NA,NA,NA,['Mathematics primary outcome'],-0.3174,0.3165,NA,NA,NA,NA,NA,NA,42,NA,NA,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,N/A retained in kindergarten,N/A retained in kindergarten,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['3 – 7 years'],"['Teacher assessment, teacher judgement or grades']",['4 years'],['Once'],"[""Promoted similar students (low attaining or 'underachieving' students)""]",NA,['Same age'],['Different school']
40375622,Dobbs (1967),1967,['Journal article'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.9554,0.2735,['Post-test unadjusted (select one from this group)'],SA+1_MAT_Metropolitan_Reading,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.9554,0.2735,NA,NA,NA,['Mathematics primary outcome'],-1.2328,0.2832,NA,NA,NA,NA,NA,NA,60,8,NA,['Primary/elementary school'],"['6', '7', '8']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],NA,38,5,360,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['3 – 7 years'],"['Teacher assessment, teacher judgement or grades']","['1 year', '2 years']",['Once'],"[""Promoted 'regular' students""]","['Age', 'Ethnicity', 'Gender', 'IQ/ Cognitive tests', 'Socio economic status (SES) including parental income']",['Same age'],"['Same school', 'Different school']"
40375686,Farley (1936) 1_1,1936,['Journal article'],['Repeating a year'],"['Toolkit primary outcome', 'Other outcome']",0.0904,0.1535,['Post-test unadjusted (select one from this group)'],SA+0.5_MAT_Stanford achievement test,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,3,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,360,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],"['3 – 7 years', '8- 11 years']","['Teacher assessment, teacher judgement or grades']",['Other (Please specify)'],['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],"['Age', 'IQ/ Cognitive tests']",['Same age'],['Same school']
49106818,Farley (1936) 1_2,1936,['Journal article'],['Repeating a year'],"['Toolkit primary outcome', 'Other outcome']",0.1604,0.1802,['Post-test unadjusted (select one from this group)'],SA+0.5_MAT_Stanford achievement test,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,3,NA,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],6,5,360,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['8- 11 years'],['Other (please specify)'],['Other (Please specify)'],['Once'],['Promoted matched students (where specific characteristics are used to identify a specific match)'],"['Age', 'IQ/ Cognitive tests']",['Same age'],['Same school']
49106819,Farley (1936) 1_3,1936,['Journal article'],['Repeating a year'],"['Toolkit primary outcome', 'Other outcome']",0.3476,0.2413,['Post-test unadjusted (select one from this group)'],SA+0.5_MAT_Stanford achievement test,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,3,NA,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],24,5,360,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['8- 11 years'],['Other (please specify)'],['Other (Please specify)'],['Once'],"[""Promoted 'regular' students""]","['Age', 'IQ/ Cognitive tests']",['Same age'],['Same school']
40375687,Garner (1968) 1_1,1968,['Dissertation or thesis'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",-1.3167,0.1824,['Post-test unadjusted (select one from this group)'],SG+6_MAT_California AT Reading,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",-1.3167,0.1824,NA,NA,NA,['Mathematics primary outcome'],-0.95,0.1744,NA,NA,NA,NA,NA,NA,65,NA,NA,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,360,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['8- 11 years'],"['Teacher assessment, teacher judgement or grades']",['5 years'],['Once'],"[""Promoted 'regular' students"", 'Promoted matched students (where specific characteristics are used to identify a specific match)']","['Age', 'Gender', 'IQ/ Cognitive tests']",['Same age'],['Same school']
40375562,Gleason (2007),2007,['Journal article'],['Repeating a year'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1925,0.1393,['Post-test unadjusted (select one from this group)'],SA+1_MAT_WJ III Broad Reading - grade standard score,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1925,0.1393,NA,NA,NA,['Mathematics primary outcome'],0.5915,0.1409,NA,NA,NA,NA,NA,NA,350,NA,NA,['Primary/elementary school'],"['6', '7']",TRUE,62.0,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['Yes'],['During regular school hours '],['Class teachers'],38,5,Ongoing retention or promotion ,['Toolkit: Repeating a year'],['A specific year group/groups or grade/grades for retention are identified in the research'],['3 – 7 years'],['A formal test or assessment'],"['1 year', '2 years']",['Once'],"[""Promoted 'regular' students""]",['Achievement test score'],['Same age'],['Unclear/ not provided']
