id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,hw_dur,hw_dur_info,hw_dur_tot_time,hw_who_involved,hw_par_role,hw_where,hw_mark_method_info
49048273,Flansburg (2016),2016,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0927,0.045,NA,NWEA MAP,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0927,0.045,NA,NA,NA,NA,NA,NA,2115,6,80,['Primary/elementary school'],"['10', '11']",TRUE,53.8,['USA'],['Prospective QED'],['Student alone (self-administered)'],['Yes (Please specify)'],['Yes'],['No'],"['During regular school hours ', 'Before/after school']",['Class teachers'],36,Not specified,Not specified,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,"['At school', 'At home']",['No']
49048274,Flick (2019),2019,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0503,0.1395,NA,Benchmark Test,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0503,0.1395,NA,NA,NA,NA,NA,NA,270,1,NA,"['Middle school', 'Home']","['11', '12']",FALSE,8.0,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",72,5,Not specified,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,"['At school', 'At home']",['No']
48091499,Foyle (1984) 1_1,1984,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Other outcome']",1.06,0.237,['Post-test unadjusted (select one from this group)'],social studies researcher made posttest,With business as usual,['Sample: All'],Social Studies,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,1,6,['Secondary/High school'],"['12', '13', '14', '15']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],6 weeks,1,60 mins,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,['At home'],['Yes (Please highlight the relevant text in the study report)']
57768739,Foyle (1984) 1_2,1984,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Other outcome']",0.698,0.221,['Post-test unadjusted (select one from this group)'],postest researchers ,With business as usual,['Sample: All'],Social Studies,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,1,6,['Secondary/High school'],"['15', '11', '12', '13', '14']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['No'],['No'],['No'],['Before/after school'],['Class teachers'],6 weeks,1,study does not provide details of how long the homework takes to complete - assume 20 mins,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,['At home'],['Yes (Please highlight the relevant text in the study report)']
49048279,Freet (2016),2016,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.3428,0.4038,NA,Post-tests,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.3428,0.4038,NA,NA,NA,NA,NA,NA,25 ,1,2,['Independent/private school'],"['15', '16', '17']",NA,NA,['USA'],['Cluster RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],['Before/after school'],"['Research staff', 'Class teachers']",Not specified,not specified. Indicative of daily lessons,12,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],NA,0.917,['Individual students working on their own'],NA,['At home'],['Yes (Please highlight the relevant text in the study report)']
48091554,Glynn (2013),2013,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Science primary outcome']",0.0546,0.2086,NA,Summative Unit test- Chemistry (Unit 6),With business as usual,NA,Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.0546,0.2086,NA,NA,NA,92,NA,NA,['Secondary/High school'],['No information provided'],FALSE,20.0,['USA'],['Interrupted time series QED'],['Student alone (self-administered)'],['No'],['Yes'],['No'],"['Evenings and/or weekends', 'Other (please specify)']","['Research staff', 'Class teachers']",9,1,NA,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,['At home'],['No']
48091569,Howell (2013),2013,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Science primary outcome']",-1.9751,0.7742,['Post-test unadjusted (select one from this group)'],Unit 1,With business as usual,['Sample: All'],Science,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",-1.9751,0.7742,NA,NA,NA,56,1,2,['Secondary/High school'],"['14', '15']",FALSE,14.5,['USA'],['Cluster RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],['Evenings and/or weekends'],"['Digital technology', 'Research staff']",10,NA,NA,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,"['At home', 'Not especified / Unclear']",['No']
49048322,Hungi (2017),2017,['Journal article'],"['Homework', 'Mentoring']","['Toolkit primary outcome', 'Mathematics primary outcome']",0.28,0.0893,NA,Mathematics Test,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.28,0.0893,NA,NA,NA,NA,NA,NA,532,NA,NA,"['Home', 'Primary/elementary school', 'Secondary/High school']","['12', '13', '14', '15', '16', '17', '18']",NA,NA,['Kenya'],['Prospective QED'],"['Student alone (self-administered)', 'One to one']",['Yes (Please specify)'],['No'],['Yes'],"['Evenings and/or weekends', 'Before/after school']",['Lay persons/volunteers'],NA,N/A,N/A,['Toolkit: Homework'],['No'],NA,NA,"['Students working together (collaborative homework)', 'Individual students working on their own']",NA,['At home'],['No']
49048341,Kiesner (1997),1997,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0,0.4174,NA, Math Post test,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0,0.4174,NA,NA,NA,NA,NA,NA,23,1,3,['Middle school'],"['11', '12', '13', '14']",NA,NA,['USA'],['Multisite RCT'],"['Student alone (self-administered)', 'Other (Explain in notes)']",['Yes (Please specify)'],['Yes'],['Yes'],['Evenings and/or weekends'],"['Class teachers', 'Parents/carers']",7,5 ,NA,['Toolkit: Homework'],['No'],NA,NA,"['Parents or other family members.', 'Individual students working on their own']",['Monitoring/ checking completion'],['At home'],['No']
48091570,Kirvan (2015),2015,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3744,0.2755,NA,Post test mean,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3744,0.2755,NA,NA,NA,NA,NA,NA,59,NA,2,['Middle school'],"['12', '13', '14']",FALSE,33.89,['USA'],['Cluster RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['Yes'],['No'],['Before/after school'],['Digital technology'],Unclear,5,10,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],NA,0.833,['Individual students working on their own'],NA,['At home'],['Yes (Please highlight the relevant text in the study report)']
49048343,Kırmızı (2019),2019,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1442,0.263,NA,Productive Vocabulary (all quiz combine),With business as usual,NA,Literacy  reading other,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.1442,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1,NA,"['Secondary/High school', 'Home']","['15', '16']",NA,NA,['Turkey'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)', 'Paired learning']",['No'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']",NA,4,1,Not specified,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,"['At school', 'At home']",['Yes (Please highlight the relevant text in the study report)']
49048350,Lai (2018),2018,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Other outcome']",1.2482,0.2522,NA,Post-Knowledge test,With business as usual,NA,Curriculum  other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,2,"['Secondary/High school', 'Other educational setting (please specify)']",['No information provided'],NA,NA,['Taiwan'],['Prospective QED'],['Small group/intensive support (3-5)'],['No'],['Yes'],['No'],"['Evenings and/or weekends', 'Other (please specify)']","['Class teachers', 'Peers', 'Digital technology']",4,2,30,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],NA,1,['Students working together (collaborative homework)'],NA,"['At school', 'At home']",['Yes (Please highlight the relevant text in the study report)']
49048368,Lonigan (1998),1998,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1216,0.3158,['Post-test adjusted for baseline attainment'],PPVT,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1216,0.3158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,4,NA,['Home'],"['3', '4']",NA,NA,['USA'],['Multisite RCT'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],['Evenings and/or weekends'],['Parents/carers'],6 ,5,15,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],every day,0.833,['Parents or other family members.'],"['Direct help or involvement with the homework', 'Encouragement and general support']",['At home'],['No']
48091510,McGrath (1992),1992,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Reading primary outcome']",0.186,0.2742,['Post-test unadjusted (select one from this group)'],Literature score,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.186,0.2742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,1,NA,"['Secondary/High school', 'Home']","['12', '13', '14', '15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Unclear/ Not specified'],['No'],['Yes'],['Evenings and/or weekends'],['Parents/carers'],3,5,180,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],1-3 hours a day,10,['Parents or other family members.'],"['Direct help or involvement with the homework', 'Encouragement and general support']",['At home'],['No']
48091511,Meloy (1987),1987,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0196,0.1562,['Post-test unadjusted (select one from this group)'],ITBS in mathematics,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0196,0.1562,NA,NA,NA,NA,NA,NA,166,2,8,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Prospective QED'],['Student alone (self-administered)'],['Yes (Please specify)'],['No'],['Yes'],['Evenings and/or weekends'],"['Class teachers', 'Parents/carers']",11,2,NA,['Toolkit: Homework'],['No'],NA,NA,['Parents or other family members.'],"['Encouragement and general support', 'Monitoring/ checking completion']",['At home'],['Yes (Please highlight the relevant text in the study report)']
48091556,Metcalf (2015),2015,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.112,0.2244,NA,Post test Mathematics,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.112,0.2244,NA,NA,NA,NA,NA,NA,85,1,4,['Middle school'],"['12', '13']",NA,NA,['USA'],['Cluster RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one']",['No'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",16,4 ,54,['Toolkit: Homework'],['No'],NA,NA,"['Individual students working on their own', 'Students working together (collaborative homework)']",NA,"['At school', 'At home']",['Yes (Please highlight the relevant text in the study report)']
48091557,Montgomery (2015),2015,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3085,0.186,NA,Renaissance Learnings STAR math test,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3085,0.186,NA,NA,NA,NA,NA,NA,117,NA,4,"['Middle school', 'Home']","['12', '13']",TRUE,58.11,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",8,3,15,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],NA,1.042,"['Students working together (collaborative homework)', 'Individual students working on their own']",NA,"['At school', 'At home']",['Yes (Please highlight the relevant text in the study report)']
49048403,Nordstrom (2012),2012,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Other outcome']",1.5435,0.3102,NA,Tennessee Comprehensive Achievement Program- Language scores,With business as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1,2,"['Middle school', 'Home']","['11', '12', '13']",FALSE,14.81,['USA'],['Prospective QED'],['Student alone (self-administered)'],['No'],['Yes'],['No'],['Evenings and/or weekends'],['Digital technology'],36,1,not specified,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,"['At school', 'At home']",['Yes (Please highlight the relevant text in the study report)']
48091551,Özcan (2015),2015,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0851,0.3088,['Post-test adjusted for baseline attainment'],Math exam,With active control,['Sample: All'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0851,0.3088,NA,NA,NA,NA,NA,NA,44,1,2,['Primary/elementary school'],"['11', '12']",NA,NA,['Turkey'],['Prospective QED'],['Student alone (self-administered)'],['No'],['No'],['No'],['Evenings and/or weekends'],['Class teachers'],12,1,NA,['Toolkit: Homework'],['No'],the question was asked to the students but reults are not reported here,NA,['Individual students working on their own'],NA,['At home'],['Yes (Please highlight the relevant text in the study report)']
49048419,Ramaglia (2015),2015,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3435,0.0934,['Post-test unadjusted (select one from this group)'],MAP,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3435,0.0934,NA,NA,NA,NA,NA,NA,520,NA,6,"['Middle school', 'Secondary/High school']","['12', '13', '14', '15', '16']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",36,2,60,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],Homework itself would = 10-14 minutes,0.2,"['Students working together (collaborative homework)', 'Individual students working on their own']",NA,"['At school', 'At home']",['Yes (Please highlight the relevant text in the study report)']
48091558,Ripley (2015),2015,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.029,0.1907,['Post-test adjusted for baseline attainment'],Mid-Year Algebra Test,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.029,0.1907,NA,NA,NA,NA,NA,NA,2370,NA,NA,['Primary/elementary school'],"['6', '7', '8']",FALSE,40.0,['USA'],['Retrospective QED  '],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",N/A,N/A,60,['Toolkit: Homework'],['No'],NA,NA,"['Individual students working on their own', 'Students working together (collaborative homework)']",NA,"['At school', 'At home']",['No']
49048423,Robledo-Ramón (2013) HW,2013,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.7219,0.2898,['Post-test unadjusted (select one from this group)'],Writing Productivity,With business as usual,['Sample: All'],Literacy  writing,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51  ,1   ,NA,['Home'],"['10', '11', '12', '13']",NA,NA,['Spain'],['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['Yes'],['Evenings and/or weekends'],['Parents/carers'],12,1,Not specified,['Toolkit: Homework'],['No'],NA,NA,['Parents or other family members.'],"['Direct help or involvement with the homework', 'Encouragement and general support', 'Monitoring/ checking completion']",['At home'],['No']
48091571,Saunders (2014),2014,['Dissertation or thesis'],['Homework'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3085,0.2644,['Post-test unadjusted (select one from this group)'],Academic Achievement,With business as usual,['Sample: All'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3085,0.2644,NA,NA,NA,NA,NA,NA,58,1,NA,['Secondary/High school'],"['16', '17']",TRUE,72.41,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['No'],['No'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",9,doesn't specify,15 ,['Toolkit: Homework'],['No'],NA,NA,['Individual students working on their own'],NA,['At home'],['No']
48091572,Schultz (2014),2014,['Journal article'],['Homework'],"['Toolkit primary outcome', 'Science primary outcome']",0.6794,0.2642,['Post-test unadjusted (select one from this group)'],Semester 1 Final Exam,With business as usual,['Sample: All'],Science,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.6794,0.2642,NA,NA,NA,61,1,NA,['Secondary/High school'],"['15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['Yes'],['No'],"['During regular school hours ', 'Evenings and/or weekends']","['Class teachers', 'Digital technology']",16,NA,90,['Toolkit: Homework'],['Yes (Please highlight the relevant text in the study report)'],not specific as it varied by student and ccontent,2.083,['Individual students working on their own'],NA,"['At school', 'At home']",['Yes (Please highlight the relevant text in the study report)']
