id,out_type_1,out_type_2,out_type_3,out_type_4,out_type_5,out_type_6,out_type_7,out_type_8,out_type_9,out_type_10,out_type_11,out_type_12,out_type_13,out_type_14,out_type_15,out_type_16
38296675,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Writing and spelling primary outcome.'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome']
38111672,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111621,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111620,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296685,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
38296686,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671586,"['Toolkit primary outcome', 'Reading primary outcome']","['Reading primary outcome', 'Other outcome']","['Reading primary outcome', 'Other outcome']","['Reading primary outcome', 'Other outcome']","['Reading primary outcome', 'Other outcome']","['Reading primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111625,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111458,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296687,"['Toolkit primary outcome', 'Reading primary outcome']",['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307449,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111552,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111527,['Reading primary outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111686,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111661,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111662,NA,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111668,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111460,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111597,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
