id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14,out_type_15,out_label_15,out_tit_15,out_type_16,out_label_16,out_tit_16
38111602,Buckner (1978),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Comprehension ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111670,Center (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Burt Word Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025488,Chow (2003),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPCLS posttest Dialogic v control,['Other outcome'],Secondary outcome(s),PPVT Posttest Dialogic v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945725,Correll (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111644,Coyne (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Vocabulary Growth test score(taught vocabulary)-oral language,['Other outcome'],Secondary outcome(s),Vocabulary Growth test score(Untaught vocabulary)-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111435,Coyne (2007),['Other outcome'],Secondary outcome(s),Target word measure-direct and extended vocabulary instruction,['Other outcome'],Secondary outcome(s),Peabody Picture Vocabulary Test(PPVT)-direct and extended vocabulary instruction,['Other outcome'],Secondary outcome(s),Metalinguistic awareness-direct and extended vocabulary instruction,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Listening comprehension-direct and extended vocabulary instruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111643,Coyne (2007) 1_1,['Other outcome'],Secondary outcome(s),Expressive Definitions,['Other outcome'],Secondary outcome(s),Receptive Definitions,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Context Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294900,Coyne (2007) 1_2,['Other outcome'],Secondary outcome(s),Expressive definitions,['Other outcome'],Secondary outcome(s),Receptive Definitions,"['Toolkit primary outcome', 'Reading primary outcome', 'Other outcome']",Primary outcome,Context,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111539,Crain-Thoreson (1999) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Vocabulary accuracy - oral language ,['Other outcome'],Secondary outcome(s),Vocabulary accuracy - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111484,Crevecoeur (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT-III (Vocabulory Test-Post test means/SDs),['Other outcome'],Secondary outcome(s),TWKM-Vocabulory Knowledge (Post test Means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68655326,Dimova (2020),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Overall Language Outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111287,Feitelson (1993),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Listening comprehension - Story text (means),['Other outcome'],Secondary outcome(s),Listening comprehension - story text (F value),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55203434,Ford (2009),['Reading primary outcome'],Primary outcome,Non word repetition posttest ,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Quantity judgments postest ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111492,Freeman (2008),['Other outcome'],Primary outcome,Expressive One-Word Picture Vocabulary Test,"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),Story Comprehension Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671552,Fricke (2013),['Other outcome'],Secondary outcome(s),Sentence Structure: Oral language vs control,['Other outcome'],Secondary outcome(s),CELF-EV,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Listening comprehension: t5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945729,Goodson (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,First year of school passage comp table 3.1,NA,Primary outcome,Kindergarden Listening comp ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671520,Haley (2017),['Other outcome'],Primary outcome,CELF Vocab-post test,['Other outcome'],Primary outcome,APT Information-Post test Score,['Other outcome'],Secondary outcome(s),YARC letter-sound knowledge posttest raw scores,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,YARC Listening Comprehension (reported ES),['Reading primary outcome'],Secondary outcome(s),YARC Early Word Reading (posttest raw scores),['Other outcome'],Secondary outcome(s),YARC Listening Comprehension - Posttest scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111647,Hargrave (2000),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,"Peabody Picture Vocabulary Test–Revised (PPVT-R; Dunn & Dunn, 1981) PPVT-T score((Receptive vocabulary)-Dialogic Reading",['Other outcome'],Secondary outcome(s),"Expressive One Word Picture Vocabulary Test–Revised (EOWPVT-R; Gardner,1990)(Expressive vocabulary)-Dialogic Reading",['Reading primary outcome'],Secondary outcome(s),Book Vocabulary test score-Dialogic Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111494,Harvey (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,EVT,['Other outcome'],Secondary outcome(s),PPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111495,Hasson (1981),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language ,['Other outcome'],Secondary outcome(s),Reading comprehension - oral language,['Other outcome'],Secondary outcome(s),Aural comprehension - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269817,Hyman (1967) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Metropolitan Readiness Test (Percentile Scores) - Oral Language nguage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111649,Justice (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,60 Target Vocabulary Words Test - Overall Gains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111681,Justice (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Print Knowledge (adj for fall score),['Other outcome'],Secondary outcome(s),Print Knolwedge (unadj for fall score),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111673,Karweit (1989),NA,Primary outcome,Merill Language Screening Test (PKG),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Merrill Language Screening Test (KG),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111543,Kertoy (1994),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Number of C-Units(Utterances and Responses) Story 1-Spontaneous comments,['Other outcome'],Secondary outcome(s),Number of C-Units(Utterances and Responses) Story 5-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111650,Korat (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Vocabulary - oral language,['Other outcome'],Secondary outcome(s),Word recognition - oral language,['Other outcome'],Secondary outcome(s),Phonological awareness - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111499,Lamb (1986),NA,Secondary outcome(s),Oral Language (Group 1 vs 2) Means/SDs,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulory (Group 1 vs 4) ,NA,Secondary outcome(s),Concept about print (group 1 vs 4) posttest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111674,Leung (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Expressive Vocabulary Test (EVT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111652,Lonigan (1998),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT ,['Other outcome'],Secondary outcome(s),EOWPVT,['Other outcome'],Secondary outcome(s),ITPA-VE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111651,Lonigan (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Listening comprehension - oral language ,['Other outcome'],Secondary outcome(s),Listening comprehension - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111508,Lucas (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),Receptive vocabulary - oral language,NA,Primary outcome,Sight word recognition - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111683,Mason (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,"Language ability, print concept knowledge, and letter knowledge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111684,Mautte (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TERA (Post test only E1 vs E2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111653,Morrow (1984) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Traditional Questions (A) ,['Other outcome'],Secondary outcome(s),Traditional Questions (B),['Other outcome'],Secondary outcome(s),Story Structure Questions (B),['Other outcome'],Secondary outcome(s),Story Structure Questions (A),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111675,Morrow (1985) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294932,Morrow (1985) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension tests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111676,Morrow (1988),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,G1 & C: Total Comment And Questions (Different-Book Group and Control Group),['Other outcome'],Secondary outcome(s),G2 & C: Total Comments and Questions  (Repeated-Book Group and Control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111291,Morrow (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,The California Achievement Test (School readiness) - Story Book reading,['Other outcome'],Secondary outcome(s),The search test (school readiness) - storybook reading program,['Other outcome'],Secondary outcome(s),Recall comprehension test - Story reading (means),['Other outcome'],Secondary outcome(s),Recall comprehension test - Story reading (ANCOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111677,Morrow (1992),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Responses Focusing on Meaning score-oral language,['Other outcome'],Primary outcome,Total Comment and Question Responses score-oral language,['Other outcome'],Secondary outcome(s),Responses Focusing on Structure score-oral language,['Other outcome'],Secondary outcome(s),Responses Focusing on Print-oral language,['Other outcome'],Secondary outcome(s),Responses Focusing on illustrations score-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111512,Murphy (2007) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Spoken Language Composite,['Other outcome'],Secondary outcome(s),Phonological Awareness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111314,Phillips (1990) OL,['Other outcome'],Secondary outcome(s),Emergent Literacy Concepts Test (ELC) - Little Books program early literacy intervention,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MET-2 - Oral language,['Other outcome'],Secondary outcome(s),Circus-Listen to the Story Test (Circus) - Oral Language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111685,Pollard-Durodola (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT-III,NA,Secondary outcome(s),EOWPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111518,Rainey (1968),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,The Peabody Picture Vocabulary Test score-oral language,['Other outcome'],Secondary outcome(s),The Illinois Test of Psycholinguistic Abilities score-oral language,['Other outcome'],Secondary outcome(s),Stanford-Binet Intelligence Scale score-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111618,Ribowsky (1985),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Linguistic Literacy - TOLD-P (Means/SDs-Post test only),NA,Secondary outcome(s),BHKT-Post test only,NA,Secondary outcome(s),MAT-Letter Recognition (post test only),NA,Secondary outcome(s),MAT-Grapheme/phoneme (Post test only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294950,Roskos (2011) OL,['Toolkit primary outcome'],Primary outcome,PPVT standard scores,['Other outcome'],Secondary outcome(s),CBDM - Receptive Gain Score,['Other outcome'],Secondary outcome(s),CBDM -Expressive Gain Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111519,Schetz (1994),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Preschool Language Assessment Instrument (PLAI) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111520,Sénéchal (1997),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Receptive vocabulary test score-oral language,['Other outcome'],Primary outcome,Expressive vocabulary test score-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
