sample_analysed_info,sample_analysed_ht
38,"['Page 7:\n[¬s]""The subjects were 38 first grade children with low emergent reading skills, 19 from each of two elementary schools[¬e]""', 'Page 8:\n[¬s]""Children from one school participated in the EIP program in addition to their regular first grade classroom instruction, and children from the other school received no extra intervention outside their regular first grade classroom placements.[¬e]""']"
44,"['Page 21:\n[¬s]""Twenty- three (23) children who participated in the Leap Frog Program""\n""twenty-five (25) children comprised the control group.[¬e]""', 'Page 60:\n[¬s]""48 students participated throughout the study. In final analysis, 44 of these students participated in the Reading portion of the study, 4 7 of the students participated in the Mathematics portion of the study, and 4 6 of the students participated in the self-concept portion of the study.[¬e]""']"
41,NA
55,"['Page 8:\n[¬s]""The study participants included 55 first-grade students, with\n28 in the treatment group, and 27 in the control group[¬e]""']"
348,"['Page 77:\n[¬s]""data from just over 450 middle school students.[¬e]""', 'Page 78:\n[¬s]""The ALEKS instruction experimental group included 65 students, and the\ndirect instruction control group included 283 students.[¬e]""', 'Page 85:\n[¬s]""Total""\n""152""\n""97""\n""90[¬e]""']"
512,"['Page 5:\n[¬s]""In total, 512 pupils took part in the trial.""\n""Overall, 263 children\nwere randomly allocated to the intervention groups and 249 to the control group.[¬e]""']"
734,"['Page 1:\n[¬s]""n = 734[¬e]""']"
33,"['Page 7:\n[¬s]""12 first grade at-risk readers[¬e]""']"
249,"['Page 4:\n[¬s]""249 4th grade students[¬e]""']"
60,NA
86,"['Page 1:\n[¬s]""Forty-three at-risk 1st graders, identified in September, received an average of 91 1-to-l tutoring lessons during the school year.[¬e]""']"
131,"['Page 7:\n[¬s]"" One hundred and thirty-one[¬e]""']"
36,"['Page 2:\n[¬s]""36 kindergarten children (18 experimental, 18 com-\nparison)[¬e]""']"
29,NA
64,"['Page 3:\n[¬s]""64\npotential participants in this research.[¬e]""']"
216,"['Page 4:\n[¬s]""A total of 86 Project MORE 2nd grade\nstudents in the comparison schools were Cau- students and 130 comparison 2nd grade stu\ncasian, seven percent Hispanic, three percent dents who were receiving Title I services par\nAfrican-American, six percent Multi-racial, ticipated in the st[¬e]""']"
95,"['Page 64:\n[¬s]""roup one is the comparison group with 32 students who did not receive tutoring, groups two through five are the experimental groups with 16 tutees in each group who received tutoring[¬e]""', 'Page 65:\n[¬s]""The subjects for the present study included 96 seventh grade students (32 tutors and 64 tutees)[¬e]""']"
999,NA
33,"['Page 9:\n[¬s]""Of the 33 remaining subjects, 21 were included in the experimental (tutored) group and 12 in the control group.[¬e]""']"
403,"['Page 9:\n[¬s]""A total of 403 students[¬e]""']"
54,"['Page 4:\n[¬s]""54 remaining students were randomly assigned to one of\nthree conditions[¬e]""']"
110,"['Page 4:\n[¬s]""The 110 students were randomly assigned to one of three\nconditions[¬e]""']"
49,"['Page 8:\n[¬s]"" intervention group (n =25) or the control group (n =24)[¬e]""']"
214,"['Page 6:\n[¬s]""This procedure resulted in the selection of a Reading Recovery group and a control group, with 107 children in each group.[¬e]""']"
56,NA
42,NA
42,NA
385,NA
1006,"['Page 28:\n[¬s]""pupil n=501""\n""pupil n=505[¬e]""']"
318,NA
557,"['Page 13:\n[¬s]""5 schools containing 286 pupils in the treatment group and 271 in the control group.[¬e]""']"
49,"['Page 7:\n[¬s]"" 49 children""\n""yielded 23 children (14 boys and 9 girls) in the experi- mental group, and 26 children (16 boys and 10 girls) in the control group[¬e]""']"
25,"['Page 4:\n[¬s]""Twentyz.five 7th and 8th grade students from John Read Middle[¬e]""']"
148,"['Page 3:\n[¬s]"" 148 first graders. [¬e]""']"
305,"['Page 25:\n[¬s]"" 305 pupils.""\n""152 were randomised to receive the Maths Counts programme while the other 153 formed the control[¬e]""']"
202,"['Page 13:\n[¬s]""287 pupils of whom 117 received the intervention during phase one and 170 received the intervention during phase two.[¬e]""', 'Page 23:\n[¬s]""202 (70, 69, 63)[¬e]""', 'Page 25:\n[¬s]""Total Sample Size 70 69 63 202[¬e]""']"
9784,NA
343,"['Page 10:\n[¬s]""The structure of the MR program allowed us to use the fact that two thirds of the participating students had their treatment delayed by either 12 or 24 weeks to establish an experimentally assigned control group for each cohort of participants that consisted of both students whose treatment had not yet begun and the students who were assigned to a \x91\x91wait list[¬e]""', 'Page 11:\n[¬s]""In reporting our primary results, we use the students who remained on the waitlist (i.e., those who remained in the study and were not moved into a cohort) at the end of first grade as a control group when estimating the ef- fects of participating in MR on both end of first grade and end of second grade achievement.[¬e]""', 'Page 9:\n[¬s]""The number of study participants before attrition totaled 517 in Year 1 and 510 in Year 2, of whom 172 received tutoring in Year 1 and 171 received tutoring in Year 2 (the methods for deter- mining which students received tutoring in each tutoring cycle are described in the following section). 1 The Year 1 participants were followed until the end of second grade, and the Year 2 participants were followed until the end of first grade.[¬e]""']"
110,NA
29,"['Page 3:\n[¬s]""Students (N = 30) in fourth (n = 13), Þfth (n = 10), seventh (n = 6), and eighth (n = 1) grades""\n"" 14 students in the control group.[¬e]""']"
578,NA
138,"['Page 8:\n[¬s]""Although there were 180 children in the sample at the beginning of the study, by the end of second grade 138 ch ildren re mained.[¬e]""']"
90,NA
40,NA
46,"['Page 3:\n[¬s]""The sample included 23 first graders in the treatment group and an equal number in the control group.[¬e]""']"
29,NA
57,"['Page 4:\n[¬s]""Of the 78 students completing all phases of the study, 57 are included in the analyses""\n""s (original groups included\n26, 19, and 33 for Reading Practice,\nWord Study, and controls, respectively)[¬e]""']"
67,"['Page 3:\n[¬s]""The final sample (N \x01 67) included 36 treatment and 31 control students.[¬e]""']"
46,"['Page 3:\n[¬s]""Forty-six students met study eligibility criteria[¬e]""']"
46,"['Page 4:\n[¬s]""The 46 students meeting study el- igibility criteria were randomly as- signed within schools to one of two groups: early treatment or late treat- ment.[¬e]""']"
82,"['Page 4:\n[¬s]""The sample used for analyses thus\ncomprised 82 treatment students (41 dyads) and 80 control stu\xad\ndents (40 dyads). A[¬e]""']"
86,"['Page 6:\n[¬s]""22)[¬e]""']"
208,NA
439,"['Page 4:\n[¬s]"" There were 14 experimental classrooms and 18 control classrooms.""\n"" There were 439 children in study 1[¬e]""']"
364,"['Page 4:\n[¬s]""d 364 in Study 2.[¬e]""']"
310,NA
276,"['Page 3:\n[¬s]""There were 142 girls and 134 boys in the study,[¬e]""']"
131,NA
139,NA
98,"['Page 5:\n[¬s]""invoK ing 98 first-grade students[¬e]""']"
117,"['Page 4:\n[¬s]""The pupils selected (N= 117)[¬e]""']"
80,"['Page 49:\n[¬s]""s 80, 40 in the experimental group and 40 in\nthe control, distributed equally among the four grades.[¬e]""']"
66,"['Page 3:\n[¬s]""66 students were then\nrandomly assigned[¬e]""']"
