id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,out_tit_tool,out_desc_tool,out_type_tool,smd_tool,se_tool,out_measure_tool,out_g1_n_tool,out_g1_mean_tool,out_g1_sd_tool,out_g2_n_tool,out_g2_mean_tool,out_g2_sd_tool,ci_lower_tool,ci_upper_tool,out_label_tool,out_samp_tool,out_comp_tool,out_es_type_tool,out_test_type_raw_tool,out_tit_red,out_desc_red,out_type_red,smd_red,se_red,out_measure_red,out_g1_n_red,out_g1_mean_red,out_g1_sd_red,out_g2_n_red,out_g2_mean_red,out_g2_sd_red,ci_lower_red,ci_upper_red,out_label_red,out_samp_red,out_comp_red,out_es_type_red,out_test_type_raw_red,out_tit_wri,out_desc_wri,out_type_wri,smd_wri,se_wri,out_measure_wri,out_g1_n_wri,out_g1_mean_wri,out_g1_sd_wri,out_g2_n_wri,out_g2_mean_wri,out_g2_sd_wri,ci_lower_wri,ci_upper_wri,out_label_wri,out_samp_wri,out_comp_wri,out_es_type_wri,out_test_type_raw_wri,out_tit_math,out_desc_math,out_type_math,smd_math,se_math,out_measure_math,out_g1_n_math,out_g1_mean_math,out_g1_sd_math,out_g2_n_math,out_g2_mean_math,out_g2_sd_math,ci_lower_math,ci_upper_math,out_label_math,out_samp_math,out_comp_math,out_es_type_math,out_test_type_raw_math,out_tit_sci,out_desc_sci,out_type_sci,smd_sci,se_sci,out_measure_sci,out_g1_n_sci,out_g1_mean_sci,out_g1_sd_sci,out_g2_n_sci,out_g2_mean_sci,out_g2_sd_sci,ci_lower_sci,ci_upper_sci,out_label_sci,out_samp_sci,out_comp_sci,out_es_type_sci,out_test_type_raw_sci,out_tit_fsm,out_desc_fsm,out_type_fsm,smd_fsm,se_fsm,out_measure_fsm,out_g1_n_fsm,out_g1_mean_fsm,out_g1_sd_fsm,out_g2_n_fsm,out_g2_mean_fsm,out_g2_sd_fsm,ci_lower_fsm,ci_upper_fsm,out_label_fsm,out_samp_fsm,out_comp_fsm,out_es_type_fsm,out_test_type_raw_fsm
74069951,Dean (1990),1990,['Peer tutoring'],NA,NA,T&T_Cognitive test,Posttest Tutor + Tutees (T&T) vs Comparison + control -  on cognitive test table 1,"['Toolkit primary outcome', 'Other outcome']",1.0222,0.2668,Languages,32,90.1,14.218,32,73.9,16.973,0.4992,1.5452,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069952,Dill (2000),2000,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Peer criterion v Individual criterionText recall posttest table 1,text recall,['Toolkit primary outcome'],0.0228,0.2887,Literacy  reading other,24,4.29,3.36,24,4.208,3.71,-0.543,0.5886,Primary outcome,['Sample: Low achievers'],With active control,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069953,Ding (2011),2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Peer tutoring v individual Delayed Posttest table 5,chemistry lab procedure knowledge,"['Toolkit primary outcome', 'Science primary outcome']",0.4956,0.2541,Science,32,78.06,10.07,32,73.09,9.74,-0.0023,0.9936,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,REC_Peer tutoring v individual Delayed Posttest table 5,chemistry lab procedure knowledge,"['Toolkit primary outcome', 'Science primary outcome']",0.4956,0.2541,Science,32,78.06,10.07,32,73.09,9.74,-0.0023,0.9936,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069954,DuPaul (1998),1998,['Peer tutoring'],NA,['MT_2023 (in progress)'],TE_PRI_Academic performance gain table 6,maths and spelling,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.6484,0.4335,Literacy  spelling,13,30.42,29.21,10,14.5,13.01,-0.2014,1.4981,Primary outcome,['Sample: Low achievers'],With business as usual,['Pre-post gain'],['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069956,Ensergueix (2011) 1_1,2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Deferred Action Efficiency Table 3,,"['Toolkit primary outcome', 'Other outcome']",2.8828,0.4215,Curriculum  other,24,112.33,9.43,24,80.88,11.89,2.0567,3.7089,Primary outcome,['Sample: All'],With active control,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069957,Ensergueix (2011) 1_2,2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC_Deffered Action Effciency Spntaneous RPT v Individual Practice table 3,,"['Toolkit primary outcome', 'Other outcome']",0.0077,0.2887,Curriculum  other,24,81,18.07,24,80.88,11.89,-0.5581,0.5735,Primary outcome,['Sample: All'],With active control,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069958,Flores (2016),2016,['Peer tutoring'],NA,['MT_2023 (in progress)'],TE_SUB_F ratio intervention tutees v control table 1,,"['Toolkit primary outcome', 'Reading primary outcome']",1.13,0.123,Literacy  reading comprehension,NA,NA,NA,NA,NA,NA,0.8889,1.3711,Secondary outcome(s),['Sample: All'],With active control,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],TE_SUB_F ratio intervention tutees v control table 1,,"['Toolkit primary outcome', 'Reading primary outcome']",1.13,0.123,Literacy  reading comprehension,NA,NA,NA,NA,NA,NA,0.8889,1.3711,Secondary outcome(s),['Sample: All'],With active control,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069960,Greene (2018),2018,['Peer tutoring'],NA,['MT_2023 (in progress)'],T&T Mathematics fluency,posttest maths fluency for the tutees and tutors vs control,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.6517,0.3379,Mathematics,27,103.408,11.284,14,96.36,9.1,-0.0107,1.314,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T&T Mathematics fluency,posttest maths fluency for the tutees and tutors vs control,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.6517,0.3379,Mathematics,27,103.408,11.284,14,96.36,9.1,-0.0107,1.314,Primary outcome,['Sample: All'],With business as usual,['Post-test adjusted for baseline attainment'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069961,Greenwood (1991),1991,['Peer tutoring'],NA,['MT_2023 (in progress)'],T&T_Academic Activity Composite,"composite scores for reading, science and handwriting","['Toolkit primary outcome', 'Reading primary outcome']",1.1016,0.1265,Combined subjects,NA,NA,NA,NA,NA,NA,0.8537,1.3495,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],T&T_Academic Activity Composite,"composite scores for reading, science and handwriting","['Toolkit primary outcome', 'Reading primary outcome']",1.1016,0.1265,Combined subjects,NA,NA,NA,NA,NA,NA,0.8537,1.3495,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069962,Gyanani (1995),1995,['Peer tutoring'],NA,['MT_2023 (in progress)'],T&T Verbal & Spatial Ability (Geography),Posttest F value for overall experimental vs control group for verbal and spatial combined geography test,"['Toolkit primary outcome', 'Other outcome']",0.3166,0.098,Curriculum  other,NA,NA,NA,NA,NA,NA,0.1245,0.5087,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069963,Hattie (2006),2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],TE_PRI Sunshine Fluency,Sunchine fluency reading test posttest ES and SE calculated using f value from table 2,"['Toolkit primary outcome', 'Reading primary outcome']",0.1076,0.187,Literacy  reading comprehension,NA,NA,NA,NA,NA,NA,-0.2589,0.4741,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],TE_PRI Sunshine Fluency,Sunchine fluency reading test posttest ES and SE calculated using f value from table 2,"['Toolkit primary outcome', 'Reading primary outcome']",0.1076,0.187,Literacy  reading comprehension,NA,NA,NA,NA,NA,NA,-0.2589,0.4741,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069964,Johnson (2011),2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],REC Rhythmic reading test,"posttest musical rhythmic reading test means and sd's for peer tutored and bau groups. No pretest, post-test only design","['Toolkit primary outcome', 'Other outcome']",0.5832,0.1785,Arts,66,82.09,31.53,65,62.09,36.51,0.2333,0.9332,Primary outcome,['Sample: All'],With business as usual,['Post-test unadjusted (select one from this group)'],['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
